GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01003,01003,"Baldwin County, Alabama",103189,127,49520,127,897,502,4654,1013,15204,1753,10303,1428,4216,1082,9215,1457,5031,1113,53669,265,1613,705,4340,954,16630,1670,12491,1639,4112,862,8875,1249,5608,1219
0500000US01015,01015,"Calhoun County, Alabama",59815,265,28309,265,2218,705,4065,998,9153,1177,5174,933,1910,552,3386,853,2403,764,31506,265,1997,576,4743,924,11938,1128,5542,1024,1974,689,2827,867,2485,571
0500000US01043,01043,"Cullman County, Alabama",52230,265,25122,265,1679,436,3345,695,9662,1402,5326,1229,1505,492,2047,679,1558,495,27108,265,2274,569,4147,738,9676,1251,5088,930,2746,845,1676,558,1501,492
0500000US01049,01049,"DeKalb County, Alabama",41349,84,19717,265,3342,1371,3965,989,5936,1325,3260,823,1048,438,1246,478,920,497,21632,84,2475,709,3699,871,7832,1246,3002,694,2137,808,1369,527,1118,431
0500000US01051,01051,"Elmore County, Alabama",39112,35,19118,265,987,427,1749,596,6436,959,3737,794,1333,504,3380,730,1496,420,19994,35,898,462,2312,620,7507,950,4621,833,1593,590,2283,725,780,358
0500000US01055,01055,"Etowah County, Alabama",59628,46,27942,265,1330,555,4525,926,8312,1069,5680,894,2740,839,3637,752,1718,593,31686,46,1398,492,3932,917,12659,1426,6481,1174,2277,642,3087,930,1852,635
0500000US01069,01069,"Houston County, Alabama",47595,194,22243,26,1322,293,2302,430,6536,702,4555,533,1597,358,3939,577,1992,371,25352,192,1365,352,3006,549,7905,702,5628,518,2319,405,3424,504,1705,323
0500000US01073,01073,"Jefferson County, Alabama",252751,105,118279,105,3747,764,9497,1324,29796,2209,24434,1888,6947,1168,27745,2253,16113,1564,134472,265,3548,825,12355,1576,37769,2262,31156,2496,8044,1243,25973,2010,15627,1855
0500000US01077,01077,"Lauderdale County, Alabama",53367,265,25149,265,1086,426,2389,548,8188,1136,4439,924,2486,832,4719,917,1842,552,28218,265,1891,504,2786,779,9287,1140,6745,1067,1636,604,3973,964,1900,522
