GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US01069,01069,"Houston County, Alabama",1663,185,860,153,166,145,51,48,208,134,12,23,293,196,76,89,37,40,17,34,803,98,126,89,74,60,119,75,0,195,253,133,155,121,32,33,44,40
0500000US01073,01073,"Jefferson County, Alabama",12441,*****,6547,431,2150,741,951,579,1732,668,29,49,525,334,509,346,387,251,264,189,5894,431,1101,534,1283,558,1481,578,163,222,719,409,439,390,202,144,506,443
0500000US01089,01089,"Madison County, Alabama",9233,556,4987,382,1397,697,596,347,804,498,189,209,762,408,425,353,520,371,294,255,4246,376,1032,453,635,342,516,316,427,297,173,141,36,58,856,410,571,307
0500000US01097,01097,"Mobile County, Alabama",6940,545,4083,709,358,416,592,381,993,601,191,262,386,504,176,225,1329,835,58,116,2857,486,408,288,0,195,630,384,290,427,617,454,481,311,238,196,193,179
0500000US01101,01101,"Montgomery County, Alabama",3403,271,2006,251,440,287,451,283,285,233,386,480,117,88,0,195,233,200,94,92,1397,144,454,271,318,231,95,92,0,195,210,190,24,44,253,182,43,57
0500000US01117,01117,"Shelby County, Alabama",6716,536,3251,668,528,467,551,520,500,385,0,195,658,493,36,68,960,523,18,36,3465,340,486,562,801,599,582,415,356,346,168,217,0,195,739,657,333,490
0500000US02020,02020,"Anchorage Municipality, Alaska",13330,575,6688,*****,309,272,706,585,2026,1021,236,194,2217,784,548,396,457,363,189,163,6642,575,719,440,790,539,1383,808,222,278,1964,679,272,246,1041,545,251,249
0500000US04003,04003,"Cochise County, Arizona",25441,*****,12526,*****,1479,535,1832,926,2872,893,643,329,3394,1071,674,339,1120,525,512,305,12915,*****,2365,534,1086,526,3649,857,630,436,2508,636,1176,439,1082,500,419,234
0500000US04005,04005,"Coconino County, Arizona",8269,262,4240,200,421,491,264,236,973,507,49,84,1076,550,349,249,742,408,366,298,4029,170,562,376,788,410,538,314,179,220,847,444,458,286,209,184,448,341
