GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US01003,01003,"Baldwin County, Alabama",123356,97,58952,192,1051,465,4219,1340,13621,2036,4203,1040,14307,2256,4096,1147,12513,1855,4942,1123,64404,97,1052,512,3853,1095,15010,2237,4062,1689,13476,2101,6374,1656,14351,2219,6226,1199
0500000US01015,01015,"Calhoun County, Alabama",60412,54,28649,54,1981,755,2813,781,5712,1215,2103,710,7794,1612,2704,849,3104,919,2438,816,31763,192,1509,681,3846,1022,7094,1142,2657,725,8527,1307,1936,652,3517,890,2677,670
0500000US01043,01043,"Cullman County, Alabama",54511,275,26499,193,997,389,3003,891,9469,1691,1446,618,5000,1133,2976,996,2227,967,1381,513,28012,190,1570,631,3845,1033,8099,1303,2644,787,5661,937,2790,874,1900,601,1503,573
0500000US01049,01049,"DeKalb County, Alabama",40940,192,19610,192,2028,726,3070,952,6476,1045,1587,640,2735,767,1672,581,918,388,1124,540,21330,192,1493,605,2795,799,6420,1148,2238,834,3215,860,2496,961,1408,407,1265,522
0500000US01051,01051,"Elmore County, Alabama",42192,197,19867,91,1172,633,2243,739,5025,1049,1529,649,3921,724,890,473,3787,882,1300,470,22325,109,847,474,1315,624,4954,1009,1994,698,4807,1029,3671,1004,2617,752,2120,676
0500000US01055,01055,"Etowah County, Alabama",58396,192,27638,192,1802,622,1721,520,8123,1214,2321,672,6472,1072,1731,559,3734,869,1734,609,30758,192,1407,618,3346,787,5889,818,2145,646,8715,1404,3825,977,2998,799,2433,702
0500000US01069,01069,"Houston County, Alabama",50889,192,24033,192,745,329,1903,424,5933,628,1521,323,5676,584,1930,351,4128,505,2197,452,26856,192,732,179,1727,402,6519,921,1735,405,6694,628,2810,524,3624,571,3015,558
0500000US01073,01073,"Jefferson County, Alabama",242818,138,114881,138,2644,974,6171,1358,20929,2078,5309,1202,24122,2326,7434,1349,29357,2032,18915,1947,127937,192,2957,835,8037,1608,25283,2208,4200,1038,26310,1982,9823,1768,31368,2389,19959,1757
0500000US01077,01077,"Lauderdale County, Alabama",55017,85,25945,192,1539,736,1550,566,6999,1226,2108,781,6665,1117,1051,411,3445,796,2588,752,29072,85,1278,573,2978,860,6746,1217,2322,908,6463,1197,1878,601,4383,911,3024,853
