GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
0500000US01003,01003,"Baldwin County, Alabama",208868,1779,19537,4093,7451,2227,106,148,211,356,400,461,1118,621,223,318,194,299,1001,622,785,760,573,473,1037,812,1276,729,436,333,91,115,12086,2803,829,596,189,243,1123,943,93,110,0,200,375,337,912,882,1686,1038,2037,1062,952,465,1886,747,970,555,1034,477,189331,4280,95070,2707,5554,469,803,576,7067,1409,4293,1019,1180,529,3142,631,5825,970,12200,1312,10714,957,12340,953,12486,940,11999,662,7467,450,94261,2933,4595,733,1163,694,6043,985,2965,740,577,333,2432,597,6508,892,10254,1132,12497,987,12925,1048,14353,942,11962,643,7987,541
0500000US01015,01015,"Calhoun County, Alabama",111724,1304,19767,3381,8069,1647,913,487,128,205,456,439,1082,667,254,202,389,383,1025,564,1179,556,668,377,764,438,724,329,390,244,97,93,11698,2241,816,460,33,56,676,340,446,329,64,79,304,279,2017,609,1764,820,1403,717,712,470,1766,618,669,354,1028,454,91957,3176,45476,1848,2556,505,824,540,3095,851,1594,530,146,141,1328,400,3244,881,5718,1011,6323,696,6127,709,6718,341,4832,349,2971,411,46481,2216,2519,678,642,328,2917,632,1719,563,921,373,1037,307,2212,566,6049,1103,5832,839,6612,488,6554,616,5774,423,3693,489
0500000US01043,01043,"Cullman County, Alabama",81055,1022,10649,2584,4818,1502,291,278,136,195,371,326,369,579,0,200,0,200,611,410,948,396,327,314,327,425,1103,586,237,202,98,119,5831,1502,299,400,146,165,560,418,242,317,28,46,132,178,470,301,805,495,717,468,630,355,555,275,555,336,692,361,70406,2531,35124,1502,1731,404,182,206,2502,710,1330,677,534,464,1405,493,3099,629,4196,560,4641,486,5217,607,4257,589,3698,296,2332,159,35282,1568,1815,428,301,229,2155,727,1498,514,592,275,772,330,2351,393,4310,356,4377,582,4915,357,5360,439,4094,363,2742,372
0500000US01049,01049,"DeKalb County, Alabama",70727,612,14600,3643,6032,1802,117,157,67,77,987,529,470,324,93,124,37,69,589,720,350,276,1494,738,346,302,558,393,558,405,366,253,8568,2231,948,563,0,200,700,546,1007,691,336,291,336,280,542,335,781,442,1515,773,689,423,1138,526,249,215,327,231,56127,3741,27999,2239,1771,486,410,294,1904,819,1021,473,465,293,784,256,2872,708,3634,521,2888,638,3954,377,3909,324,3047,383,1340,278,28128,2293,1301,621,1035,635,1809,770,757,465,389,314,354,272,2726,612,3125,521,3344,708,4068,622,3589,427,3419,229,2212,323
0500000US01051,01051,"Elmore County, Alabama",76708,973,8806,2770,3423,1520,767,588,0,200,82,108,173,209,562,768,0,200,167,205,430,700,474,381,264,206,350,310,154,141,0,200,5383,1548,349,311,0,200,260,235,0,200,0,200,133,238,2152,1239,289,277,1007,942,443,361,352,287,135,145,263,256,67902,2635,32475,1407,1900,302,398,266,2580,678,1867,664,158,189,1058,189,2781,478,3894,501,3804,484,4497,479,4230,382,3228,145,2080,249,35427,1885,1846,388,495,314,2257,697,1614,506,468,370,1121,486,2274,603,4123,616,4702,885,5433,522,5149,293,3507,291,2438,319
0500000US01055,01055,"Etowah County, Alabama",101679,434,18456,3272,7877,1938,1078,545,0,200,719,434,959,445,245,283,237,242,1217,639,840,581,579,465,1008,543,804,584,101,112,90,94,10579,1989,1245,483,869,604,1140,462,290,227,115,122,210,235,914,452,953,512,1211,682,855,498,1297,606,877,417,603,277,83223,3298,40944,1992,1817,635,64,113,3913,737,659,397,267,230,1205,304,3047,595,5050,777,5474,633,5560,708,6081,652,4974,369,2833,236,42279,1951,1760,473,81,135,2607,631,1025,544,693,339,981,404,3144,489,5404,854,5320,785,6071,584,6029,618,5098,463,4066,358
0500000US01069,01069,"Houston County, Alabama",103411,629,17233,1542,7495,809,1185,241,231,140,959,238,479,173,225,142,371,153,616,314,850,295,678,261,470,164,913,259,292,179,226,114,9738,987,1020,199,220,136,985,277,396,168,154,101,243,115,849,201,1717,314,1031,273,1055,335,856,216,601,229,611,175,86178,1634,42037,957,2018,267,541,216,3098,348,1595,309,481,155,1144,181,3332,334,5642,288,5261,308,6298,298,5496,298,4463,201,2668,140,44141,1003,2006,232,363,154,3189,365,1257,253,451,174,1251,203,3173,252,5539,335,5460,315,6041,350,6414,212,5142,256,3855,227
0500000US01073,01073,"Jefferson County, Alabama",644575,2549,108413,8215,50172,4747,6474,1413,1232,728,6897,1333,2992,1173,1119,500,1671,594,6238,1526,5234,1861,4644,1138,5083,1125,5499,1107,1958,576,1131,600,58241,4768,6008,1495,1015,606,4806,1160,1236,671,478,374,935,552,7115,1376,11013,1772,6333,1419,6059,1307,6366,1312,3882,785,2995,694,536162,8518,254540,4980,14048,1428,2750,694,17852,2087,10581,1733,3213,796,5950,789,21302,1600,39043,1961,34006,1148,33134,1302,34839,1213,24304,778,13518,671,281622,5093,14577,1499,2456,855,20670,1989,10462,1899,4377,999,6568,937,19315,1670,37700,1865,36932,1379,37301,1411,41012,1518,28224,925,22028,807
0500000US01077,01077,"Lauderdale County, Alabama",90424,947,11432,2271,4920,1551,536,394,0,200,423,408,129,127,48,84,207,251,1108,767,501,461,550,395,277,278,590,376,281,248,270,208,6512,1415,365,350,0,200,351,223,436,356,221,202,72,87,1310,513,837,451,503,290,630,445,797,393,563,319,427,272,78992,2356,37848,1778,1950,519,46,77,2775,593,1332,504,344,282,936,266,3374,518,4923,826,4403,594,5482,482,5010,415,4446,338,2827,393,41144,1666,2003,424,630,338,2605,561,1087,380,606,292,1091,374,3332,930,4917,609,4785,533,5338,618,5772,507,4868,448,4110,492
