GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
0500000US04003,04003,"Cochise County, Arizona",39325,444,13397,3538,6156,1995,1209,482,137,240,651,371,958,575,68,125,463,380,713,641,503,422,263,305,360,322,334,306,48,91,449,282,7241,1947,1184,527,226,250,784,468,389,299,260,365,0,291,801,683,1034,740,1137,392,235,231,378,328,397,263,416,325,25928,3554,12773,1996,810,482,0,291,1263,533,797,377,344,305,422,372,1687,721,1314,549,1878,320,1850,319,1081,306,920,91,407,282,13155,1944,748,527,185,181,1311,569,870,519,157,205,823,347,1189,777,1495,653,1432,392,2303,231,1245,328,803,263,594,352
0500000US04013,04013,"Maricopa County, Arizona",1115959,2225,243053,17531,116482,8967,21910,2941,3318,929,18971,2653,7557,1719,2772,872,4141,1020,11921,1995,19394,2880,13281,2701,6587,1568,3654,1132,1967,657,1009,547,126571,10173,20111,3141,3422,1073,19911,2578,6678,1363,2711,872,4522,1194,15420,1973,24993,2925,15550,1960,6321,1050,4240,1273,1296,552,1396,490,872906,17495,472898,9228,50433,3028,7434,1372,54338,3226,24752,2986,8383,1370,14504,1354,55193,1980,109531,2911,73750,2667,41689,1600,20465,1132,8020,655,4406,554,400008,9940,49459,2967,10036,1691,49277,3496,22075,2419,7314,1347,13463,1594,40230,1844,76407,2948,57126,1971,38265,1090,19469,1302,10341,584,6546,484
0500000US04015,04015,"Mohave County, Arizona",24339,869,6387,1990,3018,1287,804,449,0,291,312,419,282,337,0,291,358,306,405,324,615,298,29,49,213,262,0,291,0,291,0,291,3369,1239,790,345,74,128,356,355,0,291,222,239,150,178,667,483,587,410,277,384,106,183,67,113,0,291,73,121,17952,2111,9111,1323,549,449,53,96,1076,595,535,386,136,168,304,306,805,310,1381,603,1643,647,1051,396,618,318,892,309,68,121,8841,1257,473,345,309,294,900,537,462,281,130,139,223,239,349,299,1718,601,1592,692,1102,626,302,209,821,368,460,311
0500000US04019,04019,"Pima County, Arizona",302531,1282,66345,8007,30820,4208,6190,1304,1209,620,4797,1223,2787,1061,294,269,1304,488,4519,1170,3260,1118,2735,788,2215,718,478,256,378,215,654,320,35525,4839,5063,1323,650,537,5121,1667,1296,653,265,248,1190,536,5048,1077,6720,1611,4411,1137,2825,879,1469,591,850,398,617,407,236186,8063,117552,4306,10596,1277,1577,613,11803,1686,6879,1486,1867,628,5188,750,12989,1199,20072,1132,17125,791,13379,736,8725,281,4563,215,2789,320,118634,4875,10480,1430,2148,658,13181,1394,5841,1383,2657,750,3774,726,12664,1058,17781,1624,16659,1144,14111,879,9009,591,5536,398,4793,414
0500000US04021,04021,"Pinal County, Arizona",72518,694,18194,4892,8316,2956,613,476,249,330,1419,839,216,335,0,291,1021,622,1651,1105,901,695,838,586,585,441,209,198,295,297,319,308,9878,2367,1782,617,217,320,1225,712,763,655,57,95,467,440,1533,576,1421,737,1240,628,395,298,305,285,473,344,0,291,54324,5009,29264,3016,2955,497,808,422,3146,971,1981,812,293,254,959,615,2798,1163,5703,779,4196,719,3101,503,2037,218,848,301,439,308,25060,2475,1805,618,671,413,3313,868,909,455,495,439,1136,554,2587,587,4299,724,3416,628,2956,298,1837,285,758,344,878,291
0500000US04025,04025,"Yavapai County, Arizona",24541,554,4795,1623,2186,853,97,149,72,113,632,442,0,291,0,291,610,670,475,274,185,227,87,140,0,291,28,47,0,291,0,291,2609,1116,548,425,0,291,244,274,0,291,0,291,91,177,607,529,912,476,0,291,0,291,188,274,19,34,0,291,19746,1774,11117,790,1190,253,234,371,1262,524,348,302,118,166,257,360,829,305,2457,227,1218,604,1695,605,555,336,473,337,481,344,8629,1289,819,425,357,276,968,362,392,303,119,208,171,246,739,538,1181,709,1514,539,1086,539,508,192,549,272,226,177
0500000US04027,04027,"Yuma County, Arizona",102125,904,25365,4826,10965,2437,2360,850,554,431,1585,674,678,414,189,215,711,426,1634,707,1025,542,752,484,717,454,289,220,293,255,178,143,14400,2858,1985,823,237,253,1500,703,1183,591,201,199,1085,513,2273,812,2369,728,1417,638,909,374,340,291,350,256,551,262,76760,4749,38073,2379,3907,850,559,417,5284,870,2366,801,1283,501,1108,469,3997,873,5075,529,5605,487,4394,470,2422,220,1232,251,841,155,38687,2867,4388,824,1468,639,3791,791,2224,690,608,404,1349,449,4063,812,4817,729,5884,638,5024,374,2837,291,1513,256,721,262
0500000US05007,05007,"Benton County, Arkansas",26622,288,6228,2404,3029,1302,360,297,232,250,753,396,298,260,0,257,0,257,287,225,233,276,797,446,69,88,0,257,0,257,0,257,3199,1327,741,544,36,63,437,240,237,262,37,76,366,338,220,320,618,409,318,303,81,100,0,257,0,257,108,172,20394,2365,11401,1347,1297,351,120,163,833,473,529,337,235,193,538,193,1291,255,2750,275,1517,446,1067,88,786,338,438,390,0,257,8993,1381,973,544,68,83,1382,404,545,241,9,22,341,298,1060,332,1818,409,1626,303,911,100,152,274,108,170,0,257
0500000US06001,06001,"Alameda County, California",306696,1856,45330,7127,21893,4321,3489,1176,609,433,3310,966,1760,775,454,427,801,476,2852,1122,3917,1383,2772,757,1304,578,345,228,190,192,90,145,23437,3679,4166,1403,572,382,3871,1231,499,369,785,533,629,484,2622,720,3266,973,3098,852,1942,715,1070,538,352,263,565,401,261366,7250,138283,4619,12985,1274,2286,884,12399,1440,7483,1286,1573,522,4655,749,14173,1351,29298,1383,23812,761,15012,574,7942,228,3850,202,2815,170,123083,3492,12192,1403,2382,785,13958,1373,5898,1249,1901,730,3541,832,12344,864,22054,1003,19039,862,13322,726,7961,559,4682,271,3809,406
