GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
0500000US01073,01073,"Jefferson County, Alabama",24782,250,8742,2706,5051,1719,812,512,124,204,991,488,342,298,0,192,0,192,655,338,624,406,1247,975,0,192,256,378,0,192,0,192,3691,1407,750,420,106,185,578,555,403,387,0,192,33,55,390,309,1013,556,318,346,100,114,0,192,0,192,0,192,16040,2710,8348,1782,958,512,133,175,735,492,219,223,187,276,62,103,694,341,2457,429,1684,766,575,377,534,315,0,192,110,145,7692,1370,1007,420,348,353,497,385,678,398,224,268,307,285,722,366,1032,599,1134,526,1024,580,341,301,203,254,175,225
0500000US04003,04003,"Cochise County, Arizona",38533,1357,10576,2711,3932,1157,475,334,173,218,763,446,347,289,195,147,147,178,382,262,226,202,103,108,91,108,451,275,338,193,241,222,6644,1853,794,362,262,281,929,574,133,125,158,250,247,245,1120,590,1037,505,599,382,331,318,443,358,522,284,69,81,27957,2876,12726,1504,1512,334,117,126,1731,523,817,380,189,218,623,216,963,342,1292,565,626,394,1898,266,1538,275,827,193,593,222,15231,1853,1086,362,89,109,1901,668,608,362,262,241,516,354,1341,590,1869,505,1930,382,2154,318,1679,357,836,284,960,110
0500000US04005,04005,"Coconino County, Arizona",17122,515,6187,2253,2726,1268,524,438,193,300,240,356,178,279,111,170,81,118,425,378,580,564,320,409,26,43,0,203,48,89,0,203,3461,1278,591,423,283,253,575,368,80,92,41,66,37,62,622,300,532,378,428,407,199,264,0,203,73,130,0,203,10935,2138,6532,1280,463,382,0,203,745,414,338,281,150,167,232,189,645,434,1659,739,746,606,451,413,224,193,408,300,471,319,4403,1080,224,222,191,246,347,222,172,185,86,84,153,156,363,263,699,451,384,245,652,391,552,367,245,219,335,363
0500000US04013,04013,"Maricopa County, Arizona",1188918,2278,373892,18403,173901,10467,25611,2416,5813,1294,30238,3101,13708,2093,3565,898,8546,1544,20290,2773,23196,3182,19981,2207,12213,1598,6697,1118,2454,668,1589,705,199991,10094,23440,2117,5699,1342,31425,2950,13445,2300,4499,1315,9296,1259,23850,2440,31523,2277,26452,2302,15219,1914,9488,1602,3566,900,2089,703,815026,18503,423732,10380,34002,2480,7928,1563,43981,3353,23892,2551,6777,1425,16158,1548,55828,2773,73340,3258,64117,2120,50605,1579,27472,1118,13347,673,6285,700,391294,10199,33750,2367,7800,1262,40785,3542,21299,2625,7482,1371,12317,1497,49408,2578,60208,2320,59466,2295,47100,1917,27441,1601,15182,899,9056,699
0500000US04019,04019,"Pima County, Arizona",346548,1644,89401,8941,38975,4824,4611,1124,999,625,5210,1355,3140,879,1205,593,2098,803,5545,1383,5576,1344,3402,1114,3141,869,2442,702,746,445,860,395,50426,5122,5617,1644,421,281,4455,1047,3471,1153,673,370,2269,897,10626,1569,6791,1279,5664,996,4245,1088,2643,869,2019,541,1532,493,257147,8909,128718,4871,10208,1173,2685,861,12737,1560,7796,1316,1699,626,4564,913,17603,1568,18276,1431,17927,1107,14719,861,10725,753,6212,451,3567,395,128429,5293,8781,1607,1611,569,13514,1699,7770,1377,2439,748,3700,737,13578,1663,18562,1292,17860,1009,15952,1104,12630,864,6890,541,5142,484
0500000US04021,04021,"Pinal County, Arizona",101873,2101,24627,5613,11257,2675,1499,659,125,142,2028,951,1228,673,692,574,531,348,959,625,634,463,853,574,1122,491,1014,553,51,67,521,346,13370,3444,1549,648,406,306,1676,765,1258,590,462,344,451,355,1539,783,1688,655,1370,617,1631,761,670,424,317,240,353,267,77246,6232,38940,3433,3318,665,400,275,5022,1140,2763,1160,1019,549,887,525,5081,657,6075,1137,5543,938,3551,572,2619,568,2109,67,553,350,38306,3475,3025,641,617,432,4538,1129,2495,749,815,421,1318,481,3983,782,5888,663,5761,617,3543,761,3406,424,1890,240,1027,267
0500000US04025,04025,"Yavapai County, Arizona",29327,401,7925,2999,4108,1712,902,632,0,203,517,498,22,42,96,159,182,311,687,502,713,461,173,261,294,252,522,501,0,203,0,203,3817,1993,5,10,347,416,600,625,100,167,163,226,365,296,563,529,113,144,628,685,259,316,420,461,254,238,0,203,21402,3064,11491,1638,1351,510,343,381,1558,648,595,485,67,98,247,197,1071,504,1561,462,1539,316,1253,252,708,503,556,466,642,466,9911,2067,413,364,65,112,1079,820,675,751,281,297,292,412,797,513,2135,974,1245,853,1099,768,1535,558,197,182,98,139
0500000US04027,04027,"Yuma County, Arizona",120008,1357,27164,4469,11363,2512,2049,898,202,211,2274,880,1631,818,315,331,366,408,444,315,1719,697,770,447,376,300,643,435,255,284,319,293,15801,2589,1694,729,205,293,2249,714,806,481,284,395,898,441,1914,724,2138,759,1484,548,1498,669,1169,583,594,364,868,345,92844,4400,47812,2595,3707,898,699,367,3711,783,2973,812,1220,493,1699,548,8086,512,6397,959,5791,621,6378,322,3854,435,2115,283,1182,303,45032,2609,3808,728,830,532,4852,920,2233,716,950,389,1352,542,5651,733,6188,759,6318,548,5827,669,3814,583,2240,364,969,347
0500000US05007,05007,"Benton County, Arkansas",37678,238,10288,3182,4558,1772,526,566,140,216,1302,592,170,189,0,192,167,169,234,346,613,369,1055,473,77,117,231,246,43,74,0,192,5730,1657,930,536,60,97,741,452,427,286,197,249,327,222,598,485,1019,389,809,426,205,187,69,118,0,192,348,459,27390,3184,15065,1746,1484,566,204,267,1226,526,1309,537,203,192,760,239,2914,621,1998,721,2396,644,1498,461,874,284,125,152,74,121,12325,1687,1116,536,518,312,1333,539,1064,382,106,169,455,363,1257,510,1812,389,2101,426,1561,187,638,374,138,165,226,255
