GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59
Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Male:,Income in 1999 below poverty level: - Male: - Under 5 years,Income in 1999 below poverty level: - Male: - 5 years,Income in 1999 below poverty level: - Male: - 6 to 11 years,Income in 1999 below poverty level: - Male: - 12 to 14 years,Income in 1999 below poverty level: - Male: - 15 years,Income in 1999 below poverty level: - Male: - 16 and 17 years,Income in 1999 below poverty level: - Male: - 18 to 24 years,Income in 1999 below poverty level: - Male: - 25 to 34 years,Income in 1999 below poverty level: - Male: - 35 to 44 years,Income in 1999 below poverty level: - Male: - 45 to 54 years,Income in 1999 below poverty level: - Male: - 55 to 64 years,Income in 1999 below poverty level: - Male: - 65 to 74 years,Income in 1999 below poverty level: - Male: - 75 years and over,Income in 1999 below poverty level: - Female:,Income in 1999 below poverty level: - Female: - Under 5 years,Income in 1999 below poverty level: - Female: - 5 years,Income in 1999 below poverty level: - Female: - 6 to 11 years,Income in 1999 below poverty level: - Female: - 12 to 14 years,Income in 1999 below poverty level: - Female: - 15 years,Income in 1999 below poverty level: - Female: - 16 and 17 years,Income in 1999 below poverty level: - Female: - 18 to 24 years,Income in 1999 below poverty level: - Female: - 25 to 34 years,Income in 1999 below poverty level: - Female: - 35 to 44 years,Income in 1999 below poverty level: - Female: - 45 to 54 years,Income in 1999 below poverty level: - Female: - 55 to 64 years,Income in 1999 below poverty level: - Female: - 65 to 74 years,Income in 1999 below poverty level: - Female: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Male:,Income in 1999 at or above poverty level: - Male: - Under 5 years,Income in 1999 at or above poverty level: - Male: - 5 years,Income in 1999 at or above poverty level: - Male: - 6 to 11 years,Income in 1999 at or above poverty level: - Male: - 12 to 14 years,Income in 1999 at or above poverty level: - Male: - 15 years,Income in 1999 at or above poverty level: - Male: - 16 and 17 years,Income in 1999 at or above poverty level: - Male: - 18 to 24 years,Income in 1999 at or above poverty level: - Male: - 25 to 34 years,Income in 1999 at or above poverty level: - Male: - 35 to 44 years,Income in 1999 at or above poverty level: - Male: - 45 to 54 years,Income in 1999 at or above poverty level: - Male: - 55 to 64 years,Income in 1999 at or above poverty level: - Male: - 65 to 74 years,Income in 1999 at or above poverty level: - Male: - 75 years and over,Income in 1999 at or above poverty level: - Female:,Income in 1999 at or above poverty level: - Female: - Under 5 years,Income in 1999 at or above poverty level: - Female: - 5 years,Income in 1999 at or above poverty level: - Female: - 6 to 11 years,Income in 1999 at or above poverty level: - Female: - 12 to 14 years,Income in 1999 at or above poverty level: - Female: - 15 years,Income in 1999 at or above poverty level: - Female: - 16 and 17 years,Income in 1999 at or above poverty level: - Female: - 18 to 24 years,Income in 1999 at or above poverty level: - Female: - 25 to 34 years,Income in 1999 at or above poverty level: - Female: - 35 to 44 years,Income in 1999 at or above poverty level: - Female: - 45 to 54 years,Income in 1999 at or above poverty level: - Female: - 55 to 64 years,Income in 1999 at or above poverty level: - Female: - 65 to 74 years,Income in 1999 at or above poverty level: - Female: - 75 years and over
0500000US01001,01001,"Autauga County, Alabama",43377,4738,1976,206,35,246,198,51,71,251,209,260,118,137,72,122,2762,221,24,336,163,54,91,278,396,302,223,242,237,195,38639,19043,1260,303,2032,866,349,635,1559,2428,3551,2547,1892,1097,524,19596,1447,257,2000,770,259,488,1501,2628,3449,2737,1947,1242,871
0500000US01003,01003,"Baldwin County, Alabama",138148,14018,5894,713,73,783,439,125,208,554,697,670,522,490,340,280,8124,654,121,681,347,110,292,826,965,1235,874,769,561,689,124130,61451,3632,717,5342,2778,829,1848,4156,7704,9870,8887,6691,5713,3284,62679,3473,719,4856,2537,820,1800,4116,7586,10241,9081,7305,5740,4405
0500000US01005,01005,"Barbour County, Alabama",26239,7032,2757,466,70,438,217,80,107,239,306,253,251,133,122,75,4275,387,81,383,244,60,171,487,468,513,406,281,347,447,19207,9586,485,166,764,430,169,310,844,1218,1505,1442,987,793,473,9621,443,110,834,443,142,259,650,1189,1534,1489,1037,828,663
0500000US01007,01007,"Bibb County, Alabama",19852,4091,1919,194,68,232,107,29,98,347,232,249,94,123,92,54,2172,219,17,332,100,20,60,240,269,259,157,212,138,149,15761,7902,523,99,683,328,128,206,644,1229,1154,1223,887,525,273,7859,451,76,571,411,99,200,703,1070,1241,1184,783,582,488
0500000US01009,01009,"Blount County, Alabama",50499,5930,2542,184,52,325,167,16,105,186,341,346,305,203,210,102,3388,236,79,319,146,24,95,349,487,307,264,311,295,476,44569,22578,1634,287,1975,926,309,616,2010,3310,3535,3147,2479,1510,840,21991,1544,281,1765,860,298,680,1707,3013,3472,3126,2450,1735,1060
0500000US01011,01011,"Bullock County, Alabama",10169,3405,1361,234,92,183,119,17,36,150,92,106,116,100,71,45,2044,191,29,239,98,13,94,268,280,214,195,133,143,147,6764,3320,132,20,272,182,58,117,285,509,561,470,324,204,186,3444,154,39,331,174,49,116,193,360,573,497,357,266,335
0500000US01013,01013,"Butler County, Alabama",21143,5205,2198,243,27,397,117,53,88,229,107,166,280,169,186,136,3007,218,37,363,115,51,104,317,336,360,310,171,264,361,15938,7701,445,100,682,328,72,351,684,915,1290,1102,795,537,400,8237,484,87,644,314,128,288,643,803,1385,1149,882,768,662
0500000US01015,01015,"Calhoun County, Alabama",109830,17695,6978,869,179,975,405,112,324,928,784,695,738,508,237,224,10717,950,160,1056,604,102,240,1778,1361,1242,862,860,724,778,92135,45094,2387,537,3502,1653,715,1249,4089,6075,7536,7082,4725,3504,2040,47041,2625,594,3252,1666,597,1224,3775,5610,7549,7270,4953,4425,3501
0500000US01017,01017,"Chambers County, Alabama",36006,6134,2452,285,58,390,131,68,94,223,192,203,243,264,201,100,3682,296,67,403,97,26,111,407,466,408,361,323,336,381,29872,14560,922,218,1108,576,180,480,1303,2084,2264,2115,1461,1049,800,15312,879,241,1187,534,114,452,1074,1974,2324,2201,1594,1383,1355
