GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59
Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Male:,Income in 1999 below poverty level: - Male: - Under 5 years,Income in 1999 below poverty level: - Male: - 5 years,Income in 1999 below poverty level: - Male: - 6 to 11 years,Income in 1999 below poverty level: - Male: - 12 to 14 years,Income in 1999 below poverty level: - Male: - 15 years,Income in 1999 below poverty level: - Male: - 16 and 17 years,Income in 1999 below poverty level: - Male: - 18 to 24 years,Income in 1999 below poverty level: - Male: - 25 to 34 years,Income in 1999 below poverty level: - Male: - 35 to 44 years,Income in 1999 below poverty level: - Male: - 45 to 54 years,Income in 1999 below poverty level: - Male: - 55 to 64 years,Income in 1999 below poverty level: - Male: - 65 to 74 years,Income in 1999 below poverty level: - Male: - 75 years and over,Income in 1999 below poverty level: - Female:,Income in 1999 below poverty level: - Female: - Under 5 years,Income in 1999 below poverty level: - Female: - 5 years,Income in 1999 below poverty level: - Female: - 6 to 11 years,Income in 1999 below poverty level: - Female: - 12 to 14 years,Income in 1999 below poverty level: - Female: - 15 years,Income in 1999 below poverty level: - Female: - 16 and 17 years,Income in 1999 below poverty level: - Female: - 18 to 24 years,Income in 1999 below poverty level: - Female: - 25 to 34 years,Income in 1999 below poverty level: - Female: - 35 to 44 years,Income in 1999 below poverty level: - Female: - 45 to 54 years,Income in 1999 below poverty level: - Female: - 55 to 64 years,Income in 1999 below poverty level: - Female: - 65 to 74 years,Income in 1999 below poverty level: - Female: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Male:,Income in 1999 at or above poverty level: - Male: - Under 5 years,Income in 1999 at or above poverty level: - Male: - 5 years,Income in 1999 at or above poverty level: - Male: - 6 to 11 years,Income in 1999 at or above poverty level: - Male: - 12 to 14 years,Income in 1999 at or above poverty level: - Male: - 15 years,Income in 1999 at or above poverty level: - Male: - 16 and 17 years,Income in 1999 at or above poverty level: - Male: - 18 to 24 years,Income in 1999 at or above poverty level: - Male: - 25 to 34 years,Income in 1999 at or above poverty level: - Male: - 35 to 44 years,Income in 1999 at or above poverty level: - Male: - 45 to 54 years,Income in 1999 at or above poverty level: - Male: - 55 to 64 years,Income in 1999 at or above poverty level: - Male: - 65 to 74 years,Income in 1999 at or above poverty level: - Male: - 75 years and over,Income in 1999 at or above poverty level: - Female:,Income in 1999 at or above poverty level: - Female: - Under 5 years,Income in 1999 at or above poverty level: - Female: - 5 years,Income in 1999 at or above poverty level: - Female: - 6 to 11 years,Income in 1999 at or above poverty level: - Female: - 12 to 14 years,Income in 1999 at or above poverty level: - Female: - 15 years,Income in 1999 at or above poverty level: - Female: - 16 and 17 years,Income in 1999 at or above poverty level: - Female: - 18 to 24 years,Income in 1999 at or above poverty level: - Female: - 25 to 34 years,Income in 1999 at or above poverty level: - Female: - 35 to 44 years,Income in 1999 at or above poverty level: - Female: - 45 to 54 years,Income in 1999 at or above poverty level: - Female: - 55 to 64 years,Income in 1999 at or above poverty level: - Female: - 65 to 74 years,Income in 1999 at or above poverty level: - Female: - 75 years and over
0500000US01001,01001,"Autauga County, Alabama",7391,2133,964,108,7,128,124,27,47,118,74,114,59,31,51,76,1169,140,0,122,113,2,45,65,227,106,98,65,97,89,5258,2459,195,54,230,159,68,85,296,223,439,349,223,67,71,2799,226,7,304,127,26,76,344,366,402,452,191,114,164
0500000US01003,01003,"Baldwin County, Alabama",13515,3616,1540,199,24,309,223,17,98,125,140,172,44,72,58,59,2076,164,30,265,110,34,72,196,243,314,190,186,151,121,9899,4773,303,57,650,312,73,161,455,617,831,668,276,246,124,5126,372,61,448,270,88,211,389,772,915,696,406,304,194
0500000US01005,01005,"Barbour County, Alabama",11846,5032,1971,332,51,357,208,69,91,164,159,178,137,78,83,64,3061,302,73,314,191,52,117,336,327,394,318,170,235,232,6814,3268,195,67,325,153,80,97,386,412,527,457,222,195,152,3546,175,59,352,220,71,129,269,497,593,498,277,233,173
0500000US01007,01007,"Bibb County, Alabama",3974,1803,856,70,24,98,58,19,55,155,125,88,36,59,39,30,947,113,8,162,47,11,16,107,91,103,103,87,51,48,2171,1065,50,0,164,80,25,33,132,110,105,198,94,39,35,1106,39,21,115,80,19,23,152,139,179,153,39,86,61
0500000US01009,01009,"Blount County, Alabama",563,99,36,0,0,9,18,2,0,0,0,2,0,5,0,0,63,24,0,3,0,0,0,0,2,4,1,3,13,13,464,226,15,0,28,0,11,3,24,56,34,28,15,6,6,238,9,0,17,25,0,22,32,20,31,39,6,8,29
0500000US01011,01011,"Bullock County, Alabama",7520,3132,1232,217,92,183,119,17,36,137,57,106,80,90,55,43,1900,176,29,239,98,13,87,258,260,200,173,112,131,124,4388,2137,91,13,208,115,58,112,202,264,369,304,192,114,95,2251,99,27,227,150,31,104,119,255,410,307,201,123,198
0500000US01013,01013,"Butler County, Alabama",8776,3755,1599,203,22,337,93,34,65,211,69,115,176,109,97,68,2156,181,29,339,81,43,82,242,236,304,216,97,166,140,5021,2335,148,13,285,113,16,123,272,299,396,299,164,115,92,2686,202,29,238,72,58,134,274,295,434,380,240,146,184
0500000US01015,01015,"Calhoun County, Alabama",19656,6111,2279,360,59,406,186,28,127,220,213,210,182,123,93,72,3832,405,59,526,258,69,87,558,449,496,315,262,203,145,13545,6444,270,83,639,293,143,219,782,856,1132,968,555,293,211,7101,408,108,622,328,118,262,609,754,1428,989,511,560,404
0500000US01017,01017,"Chambers County, Alabama",13776,3996,1625,211,54,314,118,53,73,140,145,122,98,146,93,58,2371,227,61,321,92,20,66,305,377,246,177,157,173,149,9780,4671,301,82,346,248,66,200,575,667,817,715,320,199,135,5109,290,84,459,220,63,199,393,630,957,741,477,303,293
