GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59
Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Male:,Income in 1999 below poverty level: - Male: - Under 5 years,Income in 1999 below poverty level: - Male: - 5 years,Income in 1999 below poverty level: - Male: - 6 to 11 years,Income in 1999 below poverty level: - Male: - 12 to 14 years,Income in 1999 below poverty level: - Male: - 15 years,Income in 1999 below poverty level: - Male: - 16 and 17 years,Income in 1999 below poverty level: - Male: - 18 to 24 years,Income in 1999 below poverty level: - Male: - 25 to 34 years,Income in 1999 below poverty level: - Male: - 35 to 44 years,Income in 1999 below poverty level: - Male: - 45 to 54 years,Income in 1999 below poverty level: - Male: - 55 to 64 years,Income in 1999 below poverty level: - Male: - 65 to 74 years,Income in 1999 below poverty level: - Male: - 75 years and over,Income in 1999 below poverty level: - Female:,Income in 1999 below poverty level: - Female: - Under 5 years,Income in 1999 below poverty level: - Female: - 5 years,Income in 1999 below poverty level: - Female: - 6 to 11 years,Income in 1999 below poverty level: - Female: - 12 to 14 years,Income in 1999 below poverty level: - Female: - 15 years,Income in 1999 below poverty level: - Female: - 16 and 17 years,Income in 1999 below poverty level: - Female: - 18 to 24 years,Income in 1999 below poverty level: - Female: - 25 to 34 years,Income in 1999 below poverty level: - Female: - 35 to 44 years,Income in 1999 below poverty level: - Female: - 45 to 54 years,Income in 1999 below poverty level: - Female: - 55 to 64 years,Income in 1999 below poverty level: - Female: - 65 to 74 years,Income in 1999 below poverty level: - Female: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Male:,Income in 1999 at or above poverty level: - Male: - Under 5 years,Income in 1999 at or above poverty level: - Male: - 5 years,Income in 1999 at or above poverty level: - Male: - 6 to 11 years,Income in 1999 at or above poverty level: - Male: - 12 to 14 years,Income in 1999 at or above poverty level: - Male: - 15 years,Income in 1999 at or above poverty level: - Male: - 16 and 17 years,Income in 1999 at or above poverty level: - Male: - 18 to 24 years,Income in 1999 at or above poverty level: - Male: - 25 to 34 years,Income in 1999 at or above poverty level: - Male: - 35 to 44 years,Income in 1999 at or above poverty level: - Male: - 45 to 54 years,Income in 1999 at or above poverty level: - Male: - 55 to 64 years,Income in 1999 at or above poverty level: - Male: - 65 to 74 years,Income in 1999 at or above poverty level: - Male: - 75 years and over,Income in 1999 at or above poverty level: - Female:,Income in 1999 at or above poverty level: - Female: - Under 5 years,Income in 1999 at or above poverty level: - Female: - 5 years,Income in 1999 at or above poverty level: - Female: - 6 to 11 years,Income in 1999 at or above poverty level: - Female: - 12 to 14 years,Income in 1999 at or above poverty level: - Female: - 15 years,Income in 1999 at or above poverty level: - Female: - 16 and 17 years,Income in 1999 at or above poverty level: - Female: - 18 to 24 years,Income in 1999 at or above poverty level: - Female: - 25 to 34 years,Income in 1999 at or above poverty level: - Female: - 35 to 44 years,Income in 1999 at or above poverty level: - Female: - 45 to 54 years,Income in 1999 at or above poverty level: - Female: - 55 to 64 years,Income in 1999 at or above poverty level: - Female: - 65 to 74 years,Income in 1999 at or above poverty level: - Female: - 75 years and over
0500000US01001,01001,"Autauga County, Alabama",394,122,93,10,0,6,0,0,0,18,25,15,17,0,2,0,29,0,0,0,0,6,0,17,0,0,6,0,0,0,272,164,10,0,41,0,0,0,19,35,36,0,17,0,6,108,0,10,14,20,14,0,17,5,8,10,5,5,0
0500000US01003,01003,"Baldwin County, Alabama",2325,501,278,35,9,34,8,7,2,56,94,16,8,9,0,0,223,33,0,16,11,0,3,28,60,14,20,19,10,9,1824,954,63,21,61,14,35,22,137,268,143,81,79,30,0,870,55,15,114,94,0,10,82,92,230,78,54,41,5
0500000US01005,01005,"Barbour County, Alabama",468,240,167,14,4,8,0,0,8,44,54,19,15,0,1,0,73,18,0,9,0,0,2,18,12,5,0,0,7,2,228,141,10,0,0,5,0,0,21,65,31,7,2,0,0,87,5,0,0,3,0,0,21,16,13,8,14,0,7
0500000US01007,01007,"Bibb County, Alabama",181,30,14,0,0,0,0,0,4,10,0,0,0,0,0,0,16,8,0,2,6,0,0,0,0,0,0,0,0,0,151,68,0,0,12,8,0,0,10,23,9,0,0,6,0,83,15,6,12,6,0,8,0,10,14,12,0,0,0
0500000US01009,01009,"Blount County, Alabama",2613,732,427,58,10,84,20,5,17,64,86,35,39,9,0,0,305,55,11,39,17,10,19,55,59,35,5,0,0,0,1881,1027,136,40,84,35,15,13,208,244,150,35,58,9,0,854,255,14,108,22,27,28,84,177,85,17,25,10,2
0500000US01011,01011,"Bullock County, Alabama",335,61,32,8,0,0,0,0,0,0,24,0,0,0,0,0,29,15,0,0,0,0,7,0,7,0,0,0,0,0,274,221,0,0,0,0,0,0,22,160,39,0,0,0,0,53,0,0,0,0,0,0,18,17,18,0,0,0,0
0500000US01013,01013,"Butler County, Alabama",118,65,35,4,0,0,0,0,0,20,6,0,0,5,0,0,30,0,0,0,0,0,0,0,9,9,0,0,0,12,53,32,0,0,0,0,0,0,0,0,5,7,13,7,0,21,0,0,8,0,0,0,0,0,8,5,0,0,0
0500000US01015,01015,"Calhoun County, Alabama",1883,401,159,33,0,21,6,0,0,16,41,20,18,4,0,0,242,51,7,49,7,0,8,29,43,13,20,15,0,0,1482,847,91,0,95,29,25,16,125,199,127,56,35,26,23,635,42,22,47,10,27,34,94,136,94,66,30,27,6
0500000US01017,01017,"Chambers County, Alabama",266,43,22,15,0,0,0,0,0,0,0,0,0,0,7,0,21,0,0,0,0,0,0,5,0,0,0,7,0,9,223,118,6,0,19,7,0,0,22,0,30,22,12,0,0,105,0,0,0,7,0,3,0,19,39,11,4,10,12
