GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in public school:,Margin of Error; Male: - Enrolled in public school:,Estimate; Male: - Enrolled in public school: - 3 and 4 years,Margin of Error; Male: - Enrolled in public school: - 3 and 4 years,Estimate; Male: - Enrolled in public school: - 5 to 9 years,Margin of Error; Male: - Enrolled in public school: - 5 to 9 years,Estimate; Male: - Enrolled in public school: - 10 to 14 years,Margin of Error; Male: - Enrolled in public school: - 10 to 14 years,Estimate; Male: - Enrolled in public school: - 15 to 17 years,Margin of Error; Male: - Enrolled in public school: - 15 to 17 years,Estimate; Male: - Enrolled in public school: - 18 and 19 years,Margin of Error; Male: - Enrolled in public school: - 18 and 19 years,Estimate; Male: - Enrolled in public school: - 20 to 24 years,Margin of Error; Male: - Enrolled in public school: - 20 to 24 years,Estimate; Male: - Enrolled in public school: - 25 to 34 years,Margin of Error; Male: - Enrolled in public school: - 25 to 34 years,Estimate; Male: - Enrolled in public school: - 35 years and over,Margin of Error; Male: - Enrolled in public school: - 35 years and over,Estimate; Male: - Enrolled in private school:,Margin of Error; Male: - Enrolled in private school:,Estimate; Male: - Enrolled in private school: - 3 and 4 years,Margin of Error; Male: - Enrolled in private school: - 3 and 4 years,Estimate; Male: - Enrolled in private school: - 5 to 9 years,Margin of Error; Male: - Enrolled in private school: - 5 to 9 years,Estimate; Male: - Enrolled in private school: - 10 to 14 years,Margin of Error; Male: - Enrolled in private school: - 10 to 14 years,Estimate; Male: - Enrolled in private school: - 15 to 17 years,Margin of Error; Male: - Enrolled in private school: - 15 to 17 years,Estimate; Male: - Enrolled in private school: - 18 and 19 years,Margin of Error; Male: - Enrolled in private school: - 18 and 19 years,Estimate; Male: - Enrolled in private school: - 20 to 24 years,Margin of Error; Male: - Enrolled in private school: - 20 to 24 years,Estimate; Male: - Enrolled in private school: - 25 to 34 years,Margin of Error; Male: - Enrolled in private school: - 25 to 34 years,Estimate; Male: - Enrolled in private school: - 35 years and over,Margin of Error; Male: - Enrolled in private school: - 35 years and over,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - 3 and 4 years,Margin of Error; Male: - Not enrolled in school: - 3 and 4 years,Estimate; Male: - Not enrolled in school: - 5 to 9 years,Margin of Error; Male: - Not enrolled in school: - 5 to 9 years,Estimate; Male: - Not enrolled in school: - 10 to 14 years,Margin of Error; Male: - Not enrolled in school: - 10 to 14 years,Estimate; Male: - Not enrolled in school: - 15 to 17 years,Margin of Error; Male: - Not enrolled in school: - 15 to 17 years,Estimate; Male: - Not enrolled in school: - 18 and 19 years,Margin of Error; Male: - Not enrolled in school: - 18 and 19 years,Estimate; Male: - Not enrolled in school: - 20 to 24 years,Margin of Error; Male: - Not enrolled in school: - 20 to 24 years,Estimate; Male: - Not enrolled in school: - 25 to 34 years,Margin of Error; Male: - Not enrolled in school: - 25 to 34 years,Estimate; Male: - Not enrolled in school: - 35 years and over,Margin of Error; Male: - Not enrolled in school: - 35 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in public school:,Margin of Error; Female: - Enrolled in public school:,Estimate; Female: - Enrolled in public school: - 3 and 4 years,Margin of Error; Female: - Enrolled in public school: - 3 and 4 years,Estimate; Female: - Enrolled in public school: - 5 to 9 years,Margin of Error; Female: - Enrolled in public school: - 5 to 9 years,Estimate; Female: - Enrolled in public school: - 10 to 14 years,Margin of Error; Female: - Enrolled in public school: - 10 to 14 years,Estimate; Female: - Enrolled in public school: - 15 to 17 years,Margin of Error; Female: - Enrolled in public school: - 15 to 17 years,Estimate; Female: - Enrolled in public school: - 18 and 19 years,Margin of Error; Female: - Enrolled in public school: - 18 and 19 years,Estimate; Female: - Enrolled in public school: - 20 to 24 years,Margin of Error; Female: - Enrolled in public school: - 20 to 24 years,Estimate; Female: - Enrolled in public school: - 25 to 34 years,Margin of Error; Female: - Enrolled in public school: - 25 to 34 years,Estimate; Female: - Enrolled in public school: - 35 years and over,Margin of Error; Female: - Enrolled in public school: - 35 years and over,Estimate; Female: - Enrolled in private school:,Margin of Error; Female: - Enrolled in private school:,Estimate; Female: - Enrolled in private school: - 3 and 4 years,Margin of Error; Female: - Enrolled in private school: - 3 and 4 years,Estimate; Female: - Enrolled in private school: - 5 to 9 years,Margin of Error; Female: - Enrolled in private school: - 5 to 9 years,Estimate; Female: - Enrolled in private school: - 10 to 14 years,Margin of Error; Female: - Enrolled in private school: - 10 to 14 years,Estimate; Female: - Enrolled in private school: - 15 to 17 years,Margin of Error; Female: - Enrolled in private school: - 15 to 17 years,Estimate; Female: - Enrolled in private school: - 18 and 19 years,Margin of Error; Female: - Enrolled in private school: - 18 and 19 years,Estimate; Female: - Enrolled in private school: - 20 to 24 years,Margin of Error; Female: - Enrolled in private school: - 20 to 24 years,Estimate; Female: - Enrolled in private school: - 25 to 34 years,Margin of Error; Female: - Enrolled in private school: - 25 to 34 years,Estimate; Female: - Enrolled in private school: - 35 years and over,Margin of Error; Female: - Enrolled in private school: - 35 years and over,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - 3 and 4 years,Margin of Error; Female: - Not enrolled in school: - 3 and 4 years,Estimate; Female: - Not enrolled in school: - 5 to 9 years,Margin of Error; Female: - Not enrolled in school: - 5 to 9 years,Estimate; Female: - Not enrolled in school: - 10 to 14 years,Margin of Error; Female: - Not enrolled in school: - 10 to 14 years,Estimate; Female: - Not enrolled in school: - 15 to 17 years,Margin of Error; Female: - Not enrolled in school: - 15 to 17 years,Estimate; Female: - Not enrolled in school: - 18 and 19 years,Margin of Error; Female: - Not enrolled in school: - 18 and 19 years,Estimate; Female: - Not enrolled in school: - 20 to 24 years,Margin of Error; Female: - Not enrolled in school: - 20 to 24 years,Estimate; Female: - Not enrolled in school: - 25 to 34 years,Margin of Error; Female: - Not enrolled in school: - 25 to 34 years,Estimate; Female: - Not enrolled in school: - 35 years and over,Margin of Error; Female: - Not enrolled in school: - 35 years and over
0500000US01003,01003,"Baldwin County, Alabama",173877,794,84689,1303,16440,1573,260,207,5062,1089,4438,1104,3654,392,943,458,1093,580,851,550,139,134,2562,974,502,325,1096,567,478,294,86,116,159,266,0,273,0,273,241,376,65687,1069,1766,801,308,304,59,101,0,273,788,427,3917,721,10710,1041,48139,876,89188,1404,17019,1708,533,429,4162,838,5936,1115,2651,441,1106,485,1074,578,802,540,755,411,3532,988,556,291,468,256,860,585,444,335,166,241,150,189,235,228,653,584,68637,1420,1541,672,111,136,185,298,285,276,775,446,3431,682,10088,1049,52221,908
0500000US01015,01015,"Calhoun County, Alabama",110247,596,52329,497,12150,1104,435,306,3666,692,2963,688,1388,287,905,344,1694,631,781,489,318,316,1273,500,238,206,360,251,187,186,197,179,86,130,0,273,146,134,59,103,38906,1155,1195,484,155,148,80,134,205,237,868,421,2013,792,6860,643,27530,597,57918,568,13967,1030,383,447,3683,677,2700,611,1442,449,1525,372,1989,437,1224,524,1021,486,1140,545,0,273,648,375,308,253,111,184,26,46,0,273,0,273,47,81,42811,968,1719,582,244,273,73,121,360,375,176,213,1350,559,6626,714,32263,646
0500000US01043,01043,"Cullman County, Alabama",78403,589,38491,582,8516,881,90,148,2014,511,2698,619,1581,175,610,172,564,436,618,451,341,276,886,508,443,322,171,189,49,83,0,273,0,273,0,273,0,273,223,336,29089,850,776,328,475,314,0,273,72,129,226,172,1874,584,5156,729,20510,442,39912,606,8595,1166,0,273,2559,593,1642,528,1190,212,615,264,1225,385,650,432,714,542,1128,620,305,236,205,162,283,233,146,158,0,273,11,22,168,255,10,17,30189,1089,756,411,157,231,0,273,185,182,328,217,1125,417,5360,543,22278,605
0500000US01051,01051,"Elmore County, Alabama",76463,696,38244,585,8212,903,196,241,2006,566,2737,608,1053,328,981,525,196,234,636,354,407,354,1184,612,163,205,92,93,394,322,284,311,0,273,17,29,179,180,55,84,28848,833,984,568,0,273,17,30,28,38,338,160,2652,612,4906,846,19923,631,38219,572,8649,843,212,326,2547,544,2672,507,1271,160,515,319,676,444,382,236,374,213,1509,554,298,263,187,201,328,301,55,88,297,217,0,273,204,240,140,126,28061,805,748,360,163,134,21,35,0,273,139,147,1599,466,4319,840,21072,610
0500000US01055,01055,"Etowah County, Alabama",99831,516,48145,690,9815,895,332,247,2728,560,3125,551,1587,472,757,144,580,277,274,225,432,280,1333,676,412,277,337,295,168,176,308,313,0,273,108,136,0,273,0,273,36997,811,895,370,55,92,258,347,89,148,276,213,2417,446,7327,828,25680,578,51686,692,10711,1128,210,275,3137,634,2746,588,1969,635,504,295,988,642,504,413,653,350,1064,505,182,174,362,325,221,203,176,164,0,273,0,273,64,105,59,79,39911,1105,334,223,332,342,76,126,92,101,598,222,2087,457,5915,847,30477,606
0500000US01069,01069,"Houston County, Alabama",95624,480,45062,366,9399,482,143,120,3082,346,2487,355,1697,147,641,165,444,202,405,192,500,281,1952,475,333,235,818,290,300,132,212,116,116,111,58,69,0,273,115,83,33711,581,656,321,106,97,55,88,88,89,540,188,2343,234,5736,236,24187,334,50562,383,9800,614,113,93,2359,392,2899,397,1606,210,646,142,781,280,772,254,624,218,2034,465,133,82,710,295,445,182,383,167,34,40,107,111,60,76,162,84,38728,674,1131,330,227,144,0,273,73,77,407,146,2035,304,5895,297,28960,298
0500000US01073,01073,"Jefferson County, Alabama",637805,1840,300871,1532,65352,2565,1865,679,17955,1711,19782,1986,11084,657,5509,716,5413,1339,2601,887,1143,536,15318,2048,2640,747,1991,673,1404,619,1673,576,796,446,4345,1403,1630,787,839,411,220201,2522,4968,1199,1382,663,97,114,557,298,1988,719,12063,1296,43891,1137,155255,821,336934,1391,72010,3015,3447,1138,17745,1942,17933,1704,10889,729,4780,1169,7393,1396,5462,1197,4361,1072,18359,2788,3381,877,2738,844,2293,923,1183,498,1702,1320,3379,1225,2624,896,1059,674,246565,2433,3391,1129,953,619,216,225,699,469,2020,782,11097,1384,42313,1493,185876,1388
0500000US01077,01077,"Lauderdale County, Alabama",87270,453,42059,715,8282,1282,473,441,1725,789,2599,705,1526,405,659,211,936,451,259,274,105,112,1955,1140,70,110,546,341,755,716,134,211,44,74,406,454,0,273,0,273,31822,1061,439,279,206,212,96,121,0,273,277,205,1734,518,5868,898,23202,268,45211,684,9776,1651,210,252,2100,570,1686,480,1685,560,1432,527,1402,579,941,523,320,285,1943,1009,73,99,725,629,337,339,50,88,340,370,105,95,252,370,61,101,33492,1261,882,293,0,273,0,273,252,360,142,163,1300,445,4203,700,26713,596
0500000US01081,01081,"Lee County, Alabama",130602,728,64768,638,24118,1688,207,233,3321,534,3953,653,2244,285,3671,819,8389,1246,1247,423,1086,433,2306,665,511,242,461,285,338,203,204,186,41,72,265,271,157,147,329,313,38344,1578,865,444,201,262,25,30,230,327,811,711,3856,1131,6234,433,26122,530,65834,585,23070,1377,38,59,3603,690,3453,651,2298,236,3941,709,7647,996,1558,547,532,280,2082,825,230,201,261,217,273,223,191,169,87,141,721,775,161,185,158,151,40682,1518,1123,473,132,136,0,273,54,64,890,711,3091,1091,6125,609,29267,373
