SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSEDAVG,TESTED,SUPPRESSEDBENCH,TESTED_BENCH,AVG_ENG,ENG_BENCH,AVG_RD,RD_BENCH,AVG_MA,MA_BENCH,AVG_SC,AVG_COMP
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,SXM,N,94,N,95,17.2,42.1,19.2,43.2,18.6,37.9,18.9,18.6
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,TST,N,176,N,177,17.5,45.8,19.0,41.2,18.3,35.0,18.8,18.5
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,MIG,Y,2,Y,2,,,,,,,,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LUP,N,116,N,117,16.1,35.9,18.0,34.2,17.3,27.4,17.6,17.4
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LEP,Y,2,Y,2,,,,,,,,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,HOM,Y,2,Y,2,,,,,,,,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETW,N,158,N,159,17.7,46.5,19.3,44.0,18.3,34.6,19.1,18.8
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETP,,0,,0,,,,,,,,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETO,Y,7,Y,7,,,,,,,,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETI,,0,,0,,,,,,,,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETH,Y,6,Y,6,,,,,,,,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETB,Y,5,Y,5,,,,,,,,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETA,,0,,0,,,,,,,,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ACD,N,11,N,12,11.8,0.0,13.6,8.3,13.9,0.0,14.9,13.7
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,SXF,N,82,N,82,17.8,50.0,18.8,39.0,17.8,31.7,18.8,18.4
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,SXM,N,94,N,95,17.2,42.1,19.2,43.2,18.6,37.9,18.9,18.6
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,SXF,N,82,N,82,17.8,50.0,18.8,39.0,17.8,31.7,18.8,18.4
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,MIG,Y,2,Y,2,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LUP,N,116,N,117,16.1,35.9,18.0,34.2,17.3,27.4,17.6,17.4
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LEP,Y,2,Y,2,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,HOM,Y,2,Y,2,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETW,N,158,N,159,17.7,46.5,19.3,44.0,18.3,34.6,19.1,18.8
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETP,,0,,0,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETO,Y,7,Y,7,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETI,,0,,0,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETH,Y,6,Y,6,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETB,Y,5,Y,5,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETA,,0,,0,,,,,,,,
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ACD,N,11,N,12,11.8,0.0,13.6,8.3,13.9,0.0,14.9,13.7
20172018,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,TST,N,176,N,177,17.5,45.8,19.0,41.2,18.3,35.0,18.8,18.5
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ACD,N,23,N,24,12.8,8.3,14.6,8.3,15.3,4.2,15.4,14.7
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETA,,0,,0,,,,,,,,
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,TST,N,225,N,226,17.9,42.9,19.1,42.5,18.1,28.3,19.4,18.8
20172018,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,SXM,N,116,N,116,16.7,33.6,18.4,37.9,18.2,28.4,18.9,18.2
