GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US01003,01003,"Baldwin County, Alabama",120549,257,57625,141,1622,670,3578,1207,13404,2111,2892,990,13579,2153,4606,1406,12187,2076,5757,1587,62924,125,1478,867,3225,1240,13602,2192,1969,642,14766,2102,7458,1794,13102,2200,7324,1370
0500000US01015,01015,"Calhoun County, Alabama",60466,189,28679,189,906,434,2907,792,8092,1364,1343,659,7902,1053,2351,717,3625,714,1553,536,31787,189,1265,461,3568,726,8398,1323,1452,557,7641,1220,2742,805,3876,1096,2845,750
0500000US01043,01043,"Cullman County, Alabama",52812,189,25583,189,1600,492,2159,674,7751,1175,2159,737,6054,1130,2319,775,2867,804,674,309,27229,189,640,361,3237,955,8090,1273,3011,856,4734,869,3133,881,2257,591,2127,679
0500000US01049,01049,"DeKalb County, Alabama",40691,63,19522,63,1294,682,3023,1254,5782,993,1386,467,4565,885,924,410,1909,751,639,302,21169,189,1661,719,3308,988,5379,1099,1313,467,5078,1041,2069,705,1022,408,1339,505
0500000US01051,01051,"Elmore County, Alabama",41202,527,19035,527,676,316,1624,502,5110,1051,1924,605,4006,794,1728,576,1974,497,1993,663,22167,189,741,415,1132,461,5732,981,1962,635,4783,1044,2063,732,3889,1040,1865,469
0500000US01055,01055,"Etowah County, Alabama",58369,274,27663,118,1220,525,2478,801,7650,1203,1597,574,7755,1002,2245,663,3146,728,1572,492,30706,157,1659,553,3666,969,6893,1094,2622,816,7510,1122,2606,658,3069,745,2681,795
0500000US01069,01069,"Houston County, Alabama",50585,64,23936,33,731,238,1999,410,5997,739,1558,371,5993,624,2001,393,3854,499,1803,361,26649,37,930,337,2382,495,7336,589,1424,301,6242,638,2352,371,4105,409,1878,307
0500000US01073,01073,"Jefferson County, Alabama",243952,189,115429,189,2330,579,7370,1366,21898,2117,6365,1428,22649,2119,6881,1442,26235,1890,21701,2051,128523,189,2804,955,5726,1027,31796,2574,5040,1165,26874,2117,8700,1442,28260,2111,19323,1962
0500000US01077,01077,"Lauderdale County, Alabama",55028,189,25903,189,931,397,2200,694,7203,1075,1631,617,5035,1035,1535,534,4202,828,3166,768,29125,189,1200,424,2809,761,7835,1165,2182,633,6982,1269,1916,609,3271,751,2930,636
0500000US01081,01081,"Lee County, Alabama",61839,251,30172,226,446,301,1030,486,4664,1161,2661,951,8163,1710,2419,657,6238,1179,4551,913,31667,118,673,424,1943,1107,5287,1333,1050,412,7511,1482,3111,953,6979,1262,5113,1218
0500000US01083,01083,"Limestone County, Alabama",49763,189,24585,189,1193,533,2515,983,5734,1144,2413,803,5070,1031,1356,488,4231,936,2073,747,25178,189,1522,672,2692,861,6339,1025,1685,671,5220,1042,1620,581,3988,961,2112,598
0500000US01089,01089,"Madison County, Alabama",165096,186,80677,76,1700,635,3989,1026,12111,1697,2775,863,17420,1999,5756,1175,22252,1786,14674,1500,84419,160,2028,838,4577,993,16657,1702,3228,886,17375,1734,7552,1270,22667,1678,10335,1421
0500000US01095,01095,"Marshall County, Alabama",55242,11,25922,11,1779,891,4015,921,6726,1066,1477,429,5533,1019,2032,656,3090,812,1270,499,29320,189,2211,716,2890,668,8705,1044,2273,669,5211,811,2336,733,3281,813,2413,635
0500000US01097,01097,"Mobile County, Alabama",169632,224,81264,189,2202,650,8056,1536,22755,2018,5765,1384,18532,1758,4907,942,13250,1628,5797,966,88368,224,3088,792,7321,1404,24028,2408,5082,1247,22034,2371,5949,1120,13753,1616,7113,1017
0500000US01101,01101,"Montgomery County, Alabama",61004,71,29173,189,854,446,1570,581,4532,1073,1924,662,6323,1044,1853,481,6297,867,5820,1001,31831,71,733,520,1770,553,6881,934,1381,556,6614,1052,1977,662,7424,1128,5051,968
0500000US01103,01103,"Morgan County, Alabama",66174,189,31691,189,2427,820,3586,852,6594,1142,2408,662,7567,1307,1940,641,4714,925,2455,712,34483,189,883,394,3194,1074,9572,1473,1920,617,9198,1400,3065,772,4543,957,2108,675
0500000US01115,01115,"St. Clair County, Alabama",52401,116,25351,116,1347,701,2379,790,7768,1399,2548,811,4972,965,1830,831,3277,1037,1230,564,27050,189,1030,597,2303,743,7773,1556,1847,776,6852,1147,3316,1083,2509,987,1420,537
0500000US01117,01117,"Shelby County, Alabama",113212,191,53932,191,722,286,2454,691,9205,1633,1920,669,11408,1449,3469,902,16786,1557,7968,1156,59280,189,1118,445,2361,752,12829,1560,2000,777,13403,1600,3779,948,16317,1511,7473,1140
0500000US01121,01121,"Talladega County, Alabama",37320,189,17966,189,1475,596,2085,714,5233,1243,1947,701,3852,798,1116,484,1755,722,503,273,19354,189,1723,800,1553,469,4957,914,1686,648,4737,808,1639,625,1755,631,1304,419
0500000US01125,01125,"Tuscaloosa County, Alabama",80356,189,39082,189,1398,661,3716,954,9558,1659,2012,708,6749,1089,2583,946,8182,1553,4884,1129,41274,189,1354,616,2669,726,10636,1671,1752,703,8689,1468,3237,924,8575,1060,4362,873
0500000US01127,01127,"Walker County, Alabama",41658,189,19781,189,1248,398,3536,898,5387,893,1906,595,3699,864,1412,420,1887,655,706,295,21877,189,1431,436,2929,692,5742,814,1171,388,5538,770,2385,700,1046,383,1635,605
0500000US02020,02020,"Anchorage Municipality, Alaska",126035,380,65430,271,642,318,1666,589,10205,1573,2998,810,19502,2066,6822,1313,15082,1713,8513,1376,60605,110,405,262,733,405,11775,1633,1148,495,15273,1964,5515,1122,15347,1648,10409,1718
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",46076,145,24893,145,70,121,606,346,5000,1073,647,390,8498,1347,1757,640,5529,1208,2786,906,21183,145,227,267,694,728,2480,709,816,462,6176,1144,1287,535,5651,1048,3852,882
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",52253,61,27524,145,613,343,1575,430,7559,909,1764,484,8081,807,2745,561,3156,594,2031,468,24729,61,469,353,1197,383,5763,775,843,228,7178,744,2871,513,4351,670,2057,517
0500000US04001,04001,"Apache County, Arizona",9582,532,4892,318,134,136,142,147,685,447,330,291,1688,538,377,281,801,363,735,407,4690,352,0,200,356,335,1182,384,250,199,1590,388,414,331,410,219,488,254
0500000US04003,04003,"Cochise County, Arizona",55201,200,28025,200,922,500,1512,627,3747,833,1305,431,8878,1338,3432,907,5232,1304,2997,811,27176,200,507,352,1330,581,4611,775,1170,532,7556,930,3183,739,5998,1155,2821,804
0500000US04005,04005,"Coconino County, Arizona",48183,72,24456,200,24,55,1477,625,2398,743,1177,554,6549,1044,2239,695,6745,977,3847,747,23727,72,366,278,738,445,2367,613,1111,635,4971,894,2367,718,7696,1343,4111,801
0500000US04013,04013,"Maricopa County, Arizona",1720319,982,832867,542,11489,1893,29903,2353,141884,6087,33572,2598,224585,6468,72191,4263,202249,6436,116994,5022,887452,582,12134,1706,30420,2533,175839,5649,22972,2301,246838,7501,91123,4592,197969,6608,110157,4713
0500000US04015,04015,"Mohave County, Arizona",124852,67,61996,67,1496,670,5743,1302,18832,2044,4424,1071,18877,1590,4527,969,5376,1127,2721,746,62856,200,2782,931,6024,1281,18602,2121,2506,858,19562,1851,5629,1270,5984,1241,1767,547
0500000US04017,04017,"Navajo County, Arizona",32929,200,16423,200,1099,673,1305,509,3516,800,853,441,5056,954,1136,518,2497,677,961,408,16506,200,393,276,918,528,3553,687,516,291,5598,901,1661,537,2680,847,1187,451
0500000US04019,04019,"Pima County, Arizona",404574,219,196247,195,1675,562,6927,1411,32440,3055,7286,1137,51824,3237,17280,1925,43447,2727,35368,2460,208327,99,2152,647,7538,1458,40978,2681,5563,983,53005,2958,21888,1974,43778,2727,33425,2490
0500000US04021,04021,"Pinal County, Arizona",176093,200,88673,200,3047,901,5090,1204,18160,1952,7455,1084,26707,2247,8153,1486,11850,1610,8211,1485,87420,200,1353,506,4792,1149,22840,2533,3991,1094,27527,2694,9442,1485,10881,1591,6594,1190
0500000US04025,04025,"Yavapai County, Arizona",141889,362,67594,332,1132,524,4229,1067,14033,1648,3288,1017,20623,2284,6265,1328,10145,1627,7879,1194,74295,149,1487,725,4813,1328,15326,1985,3255,1323,22460,2192,7237,1431,11949,1762,7768,1377
0500000US04027,04027,"Yuma County, Arizona",52413,51,26690,51,975,476,1742,482,7116,1124,1557,437,8425,1106,1879,544,2865,743,2131,641,25723,200,245,193,1813,556,8223,788,804,355,7149,798,2558,652,3010,732,1921,441
0500000US05007,05007,"Benton County, Arkansas",125111,753,60181,390,1839,596,3340,1200,14463,1644,3467,795,14449,1365,3278,698,13601,1455,5744,1038,64930,366,1291,417,2936,697,18396,1657,3466,831,15900,1736,4566,921,13412,1543,4963,1035
0500000US05031,05031,"Craighead County, Arkansas",54730,190,25966,190,1251,532,2521,971,6462,1158,1523,551,6420,1193,1274,559,4379,949,2136,676,28764,190,1434,594,1389,496,6697,952,1414,543,8146,1347,2347,835,3232,779,4105,1001
0500000US05045,05045,"Faulkner County, Arkansas",61883,190,30021,190,942,612,1446,418,8469,1245,1689,597,6539,1021,2901,824,5645,1094,2390,830,31862,190,499,243,1441,601,8174,1166,2062,873,6831,1167,2947,851,6557,987,3351,782
0500000US05051,05051,"Garland County, Arkansas",60282,190,28276,190,487,258,2162,726,9565,1487,1631,606,6287,1225,1342,554,3595,921,3207,840,32006,190,1049,496,2427,772,8147,1227,2191,759,8398,1534,3044,789,3822,863,2928,971
0500000US05069,05069,"Jefferson County, Arkansas",22063,190,11096,190,471,231,961,387,4361,846,850,387,2040,612,754,436,1441,464,218,160,10967,190,290,243,1340,514,3375,698,713,432,2579,675,958,473,1035,368,677,360
0500000US05085,05085,"Lonoke County, Arkansas",41272,65,19996,190,544,325,2384,781,5073,896,844,397,5585,1076,1968,690,2613,653,985,420,21276,65,451,282,1483,597,5152,972,1461,516,5829,933,2229,706,3528,816,1143,463
0500000US05119,05119,"Pulaski County, Arkansas",157603,89,75007,72,2112,1157,2265,939,14004,2184,3128,960,17214,2071,4565,1138,18443,1745,13276,1752,82596,57,1235,479,3282,953,17814,2099,2826,1156,19275,2024,5916,1319,22255,2125,9993,1499
0500000US05125,05125,"Saline County, Arkansas",71199,190,34369,190,1274,539,2570,919,10935,1485,1671,628,8675,1645,1664,842,4982,1098,2598,929,36830,190,1173,466,2501,896,11151,1683,1786,682,8608,1352,2862,752,6134,1430,2615,726
0500000US05131,05131,"Sebastian County, Arkansas",64270,190,30607,190,1318,650,3179,819,9659,1119,1308,504,5666,977,2333,661,4159,936,2985,744,33663,190,1048,461,3514,1042,9055,1545,2474,696,7922,1208,2519,702,4763,1119,2368,811
0500000US05143,05143,"Washington County, Arkansas",102895,369,49681,357,1752,662,2125,936,12251,1762,2910,936,9850,1425,2579,780,11159,1709,7055,1215,53214,128,2121,779,4310,1111,14782,1577,1670,675,10526,1472,3806,1124,9140,1564,6859,1140
0500000US05145,05145,"White County, Arkansas",45839,190,21902,190,1327,553,1894,698,6319,1221,1862,550,3768,979,2397,676,2851,871,1484,549,23937,190,845,324,2252,623,6954,931,1255,458,5137,1045,1935,782,3527,813,2032,600
0500000US06001,06001,"Alameda County, California",410749,562,202742,202,2614,698,5411,1054,29858,2582,3108,689,40928,2761,11776,1305,59760,2977,49287,2882,208007,495,3298,946,6338,1202,30400,2168,2540,641,39199,2624,14768,1774,62548,2734,48916,3098
