"GEO_ID","NAME","B15002H_001E","B15002H_001M","B15002H_002E","B15002H_002M","B15002H_003E","B15002H_003M","B15002H_004E","B15002H_004M","B15002H_005E","B15002H_005M","B15002H_006E","B15002H_006M","B15002H_007E","B15002H_007M","B15002H_008E","B15002H_008M","B15002H_009E","B15002H_009M","B15002H_010E","B15002H_010M","B15002H_011E","B15002H_011M","B15002H_012E","B15002H_012M","B15002H_013E","B15002H_013M","B15002H_014E","B15002H_014M","B15002H_015E","B15002H_015M","B15002H_016E","B15002H_016M","B15002H_017E","B15002H_017M","B15002H_018E","B15002H_018M","B15002H_019E","B15002H_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Less than 9th grade","Margin of Error!!Total!!Male!!Less than 9th grade","Estimate!!Total!!Male!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!Regular high school diploma","Margin of Error!!Total!!Male!!Regular high school diploma","Estimate!!Total!!Male!!GED or alternative credential","Margin of Error!!Total!!Male!!GED or alternative credential","Estimate!!Total!!Male!!Some college, no degree","Margin of Error!!Total!!Male!!Some college, no degree","Estimate!!Total!!Male!!Associate's degree","Margin of Error!!Total!!Male!!Associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Graduate or professional degree","Margin of Error!!Total!!Male!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Less than 9th grade","Margin of Error!!Total!!Female!!Less than 9th grade","Estimate!!Total!!Female!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!Regular high school diploma","Margin of Error!!Total!!Female!!Regular high school diploma","Estimate!!Total!!Female!!GED or alternative credential","Margin of Error!!Total!!Female!!GED or alternative credential","Estimate!!Total!!Female!!Some college, no degree","Margin of Error!!Total!!Female!!Some college, no degree","Estimate!!Total!!Female!!Associate's degree","Margin of Error!!Total!!Female!!Associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Graduate or professional degree","Margin of Error!!Total!!Female!!Graduate or professional degree"
"0500000US44005","Newport County, Rhode Island","53953","214","25819","214","236","173","864","492","4299","852","705","410","3800","957","1624","624","7476","1155","6815","1160","28134","220","825","554","1371","548","3681","852","510","363","4252","805","3329","855","7876","1117","6290","1140"
"0500000US44009","Washington County, Rhode Island","80909","361","38739","220","825","407","1548","635","8300","1482","1083","416","6736","1146","2584","610","10714","1429","6949","1084","42170","361","701","330","991","476","8064","1406","973","609","7168","1071","3935","869","11329","1616","9009","1429"
"0500000US45073","Oconee County, South Carolina","49800","214","24061","214","1802","923","1781","536","4708","1232","1300","558","5213","1411","2640","871","4111","961","2506","659","25739","214","1158","550","2522","1213","5274","1163","1855","637","5282","1020","2766","954","4075","882","2807","820"
"0500000US48187","Guadalupe County, Texas","58024","363","28223","160","646","693","728","388","7243","1486","843","456","6801","1276","2831","877","6194","1091","2937","846","29801","213","217","216","632","406","7336","1114","1008","487","7622","1316","3220","844","6763","1162","3003","817"
"0500000US53061","Snohomish County, Washington","413455","880","205021","482","2478","698","7878","1584","46719","3374","9469","1605","54817","3072","19804","1852","42720","2973","21136","1948","208434","472","2595","773","7946","1315","39199","3106","6805","1308","56673","3378","27118","2647","47289","2902","20809","1645"
"0500000US72113","Ponce Municipio, Puerto Rico","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US06085","Santa Clara County, California","463640","809","238745","410","2402","672","4589","1143","21581","2351","3839","1010","35829","3069","15094","2044","80946","3754","74465","3274","224895","454","2628","688","4716","992","22297","2440","2442","622","39737","2542","22011","2081","73879","3253","57185","2728"
"0500000US06099","Stanislaus County, California","167518","288","79636","217","2171","797","5639","1239","20692","2363","3585","820","22210","2066","6470","1412","12815","1788","6054","1098","87882","186","3249","972","6857","1566","22279","2181","3313","963","25973","2798","8494","1430","11769","1558","5948","1470"
"0500000US12099","Palm Beach County, Florida","652197","1169","309516","606","3488","823","11221","1761","51867","3874","12248","1719","61495","3814","25100","3122","85019","4542","59078","3271","342681","791","4364","1125","10649","1787","70324","4108","7197","1215","68434","4312","33208","3138","91615","4652","56890","3496"
