"GEO_ID","NAME","B15002I_001E","B15002I_001M","B15002I_002E","B15002I_002M","B15002I_003E","B15002I_003M","B15002I_004E","B15002I_004M","B15002I_005E","B15002I_005M","B15002I_006E","B15002I_006M","B15002I_007E","B15002I_007M","B15002I_008E","B15002I_008M","B15002I_009E","B15002I_009M","B15002I_010E","B15002I_010M","B15002I_011E","B15002I_011M","B15002I_012E","B15002I_012M","B15002I_013E","B15002I_013M","B15002I_014E","B15002I_014M","B15002I_015E","B15002I_015M","B15002I_016E","B15002I_016M","B15002I_017E","B15002I_017M","B15002I_018E","B15002I_018M","B15002I_019E","B15002I_019M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Less than 9th grade","Margin of Error!!Total!!Male!!Less than 9th grade","Estimate!!Total!!Male!!9th to 12th grade, no diploma","Margin of Error!!Total!!Male!!9th to 12th grade, no diploma","Estimate!!Total!!Male!!Regular high school diploma","Margin of Error!!Total!!Male!!Regular high school diploma","Estimate!!Total!!Male!!GED or alternative credential","Margin of Error!!Total!!Male!!GED or alternative credential","Estimate!!Total!!Male!!Some college, no degree","Margin of Error!!Total!!Male!!Some college, no degree","Estimate!!Total!!Male!!Associate's degree","Margin of Error!!Total!!Male!!Associate's degree","Estimate!!Total!!Male!!Bachelor's degree","Margin of Error!!Total!!Male!!Bachelor's degree","Estimate!!Total!!Male!!Graduate or professional degree","Margin of Error!!Total!!Male!!Graduate or professional degree","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Less than 9th grade","Margin of Error!!Total!!Female!!Less than 9th grade","Estimate!!Total!!Female!!9th to 12th grade, no diploma","Margin of Error!!Total!!Female!!9th to 12th grade, no diploma","Estimate!!Total!!Female!!Regular high school diploma","Margin of Error!!Total!!Female!!Regular high school diploma","Estimate!!Total!!Female!!GED or alternative credential","Margin of Error!!Total!!Female!!GED or alternative credential","Estimate!!Total!!Female!!Some college, no degree","Margin of Error!!Total!!Female!!Some college, no degree","Estimate!!Total!!Female!!Associate's degree","Margin of Error!!Total!!Female!!Associate's degree","Estimate!!Total!!Female!!Bachelor's degree","Margin of Error!!Total!!Female!!Bachelor's degree","Estimate!!Total!!Female!!Graduate or professional degree","Margin of Error!!Total!!Female!!Graduate or professional degree"
"0500000US01003","Baldwin County, Alabama","5668","517","2982","608","510","522","0","201","780","553","0","201","437","427","236","268","427","388","592","524","2686","504","206","330","430","398","675","502","129","206","659","339","45","76","269","256","273","196"
"0500000US01069","Houston County, Alabama","1749","203","983","85","269","150","81","77","98","94","146","94","185","135","13","22","159","118","32","37","766","202","120","148","147","158","108","71","51","66","126","131","44","45","126","95","44","54"
"0500000US01073","Jefferson County, Alabama","12632","*****","6862","*****","2064","879","731","367","2080","910","96","128","584","375","430","355","613","344","264","249","5770","*****","1220","691","473","355","1289","590","0","201","603","331","572","456","988","494","625","427"
"0500000US01089","Madison County, Alabama","10241","304","4927","481","813","570","469","389","1425","677","163","178","353","246","151","209","1360","950","193","183","5314","569","425","299","535","454","1195","681","286","308","699","482","414","285","1165","614","595","441"
"0500000US01095","Marshall County, Alabama","5685","517","3009","289","1061","473","671","594","519","508","130","191","84","79","0","201","374","293","170","167","2676","356","684","362","439","427","706","370","63","95","387","283","213","196","179","257","5","9"
"0500000US01101","Montgomery County, Alabama","3496","278","1635","231","278","212","230","253","224","170","126","123","258","201","0","201","292","212","227","155","1861","197","623","256","0","201","112","129","17","32","170","179","304","295","364","310","271","139"
"0500000US01117","Shelby County, Alabama","8768","1393","4374","1392","103","118","773","592","336","417","130","208","1706","1648","0","201","1155","980","171","163","4394","288","998","813","538","415","191","316","134","203","857","671","1020","844","389","302","267","312"
"0500000US02020","Anchorage Municipality, Alaska","14143","*****","7121","*****","759","568","213","208","1530","625","845","559","1060","526","685","414","1495","653","534","389","7022","*****","300","267","797","601","1314","538","39","60","1800","783","461","332","1708","600","603","378"
"0500000US02170","Matanuska-Susitna Borough, Alaska","2675","217","1412","216","20","37","251","191","455","300","126","123","218","140","107","134","195","178","40","65","1263","113","188","169","30","39","455","255","159","153","355","196","11","21","55","54","10","19"
