GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,Male:,Male: - Less than 9th grade,"Male: - 9th to 12th grade, no diploma",Male: - High school graduate (includes equivalency),"Male: - Some college, no degree",Male: - Associate degree,Male: - Bachelor's degree,Male: - Graduate or professional degree,Female:,Female: - Less than 9th grade,"Female: - 9th to 12th grade, no diploma",Female: - High school graduate (includes equivalency),"Female: - Some college, no degree",Female: - Associate degree,Female: - Bachelor's degree,Female: - Graduate or professional degree
0500000US01001,01001,"Autauga County, Alabama",192,153,18,33,42,44,0,9,7,39,15,6,0,0,5,0,13
0500000US01003,01003,"Baldwin County, Alabama",1376,744,199,138,111,122,45,84,45,632,133,127,152,75,28,95,22
0500000US01005,01005,"Barbour County, Alabama",298,214,70,44,55,17,10,16,2,84,39,7,15,12,0,11,0
0500000US01007,01007,"Bibb County, Alabama",74,38,16,5,0,9,0,8,0,36,10,0,16,6,0,0,4
0500000US01009,01009,"Blount County, Alabama",1080,665,376,156,62,41,5,22,3,415,194,61,90,15,32,23,0
0500000US01011,01011,"Bullock County, Alabama",289,247,50,34,100,17,22,24,0,42,25,4,0,13,0,0,0
0500000US01013,01013,"Butler County, Alabama",86,43,0,13,10,13,7,0,0,43,4,0,25,9,5,0,0
0500000US01015,01015,"Calhoun County, Alabama",999,549,83,148,122,111,52,23,10,450,66,132,87,81,22,27,35
0500000US01017,01017,"Chambers County, Alabama",182,71,7,19,21,7,0,12,5,111,16,24,9,39,11,12,0
0500000US01019,01019,"Cherokee County, Alabama",101,62,31,16,9,1,0,5,0,39,6,10,6,7,10,0,0
0500000US01021,01021,"Chilton County, Alabama",510,350,99,172,66,0,0,5,8,160,63,28,38,22,0,0,9
0500000US01023,01023,"Choctaw County, Alabama",127,55,13,14,8,2,5,0,13,72,7,30,6,23,2,4,0
0500000US01025,01025,"Clarke County, Alabama",127,50,12,21,10,7,0,0,0,77,33,0,40,4,0,0,0
0500000US01027,01027,"Clay County, Alabama",140,68,13,11,22,19,2,0,1,72,7,17,44,3,1,0,0
0500000US01029,01029,"Cleburne County, Alabama",60,53,26,1,12,6,0,8,0,7,0,7,0,0,0,0,0
0500000US01031,01031,"Coffee County, Alabama",566,279,68,2,43,65,22,49,30,287,43,36,38,72,27,44,27
0500000US01033,01033,"Colbert County, Alabama",284,125,41,25,28,12,6,8,5,159,22,10,61,19,13,23,11
0500000US01035,01035,"Conecuh County, Alabama",40,28,10,0,12,0,0,6,0,12,7,0,0,5,0,0,0
0500000US01037,01037,"Coosa County, Alabama",24,20,0,20,0,0,0,0,0,4,4,0,0,0,0,0,0
0500000US01039,01039,"Covington County, Alabama",188,68,21,6,17,16,0,2,6,120,11,29,35,9,17,13,6
0500000US01041,01041,"Crenshaw County, Alabama",53,37,0,4,21,11,1,0,0,16,1,9,0,4,0,2,0
0500000US01043,01043,"Cullman County, Alabama",626,397,183,71,95,32,4,6,6,229,26,27,97,30,35,14,0
0500000US01045,01045,"Dale County, Alabama",732,414,53,36,86,107,55,70,7,318,17,31,68,129,34,36,3
0500000US01047,01047,"Dallas County, Alabama",141,68,14,24,9,16,0,5,0,73,19,7,23,8,0,16,0
0500000US01049,01049,"DeKalb County, Alabama",1538,902,434,180,137,125,12,7,7,636,224,149,173,72,3,9,6
0500000US01051,01051,"Elmore County, Alabama",448,227,50,27,69,41,20,9,11,221,33,44,57,50,0,31,6
0500000US01053,01053,"Escambia County, Alabama",245,100,3,36,19,34,0,3,5,145,7,22,27,65,8,7,9
0500000US01055,01055,"Etowah County, Alabama",797,419,103,114,91,53,13,31,14,378,51,110,141,51,8,17,0
0500000US01057,01057,"Fayette County, Alabama",65,52,16,17,11,6,2,0,0,13,0,0,6,7,0,0,0
0500000US01059,01059,"Franklin County, Alabama",1154,711,341,185,106,48,0,16,15,443,161,109,105,28,0,40,0
0500000US01061,01061,"Geneva County, Alabama",140,85,45,11,22,3,4,0,0,55,13,11,17,8,4,2,0
0500000US01063,01063,"Greene County, Alabama",30,10,0,8,2,0,0,0,0,20,3,8,0,0,0,0,9
