GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,Male:,Male: - Less than 9th grade,"Male: - 9th to 12th grade, no diploma",Male: - High school graduate (includes equivalency),"Male: - Some college, no degree",Male: - Associate degree,Male: - Bachelor's degree,Male: - Graduate or professional degree,Female:,Female: - Less than 9th grade,"Female: - 9th to 12th grade, no diploma",Female: - High school graduate (includes equivalency),"Female: - Some college, no degree",Female: - Associate degree,Female: - Bachelor's degree,Female: - Graduate or professional degree
0500000US01001,01001,"Autauga County, Alabama",22667,10855,412,1479,3432,2509,548,1535,940,11812,478,1505,4402,2763,603,1407,654
0500000US01003,01003,"Baldwin County, Alabama",84664,40709,1578,5032,11427,9663,2158,7070,3781,43955,1351,5283,13477,10726,2952,6494,3672
0500000US01005,01005,"Barbour County, Alabama",10567,5394,359,929,1724,1195,338,644,205,5173,325,903,1739,1054,261,479,412
0500000US01007,01007,"Bibb County, Alabama",10670,5330,711,1101,1934,952,248,226,158,5340,597,1068,1979,804,371,281,240
0500000US01009,01009,"Blount County, Alabama",31820,15465,1670,2936,5654,3042,729,941,493,16355,1423,2893,6088,3020,1251,958,722
0500000US01011,01011,"Bullock County, Alabama",2173,1223,124,234,404,218,58,120,65,950,99,186,302,190,14,74,85
0500000US01013,01013,"Butler County, Alabama",8796,4113,474,623,1490,745,178,432,171,4683,467,688,1669,1064,227,408,160
0500000US01015,01015,"Calhoun County, Alabama",60067,28331,2231,4440,8679,6413,1561,2992,2015,31736,2583,5728,10627,6499,1462,2757,2080
0500000US01017,01017,"Chambers County, Alabama",15866,7416,602,1523,2423,1463,364,663,378,8450,797,1806,2689,1806,453,560,339
0500000US01019,01019,"Cherokee County, Alabama",15770,7619,1060,1726,2630,1157,271,460,315,8151,1089,1848,2854,1185,401,391,383
0500000US01021,01021,"Chilton County, Alabama",22591,10871,1282,2295,3945,1819,415,644,471,11720,1271,2371,4309,1952,536,782,499
0500000US01023,01023,"Choctaw County, Alabama",6160,2910,399,537,1040,407,160,272,95,3250,393,517,1064,651,188,278,159
0500000US01025,01025,"Clarke County, Alabama",10701,5036,384,752,1735,1045,277,597,246,5665,356,905,2077,1048,366,542,371
0500000US01027,01027,"Clay County, Alabama",8100,3837,433,729,1415,697,234,219,110,4263,485,981,1579,631,206,239,142
0500000US01029,01029,"Cleburne County, Alabama",8989,4372,555,1083,1599,599,168,233,135,4617,585,1078,1676,671,125,208,274
0500000US01031,01031,"Coffee County, Alabama",22898,10998,925,1546,2649,2320,741,1869,948,11900,1172,1773,3359,2577,918,1281,820
0500000US01033,01033,"Colbert County, Alabama",31091,14717,1108,2465,5000,3091,594,1655,804,16374,1402,2860,5666,3248,940,1338,920
0500000US01035,01035,"Conecuh County, Alabama",5570,2670,269,480,1043,521,107,190,60,2900,359,457,1147,481,127,252,77
0500000US01037,01037,"Coosa County, Alabama",5467,2760,271,497,1143,432,119,193,105,2707,208,629,997,470,131,166,106
0500000US01039,01039,"Covington County, Alabama",22521,10560,1303,1830,3718,1749,562,877,521,11961,1605,2170,3729,2137,804,956,560
0500000US01041,01041,"Crenshaw County, Alabama",7007,3222,453,745,915,587,120,291,111,3785,496,882,1104,569,224,326,184
0500000US01043,01043,"Cullman County, Alabama",49922,23970,2556,4639,7762,4761,1335,1944,973,25952,2908,4611,8225,5091,2007,1805,1305
0500000US01045,01045,"Dale County, Alabama",24352,12040,819,1422,3359,3293,1049,1413,685,12312,942,1791,3881,3176,937,1051,534
0500000US01047,01047,"Dallas County, Alabama",12020,5584,355,759,1888,1109,292,735,446,6436,429,836,2219,1329,353,802,468
0500000US01049,01049,"DeKalb County, Alabama",39683,18728,2541,4028,6494,3345,767,967,586,20955,2841,4608,7191,3405,1113,1010,787
0500000US01051,01051,"Elmore County, Alabama",34134,16628,997,2063,5659,3692,851,2080,1286,17506,767,2281,6106,4300,952,1996,1104
0500000US01053,01053,"Escambia County, Alabama",17170,8369,703,1635,3109,1457,426,709,330,8801,712,1462,3247,1699,536,720,425
0500000US01055,01055,"Etowah County, Alabama",59622,27817,2234,3960,9205,6558,1651,2773,1436,31805,2672,5605,10272,6504,2422,2446,1884
0500000US01057,01057,"Fayette County, Alabama",11029,5166,729,1111,1761,903,200,305,157,5863,798,1188,2004,988,331,304,250
0500000US01059,01059,"Franklin County, Alabama",18644,8705,1146,1888,2717,1650,379,602,323,9939,1337,2386,3087,1684,525,504,416
0500000US01061,01061,"Geneva County, Alabama",15549,7343,966,1430,2351,1533,313,496,254,8206,988,1705,2608,1510,680,451,264
0500000US01063,01063,"Greene County, Alabama",1475,715,46,92,296,159,16,82,24,760,35,108,285,180,25,91,36
0500000US01065,01065,"Hale County, Alabama",4769,2254,189,370,836,511,81,191,76,2515,195,521,893,470,172,166,98
0500000US01067,01067,"Henry County, Alabama",7654,3652,351,633,1047,708,214,495,204,4002,355,724,1198,885,192,390,258
0500000US01069,01069,"Houston County, Alabama",44843,20917,1177,2549,6015,5034,1159,3284,1699,23926,1812,3242,7286,5282,1803,2964,1537
0500000US01071,01071,"Jackson County, Alabama",33703,16086,2143,3294,5527,2699,676,1173,574,17617,2247,3314,6267,2852,1077,1113,747
0500000US01073,01073,"Jefferson County, Alabama",268242,125217,5332,12866,31128,27796,5974,26582,15539,143025,6643,15971,43311,31662,7009,24871,13558
0500000US01075,01075,"Lamar County, Alabama",9508,4505,544,1051,1746,651,154,259,100,5003,657,1038,1814,777,308,277,132
0500000US01077,01077,"Lauderdale County, Alabama",52609,24674,2192,3153,8327,4853,946,3374,1829,27935,2290,4326,9694,5354,1340,3215,1716
0500000US01079,01079,"Lawrence County, Alabama",18450,8905,1066,2056,3526,1315,291,472,179,9545,1239,2038,3802,1372,380,480,234
0500000US01081,01081,"Lee County, Alabama",45233,22287,844,2534,5173,4885,1248,4084,3519,22946,940,2339,6508,4642,1705,3881,2931
0500000US01083,01083,"Limestone County, Alabama",36687,18029,1590,2879,5556,3814,748,2480,962,18658,1588,2679,6514,3758,890,2344,885
0500000US01085,01085,"Lowndes County, Alabama",2603,1293,77,188,465,300,37,157,69,1310,40,209,369,323,38,199,132
0500000US01087,01087,"Macon County, Alabama",2453,1265,41,264,387,316,58,121,78,1188,54,202,444,263,51,135,39
0500000US01089,01089,"Madison County, Alabama",136830,66308,2527,5325,12080,13681,3758,18619,10318,70522,3172,6200,18357,17442,3992,15263,6096
0500000US01091,01091,"Marengo County, Alabama",7508,3586,160,483,1265,833,190,469,186,3922,195,390,1483,875,254,461,264
0500000US01093,01093,"Marion County, Alabama",20487,9829,1478,2115,3328,1717,415,517,259,10658,1623,2279,3444,1809,596,504,403
