SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED4YR,GRADS4YR,COHORT4YR,GRADRATE4YR,SUPPRESSED5YR,GRADS5YR,COHORT5YR,GRADRATE5YR
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ACD,N,11,14,78.6,N,13,17,76.5
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ACO,N,185,186,99.5,N,169,169,100.0
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,TST,N,196,200,98.0,N,182,186,97.8
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,SXM,N,102,105,97.1,N,95,99,96.0
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,SXF,N,94,95,98.9,N,87,87,100.0
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,MIG,Y,,6,,Y,,1,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LUP,N,123,126,97.6,N,110,114,96.5
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LUN,N,73,74,98.6,N,72,72,100.0
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LEP,,,0,,,,0,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LEN,N,196,200,98.0,N,182,186,97.8
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,HOM,Y,,3,,Y,,1,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETW,N,177,180,98.3,N,164,168,97.6
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETP,,,0,,,,0,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETO,Y,,5,,Y,,4,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETI,,,0,,Y,,1,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETH,N,11,11,100.0,Y,,7,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETB,Y,,4,,Y,,6,
20172018,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETA,,,0,,,,0,
