SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,GRADE,Total Female Students,Total Male Students,African American Male Count,African American Female Count,Total African American Students,American Indian/Alaska Native Male Count,American Indian/Alaska Native Female Count,Total American Indian/Alaska Native Students,Asian Male Count,Asian Female Count,Total Asian Students,Hispanic or Latino Male Count,Hispanic or Latino Female Count,Total Hispanic or Latino Students,Native Hawaiian/Pacific Islander Male Count,Native Hawaiian/Pacific Islander Female Count,Total Native Hawaiian/Pacific Islander Students,Two Or More Race Male Count,Two Or More Race Female Count,Total Two or More Race Students,White Male Count,White Female Count,Total White Students,Total Membership
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,11,110,128,3,1,4,1,1,2,0,0,0,3,2,5,0,0,0,9,3,12,112,103,215,238
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,12,94,94,7,3,10,0,0,0,1,0,1,3,2,5,0,0,0,2,3,5,81,86,167,188
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,All Students,1216,1382,32,18,50,1,2,3,4,2,6,79,63,142,0,1,1,63,50,113,1203,1080,2283,2598
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,PS,34,54,1,0,1,0,0,0,0,0,0,4,3,7,0,0,0,1,2,3,48,29,77,88
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,KG,88,114,1,1,2,0,0,0,0,0,0,10,5,15,0,0,0,3,5,8,100,77,177,202
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,01,81,106,3,1,4,0,1,1,1,0,1,2,6,8,0,0,0,5,4,9,95,69,164,187
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,02,74,94,3,0,3,0,0,0,0,0,0,6,7,13,0,0,0,7,2,9,78,65,143,168
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,03,87,93,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,3,6,9,84,77,161,180
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,04,96,111,1,2,3,0,0,0,0,1,1,3,7,10,0,0,0,4,4,8,103,82,185,207
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,05,105,106,3,1,4,0,0,0,0,0,0,7,4,11,0,0,0,6,6,12,90,94,184,211
