 ,,,,,,,,,,,,,,,,,,,,,,,,,
"     Reading, Grade 4, All students",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
     Data Table 1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"     Average scale scores for grade 4 reading,  by all students [TOTAL] and jurisdiction: 2017, 2015, 2013, 2011, and 2009",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jurisdiction,All students,Average scale score,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,All students,224,,,,,,,,,,,,,,,,,,,,,,
2017,Jefferson County (KY),All students,221,,,,,,,,,,,,,,,,,,,,,,
2015,Kentucky,All students,228,,,,,,,,,,,,,,,,,,,,,,
2015,Jefferson County (KY),All students,222,,,,,,,,,,,,,,,,,,,,,,
2013,Kentucky,All students,224,,,,,,,,,,,,,,,,,,,,,,
2013,Jefferson County (KY),All students,221,,,,,,,,,,,,,,,,,,,,,,
2011,Kentucky,All students,225,,,,,,,,,,,,,,,,,,,,,,
2011,Jefferson County (KY),All students,223,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,All students,226,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),All students,219,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2009, 2011, 2013, 2015, and 2017 Reading Assessments.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
