 ,,,,,,,,,,,,,,,,,,,,,,,,,
"     Reading, Grade 4, National School Lunch Program eligibility, 3 categories",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
     Data Table 1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"     Average scale scores for grade 4 reading,  by National School Lunch Program eligibility, 3 categories [SLUNCH3] and jurisdiction: 2017, 2015, 2013, 2011, and 2009",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jurisdiction,"National School Lunch Program eligibility, 3 categories",Average scale score,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,Eligible,215,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,Not eligible,237,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,Information not available,‡,,,,,,,,,,,,,,,,,,,,,,
2017,Jefferson County (KY),Eligible,211,,,,,,,,,,,,,,,,,,,,,,
2017,Jefferson County (KY),Not eligible,242,,,,,,,,,,,,,,,,,,,,,,
2017,Jefferson County (KY),Information not available,‡,,,,,,,,,,,,,,,,,,,,,,
2015,Kentucky,Eligible,219,,,,,,,,,,,,,,,,,,,,,,
2015,Kentucky,Not eligible,241,,,,,,,,,,,,,,,,,,,,,,
2015,Kentucky,Information not available,‡,,,,,,,,,,,,,,,,,,,,,,
2015,Jefferson County (KY),Eligible,213,,,,,,,,,,,,,,,,,,,,,,
2015,Jefferson County (KY),Not eligible,242,,,,,,,,,,,,,,,,,,,,,,
2015,Jefferson County (KY),Information not available,‡,,,,,,,,,,,,,,,,,,,,,,
2013,Kentucky,Eligible,213,,,,,,,,,,,,,,,,,,,,,,
2013,Kentucky,Not eligible,237,,,,,,,,,,,,,,,,,,,,,,
2013,Kentucky,Information not available,‡,,,,,,,,,,,,,,,,,,,,,,
2013,Jefferson County (KY),Eligible,209,,,,,,,,,,,,,,,,,,,,,,
2013,Jefferson County (KY),Not eligible,243,,,,,,,,,,,,,,,,,,,,,,
2013,Jefferson County (KY),Information not available,‡,,,,,,,,,,,,,,,,,,,,,,
2011,Kentucky,Eligible,216,,,,,,,,,,,,,,,,,,,,,,
2011,Kentucky,Not eligible,236,,,,,,,,,,,,,,,,,,,,,,
2011,Kentucky,Information not available,‡,,,,,,,,,,,,,,,,,,,,,,
2011,Jefferson County (KY),Eligible,212,,,,,,,,,,,,,,,,,,,,,,
2011,Jefferson County (KY),Not eligible,240,,,,,,,,,,,,,,,,,,,,,,
2011,Jefferson County (KY),Information not available,‡,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,Eligible,215,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,Not eligible,236,,,,,,,,,,,,,,,,,,,,,,
2009,Kentucky,Information not available,‡,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),Eligible,208,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),Not eligible,236,,,,,,,,,,,,,,,,,,,,,,
2009,Jefferson County (KY),Information not available,‡,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
‡ Reporting standards not met.,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2009, 2011, 2013, 2015, and 2017 Reading Assessments.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
