 ,,,,,,,,,,,,,,,,,,,,,,,,,
"     Reading, Grade 4, Race ethnicity used to report trends, school-reported",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
     Data Table 1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"     Average scale scores for grade 4 reading, by race/ethnicity used to report trends, school-reported [SDRACE] and jurisdiction: 2019, 2017, 2015, 2013, 2011, and 2009",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jurisdiction,"Race/ethnicity used to report trends, school-reported",Average scale score,,,,,,,,,,,,,,,,,,,,,,
2019,Kentucky,White,225,,,,,,,,,,,,,,,,,,,,,,
2019,Kentucky,Black,199,,,,,,,,,,,,,,,,,,,,,,
2019,Kentucky,Hispanic,206,,,,,,,,,,,,,,,,,,,,,,
2019,Kentucky,Asian/Pacific Islander,235,,,,,,,,,,,,,,,,,,,,,,
2019,Kentucky,American Indian/Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
2019,Kentucky,Two or more races,220,,,,,,,,,,,,,,,,,,,,,,
2019,Jefferson County (KY),White,228,,,,,,,,,,,,,,,,,,,,,,
2019,Jefferson County (KY),Black,196,,,,,,,,,,,,,,,,,,,,,,
2019,Jefferson County (KY),Hispanic,202,,,,,,,,,,,,,,,,,,,,,,
2019,Jefferson County (KY),Asian/Pacific Islander,‡,,,,,,,,,,,,,,,,,,,,,,
2019,Jefferson County (KY),American Indian/Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
2019,Jefferson County (KY),Two or more races,‡,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,White,227,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,Black,204,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,Hispanic,216,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,Asian/Pacific Islander,228,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,American Indian/Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
2017,Kentucky,Two or more races,225,,,,,,,,,,,,,,,,,,,,,,
2017,Jefferson County (KY),White,235,,,,,,,,,,,,,,,,,,,,,,
2017,Jefferson County (KY),Black,203,,,,,,,,,,,,,,,,,,,,,,
2017,Jefferson County (KY),Hispanic,215,,,,,,,,,,,,,,,,,,,,,,
