GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
0500000US04003,04003,"Cochise County, Arizona",41519,923,10517,2417,4959,1280,1140,357,337,292,660,403,276,303,165,253,307,417,225,308,581,343,746,465,80,75,340,262,102,153,0,229,5558,1551,558,470,209,250,627,506,616,443,75,123,0,229,617,378,1140,592,341,349,361,305,805,430,93,116,116,178,31002,2625,14957,1609,890,356,530,415,1618,646,580,344,56,90,737,448,2132,517,1470,538,1585,463,2069,225,1505,262,1216,436,569,397,16045,1685,1383,485,525,404,1310,595,657,377,337,480,665,430,1686,377,1668,603,2213,349,2195,305,1210,430,1221,116,975,188
0500000US04013,04013,"Maricopa County, Arizona",1145462,2909,349248,23640,166281,12760,28205,3354,5422,1458,27561,3942,15629,3120,3542,1096,8330,1696,19487,2358,17509,2869,17807,2814,12773,1961,5998,1316,2145,829,1873,743,182967,12673,24120,2945,4786,1388,25110,3172,11122,2793,5154,1453,6804,1440,26800,3231,29193,3444,24987,3128,14014,2017,6007,1294,2788,824,2082,579,796214,23991,409902,12695,35734,3594,5987,1819,40796,3712,25234,3888,5700,1371,16507,1714,55213,2382,77276,2860,62790,2786,44148,2011,24256,1291,11231,861,5030,732,386312,13080,36487,2890,8102,2203,44636,4121,22719,3536,6518,1694,14322,2292,42820,3208,62509,3478,57221,3095,42933,2025,26754,1320,13293,826,7998,580
0500000US04019,04019,"Pima County, Arizona",340533,1569,100386,7637,46443,4050,5544,1637,1240,614,7561,1451,3408,926,1020,563,2314,789,9908,1750,4552,969,3627,959,3556,971,2130,851,1151,525,432,258,53943,5267,6517,1622,584,382,7617,1207,2988,873,1516,960,2117,758,8197,1571,7492,1442,6458,1349,4524,1214,3038,726,1889,779,1006,476,240147,7906,119491,4089,11091,1637,898,393,11992,1610,6774,1155,1225,609,4902,941,11411,1804,20280,1048,17262,1015,14563,997,10557,835,4888,521,3648,279,120656,5424,9145,1630,1912,841,13087,1636,5099,1247,1501,590,4060,1145,12929,1656,18705,1447,16596,1345,15683,1215,11207,729,5900,792,4832,525
0500000US04021,04021,"Pinal County, Arizona",97030,2751,22374,5167,9827,3609,792,530,280,345,3062,1912,209,211,109,145,320,431,490,415,1045,701,778,776,1523,952,890,716,200,257,129,143,12547,2940,2195,817,745,805,1016,631,795,736,225,251,76,125,1477,904,1396,759,1213,1065,1196,919,1588,857,278,250,347,303,74656,5991,37122,4526,4779,530,517,503,5101,1670,1824,1101,1666,673,894,667,4365,831,4979,1203,4828,1110,3125,1035,2707,723,1557,273,780,161,37534,2977,2869,866,1125,980,5233,1548,2120,1150,826,504,1832,571,3477,910,6159,763,5436,1072,3868,919,2125,857,1668,250,796,308
0500000US04027,04027,"Yuma County, Arizona",117839,1142,31617,6517,14053,3116,1150,604,343,281,2645,1066,1151,771,140,213,1631,657,1151,660,1367,839,1507,799,1330,677,408,362,594,415,636,490,17564,3887,2065,928,0,229,2592,1351,1022,647,203,187,841,508,2696,983,2406,1000,2060,896,1632,628,1428,655,353,346,266,305,86222,6619,43400,3191,4657,604,1126,624,3897,1103,2374,847,838,494,1271,599,6491,704,6159,884,5640,766,5105,686,3646,362,1482,415,714,490,42822,3852,3533,928,755,523,3894,1028,3322,1207,1058,607,1630,627,4612,975,5625,1003,6105,908,5711,629,3083,655,2150,346,1344,305
0500000US06001,06001,"Alameda County, California",343174,1313,60273,7477,26510,3852,2854,1017,685,477,4574,1252,1439,678,824,416,1010,431,2622,855,4156,1138,4449,1312,1977,970,950,458,595,322,375,341,33763,4362,5051,1199,687,534,3526,1024,1844,735,419,278,1300,490,5097,1071,5810,1193,4629,988,2931,845,860,439,1151,381,458,221,282901,7534,148552,3849,13733,1067,3137,877,12959,1558,7348,1565,1703,669,4901,782,18377,866,28677,1138,23785,1338,17344,949,9762,479,3996,334,2830,341,134349,4545,10745,1306,2047,672,13785,1601,6892,1462,1924,585,4382,703,14526,1115,23808,1197,20752,1041,15931,860,10622,441,4612,419,4323,291
0500000US06007,06007,"Butte County, California",31752,250,11941,2744,6052,1680,871,364,51,70,835,439,421,365,53,101,354,328,1736,540,522,370,499,462,35,55,427,223,248,201,0,208,5889,1429,814,329,63,105,1101,703,274,234,90,132,71,126,1449,540,899,401,555,324,241,259,203,163,71,128,58,111,19811,2730,10054,1673,603,350,8,14,870,461,855,538,346,320,82,122,1257,556,977,406,2227,472,1606,55,664,222,448,215,111,118,9757,1421,681,329,139,224,1147,524,119,145,305,268,380,352,1554,536,1318,401,1307,324,1206,259,815,163,595,266,191,168
0500000US06013,06013,"Contra Costa County, California",262058,896,53193,8504,25364,4043,2463,951,961,639,4266,1277,2184,816,614,401,501,518,3444,1097,2786,958,3616,1332,2217,801,1530,787,298,420,484,284,27829,5024,3531,1543,521,336,3661,1169,1631,785,413,325,1512,1045,4235,1400,4259,1449,4396,1176,1885,858,1075,593,273,337,437,290,208865,8519,106343,4045,10435,963,2142,1062,10367,1704,4848,1130,1960,1032,4049,996,11955,1114,19457,965,16993,1331,12798,801,6474,788,3134,420,1731,298,102522,5054,8996,1573,1508,650,11359,1544,5513,1090,1330,625,3812,939,10099,1428,16798,1448,15032,1177,13185,858,7624,593,4206,337,3060,298
0500000US06019,06019,"Fresno County, California",471486,1791,152337,11182,72804,5451,11212,1913,1788,658,13804,2258,4783,1052,719,305,3924,861,9424,1684,8224,1410,8224,1375,5469,1032,3291,1133,1276,495,666,365,79533,6726,13158,1628,2093,893,9718,1717,5465,1271,1546,622,4018,1008,10238,1797,12346,1891,9253,1338,5331,1002,3531,953,1518,503,1318,582,319149,11163,165560,5515,14806,1876,2776,1057,15885,2167,8622,1900,2678,707,6663,987,20877,1733,29629,1569,22427,1362,19465,1056,12085,1163,6014,493,3633,343,153589,6693,11352,1663,3567,1259,17905,2323,7123,1443,2180,730,5618,914,19108,1783,23805,1892,20755,1339,19058,1002,12146,972,6508,528,4464,550
