GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
310M200US10180,10180,"Abilene, TX Metro Area",153923,2920,25448,3349,10427,1740,1378,724,432,281,1012,480,537,398,307,260,432,359,2089,932,678,400,715,327,913,390,985,420,453,276,496,280,15021,2096,769,456,384,305,1380,480,631,432,92,127,379,422,2407,903,2732,820,1349,533,2030,767,962,360,989,517,917,396,128475,3825,65753,2177,4346,812,1001,494,4290,780,3448,910,1136,575,1715,570,6607,894,10106,780,8068,732,7855,627,7921,761,5378,466,3882,401,62722,2265,4131,514,1086,516,4684,683,2152,625,1009,520,885,554,6046,1062,8255,841,6914,681,8269,847,8229,518,6138,587,4924,508
310M200US10420,10420,"Akron, OH Metro Area",688629,2339,91521,6451,39184,3319,4274,1260,688,497,5692,1137,2236,807,1134,667,1165,570,6006,1227,3950,1075,3846,878,4507,999,3992,852,991,443,703,346,52337,4228,3581,729,939,428,4414,1211,1917,868,356,271,2323,670,8112,1626,9170,1130,5362,1069,5783,1266,5210,1097,2774,785,2396,560,597108,6437,295502,3448,14638,1225,2638,893,19429,1487,11388,1373,3898,1073,7845,986,28719,1564,37896,1243,36298,1058,43354,1212,43299,1016,27708,509,18392,599,301606,4362,14855,869,1950,497,20535,1875,9927,1224,3482,795,7605,871,25078,1565,34781,1231,37130,1290,45018,1358,45892,1203,29804,976,25549,802
310M200US10500,10500,"Albany, GA Metro Area",147236,2016,37240,3720,15574,2151,2039,633,817,481,2383,748,1091,396,161,142,1162,440,1719,832,1556,670,1186,455,1740,513,1286,434,376,213,58,105,21666,2475,1900,622,233,197,2220,605,1900,774,431,288,877,416,2396,809,3281,738,2726,933,1669,629,1382,475,1722,474,929,426,109996,3775,52834,2381,2891,650,791,576,3829,739,1741,713,474,347,1081,501,5412,788,7016,865,6545,811,7138,634,7202,602,5671,496,3043,337,57162,2397,3237,577,832,350,3018,685,1952,676,1199,541,1150,490,4744,832,7311,933,7110,976,8382,980,9029,658,5283,582,3915,568
310M200US10540,10540,"Albany, OR Metro Area",118132,609,24023,3653,11609,2049,1180,473,590,444,1450,482,660,369,188,296,292,283,1131,724,1884,783,1254,570,1560,665,1021,435,258,218,141,140,12414,2046,1140,724,251,327,1374,667,347,322,268,305,724,350,1548,690,2205,774,1169,623,1041,498,1169,570,919,407,259,190,94109,3644,47296,2127,2548,516,385,254,3260,717,1795,531,728,430,1391,455,3585,631,5142,759,5525,640,6514,706,7286,494,5668,318,3469,226,46813,2034,1957,594,494,297,2888,647,1754,603,612,388,866,458,2508,669,5696,793,6222,837,6784,773,7264,594,5406,453,4362,213
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",848344,3159,99363,7343,43321,3976,3937,1094,596,415,4647,1168,3028,1090,1341,660,1382,616,5954,1672,5216,1061,3939,935,6329,1200,4087,947,1789,617,1076,492,56042,4329,4497,918,791,518,4619,1223,3494,1235,623,336,1107,543,10552,2203,8413,1335,6902,1256,4669,1127,5415,964,2639,674,2321,724,748981,7519,369303,4598,18023,1061,3621,737,25767,1853,12635,1406,4486,796,8681,1179,35186,2365,49123,1930,46352,1085,56770,1422,54264,1295,33578,714,20817,888,379678,4917,18629,1031,3838,981,21578,2096,14585,1413,5321,906,8224,930,29247,2248,45868,1633,48183,1745,59548,1527,56145,1269,37819,889,30693,1288
310M200US10740,10740,"Albuquerque, NM Metro Area",893947,2937,171925,11883,78988,5704,7277,1508,2439,997,8686,1898,4822,1347,873,434,2441,823,9483,1626,10965,1623,9477,1545,8515,1447,8099,1197,3664,1056,2247,727,92937,7496,7965,1642,1885,855,7943,1614,3627,1115,1682,646,2954,814,10756,1640,14684,2225,11782,1699,10018,1747,8327,1428,6238,1118,5076,1007,722022,11763,357972,5563,20820,1476,3402,910,26224,2378,14485,2216,5094,980,9106,1047,31679,1981,53470,1888,44415,1593,50471,1614,46849,1222,32468,1069,19489,690,364050,7516,19650,1905,3520,977,25930,2512,14874,1892,3771,867,8259,1209,30321,1693,48052,2208,43903,1746,50781,2026,54213,1423,34210,1045,26566,1006
310M200US10780,10780,"Alexandria, LA Metro Area",147800,1361,28988,4506,13181,2605,1580,607,446,434,1453,612,408,446,202,172,217,194,1020,533,2060,762,1670,789,1762,570,1432,512,654,507,277,191,15807,2396,808,393,351,258,1576,574,795,429,223,233,451,237,1943,652,2786,975,1627,511,1129,471,1944,498,1151,568,1023,371,118812,4800,56601,2680,3473,747,674,538,5615,1186,1784,617,1079,457,1336,508,5971,771,6562,852,7043,863,7309,626,7574,515,5462,620,2719,372,62211,2834,4126,579,1182,554,4173,629,2435,754,795,441,2190,648,4732,811,7052,1010,8298,706,8934,532,8002,574,5898,574,4394,374
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",805819,3319,90233,7382,40355,3771,3633,910,929,510,5415,1272,1859,712,957,500,1425,531,5700,1492,5159,1218,3592,1000,4708,1086,3753,962,1543,624,1682,488,49878,4707,4903,1168,315,228,5235,1143,2409,724,829,334,1695,586,6087,1118,7097,1453,5539,1189,5376,863,4726,1132,3073,794,2594,681,715586,8390,354247,4624,17613,1073,3242,896,24673,1924,16332,1610,4015,820,10288,1234,27756,2174,42720,1468,46466,1575,54806,1216,51335,969,33303,981,21698,613,361339,5047,16784,1399,4503,999,21065,1676,14743,1459,4804,892,8361,979,25504,1525,41382,1726,45722,1385,56144,1148,52922,1320,36376,927,33029,1228
310M200US11020,11020,"Altoona, PA Metro Area",122221,1137,18083,2747,8412,1668,935,412,44,69,435,231,420,316,155,172,113,115,1068,449,1800,737,764,408,1216,417,887,447,304,181,271,180,9671,1603,833,416,425,318,1075,619,168,166,30,52,130,151,1010,488,1102,378,952,584,1427,521,694,285,676,304,1149,471,104138,3086,51261,2087,2220,435,678,360,3658,888,2084,577,548,237,1319,264,4216,707,5377,665,6582,548,7083,495,8654,787,5444,219,3398,328,52877,1762,2162,404,167,187,3429,887,1722,566,538,299,1439,406,3625,564,5780,384,6593,534,7081,565,8695,396,6014,316,5632,522
