GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in public school:,Margin of Error; Male: - Enrolled in public school:,Estimate; Male: - Enrolled in public school: - 3 and 4 years,Margin of Error; Male: - Enrolled in public school: - 3 and 4 years,Estimate; Male: - Enrolled in public school: - 5 to 9 years,Margin of Error; Male: - Enrolled in public school: - 5 to 9 years,Estimate; Male: - Enrolled in public school: - 10 to 14 years,Margin of Error; Male: - Enrolled in public school: - 10 to 14 years,Estimate; Male: - Enrolled in public school: - 15 to 17 years,Margin of Error; Male: - Enrolled in public school: - 15 to 17 years,Estimate; Male: - Enrolled in public school: - 18 and 19 years,Margin of Error; Male: - Enrolled in public school: - 18 and 19 years,Estimate; Male: - Enrolled in public school: - 20 to 24 years,Margin of Error; Male: - Enrolled in public school: - 20 to 24 years,Estimate; Male: - Enrolled in public school: - 25 to 34 years,Margin of Error; Male: - Enrolled in public school: - 25 to 34 years,Estimate; Male: - Enrolled in public school: - 35 years and over,Margin of Error; Male: - Enrolled in public school: - 35 years and over,Estimate; Male: - Enrolled in private school:,Margin of Error; Male: - Enrolled in private school:,Estimate; Male: - Enrolled in private school: - 3 and 4 years,Margin of Error; Male: - Enrolled in private school: - 3 and 4 years,Estimate; Male: - Enrolled in private school: - 5 to 9 years,Margin of Error; Male: - Enrolled in private school: - 5 to 9 years,Estimate; Male: - Enrolled in private school: - 10 to 14 years,Margin of Error; Male: - Enrolled in private school: - 10 to 14 years,Estimate; Male: - Enrolled in private school: - 15 to 17 years,Margin of Error; Male: - Enrolled in private school: - 15 to 17 years,Estimate; Male: - Enrolled in private school: - 18 and 19 years,Margin of Error; Male: - Enrolled in private school: - 18 and 19 years,Estimate; Male: - Enrolled in private school: - 20 to 24 years,Margin of Error; Male: - Enrolled in private school: - 20 to 24 years,Estimate; Male: - Enrolled in private school: - 25 to 34 years,Margin of Error; Male: - Enrolled in private school: - 25 to 34 years,Estimate; Male: - Enrolled in private school: - 35 years and over,Margin of Error; Male: - Enrolled in private school: - 35 years and over,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - 3 and 4 years,Margin of Error; Male: - Not enrolled in school: - 3 and 4 years,Estimate; Male: - Not enrolled in school: - 5 to 9 years,Margin of Error; Male: - Not enrolled in school: - 5 to 9 years,Estimate; Male: - Not enrolled in school: - 10 to 14 years,Margin of Error; Male: - Not enrolled in school: - 10 to 14 years,Estimate; Male: - Not enrolled in school: - 15 to 17 years,Margin of Error; Male: - Not enrolled in school: - 15 to 17 years,Estimate; Male: - Not enrolled in school: - 18 and 19 years,Margin of Error; Male: - Not enrolled in school: - 18 and 19 years,Estimate; Male: - Not enrolled in school: - 20 to 24 years,Margin of Error; Male: - Not enrolled in school: - 20 to 24 years,Estimate; Male: - Not enrolled in school: - 25 to 34 years,Margin of Error; Male: - Not enrolled in school: - 25 to 34 years,Estimate; Male: - Not enrolled in school: - 35 years and over,Margin of Error; Male: - Not enrolled in school: - 35 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in public school:,Margin of Error; Female: - Enrolled in public school:,Estimate; Female: - Enrolled in public school: - 3 and 4 years,Margin of Error; Female: - Enrolled in public school: - 3 and 4 years,Estimate; Female: - Enrolled in public school: - 5 to 9 years,Margin of Error; Female: - Enrolled in public school: - 5 to 9 years,Estimate; Female: - Enrolled in public school: - 10 to 14 years,Margin of Error; Female: - Enrolled in public school: - 10 to 14 years,Estimate; Female: - Enrolled in public school: - 15 to 17 years,Margin of Error; Female: - Enrolled in public school: - 15 to 17 years,Estimate; Female: - Enrolled in public school: - 18 and 19 years,Margin of Error; Female: - Enrolled in public school: - 18 and 19 years,Estimate; Female: - Enrolled in public school: - 20 to 24 years,Margin of Error; Female: - Enrolled in public school: - 20 to 24 years,Estimate; Female: - Enrolled in public school: - 25 to 34 years,Margin of Error; Female: - Enrolled in public school: - 25 to 34 years,Estimate; Female: - Enrolled in public school: - 35 years and over,Margin of Error; Female: - Enrolled in public school: - 35 years and over,Estimate; Female: - Enrolled in private school:,Margin of Error; Female: - Enrolled in private school:,Estimate; Female: - Enrolled in private school: - 3 and 4 years,Margin of Error; Female: - Enrolled in private school: - 3 and 4 years,Estimate; Female: - Enrolled in private school: - 5 to 9 years,Margin of Error; Female: - Enrolled in private school: - 5 to 9 years,Estimate; Female: - Enrolled in private school: - 10 to 14 years,Margin of Error; Female: - Enrolled in private school: - 10 to 14 years,Estimate; Female: - Enrolled in private school: - 15 to 17 years,Margin of Error; Female: - Enrolled in private school: - 15 to 17 years,Estimate; Female: - Enrolled in private school: - 18 and 19 years,Margin of Error; Female: - Enrolled in private school: - 18 and 19 years,Estimate; Female: - Enrolled in private school: - 20 to 24 years,Margin of Error; Female: - Enrolled in private school: - 20 to 24 years,Estimate; Female: - Enrolled in private school: - 25 to 34 years,Margin of Error; Female: - Enrolled in private school: - 25 to 34 years,Estimate; Female: - Enrolled in private school: - 35 years and over,Margin of Error; Female: - Enrolled in private school: - 35 years and over,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - 3 and 4 years,Margin of Error; Female: - Not enrolled in school: - 3 and 4 years,Estimate; Female: - Not enrolled in school: - 5 to 9 years,Margin of Error; Female: - Not enrolled in school: - 5 to 9 years,Estimate; Female: - Not enrolled in school: - 10 to 14 years,Margin of Error; Female: - Not enrolled in school: - 10 to 14 years,Estimate; Female: - Not enrolled in school: - 15 to 17 years,Margin of Error; Female: - Not enrolled in school: - 15 to 17 years,Estimate; Female: - Not enrolled in school: - 18 and 19 years,Margin of Error; Female: - Not enrolled in school: - 18 and 19 years,Estimate; Female: - Not enrolled in school: - 20 to 24 years,Margin of Error; Female: - Not enrolled in school: - 20 to 24 years,Estimate; Female: - Not enrolled in school: - 25 to 34 years,Margin of Error; Female: - Not enrolled in school: - 25 to 34 years,Estimate; Female: - Not enrolled in school: - 35 years and over,Margin of Error; Female: - Not enrolled in school: - 35 years and over
1400000US21111000200,21111000200,"Census Tract 2, Jefferson County, Kentucky",2577,495,1186,280,128,67,26,23,9,15,34,41,39,41,0,11,0,11,10,18,10,12,38,34,0,11,10,19,0,11,0,11,0,11,0,11,6,10,22,21,1020,237,8,13,0,11,0,11,0,11,29,50,103,97,333,128,547,161,1391,288,402,215,0,11,175,116,43,43,94,60,0,11,26,23,4,8,60,50,95,62,10,18,14,19,0,11,0,11,0,11,0,11,0,11,71,51,894,246,0,11,0,11,0,11,0,11,0,11,175,104,97,62,622,183
1400000US21111000300,21111000300,"Census Tract 3, Jefferson County, Kentucky",2319,352,1005,180,216,85,0,11,53,52,46,34,80,56,14,24,0,11,9,14,14,20,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,789,153,27,40,0,11,0,11,0,11,13,18,134,86,73,60,542,111,1314,240,223,106,19,22,54,58,104,62,32,33,14,20,0,11,0,11,0,11,23,28,0,11,0,11,8,12,0,11,0,11,15,25,0,11,0,11,1068,224,12,20,31,44,0,11,0,11,0,11,107,84,188,105,730,107
1400000US21111000400,21111000400,"Census Tract 4, Jefferson County, Kentucky",4700,539,2173,337,571,170,27,32,174,105,172,87,76,53,82,54,40,56,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1602,263,74,41,46,53,0,11,0,11,14,18,76,48,152,80,1240,231,2527,311,649,198,23,37,165,76,281,113,120,70,6,9,45,37,0,11,9,14,66,57,0,11,23,37,9,12,0,11,0,11,0,11,26,40,8,12,1812,192,0,11,35,43,0,11,0,11,27,46,50,43,259,115,1441,148
1400000US21111000600,21111000600,"Census Tract 6, Jefferson County, Kentucky",1616,203,713,156,207,85,8,13,93,48,56,42,3,5,11,16,36,39,0,11,0,11,2,4,0,11,0,11,0,11,0,11,0,11,0,11,2,4,0,11,504,116,0,11,0,11,0,11,0,11,0,11,51,49,51,37,402,88,903,151,218,81,11,15,76,50,53,38,19,21,23,26,0,11,0,11,36,32,11,12,0,11,0,11,0,11,0,11,0,11,0,11,5,8,6,9,674,112,35,27,15,17,11,16,0,11,10,15,84,54,139,54,380,73
1400000US21111000700,21111000700,"Census Tract 7, Jefferson County, Kentucky",2580,332,1016,193,293,134,11,18,117,103,87,66,19,30,0,11,0,11,31,43,28,23,17,26,0,11,0,11,0,11,0,11,0,11,0,11,0,11,17,26,706,144,16,26,18,29,0,11,10,17,18,29,77,62,33,51,534,121,1564,228,361,150,10,19,118,85,111,68,28,34,42,45,11,19,41,46,0,11,37,44,0,11,25,41,0,11,0,11,0,11,0,11,0,11,12,19,1166,184,97,76,0,11,0,11,0,11,0,11,89,66,223,120,757,124
1400000US21111000800,21111000800,"Census Tract 8, Jefferson County, Kentucky",2221,224,1014,114,288,93,30,31,18,19,96,47,94,87,13,14,0,11,28,34,9,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,726,112,6,9,0,11,0,11,0,11,29,24,40,38,95,59,556,97,1207,196,320,93,17,28,74,44,64,41,73,46,41,41,31,38,0,11,20,15,5,8,0,11,5,8,0,11,0,11,0,11,0,11,0,11,0,11,882,150,0,11,17,26,0,11,0,11,0,11,73,59,140,72,652,102
1400000US21111000900,21111000900,"Census Tract 9, Jefferson County, Kentucky",1896,255,867,147,335,150,0,11,96,80,114,80,99,64,9,13,0,11,0,11,17,27,23,29,0,11,0,11,18,28,0,11,0,11,0,11,0,11,5,8,509,121,23,30,0,11,0,11,0,11,29,34,0,11,39,27,418,104,1029,180,252,123,16,26,62,101,119,65,15,25,0,11,25,40,0,11,15,13,15,25,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,25,762,127,16,25,21,33,0,11,0,11,0,11,19,31,169,87,537,92
1400000US21111001000,21111001000,"Census Tract 10, Jefferson County, Kentucky",2845,409,1154,235,425,133,10,16,80,66,103,66,65,53,105,95,9,15,53,61,0,11,92,70,0,11,41,51,7,11,11,18,0,11,11,18,0,11,22,37,637,193,31,39,9,14,0,11,0,11,0,11,90,67,142,123,365,103,1691,279,472,145,0,11,107,73,152,78,136,68,34,41,25,38,18,27,0,11,33,54,33,54,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1186,196,34,40,0,11,24,32,0,11,10,15,51,51,210,115,857,124
1400000US21111001100,21111001100,"Census Tract 11, Jefferson County, Kentucky",2808,480,1260,289,322,188,0,11,82,68,88,71,118,104,11,16,7,13,12,19,4,9,11,18,11,18,0,11,0,11,0,11,0,11,0,11,0,11,0,11,927,165,30,34,0,11,0,11,0,11,0,11,39,45,128,68,730,154,1548,266,265,147,37,46,56,59,99,72,28,27,7,10,28,32,0,11,10,16,27,29,0,11,4,8,0,11,0,11,0,11,13,21,10,19,0,11,1256,199,41,50,0,11,0,11,0,11,0,11,16,30,163,83,1036,166
