GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in public school:,Margin of Error; Male: - Enrolled in public school:,Estimate; Male: - Enrolled in public school: - 3 and 4 years,Margin of Error; Male: - Enrolled in public school: - 3 and 4 years,Estimate; Male: - Enrolled in public school: - 5 to 9 years,Margin of Error; Male: - Enrolled in public school: - 5 to 9 years,Estimate; Male: - Enrolled in public school: - 10 to 14 years,Margin of Error; Male: - Enrolled in public school: - 10 to 14 years,Estimate; Male: - Enrolled in public school: - 15 to 17 years,Margin of Error; Male: - Enrolled in public school: - 15 to 17 years,Estimate; Male: - Enrolled in public school: - 18 and 19 years,Margin of Error; Male: - Enrolled in public school: - 18 and 19 years,Estimate; Male: - Enrolled in public school: - 20 to 24 years,Margin of Error; Male: - Enrolled in public school: - 20 to 24 years,Estimate; Male: - Enrolled in public school: - 25 to 34 years,Margin of Error; Male: - Enrolled in public school: - 25 to 34 years,Estimate; Male: - Enrolled in public school: - 35 years and over,Margin of Error; Male: - Enrolled in public school: - 35 years and over,Estimate; Male: - Enrolled in private school:,Margin of Error; Male: - Enrolled in private school:,Estimate; Male: - Enrolled in private school: - 3 and 4 years,Margin of Error; Male: - Enrolled in private school: - 3 and 4 years,Estimate; Male: - Enrolled in private school: - 5 to 9 years,Margin of Error; Male: - Enrolled in private school: - 5 to 9 years,Estimate; Male: - Enrolled in private school: - 10 to 14 years,Margin of Error; Male: - Enrolled in private school: - 10 to 14 years,Estimate; Male: - Enrolled in private school: - 15 to 17 years,Margin of Error; Male: - Enrolled in private school: - 15 to 17 years,Estimate; Male: - Enrolled in private school: - 18 and 19 years,Margin of Error; Male: - Enrolled in private school: - 18 and 19 years,Estimate; Male: - Enrolled in private school: - 20 to 24 years,Margin of Error; Male: - Enrolled in private school: - 20 to 24 years,Estimate; Male: - Enrolled in private school: - 25 to 34 years,Margin of Error; Male: - Enrolled in private school: - 25 to 34 years,Estimate; Male: - Enrolled in private school: - 35 years and over,Margin of Error; Male: - Enrolled in private school: - 35 years and over,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - 3 and 4 years,Margin of Error; Male: - Not enrolled in school: - 3 and 4 years,Estimate; Male: - Not enrolled in school: - 5 to 9 years,Margin of Error; Male: - Not enrolled in school: - 5 to 9 years,Estimate; Male: - Not enrolled in school: - 10 to 14 years,Margin of Error; Male: - Not enrolled in school: - 10 to 14 years,Estimate; Male: - Not enrolled in school: - 15 to 17 years,Margin of Error; Male: - Not enrolled in school: - 15 to 17 years,Estimate; Male: - Not enrolled in school: - 18 and 19 years,Margin of Error; Male: - Not enrolled in school: - 18 and 19 years,Estimate; Male: - Not enrolled in school: - 20 to 24 years,Margin of Error; Male: - Not enrolled in school: - 20 to 24 years,Estimate; Male: - Not enrolled in school: - 25 to 34 years,Margin of Error; Male: - Not enrolled in school: - 25 to 34 years,Estimate; Male: - Not enrolled in school: - 35 years and over,Margin of Error; Male: - Not enrolled in school: - 35 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in public school:,Margin of Error; Female: - Enrolled in public school:,Estimate; Female: - Enrolled in public school: - 3 and 4 years,Margin of Error; Female: - Enrolled in public school: - 3 and 4 years,Estimate; Female: - Enrolled in public school: - 5 to 9 years,Margin of Error; Female: - Enrolled in public school: - 5 to 9 years,Estimate; Female: - Enrolled in public school: - 10 to 14 years,Margin of Error; Female: - Enrolled in public school: - 10 to 14 years,Estimate; Female: - Enrolled in public school: - 15 to 17 years,Margin of Error; Female: - Enrolled in public school: - 15 to 17 years,Estimate; Female: - Enrolled in public school: - 18 and 19 years,Margin of Error; Female: - Enrolled in public school: - 18 and 19 years,Estimate; Female: - Enrolled in public school: - 20 to 24 years,Margin of Error; Female: - Enrolled in public school: - 20 to 24 years,Estimate; Female: - Enrolled in public school: - 25 to 34 years,Margin of Error; Female: - Enrolled in public school: - 25 to 34 years,Estimate; Female: - Enrolled in public school: - 35 years and over,Margin of Error; Female: - Enrolled in public school: - 35 years and over,Estimate; Female: - Enrolled in private school:,Margin of Error; Female: - Enrolled in private school:,Estimate; Female: - Enrolled in private school: - 3 and 4 years,Margin of Error; Female: - Enrolled in private school: - 3 and 4 years,Estimate; Female: - Enrolled in private school: - 5 to 9 years,Margin of Error; Female: - Enrolled in private school: - 5 to 9 years,Estimate; Female: - Enrolled in private school: - 10 to 14 years,Margin of Error; Female: - Enrolled in private school: - 10 to 14 years,Estimate; Female: - Enrolled in private school: - 15 to 17 years,Margin of Error; Female: - Enrolled in private school: - 15 to 17 years,Estimate; Female: - Enrolled in private school: - 18 and 19 years,Margin of Error; Female: - Enrolled in private school: - 18 and 19 years,Estimate; Female: - Enrolled in private school: - 20 to 24 years,Margin of Error; Female: - Enrolled in private school: - 20 to 24 years,Estimate; Female: - Enrolled in private school: - 25 to 34 years,Margin of Error; Female: - Enrolled in private school: - 25 to 34 years,Estimate; Female: - Enrolled in private school: - 35 years and over,Margin of Error; Female: - Enrolled in private school: - 35 years and over,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - 3 and 4 years,Margin of Error; Female: - Not enrolled in school: - 3 and 4 years,Estimate; Female: - Not enrolled in school: - 5 to 9 years,Margin of Error; Female: - Not enrolled in school: - 5 to 9 years,Estimate; Female: - Not enrolled in school: - 10 to 14 years,Margin of Error; Female: - Not enrolled in school: - 10 to 14 years,Estimate; Female: - Not enrolled in school: - 15 to 17 years,Margin of Error; Female: - Not enrolled in school: - 15 to 17 years,Estimate; Female: - Not enrolled in school: - 18 and 19 years,Margin of Error; Female: - Not enrolled in school: - 18 and 19 years,Estimate; Female: - Not enrolled in school: - 20 to 24 years,Margin of Error; Female: - Not enrolled in school: - 20 to 24 years,Estimate; Female: - Not enrolled in school: - 25 to 34 years,Margin of Error; Female: - Not enrolled in school: - 25 to 34 years,Estimate; Female: - Not enrolled in school: - 35 years and over,Margin of Error; Female: - Not enrolled in school: - 35 years and over
0500000US01003,01003,"Baldwin County, Alabama",154688,846,75971,1019,16151,1817,441,409,2456,713,6546,1206,2724,653,997,317,1676,783,718,627,593,365,2963,1217,518,302,438,422,751,563,552,466,92,152,0,270,484,671,128,157,56857,1412,894,480,134,167,72,121,86,111,755,363,3898,909,8783,881,42235,800,78717,868,17010,2161,362,373,4351,1044,3753,917,2856,319,1061,459,1406,694,2155,1250,1066,680,3004,1275,427,453,679,568,586,403,104,128,76,140,395,361,598,544,139,167,58703,2162,1125,616,228,271,268,251,68,117,711,431,3008,760,8074,1556,45221,952
0500000US01015,01015,"Calhoun County, Alabama",105591,699,50023,621,10850,1073,103,109,3092,517,3189,555,1629,237,530,249,843,662,1106,528,358,287,1267,488,44,79,422,289,154,248,137,170,302,281,98,128,51,89,59,81,37906,908,1569,489,103,114,84,132,0,270,286,228,2631,707,5765,635,27468,523,55568,687,12055,925,587,427,2518,728,3759,857,1767,439,639,323,1660,558,562,330,563,397,1791,692,413,348,542,271,368,271,42,73,79,112,266,315,81,141,0,270,41722,961,315,271,197,229,92,164,179,225,467,248,2100,548,6688,704,31684,979
0500000US01043,01043,"Cullman County, Alabama",75826,588,37944,429,8468,769,267,206,2525,883,2398,962,1474,145,670,228,709,410,348,285,77,124,915,517,193,206,287,246,58,95,60,108,62,106,0,270,59,94,196,168,28561,740,493,266,157,184,0,270,47,84,316,242,1831,510,5352,291,20365,319,37882,513,8110,849,162,193,2255,552,2151,600,1309,226,651,193,823,367,518,518,241,205,762,401,229,268,201,183,0,270,201,224,34,64,0,270,0,270,97,119,29010,786,318,365,83,162,35,59,9,20,331,295,1454,380,5134,541,21646,352
0500000US01051,01051,"Elmore County, Alabama",64926,497,32052,888,6545,1074,440,349,1766,1003,2143,658,960,350,303,291,508,483,177,187,248,318,3076,1001,245,199,695,460,568,356,564,360,81,165,235,299,326,360,362,276,22431,1084,417,370,61,94,0,270,0,270,598,307,1524,409,3598,576,16233,609,32874,717,6999,1199,250,214,2563,753,1434,438,1095,579,598,439,443,436,406,321,210,215,1791,626,109,149,331,273,489,295,504,310,126,155,0,270,88,121,144,224,24084,749,43,76,169,173,0,270,0,270,220,143,1449,462,4580,706,17623,590
0500000US01055,01055,"Etowah County, Alabama",97370,562,46499,704,10081,905,148,151,3168,566,2937,627,1585,355,683,359,595,314,520,357,445,330,1295,577,66,112,175,171,400,352,150,134,270,331,164,201,0,270,70,116,35123,920,744,557,83,105,67,114,168,168,718,496,2167,460,5447,569,25729,540,50871,590,11062,992,148,152,2744,601,2852,544,1687,318,762,312,781,452,949,516,1139,471,1016,534,35,44,478,421,287,317,96,91,0,270,59,101,0,270,61,121,38793,1100,1115,381,84,101,0,270,249,203,448,272,1978,569,5756,694,29163,499
0500000US01069,01069,"Houston County, Alabama",89716,313,42794,321,8425,668,510,274,2316,428,2474,469,1601,216,558,171,511,231,141,95,314,156,2362,490,306,126,928,401,503,184,424,204,39,46,12,23,62,52,88,72,32007,440,839,226,146,145,100,90,52,54,603,161,2137,229,5387,119,22743,219,46922,394,9058,712,330,163,1982,290,2617,335,1578,181,698,168,705,201,592,250,556,199,2596,691,211,139,689,202,678,352,247,148,41,48,75,72,499,379,156,128,35268,634,1160,385,86,67,83,87,115,95,338,167,1788,186,5318,451,26380,288
0500000US01073,01073,"Jefferson County, Alabama",616641,1763,290677,1279,65065,2897,1530,644,14797,2232,21703,2591,11981,636,4589,1142,5254,958,3278,1029,1933,743,13567,2273,2631,831,3614,1029,2550,1134,1114,548,665,354,1178,534,1024,706,791,352,212045,2623,5462,1056,501,339,444,299,578,416,3027,1111,13745,925,36298,1205,151990,908,325964,1661,65751,2959,2236,922,13890,1755,19118,1842,10878,959,4848,819,5986,1388,4488,1279,4307,1057,14965,2116,1858,571,4856,1158,1937,643,1476,807,768,472,1542,790,1640,979,888,520,245248,3081,5573,1302,1299,605,217,236,899,708,2286,904,13271,1314,37833,1787,183870,1284
0500000US01077,01077,"Lauderdale County, Alabama",82716,615,39579,817,9616,1418,201,233,2165,574,2501,769,1139,438,921,218,1261,424,1025,619,403,384,999,533,194,179,324,290,155,168,0,270,11,21,58,96,130,156,127,154,28964,989,219,252,0,270,157,271,474,437,303,234,1560,451,4602,475,21649,477,43137,670,9968,1216,613,494,1759,570,2612,712,1282,150,625,300,1508,446,847,482,722,417,1272,669,143,177,376,236,262,348,131,150,69,84,231,329,0,270,60,117,31897,867,595,319,0,270,84,144,0,270,328,221,1169,446,4745,439,24976,516
0500000US01081,01081,"Lee County, Alabama",114392,520,56448,521,19122,1395,500,332,2704,629,3707,609,2226,157,2064,205,5764,873,1662,585,495,258,1244,491,125,101,346,266,272,233,114,112,78,107,37,46,55,59,217,210,36082,1220,851,395,92,110,93,112,8,14,91,100,4061,869,8021,648,22865,453,57944,566,19533,1029,408,303,2984,839,3572,822,2034,127,1702,201,6654,815,1368,482,811,275,1273,449,253,210,400,240,279,212,147,125,59,78,52,59,0,270,83,99,37138,931,553,288,106,124,0,270,32,53,253,151,2851,833,7987,488,25356,401
