GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in public school:,Margin of Error; Male: - Enrolled in public school:,Estimate; Male: - Enrolled in public school: - 3 and 4 years,Margin of Error; Male: - Enrolled in public school: - 3 and 4 years,Estimate; Male: - Enrolled in public school: - 5 to 9 years,Margin of Error; Male: - Enrolled in public school: - 5 to 9 years,Estimate; Male: - Enrolled in public school: - 10 to 14 years,Margin of Error; Male: - Enrolled in public school: - 10 to 14 years,Estimate; Male: - Enrolled in public school: - 15 to 17 years,Margin of Error; Male: - Enrolled in public school: - 15 to 17 years,Estimate; Male: - Enrolled in public school: - 18 and 19 years,Margin of Error; Male: - Enrolled in public school: - 18 and 19 years,Estimate; Male: - Enrolled in public school: - 20 to 24 years,Margin of Error; Male: - Enrolled in public school: - 20 to 24 years,Estimate; Male: - Enrolled in public school: - 25 to 34 years,Margin of Error; Male: - Enrolled in public school: - 25 to 34 years,Estimate; Male: - Enrolled in public school: - 35 years and over,Margin of Error; Male: - Enrolled in public school: - 35 years and over,Estimate; Male: - Enrolled in private school:,Margin of Error; Male: - Enrolled in private school:,Estimate; Male: - Enrolled in private school: - 3 and 4 years,Margin of Error; Male: - Enrolled in private school: - 3 and 4 years,Estimate; Male: - Enrolled in private school: - 5 to 9 years,Margin of Error; Male: - Enrolled in private school: - 5 to 9 years,Estimate; Male: - Enrolled in private school: - 10 to 14 years,Margin of Error; Male: - Enrolled in private school: - 10 to 14 years,Estimate; Male: - Enrolled in private school: - 15 to 17 years,Margin of Error; Male: - Enrolled in private school: - 15 to 17 years,Estimate; Male: - Enrolled in private school: - 18 and 19 years,Margin of Error; Male: - Enrolled in private school: - 18 and 19 years,Estimate; Male: - Enrolled in private school: - 20 to 24 years,Margin of Error; Male: - Enrolled in private school: - 20 to 24 years,Estimate; Male: - Enrolled in private school: - 25 to 34 years,Margin of Error; Male: - Enrolled in private school: - 25 to 34 years,Estimate; Male: - Enrolled in private school: - 35 years and over,Margin of Error; Male: - Enrolled in private school: - 35 years and over,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - 3 and 4 years,Margin of Error; Male: - Not enrolled in school: - 3 and 4 years,Estimate; Male: - Not enrolled in school: - 5 to 9 years,Margin of Error; Male: - Not enrolled in school: - 5 to 9 years,Estimate; Male: - Not enrolled in school: - 10 to 14 years,Margin of Error; Male: - Not enrolled in school: - 10 to 14 years,Estimate; Male: - Not enrolled in school: - 15 to 17 years,Margin of Error; Male: - Not enrolled in school: - 15 to 17 years,Estimate; Male: - Not enrolled in school: - 18 and 19 years,Margin of Error; Male: - Not enrolled in school: - 18 and 19 years,Estimate; Male: - Not enrolled in school: - 20 to 24 years,Margin of Error; Male: - Not enrolled in school: - 20 to 24 years,Estimate; Male: - Not enrolled in school: - 25 to 34 years,Margin of Error; Male: - Not enrolled in school: - 25 to 34 years,Estimate; Male: - Not enrolled in school: - 35 years and over,Margin of Error; Male: - Not enrolled in school: - 35 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in public school:,Margin of Error; Female: - Enrolled in public school:,Estimate; Female: - Enrolled in public school: - 3 and 4 years,Margin of Error; Female: - Enrolled in public school: - 3 and 4 years,Estimate; Female: - Enrolled in public school: - 5 to 9 years,Margin of Error; Female: - Enrolled in public school: - 5 to 9 years,Estimate; Female: - Enrolled in public school: - 10 to 14 years,Margin of Error; Female: - Enrolled in public school: - 10 to 14 years,Estimate; Female: - Enrolled in public school: - 15 to 17 years,Margin of Error; Female: - Enrolled in public school: - 15 to 17 years,Estimate; Female: - Enrolled in public school: - 18 and 19 years,Margin of Error; Female: - Enrolled in public school: - 18 and 19 years,Estimate; Female: - Enrolled in public school: - 20 to 24 years,Margin of Error; Female: - Enrolled in public school: - 20 to 24 years,Estimate; Female: - Enrolled in public school: - 25 to 34 years,Margin of Error; Female: - Enrolled in public school: - 25 to 34 years,Estimate; Female: - Enrolled in public school: - 35 years and over,Margin of Error; Female: - Enrolled in public school: - 35 years and over,Estimate; Female: - Enrolled in private school:,Margin of Error; Female: - Enrolled in private school:,Estimate; Female: - Enrolled in private school: - 3 and 4 years,Margin of Error; Female: - Enrolled in private school: - 3 and 4 years,Estimate; Female: - Enrolled in private school: - 5 to 9 years,Margin of Error; Female: - Enrolled in private school: - 5 to 9 years,Estimate; Female: - Enrolled in private school: - 10 to 14 years,Margin of Error; Female: - Enrolled in private school: - 10 to 14 years,Estimate; Female: - Enrolled in private school: - 15 to 17 years,Margin of Error; Female: - Enrolled in private school: - 15 to 17 years,Estimate; Female: - Enrolled in private school: - 18 and 19 years,Margin of Error; Female: - Enrolled in private school: - 18 and 19 years,Estimate; Female: - Enrolled in private school: - 20 to 24 years,Margin of Error; Female: - Enrolled in private school: - 20 to 24 years,Estimate; Female: - Enrolled in private school: - 25 to 34 years,Margin of Error; Female: - Enrolled in private school: - 25 to 34 years,Estimate; Female: - Enrolled in private school: - 35 years and over,Margin of Error; Female: - Enrolled in private school: - 35 years and over,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - 3 and 4 years,Margin of Error; Female: - Not enrolled in school: - 3 and 4 years,Estimate; Female: - Not enrolled in school: - 5 to 9 years,Margin of Error; Female: - Not enrolled in school: - 5 to 9 years,Estimate; Female: - Not enrolled in school: - 10 to 14 years,Margin of Error; Female: - Not enrolled in school: - 10 to 14 years,Estimate; Female: - Not enrolled in school: - 15 to 17 years,Margin of Error; Female: - Not enrolled in school: - 15 to 17 years,Estimate; Female: - Not enrolled in school: - 18 and 19 years,Margin of Error; Female: - Not enrolled in school: - 18 and 19 years,Estimate; Female: - Not enrolled in school: - 20 to 24 years,Margin of Error; Female: - Not enrolled in school: - 20 to 24 years,Estimate; Female: - Not enrolled in school: - 25 to 34 years,Margin of Error; Female: - Not enrolled in school: - 25 to 34 years,Estimate; Female: - Not enrolled in school: - 35 years and over,Margin of Error; Female: - Not enrolled in school: - 35 years and over
0500000US01003,01003,"Baldwin County, Alabama",198972,1292,97705,1505,19504,1836,1004,547,5904,1284,6153,1132,3265,612,679,505,1048,609,1029,687,422,363,2868,1043,259,248,777,441,481,363,792,404,116,200,99,166,344,408,0,192,75333,1618,1640,534,401,355,531,832,0,192,1123,417,4484,853,10903,1464,56251,926,101267,930,18747,1782,410,324,4737,1240,5538,981,3303,509,1578,737,1907,790,623,534,651,422,3753,1174,545,468,1117,526,679,505,558,421,232,285,320,301,74,117,228,247,78767,1700,1409,712,551,652,99,158,0,192,1015,956,2480,775,10761,1321,62452,1086
0500000US01015,01015,"Calhoun County, Alabama",111569,554,53701,710,12303,1114,314,308,3793,947,2771,922,2382,625,1182,319,1321,705,227,215,313,296,1811,712,169,203,322,251,615,373,562,377,15,26,128,155,0,192,0,192,39587,1046,493,332,117,157,0,192,0,192,344,269,2791,840,6582,574,29260,619,57868,711,12713,1125,275,236,2965,638,3171,744,1921,308,1722,593,1160,524,641,379,858,585,1085,408,261,203,200,186,191,197,86,126,0,192,43,65,159,151,145,156,44070,1261,563,438,51,91,181,230,46,76,396,418,2631,736,6946,759,33256,764
0500000US01043,01043,"Cullman County, Alabama",78671,508,38602,513,6493,771,0,192,1340,684,2802,664,1429,175,523,292,223,223,75,109,101,109,960,661,95,162,42,70,225,238,182,163,0,192,260,378,7,12,149,226,31149,791,797,391,91,107,540,390,0,192,381,278,1906,406,5132,258,22302,333,40069,400,8309,662,99,131,2182,529,2444,482,1308,239,1105,510,480,387,543,438,148,130,609,291,0,192,244,200,81,91,85,113,0,192,112,180,34,73,53,83,31151,766,514,306,270,217,169,129,125,204,109,152,1752,609,4271,480,23941,265
0500000US01051,01051,"Elmore County, Alabama",78832,666,38347,746,7076,1189,177,213,1605,529,2414,894,1324,342,572,405,736,432,248,224,0,192,1826,753,266,362,541,413,409,218,226,211,88,108,39,78,154,189,103,107,29445,1109,823,540,70,121,426,513,77,103,589,584,2034,563,4239,543,21187,375,40485,667,7529,1319,235,271,1766,792,2570,627,965,344,488,344,725,382,175,197,605,490,2298,865,245,298,409,298,436,347,378,208,53,94,166,195,316,299,295,283,30658,1243,191,302,0,192,508,506,165,232,224,215,1492,609,5152,799,22926,587
0500000US01055,01055,"Etowah County, Alabama",99881,781,48166,876,9328,982,498,318,3308,805,2238,671,1303,429,839,270,545,313,407,262,190,130,1435,481,222,271,261,223,246,205,671,314,0,192,0,192,35,59,0,192,37403,874,463,404,419,457,55,95,76,85,295,214,2683,430,5322,453,28090,554,51715,807,10943,864,294,264,2049,645,3980,601,1646,314,807,182,806,385,766,389,595,350,624,419,212,310,101,133,41,70,191,221,0,192,0,192,79,97,0,192,40148,920,840,462,211,220,0,192,83,102,395,340,2552,390,4609,424,31458,425
0500000US01069,01069,"Houston County, Alabama",100683,451,48392,362,10533,575,286,163,2656,487,3554,549,1849,162,586,166,780,253,450,201,372,143,1984,506,210,154,430,189,637,238,289,152,32,32,28,36,130,85,228,230,35875,505,1093,316,129,92,12,20,0,192,478,188,2242,319,6041,293,25880,278,52291,326,9267,629,140,105,2502,453,2564,495,1479,229,524,128,658,253,889,243,511,185,2798,443,262,153,767,225,606,220,480,186,135,115,154,95,160,89,234,179,40226,643,761,230,180,153,26,32,146,158,332,140,2245,243,6104,309,30432,290
0500000US01073,01073,"Jefferson County, Alabama",636824,1575,300044,1347,66392,2871,2967,915,18099,1632,18976,1690,10432,863,4160,789,4923,1095,3518,1270,3317,1135,12553,1721,2461,848,2748,760,1590,558,1427,543,1018,388,1714,646,618,381,977,539,221099,2820,4343,917,1239,623,122,148,889,509,2777,742,14360,1276,41039,1189,156330,1239,336780,1313,70921,2916,1972,782,17303,1773,18168,1733,11121,640,4682,785,9096,1797,5126,1291,3453,779,14376,2285,3212,865,3238,1177,1285,606,1198,491,1283,860,1290,576,1112,624,1758,742,251483,3150,4218,945,1209,730,231,247,294,224,1542,646,11813,1597,44545,1713,187631,1201
0500000US01077,01077,"Lauderdale County, Alabama",89521,507,42723,715,9949,1544,244,212,2072,763,2405,846,1538,163,652,454,2272,1075,677,374,89,102,858,423,28,35,241,281,63,70,84,105,218,218,224,188,0,192,0,192,31916,1303,365,364,440,367,453,497,38,64,301,420,1713,468,4026,347,24580,760,46798,832,9782,1166,452,303,2765,751,1351,577,1583,437,886,306,2253,746,256,202,236,237,934,519,58,83,457,449,87,118,232,224,43,79,37,62,0,192,20,34,36082,1045,508,344,125,203,0,192,0,192,130,185,1945,753,5052,466,28322,447
0500000US01081,01081,"Lee County, Alabama",152084,1101,74751,1962,24019,2024,385,398,5086,1096,3967,1085,2113,317,3497,520,6823,1332,1578,803,570,318,2447,852,280,210,250,250,509,389,513,323,61,98,202,329,347,352,285,251,48285,2706,1239,604,153,195,0,192,65,106,1130,771,3638,1314,8220,841,33840,1748,77333,1515,25188,2204,224,245,3627,1391,4231,914,2218,317,3933,958,7800,1292,2140,829,1015,542,2035,1005,143,145,609,365,368,321,164,178,46,87,548,648,106,134,51,126,50110,1979,1743,486,592,553,0,192,244,274,694,681,2812,943,7857,900,36168,947
