GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in public school:,Margin of Error; Male: - Enrolled in public school:,Estimate; Male: - Enrolled in public school: - 3 and 4 years,Margin of Error; Male: - Enrolled in public school: - 3 and 4 years,Estimate; Male: - Enrolled in public school: - 5 to 9 years,Margin of Error; Male: - Enrolled in public school: - 5 to 9 years,Estimate; Male: - Enrolled in public school: - 10 to 14 years,Margin of Error; Male: - Enrolled in public school: - 10 to 14 years,Estimate; Male: - Enrolled in public school: - 15 to 17 years,Margin of Error; Male: - Enrolled in public school: - 15 to 17 years,Estimate; Male: - Enrolled in public school: - 18 and 19 years,Margin of Error; Male: - Enrolled in public school: - 18 and 19 years,Estimate; Male: - Enrolled in public school: - 20 to 24 years,Margin of Error; Male: - Enrolled in public school: - 20 to 24 years,Estimate; Male: - Enrolled in public school: - 25 to 34 years,Margin of Error; Male: - Enrolled in public school: - 25 to 34 years,Estimate; Male: - Enrolled in public school: - 35 years and over,Margin of Error; Male: - Enrolled in public school: - 35 years and over,Estimate; Male: - Enrolled in private school:,Margin of Error; Male: - Enrolled in private school:,Estimate; Male: - Enrolled in private school: - 3 and 4 years,Margin of Error; Male: - Enrolled in private school: - 3 and 4 years,Estimate; Male: - Enrolled in private school: - 5 to 9 years,Margin of Error; Male: - Enrolled in private school: - 5 to 9 years,Estimate; Male: - Enrolled in private school: - 10 to 14 years,Margin of Error; Male: - Enrolled in private school: - 10 to 14 years,Estimate; Male: - Enrolled in private school: - 15 to 17 years,Margin of Error; Male: - Enrolled in private school: - 15 to 17 years,Estimate; Male: - Enrolled in private school: - 18 and 19 years,Margin of Error; Male: - Enrolled in private school: - 18 and 19 years,Estimate; Male: - Enrolled in private school: - 20 to 24 years,Margin of Error; Male: - Enrolled in private school: - 20 to 24 years,Estimate; Male: - Enrolled in private school: - 25 to 34 years,Margin of Error; Male: - Enrolled in private school: - 25 to 34 years,Estimate; Male: - Enrolled in private school: - 35 years and over,Margin of Error; Male: - Enrolled in private school: - 35 years and over,Estimate; Male: - Not enrolled in school:,Margin of Error; Male: - Not enrolled in school:,Estimate; Male: - Not enrolled in school: - 3 and 4 years,Margin of Error; Male: - Not enrolled in school: - 3 and 4 years,Estimate; Male: - Not enrolled in school: - 5 to 9 years,Margin of Error; Male: - Not enrolled in school: - 5 to 9 years,Estimate; Male: - Not enrolled in school: - 10 to 14 years,Margin of Error; Male: - Not enrolled in school: - 10 to 14 years,Estimate; Male: - Not enrolled in school: - 15 to 17 years,Margin of Error; Male: - Not enrolled in school: - 15 to 17 years,Estimate; Male: - Not enrolled in school: - 18 and 19 years,Margin of Error; Male: - Not enrolled in school: - 18 and 19 years,Estimate; Male: - Not enrolled in school: - 20 to 24 years,Margin of Error; Male: - Not enrolled in school: - 20 to 24 years,Estimate; Male: - Not enrolled in school: - 25 to 34 years,Margin of Error; Male: - Not enrolled in school: - 25 to 34 years,Estimate; Male: - Not enrolled in school: - 35 years and over,Margin of Error; Male: - Not enrolled in school: - 35 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in public school:,Margin of Error; Female: - Enrolled in public school:,Estimate; Female: - Enrolled in public school: - 3 and 4 years,Margin of Error; Female: - Enrolled in public school: - 3 and 4 years,Estimate; Female: - Enrolled in public school: - 5 to 9 years,Margin of Error; Female: - Enrolled in public school: - 5 to 9 years,Estimate; Female: - Enrolled in public school: - 10 to 14 years,Margin of Error; Female: - Enrolled in public school: - 10 to 14 years,Estimate; Female: - Enrolled in public school: - 15 to 17 years,Margin of Error; Female: - Enrolled in public school: - 15 to 17 years,Estimate; Female: - Enrolled in public school: - 18 and 19 years,Margin of Error; Female: - Enrolled in public school: - 18 and 19 years,Estimate; Female: - Enrolled in public school: - 20 to 24 years,Margin of Error; Female: - Enrolled in public school: - 20 to 24 years,Estimate; Female: - Enrolled in public school: - 25 to 34 years,Margin of Error; Female: - Enrolled in public school: - 25 to 34 years,Estimate; Female: - Enrolled in public school: - 35 years and over,Margin of Error; Female: - Enrolled in public school: - 35 years and over,Estimate; Female: - Enrolled in private school:,Margin of Error; Female: - Enrolled in private school:,Estimate; Female: - Enrolled in private school: - 3 and 4 years,Margin of Error; Female: - Enrolled in private school: - 3 and 4 years,Estimate; Female: - Enrolled in private school: - 5 to 9 years,Margin of Error; Female: - Enrolled in private school: - 5 to 9 years,Estimate; Female: - Enrolled in private school: - 10 to 14 years,Margin of Error; Female: - Enrolled in private school: - 10 to 14 years,Estimate; Female: - Enrolled in private school: - 15 to 17 years,Margin of Error; Female: - Enrolled in private school: - 15 to 17 years,Estimate; Female: - Enrolled in private school: - 18 and 19 years,Margin of Error; Female: - Enrolled in private school: - 18 and 19 years,Estimate; Female: - Enrolled in private school: - 20 to 24 years,Margin of Error; Female: - Enrolled in private school: - 20 to 24 years,Estimate; Female: - Enrolled in private school: - 25 to 34 years,Margin of Error; Female: - Enrolled in private school: - 25 to 34 years,Estimate; Female: - Enrolled in private school: - 35 years and over,Margin of Error; Female: - Enrolled in private school: - 35 years and over,Estimate; Female: - Not enrolled in school:,Margin of Error; Female: - Not enrolled in school:,Estimate; Female: - Not enrolled in school: - 3 and 4 years,Margin of Error; Female: - Not enrolled in school: - 3 and 4 years,Estimate; Female: - Not enrolled in school: - 5 to 9 years,Margin of Error; Female: - Not enrolled in school: - 5 to 9 years,Estimate; Female: - Not enrolled in school: - 10 to 14 years,Margin of Error; Female: - Not enrolled in school: - 10 to 14 years,Estimate; Female: - Not enrolled in school: - 15 to 17 years,Margin of Error; Female: - Not enrolled in school: - 15 to 17 years,Estimate; Female: - Not enrolled in school: - 18 and 19 years,Margin of Error; Female: - Not enrolled in school: - 18 and 19 years,Estimate; Female: - Not enrolled in school: - 20 to 24 years,Margin of Error; Female: - Not enrolled in school: - 20 to 24 years,Estimate; Female: - Not enrolled in school: - 25 to 34 years,Margin of Error; Female: - Not enrolled in school: - 25 to 34 years,Estimate; Female: - Not enrolled in school: - 35 years and over,Margin of Error; Female: - Not enrolled in school: - 35 years and over
310M300US10180,10180,"Abilene, TX Metro Area",162843,2869,82881,1821,16961,1476,272,274,4964,980,5383,901,3438,477,637,510,1123,830,734,336,410,304,4351,1132,466,302,476,427,289,266,129,187,759,429,1451,652,380,354,401,248,61569,1866,1280,564,682,464,92,151,55,96,382,282,7051,1203,12961,1223,39066,990,79962,1752,15227,1423,168,206,4127,771,5876,783,2300,574,973,548,736,348,565,315,482,308,4946,1137,246,221,531,354,186,153,0,225,797,361,1723,694,1250,578,213,174,59789,1969,1634,727,222,213,0,225,404,507,739,421,5185,1029,10023,951,41582,933
310M300US10420,10420,"Akron, OH Metro Area",681386,1746,330506,1477,70004,3147,1860,850,16344,1945,17138,1843,11340,785,6498,834,11312,1794,3492,1094,2020,687,14384,2381,2482,847,3145,945,3549,997,1983,608,1187,727,596,281,969,640,473,269,246118,2744,2710,774,1067,501,424,359,464,344,2581,967,13799,1711,41620,1568,183453,1212,350880,1331,71576,3596,1712,729,15215,1639,15905,1631,10690,777,8418,1167,11752,1623,3945,1060,3939,1039,14248,2258,2054,628,3389,1048,2936,877,2069,634,456,278,880,557,1234,722,1230,569,265056,3283,4114,1052,1377,670,461,373,274,263,1932,843,13983,1429,38707,1510,204208,1290
310M300US10500,10500,"Albany, GA Metro Area",146540,1769,69355,1234,17565,1636,1313,624,4393,1050,4724,777,2678,444,1218,617,2102,815,648,557,489,369,2002,691,28,52,500,279,517,291,434,236,120,202,267,339,40,75,96,123,49788,1322,1201,640,0,224,64,110,129,156,1018,508,3216,860,8432,1140,35728,921,77185,1670,22102,1849,1624,772,5828,903,3558,796,2215,426,1799,668,2007,723,2094,796,2977,856,1767,830,0,224,298,190,473,245,216,157,16,31,56,78,143,206,565,592,53316,1943,770,641,198,278,112,153,76,131,1126,677,2734,781,7652,1080,40648,1172
310M300US10540,10540,"Albany, OR Metro Area",120113,751,59443,723,10799,973,24,40,4310,872,3055,802,1926,392,284,265,604,380,228,237,368,290,1619,682,143,151,653,407,400,293,5,12,61,84,218,222,0,207,139,178,47025,989,934,421,143,174,0,207,337,252,950,402,2658,595,7982,572,34021,633,60670,933,11324,1132,107,152,2798,773,3740,837,2571,426,504,220,715,567,810,863,79,115,1304,631,83,141,426,250,388,256,120,163,125,171,0,207,122,203,40,67,48042,1043,1394,747,140,168,0,207,0,207,432,256,2643,623,6998,953,36435,508
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",859898,1675,419559,2261,85818,3149,2606,869,21832,1923,23085,2125,13909,1201,9572,1752,8889,1569,3590,934,2335,875,21746,2410,2550,715,2265,982,1809,720,1631,616,4826,1011,6127,1271,1484,621,1054,388,311995,3074,4012,988,847,446,513,345,270,212,4073,1244,18934,2145,50224,1897,233122,2050,440339,2156,87936,3429,3204,1034,20283,2000,21420,1961,14904,1425,7491,1280,11407,2058,5717,1371,3510,923,26803,2533,2442,841,2300,591,2651,980,818,404,5386,1052,7599,1462,3247,910,2360,702,325600,3140,3165,983,1269,555,219,275,59,95,1191,602,15825,1663,46029,1838,257843,2192
310M300US10740,10740,"Albuquerque, NM Metro Area",880316,3445,428673,2406,98040,3754,2112,803,23239,2091,28437,2155,15005,1096,6634,1344,9698,1456,7155,1728,5760,1174,11278,1974,1247,551,2345,798,3142,1034,1650,709,361,279,446,242,1004,617,1083,565,319355,4531,5650,1521,1394,816,913,484,563,423,5196,1171,18636,1832,56945,1972,230058,2036,451643,2335,106022,3839,2998,1183,22123,2177,28100,2307,16855,1069,9521,1464,9051,1392,9170,1530,8204,1558,15930,2458,1520,589,2805,898,3009,990,1201,571,675,366,1027,523,2781,1053,2912,893,329691,3726,5451,1312,1011,478,318,327,797,543,2286,818,18510,1813,50567,2073,250751,1908
310M300US10780,10780,"Alexandria, LA Metro Area",147610,842,74010,1162,17711,2007,595,401,5001,1121,4464,888,3035,404,1687,711,680,489,862,575,1387,797,3554,1328,388,380,1329,850,812,389,208,184,190,140,512,249,107,168,8,17,52745,1744,869,525,88,146,176,292,8,17,728,431,3873,789,8251,648,38752,1414,73600,1131,15935,1821,666,501,3405,918,3817,907,2355,353,1279,595,1426,644,1334,707,1653,828,3515,1233,191,242,548,436,1463,844,187,165,442,359,415,279,219,255,50,83,54150,1446,771,537,287,245,8,16,629,400,121,153,2089,573,7624,788,42621,1140
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",816573,1945,401872,1887,80282,2757,2798,794,20136,1938,25725,2164,15667,1125,5461,862,6097,1319,2130,703,2268,633,19753,2318,2340,748,2741,790,3239,1037,1994,774,3699,646,3820,1020,814,475,1106,544,301837,2915,5272,1149,510,251,436,279,227,204,2230,700,18057,1541,48614,1605,226491,1421,414701,1489,76967,2956,2652,866,17111,1554,25105,1919,13189,947,6113,1191,5972,1351,3541,946,3284,851,23565,2532,1866,746,3440,1043,2070,638,1863,634,3638,731,6482,1428,2254,825,1952,594,314169,2524,3962,871,1136,553,58,80,315,276,2490,879,14082,1567,44432,1615,247694,1375
310M300US11020,11020,"Altoona, PA Metro Area",120629,504,58844,531,11331,1144,1108,428,2366,536,3361,660,2073,417,1061,447,664,317,458,541,240,205,2345,897,244,203,399,281,670,437,365,324,14,27,288,226,286,272,79,86,45168,1069,655,422,154,142,165,249,106,114,547,369,2291,419,7093,726,34157,492,61785,532,11700,852,964,322,3106,688,3276,625,1859,253,1133,231,855,480,228,152,279,207,2026,652,256,188,243,231,238,195,146,124,19,37,361,242,373,359,390,328,48059,881,549,324,93,101,21,37,102,117,168,208,1900,511,7178,550,38048,534
