SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED,GRADS,ACADEMIC,CAREER,NONDUP,EL,BONUS,TRANSITIONRATE,TRANRATEWBONUS
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ACD,N,12,5,2,7,0,0,58.3,58.3
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,TST,N,177,104,111,147,0,34,83.1,87.9
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ALT,Y,0,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,CSG,N,29,15,11,19,0,1,65.5,66.4
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ELM,Y,4,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ELN,Y,173,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETA,Y,0,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETB,Y,5,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETH,Y,8,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETI,Y,0,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETO,Y,7,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETP,Y,0,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETW,N,157,93,102,134,0,33,85.4,90.6
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,FOS,Y,3,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,HOM,Y,3,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LEN,Y,173,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LEP,Y,4,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LUN,N,66,46,52,60,0,14,90.9,96.2
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LUP,N,111,58,59,87,0,20,78.4,82.9
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,MIG,Y,3,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,MIL,Y,0,,,,,,,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,SXF,N,80,49,48,65,0,10,81.3,84.4
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,SXM,N,97,55,63,82,0,24,84.5,90.7
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ACO,N,165,99,109,140,0,34,84.8,90
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETH,Y,8,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETI,Y,0,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETO,Y,7,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETP,Y,0,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETW,N,157,93,102,134,0,33,85.4,90.6
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,FOS,Y,3,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,HOM,Y,3,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LEN,Y,173,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LEP,Y,4,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LUN,N,66,46,52,60,0,14,90.9,96.2
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LUP,N,111,58,59,87,0,20,78.4,82.9
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,MIG,Y,3,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,MIL,Y,0,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,SXF,N,80,49,48,65,0,10,81.3,84.4
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,SXM,N,97,55,63,82,0,24,84.5,90.7
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,TST,N,177,104,111,147,0,34,83.1,87.9
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ACD,N,12,5,2,7,0,0,58.3,58.3
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ACO,N,165,99,109,140,0,34,84.8,90
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ALT,Y,0,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,CSG,N,29,15,11,19,0,1,65.5,66.4
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ELM,Y,4,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ELN,Y,173,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETA,Y,0,,,,,,,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETB,Y,5,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ACD,N,17,5,5,7,0,2,41.2,44.1
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ACO,N,204,123,145,169,0,38,82.8,87.5
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,TST,N,221,128,150,176,0,40,79.6,84.2
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,SXM,N,116,59,71,85,0,25,73.3,78.7
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,SXF,N,105,69,79,91,0,15,86.7,90.2
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,MIL,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,MIG,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LUP,N,109,57,64,81,0,16,74.3,78
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LUN,N,112,71,86,95,0,24,84.8,90.2
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LEP,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,LEN,Y,219,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,HOM,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,FOS,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETW,N,206,121,145,167,0,40,81.1,85.9
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETP,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETO,Y,5,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETI,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETH,Y,8,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETB,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ETA,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ELN,Y,219,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ELM,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,CSG,N,29,12,10,16,0,2,55.2,56.9
20182019,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,ALT,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ACD,N,17,5,5,7,0,2,41.2,44.1
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,TST,N,221,128,150,176,0,40,79.6,84.2
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,SXF,N,105,69,79,91,0,15,86.7,90.2
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,MIL,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,MIG,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LUP,N,109,57,64,81,0,16,74.3,78
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LUN,N,112,71,86,95,0,24,84.8,90.2
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LEP,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,LEN,Y,219,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,HOM,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,FOS,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETW,N,206,121,145,167,0,40,81.1,85.9
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETP,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETO,Y,5,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETI,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETH,Y,8,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETB,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ETA,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ELN,Y,219,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ELM,Y,2,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,CSG,N,29,12,10,16,0,2,55.2,56.9
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ALT,Y,0,,,,,,,
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,ACO,N,204,123,145,169,0,38,82.8,87.5
20182019,002,ALLEN,005,Allen County,,---District Total---,005,,,GRREC,902,SXM,N,116,59,71,85,0,25,73.3,78.7
