SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,COLLEGE COUNT,TECHNICAL TRAINING COUNT,MILITARY COUNT,WORKING COUNT,WORK AND SCHOOL COUNT,OTHER COUNT,COLLEGE PERCENT,TECHNICAL TRAINING PERCENT,MILITARY PERCENT,WORKING PERCENT,WORK AND SCHOOL PERCENT,OTHER PERCENT
20192020,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,79,9,3,61,*,31,43.2,4.9,1.6,33.3,*,16.9
20192020,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,79,9,3,61,*,21,45.7,5.2,1.7,35.3,*,12.1
20192020,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,GRREC,902,*,*,*,*,*,10,*,*,*,*,*,100.0
20192020,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,52,7,*,52,49,69,22.6,3,*,22.6,21.3,30
20192020,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,52,7,*,52,49,69,22.6,3.0,*,22.6,21.3,30.0
20192020,003,ANDERSON,011,Anderson County,"",---District Total---,011,"","",CKEC,901,158,7,10,49,14,3,65.6,*,4.1,20.3,5.8,1.2
20192020,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,157,7,10,49,14,3,65.4,*,4.2,20.4,5.8,1.3
20192020,003,ANDERSON,011,Anderson County,030,APEX Academy,011030,003011030,210012002371,CKEC,901,*,*,*,*,*,*,*,*,*,*,*,*
20192020,010,BOYD,012,Ashland Independent,"",---District Total---,012,"","",KEDC,903,155,7,15,24,16,31,62.5,*,6,9.7,6.5,12.5
20192020,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,155,7,15,24,16,31,62.5,*,6.0,9.7,6.5,12.5
20192020,012,BRACKEN,013,Augusta Independent,"",---District Total---,013,"","",KEDC,903,7,3,*,4,*,*,46.7,20,*,26.7,*,*
20192020,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,7,3,*,4,*,*,46.7,20.0,*,26.7,*,*
20192020,004,BALLARD,015,Ballard County,"",---District Total---,015,"","",WKEC,908,44,*,9,24,14,11,42.7,*,8.7,23.3,13.6,10.7
20192020,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,WKEC,908,44,*,9,24,14,11,42.7,*,8.7,23.3,13.6,10.7
20192020,061,KNOX,016,Barbourville Independent,"",---District Total---,016,"","",SESC,907,26,*,*,7,7,*,59.1,4.5,*,15.9,15.9,*
20192020,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,26,*,*,7,7,*,59.1,4.5,*,15.9,15.9,*
