"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Jefferson County, AL"	"01073"	7427	662845	1120.47	1057.55
	"1999"	"1999"	"Duval County, FL"	"12031"	6660	773150	861.41	1013.18
	"1999"	"1999"	"Marion County, IN"	"18097"	7931	857461	924.94	1033.36
	"1999"	"1999"	"Jefferson County, KY"	"21111"	7077	691879	1022.87	985.25
	"1999"	"1999"	"Kent County, MI"	"26081"	4089	568731	718.97	835.56
	"1999"	"1999"	"Jackson County, MO"	"29095"	6299	654073	963.04	965.91
	"1999"	"1999"	"St. Louis County, MO"	"29189"	9812	1016040	965.71	876.04
	"1999"	"1999"	"St. Louis city, MO"	"29510"	4561	350156	1302.56	1221.49
	"1999"	"1999"	"Douglas County, NE"	"31055"	3668	460798	796.01	896.60
	"1999"	"1999"	"Guilford County, NC"	"37081"	3453	416459	829.13	882.98
	"1999"	"1999"	"Mecklenburg County, NC"	"37119"	4418	682071	647.73	879.59
	"1999"	"1999"	"Wake County, NC"	"37183"	3198	612728	521.93	817.56
	"1999"	"1999"	"Franklin County, OH"	"39049"	8279	1061223	780.14	984.45
	"1999"	"1999"	"Hamilton County, OH"	"39061"	8532	849917	1003.86	951.18
	"1999"	"1999"	"Montgomery County, OH"	"39113"	5679	561944	1010.60	978.84
	"1999"	"1999"	"Oklahoma County, OK"	"40109"	6433	657182	978.88	1018.82
	"1999"	"1999"	"Tulsa County, OK"	"40143"	5037	561682	896.77	954.87
	"1999"	"1999"	"Greenville County, SC"	"45045"	3231	374851	861.94	926.96
	"1999"	"1999"	"Davidson County, TN"	"47037"	5038	567251	888.14	976.64
	"1999"	"1999"	"Knox County, TN"	"47093"	3541	380010	931.82	944.13
	"1999"	"1999"	"Shelby County, TN"	"47157"	7875	893826	881.04	1061.54
	"1999"	"1999"	"Richmond city, VA"	"51760"	2318	199145	1163.98	1119.65
	"2000"	"2000"	"Jefferson County, AL"	"01073"	7187	662047	1085.57	1023.33
	"2000"	"2000"	"Duval County, FL"	"12031"	6675	778879	857.00	997.87
	"2000"	"2000"	"Marion County, IN"	"18097"	7666	860454	890.93	995.42
	"2000"	"2000"	"Jefferson County, KY"	"21111"	7184	693604	1035.75	994.59
	"2000"	"2000"	"Kent County, MI"	"26081"	4115	574335	716.48	833.05
	"2000"	"2000"	"Jackson County, MO"	"29095"	6087	654880	929.48	932.49
	"2000"	"2000"	"St. Louis County, MO"	"29189"	9656	1016315	950.10	855.98
	"2000"	"2000"	"St. Louis city, MO"	"29510"	4210	348189	1209.11	1130.47
	"2000"	"2000"	"Douglas County, NE"	"31055"	3536	463585	762.75	855.72
	"2000"	"2000"	"Guilford County, NC"	"37081"	3573	421048	848.60	905.98
	"2000"	"2000"	"Mecklenburg County, NC"	"37119"	4594	695454	660.58	897.16
	"2000"	"2000"	"Wake County, NC"	"37183"	3251	627846	517.80	818.15
	"2000"	"2000"	"Franklin County, OH"	"39049"	8128	1068978	760.35	958.95
	"2000"	"2000"	"Hamilton County, OH"	"39061"	8332	845303	985.68	928.64
	"2000"	"2000"	"Montgomery County, OH"	"39113"	5597	559062	1001.14	961.19
	"2000"	"2000"	"Oklahoma County, OK"	"40109"	6373	660448	964.95	1002.65
	"2000"	"2000"	"Tulsa County, OK"	"40143"	5162	563299	916.39	971.35
	"2000"	"2000"	"Greenville County, SC"	"45045"	3355	379616	883.79	943.62
	"2000"	"2000"	"Davidson County, TN"	"47037"	5063	569891	888.42	973.04
	"2000"	"2000"	"Knox County, TN"	"47093"	3621	382032	947.83	956.11
	"2000"	"2000"	"Shelby County, TN"	"47157"	8200	897472	913.68	1104.09
	"2000"	"2000"	"Richmond city, VA"	"51760"	2473	197790	1250.32	1210.56
	"2001"	"2001"	"Jefferson County, AL"	"01073"	7228	660197	1094.82	1034.17
	"2001"	"2001"	"Duval County, FL"	"12031"	6904	790681	873.17	1001.93
	"2001"	"2001"	"Marion County, IN"	"18097"	7648	865662	883.49	986.91
