"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Jefferson County, AL"	"01073"	7415	662845	1118.66	1055.81
	"1999"	"1999"	"Duval County, FL"	"12031"	6651	773150	860.25	1011.95
	"1999"	"1999"	"Marion County, IN"	"18097"	7912	857461	922.72	1031.11
	"1999"	"1999"	"Jefferson County, KY"	"21111"	7067	691879	1021.42	983.85
	"1999"	"1999"	"Kent County, MI"	"26081"	4081	568731	717.56	833.95
	"1999"	"1999"	"Jackson County, MO"	"29095"	6285	654073	960.90	963.73
	"1999"	"1999"	"St. Louis County, MO"	"29189"	9793	1016040	963.84	874.23
	"1999"	"1999"	"St. Louis city, MO"	"29510"	4552	350156	1299.99	1218.88
	"1999"	"1999"	"Douglas County, NE"	"31055"	3656	460798	793.41	893.75
	"1999"	"1999"	"Guilford County, NC"	"37081"	3446	416459	827.45	881.23
	"1999"	"1999"	"Mecklenburg County, NC"	"37119"	4410	682071	646.56	878.19
	"1999"	"1999"	"Wake County, NC"	"37183"	3193	612728	521.11	816.55
	"1999"	"1999"	"Franklin County, OH"	"39049"	8270	1061223	779.29	983.44
	"1999"	"1999"	"Hamilton County, OH"	"39061"	8513	849917	1001.63	948.96
	"1999"	"1999"	"Montgomery County, OH"	"39113"	5671	561944	1009.18	977.48
	"1999"	"1999"	"Oklahoma County, OK"	"40109"	6420	657182	976.90	1016.82
	"1999"	"1999"	"Tulsa County, OK"	"40143"	5030	561682	895.52	953.56
	"1999"	"1999"	"Greenville County, SC"	"45045"	3229	374851	861.41	926.41
	"1999"	"1999"	"Davidson County, TN"	"47037"	5031	567251	886.91	975.41
	"1999"	"1999"	"Knox County, TN"	"47093"	3538	380010	931.03	943.28
	"1999"	"1999"	"Shelby County, TN"	"47157"	7861	893826	879.48	1059.69
	"1999"	"1999"	"Richmond city, VA"	"51760"	2309	199145	1159.46	1115.01
	"2000"	"2000"	"Jefferson County, AL"	"01073"	7168	662047	1082.70	1020.55
	"2000"	"2000"	"Duval County, FL"	"12031"	6663	778879	855.46	996.17
	"2000"	"2000"	"Marion County, IN"	"18097"	7640	860454	887.90	992.15
	"2000"	"2000"	"Jefferson County, KY"	"21111"	7174	693604	1034.31	993.18
	"2000"	"2000"	"Kent County, MI"	"26081"	4107	574335	715.09	831.50
	"2000"	"2000"	"Jackson County, MO"	"29095"	6071	654880	927.04	930.03
	"2000"	"2000"	"St. Louis County, MO"	"29189"	9641	1016315	948.62	854.60
	"2000"	"2000"	"St. Louis city, MO"	"29510"	4198	348189	1205.67	1126.96
	"2000"	"2000"	"Douglas County, NE"	"31055"	3519	463585	759.08	851.65
	"2000"	"2000"	"Guilford County, NC"	"37081"	3569	421048	847.65	905.02
	"2000"	"2000"	"Mecklenburg County, NC"	"37119"	4585	695454	659.28	895.33
	"2000"	"2000"	"Wake County, NC"	"37183"	3246	627846	517.01	817.03
	"2000"	"2000"	"Franklin County, OH"	"39049"	8114	1068978	759.04	957.37
	"2000"	"2000"	"Hamilton County, OH"	"39061"	8314	845303	983.55	926.60
	"2000"	"2000"	"Montgomery County, OH"	"39113"	5593	559062	1000.43	960.53
	"2000"	"2000"	"Oklahoma County, OK"	"40109"	6364	660448	963.59	1001.27
	"2000"	"2000"	"Tulsa County, OK"	"40143"	5152	563299	914.61	969.49
	"2000"	"2000"	"Greenville County, SC"	"45045"	3349	379616	882.21	942.00
	"2000"	"2000"	"Davidson County, TN"	"47037"	5050	569891	886.13	970.63
	"2000"	"2000"	"Knox County, TN"	"47093"	3619	382032	947.30	955.58
	"2000"	"2000"	"Shelby County, TN"	"47157"	8178	897472	911.23	1101.39
	"2000"	"2000"	"Richmond city, VA"	"51760"	2462	197790	1244.75	1205.25
	"2001"	"2001"	"Jefferson County, AL"	"01073"	7215	660197	1092.86	1032.30
	"2001"	"2001"	"Duval County, FL"	"12031"	6888	790681	871.15	999.75
	"2001"	"2001"	"Marion County, IN"	"18097"	7634	865662	881.87	985.17
	"2001"	"2001"	"Jefferson County, KY"	"21111"	7046	697159	1010.67	968.75
	"2001"	"2001"	"Kent County, MI"	"26081"	4001	581224	688.37	795.50
	"2001"	"2001"	"Jackson County, MO"	"29095"	6187	657012	941.69	944.79
	"2001"	"2001"	"St. Louis County, MO"	"29189"	9618	1016243	946.43	843.61
	"2001"	"2001"	"St. Louis city, MO"	"29510"	4186	343243	1219.54	1156.47
	"2001"	"2001"	"Douglas County, NE"	"31055"	3637	468125	776.93	872.16
	"2001"	"2001"	"Guilford County, NC"	"37081"	3381	428381	789.25	844.03
	"2001"	"2001"	"Mecklenburg County, NC"	"37119"	4464	720171	619.85	837.60
