"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Jefferson County, AL"	"01073"	175	164351	106.5
	"1999"	"1999"	"Duval County, FL"	"12031"	194	205259	94.5
	"1999"	"1999"	"Marion County, IN"	"18097"	224	220878	101.4
	"1999"	"1999"	"Jefferson County, KY"	"21111"	118	168670	70.0
	"1999"	"1999"	"Kent County, MI"	"26081"	110	160780	68.4
	"1999"	"1999"	"Jackson County, MO"	"29095"	132	169423	77.9
	"1999"	"1999"	"St. Louis County, MO"	"29189"	160	257018	62.3
	"1999"	"1999"	"St. Louis city, MO"	"29510"	128	90910	140.8
	"1999"	"1999"	"Douglas County, NE"	"31055"	82	123186	66.6
	"1999"	"1999"	"Guilford County, NC"	"37081"	78	98088	79.5
	"1999"	"1999"	"Mecklenburg County, NC"	"37119"	108	170027	63.5
	"1999"	"1999"	"Wake County, NC"	"37183"	94	152397	61.7
	"1999"	"1999"	"Franklin County, OH"	"39049"	230	266569	86.3
	"1999"	"1999"	"Hamilton County, OH"	"39061"	172	220188	78.1
	"1999"	"1999"	"Montgomery County, OH"	"39113"	76	139170	54.6
	"1999"	"1999"	"Oklahoma County, OK"	"40109"	175	169285	103.4
	"1999"	"1999"	"Tulsa County, OK"	"40143"	113	148275	76.2
	"1999"	"1999"	"Greenville County, SC"	"45045"	57	92459	61.6
	"1999"	"1999"	"Davidson County, TN"	"47037"	126	125998	100.0
	"1999"	"1999"	"Knox County, TN"	"47093"	49	84602	57.9
	"1999"	"1999"	"Shelby County, TN"	"47157"	276	252038	109.5
	"1999"	"1999"	"Richmond city, VA"	"51760"	59	43639	135.2
	"2000"	"2000"	"Jefferson County, AL"	"01073"	161	164240	98.0
	"2000"	"2000"	"Duval County, FL"	"12031"	185	204991	90.2
	"2000"	"2000"	"Marion County, IN"	"18097"	216	221749	97.4
	"2000"	"2000"	"Jefferson County, KY"	"21111"	118	168271	70.1
	"2000"	"2000"	"Kent County, MI"	"26081"	121	162259	74.6
	"2000"	"2000"	"Jackson County, MO"	"29095"	101	168766	59.8
	"2000"	"2000"	"St. Louis County, MO"	"29189"	134	255991	52.3
	"2000"	"2000"	"St. Louis city, MO"	"29510"	106	89657	118.2
	"2000"	"2000"	"Douglas County, NE"	"31055"	99	123221	80.3
