"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Jefferson County, AL"	"01073"	253	662845	38.2	36.1
	"1999"	"1999"	"Marion County, IN"	"18097"	182	857461	21.2	23.8
	"1999"	"1999"	"Fayette County, KY"	"21067"	57	258704	22.0	26.3
	"1999"	"1999"	"Jefferson County, KY"	"21111"	200	691879	28.9	27.6
	"1999"	"1999"	"Kent County, MI"	"26081"	107	568731	18.8	22.2
	"1999"	"1999"	"Jackson County, MO"	"29095"	188	654073	28.7	29.1
	"1999"	"1999"	"St. Louis County, MO"	"29189"	270	1016040	26.6	24.2
	"1999"	"1999"	"St. Louis city, MO"	"29510"	172	350156	49.1	48.0
	"1999"	"1999"	"Douglas County, NE"	"31055"	92	460798	20.0	22.6
	"1999"	"1999"	"Guilford County, NC"	"37081"	65	416459	15.6	16.4
	"1999"	"1999"	"Mecklenburg County, NC"	"37119"	121	682071	17.7	24.6
	"1999"	"1999"	"Franklin County, OH"	"39049"	275	1061223	25.9	32.8
	"1999"	"1999"	"Hamilton County, OH"	"39061"	336	849917	39.5	37.6
	"1999"	"1999"	"Oklahoma County, OK"	"40109"	168	657182	25.6	26.7
	"1999"	"1999"	"Tulsa County, OK"	"40143"	144	561682	25.6	27.3
	"1999"	"1999"	"Greenville County, SC"	"45045"	122	374851	32.5	35.0
	"1999"	"1999"	"Davidson County, TN"	"47037"	152	567251	26.8	29.8
	"1999"	"1999"	"Knox County, TN"	"47093"	107	380010	28.2	28.3
	"1999"	"1999"	"Shelby County, TN"	"47157"	226	893826	25.3	30.8
	"2000"	"2000"	"Jefferson County, AL"	"01073"	246	662047	37.2	35.2
	"2000"	"2000"	"Marion County, IN"	"18097"	221	860454	25.7	28.8
	"2000"	"2000"	"Fayette County, KY"	"21067"	61	260512	23.4	28.4
	"2000"	"2000"	"Jefferson County, KY"	"21111"	203	693604	29.3	28.0
	"2000"	"2000"	"Kent County, MI"	"26081"	113	574335	19.7	23.3
	"2000"	"2000"	"Jackson County, MO"	"29095"	165	654880	25.2	25.5
	"2000"	"2000"	"St. Louis County, MO"	"29189"	247	1016315	24.3	21.9
	"2000"	"2000"	"St. Louis city, MO"	"29510"	121	348189	34.8	33.8
	"2000"	"2000"	"Douglas County, NE"	"31055"	88	463585	19.0	21.5
	"2000"	"2000"	"Guilford County, NC"	"37081"	79	421048	18.8	19.8
	"2000"	"2000"	"Mecklenburg County, NC"	"37119"	113	695454	16.2	22.5
	"2000"	"2000"	"Franklin County, OH"	"39049"	274	1068978	25.6	32.2
	"2000"	"2000"	"Hamilton County, OH"	"39061"	314	845303	37.1	35.3
	"2000"	"2000"	"Oklahoma County, OK"	"40109"	158	660448	23.9	24.9
	"2000"	"2000"	"Tulsa County, OK"	"40143"	153	563299	27.2	28.9
	"2000"	"2000"	"Greenville County, SC"	"45045"	126	379616	33.2	35.2
	"2000"	"2000"	"Davidson County, TN"	"47037"	161	569891	28.3	31.2
	"2000"	"2000"	"Knox County, TN"	"47093"	99	382032	25.9	25.8
	"2000"	"2000"	"Shelby County, TN"	"47157"	264	897472	29.4	35.9
	"2001"	"2001"	"Jefferson County, AL"	"01073"	228	660197	34.5	32.6
	"2001"	"2001"	"Marion County, IN"	"18097"	210	865662	24.3	27.1
	"2001"	"2001"	"Fayette County, KY"	"21067"	43	263990	16.3	19.1
	"2001"	"2001"	"Jefferson County, KY"	"21111"	196	697159	28.1	26.7
	"2001"	"2001"	"Kent County, MI"	"26081"	93	581224	16.0	18.9
	"2001"	"2001"	"Jackson County, MO"	"29095"	193	657012	29.4	29.6
	"2001"	"2001"	"St. Louis County, MO"	"29189"	266	1016243	26.2	23.4
	"2001"	"2001"	"St. Louis city, MO"	"29510"	143	343243	41.7	41.0
	"2001"	"2001"	"Douglas County, NE"	"31055"	99	468125	21.1	24.1
	"2001"	"2001"	"Guilford County, NC"	"37081"	100	428381	23.3	24.7
	"2001"	"2001"	"Mecklenburg County, NC"	"37119"	137	720171	19.0	25.8
	"2001"	"2001"	"Franklin County, OH"	"39049"	333	1082938	30.7	38.3
	"2001"	"2001"	"Hamilton County, OH"	"39061"	292	840335	34.7	33.0
	"2001"	"2001"	"Oklahoma County, OK"	"40109"	201	664836	30.2	31.5
	"2001"	"2001"	"Tulsa County, OK"	"40143"	143	566175	25.3	26.9
	"2001"	"2001"	"Greenville County, SC"	"45045"	96	385780	24.9	26.5
	"2001"	"2001"	"Davidson County, TN"	"47037"	164	574119	28.6	31.6
	"2001"	"2001"	"Knox County, TN"	"47093"	109	385823	28.3	28.2
	"2001"	"2001"	"Shelby County, TN"	"47157"	257	899345	28.6	34.5
	"2002"	"2002"	"Jefferson County, AL"	"01073"	246	657518	37.4	35.2
	"2002"	"2002"	"Marion County, IN"	"18097"	177	866210	20.4	22.7
	"2002"	"2002"	"Fayette County, KY"	"21067"	68	265822	25.6	30.9
	"2002"	"2002"	"Jefferson County, KY"	"21111"	224	699810	32.0	30.5
	"2002"	"2002"	"Kent County, MI"	"26081"	117	584940	20.0	22.9
	"2002"	"2002"	"Jackson County, MO"	"29095"	185	658765	28.1	28.4
	"2002"	"2002"	"St. Louis County, MO"	"29189"	274	1014359	27.0	23.7
	"2002"	"2002"	"St. Louis city, MO"	"29510"	131	338457	38.7	38.6
	"2002"	"2002"	"Douglas County, NE"	"31055"	97	471866	20.6	23.4
	"2002"	"2002"	"Guilford County, NC"	"37081"	82	432068	19.0	20.2
	"2002"	"2002"	"Mecklenburg County, NC"	"37119"	143	736422	19.4	26.2
	"2002"	"2002"	"Franklin County, OH"	"39049"	314	1088693	28.8	35.8
	"2002"	"2002"	"Hamilton County, OH"	"39061"	329	832390	39.5	37.2
	"2002"	"2002"	"Oklahoma County, OK"	"40109"	197	671120	29.4	30.7
	"2002"	"2002"	"Tulsa County, OK"	"40143"	123	569170	21.6	22.8
	"2002"	"2002"	"Greenville County, SC"	"45045"	123	390197	31.5	33.3
	"2002"	"2002"	"Davidson County, TN"	"47037"	159	574215	27.7	30.8
	"2002"	"2002"	"Knox County, TN"	"47093"	84	389443	21.6	21.7
	"2002"	"2002"	"Shelby County, TN"	"47157"	231	902634	25.6	30.8
	"2003"	"2003"	"Jefferson County, AL"	"01073"	243	657513	37.0	34.9
	"2003"	"2003"	"Marion County, IN"	"18097"	220	868576	25.3	28.0
	"2003"	"2003"	"Fayette County, KY"	"21067"	77	269904	28.5	33.9
	"2003"	"2003"	"Jefferson County, KY"	"21111"	222	703970	31.5	29.8
	"2003"	"2003"	"Kent County, MI"	"26081"	92	587790	15.7	18.0
	"2003"	"2003"	"Jackson County, MO"	"29095"	192	658914	29.1	28.9
	"2003"	"2003"	"St. Louis County, MO"	"29189"	265	1011678	26.2	22.8
	"2003"	"2003"	"St. Louis city, MO"	"29510"	138	334893	41.2	41.7
	"2003"	"2003"	"Douglas County, NE"	"31055"	103	476701	21.6	24.6
	"2003"	"2003"	"Guilford County, NC"	"37081"	84	436327	19.3	20.1
	"2003"	"2003"	"Mecklenburg County, NC"	"37119"	127	753991	16.8	22.3
	"2003"	"2003"	"Franklin County, OH"	"39049"	277	1095250	25.3	31.1
	"2003"	"2003"	"Hamilton County, OH"	"39061"	312	825139	37.8	35.4
	"2003"	"2003"	"Oklahoma County, OK"	"40109"	171	674571	25.3	26.6
	"2003"	"2003"	"Tulsa County, OK"	"40143"	131	568406	23.0	24.2
	"2003"	"2003"	"Greenville County, SC"	"45045"	126	394242	32.0	33.3
	"2003"	"2003"	"Davidson County, TN"	"47037"	147	577231	25.5	27.6
	"2003"	"2003"	"Knox County, TN"	"47093"	125	394263	31.7	31.7
	"2003"	"2003"	"Shelby County, TN"	"47157"	255	906733	28.1	33.9
	"2004"	"2004"	"Jefferson County, AL"	"01073"	263	656023	40.1	37.9
	"2004"	"2004"	"Marion County, IN"	"18097"	207	870378	23.8	26.4
	"2004"	"2004"	"Fayette County, KY"	"21067"	62	272377	22.8	27.0
	"2004"	"2004"	"Jefferson County, KY"	"21111"	226	706828	32.0	30.1
	"2004"	"2004"	"Kent County, MI"	"26081"	99	589554	16.8	19.1
	"2004"	"2004"	"Jackson County, MO"	"29095"	164	658307	24.9	24.7
	"2004"	"2004"	"St. Louis County, MO"	"29189"	261	1007813	25.9	22.2
	"2004"	"2004"	"St. Louis city, MO"	"29510"	128	330988	38.7	38.8
	"2004"	"2004"	"Douglas County, NE"	"31055"	105	482075	21.8	24.5
	"2004"	"2004"	"Guilford County, NC"	"37081"	101	440597	22.9	23.5
	"2004"	"2004"	"Mecklenburg County, NC"	"37119"	115	772949	14.9	19.5
	"2004"	"2004"	"Franklin County, OH"	"39049"	279	1099603	25.4	30.5
	"2004"	"2004"	"Hamilton County, OH"	"39061"	283	817306	34.6	31.9
	"2004"	"2004"	"Oklahoma County, OK"	"40109"	178	677742	26.3	27.0
	"2004"	"2004"	"Tulsa County, OK"	"40143"	151	566140	26.7	27.5
	"2004"	"2004"	"Greenville County, SC"	"45045"	105	399319	26.3	27.1
	"2004"	"2004"	"Davidson County, TN"	"47037"	170	583013	29.2	32.3
	"2004"	"2004"	"Knox County, TN"	"47093"	86	398307	21.6	21.2
	"2004"	"2004"	"Shelby County, TN"	"47157"	225	909643	24.7	29.5
	"2005"	"2005"	"Jefferson County, AL"	"01073"	231	654919	35.3	32.7
	"2005"	"2005"	"Marion County, IN"	"18097"	221	873310	25.3	28.0
	"2005"	"2005"	"Fayette County, KY"	"21067"	64	275540	23.2	26.3
	"2005"	"2005"	"Jefferson County, KY"	"21111"	253	710018	35.6	33.0
	"2005"	"2005"	"Kent County, MI"	"26081"	80	592210	13.5	15.1
	"2005"	"2005"	"Jackson County, MO"	"29095"	160	658592	24.3	24.3
	"2005"	"2005"	"St. Louis County, MO"	"29189"	255	1004109	25.4	21.6
	"2005"	"2005"	"St. Louis city, MO"	"29510"	127	324945	39.1	38.9
	"2005"	"2005"	"Douglas County, NE"	"31055"	116	488114	23.8	26.6
	"2005"	"2005"	"Guilford County, NC"	"37081"	91	448192	20.3	20.7
	"2005"	"2005"	"Mecklenburg County, NC"	"37119"	111	798701	13.9	18.6
	"2005"	"2005"	"Franklin County, OH"	"39049"	276	1105497	25.0	29.8
	"2005"	"2005"	"Hamilton County, OH"	"39061"	281	810352	34.7	32.2
	"2005"	"2005"	"Oklahoma County, OK"	"40109"	195	683299	28.5	29.2
	"2005"	"2005"	"Tulsa County, OK"	"40143"	147	568199	25.9	26.3
	"2005"	"2005"	"Greenville County, SC"	"45045"	120	405608	29.6	30.3
	"2005"	"2005"	"Davidson County, TN"	"47037"	157	589787	26.6	28.8
	"2005"	"2005"	"Knox County, TN"	"47093"	84	404234	20.8	20.3
	"2005"	"2005"	"Shelby County, TN"	"47157"	284	913201	31.1	36.5
	"2006"	"2006"	"Jefferson County, AL"	"01073"	247	655893	37.7	35.4
	"2006"	"2006"	"Marion County, IN"	"18097"	203	878515	23.1	25.1
	"2006"	"2006"	"Fayette County, KY"	"21067"	46	279971	16.4	18.6
	"2006"	"2006"	"Jefferson County, KY"	"21111"	241	715149	33.7	31.0
	"2006"	"2006"	"Kent County, MI"	"26081"	63	595191	10.6	11.7
	"2006"	"2006"	"Jackson County, MO"	"29095"	166	660539	25.1	24.5
	"2006"	"2006"	"St. Louis County, MO"	"29189"	237	1002050	23.7	19.9
	"2006"	"2006"	"St. Louis city, MO"	"29510"	129	320131	40.3	41.3
	"2006"	"2006"	"Douglas County, NE"	"31055"	111	493757	22.5	25.0
	"2006"	"2006"	"Guilford County, NC"	"37081"	92	458792	20.1	20.5
	"2006"	"2006"	"Mecklenburg County, NC"	"37119"	126	831507	15.2	19.7
	"2006"	"2006"	"Franklin County, OH"	"39049"	266	1115924	23.8	28.4
	"2006"	"2006"	"Hamilton County, OH"	"39061"	295	804913	36.6	33.3
	"2006"	"2006"	"Oklahoma County, OK"	"40109"	174	690153	25.2	25.4
	"2006"	"2006"	"Tulsa County, OK"	"40143"	169	575014	29.4	29.6
	"2006"	"2006"	"Greenville County, SC"	"45045"	91	415957	21.9	21.8
	"2006"	"2006"	"Davidson County, TN"	"47037"	179	597597	30.0	32.4
	"2006"	"2006"	"Knox County, TN"	"47093"	95	411785	23.1	22.6
	"2006"	"2006"	"Shelby County, TN"	"47157"	226	920106	24.6	28.7
	"2007"	"2007"	"Jefferson County, AL"	"01073"	195	655163	29.8	27.7
	"2007"	"2007"	"Marion County, IN"	"18097"	176	883591	19.9	21.7
	"2007"	"2007"	"Fayette County, KY"	"21067"	46	283291	16.2	17.5
	"2007"	"2007"	"Jefferson County, KY"	"21111"	258	723040	35.7	32.5
	"2007"	"2007"	"Kent County, MI"	"26081"	68	598077	11.4	12.4
	"2007"	"2007"	"Jackson County, MO"	"29095"	174	662995	26.2	25.8
	"2007"	"2007"	"St. Louis County, MO"	"29189"	224	999389	22.4	18.7
	"2007"	"2007"	"St. Louis city, MO"	"29510"	98	317959	30.8	32.3
	"2007"	"2007"	"Douglas County, NE"	"31055"	118	498743	23.7	26.3
	"2007"	"2007"	"Guilford County, NC"	"37081"	81	468466	17.3	17.3
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	126	862177	14.6	18.6
	"2007"	"2007"	"Franklin County, OH"	"39049"	252	1127174	22.4	25.8
	"2007"	"2007"	"Hamilton County, OH"	"39061"	266	801815	33.2	30.8
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	192	695706	27.6	28.0
	"2007"	"2007"	"Tulsa County, OK"	"40143"	140	582094	24.1	23.6
	"2007"	"2007"	"Greenville County, SC"	"45045"	106	427970	24.8	24.2
	"2007"	"2007"	"Davidson County, TN"	"47037"	181	605031	29.9	32.5
	"2007"	"2007"	"Knox County, TN"	"47093"	83	419096	19.8	19.3
	"2007"	"2007"	"Shelby County, TN"	"47157"	227	921119	24.6	28.6
	"2008"	"2008"	"Jefferson County, AL"	"01073"	223	656510	34.0	30.9
	"2008"	"2008"	"Marion County, IN"	"18097"	137	889504	15.4	16.6
