year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_eligibility,primary_denominator,analysis_value
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1001,Autauga County,ALABAMA,Urban,Hispanic,All,"11-499",42
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,Hispanic,All,"11-499",39
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1009,Blount County,ALABAMA,Urban,Hispanic,All,"11-499",31
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1015,Calhoun County,ALABAMA,Urban,Hispanic,All,"11-499",29
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1021,Chilton County,ALABAMA,Urban,Hispanic,All,"11-499",36
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1031,Coffee County,ALABAMA,Rural,Hispanic,All,"11-499",25
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1033,Colbert County,ALABAMA,Urban,Hispanic,All,"11-499",31
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1039,Covington County,ALABAMA,Rural,Hispanic,All,"11-499",28
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1043,Cullman County,ALABAMA,Rural,Hispanic,All,"11-499",26
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1045,Dale County,ALABAMA,Rural,Hispanic,All,"11-499",35
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1049,DeKalb County,ALABAMA,Rural,Hispanic,All,"11-499",39
2018,County,Preventive Services,Unsmoothed age standardized,Base measure,Preventive Services,"Influenza Virus Vaccine",All,All,Dual & non-dual,1051,Elmore County,ALABAMA,Urban,Hispanic,All,"11-499",27
