"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	179	2366027	7.6
	"1999"	"1999"	"1 year"	"1"	77	2355002	3.3
	"1999"	"1999"	"2 years"	"2"	70	2357031	3.0
	"1999"	"1999"	"3 years"	"3"	47	2397875	2.0
	"1999"	"1999"	"4 years"	"4"	31	2473575	1.3
	"1999"	"1999"	"5 years"	"5"	22	2501107	0.9
	"1999"	"1999"	"6 years"	"6"	20	2527206	0.8
	"1999"	"1999"	"7 years"	"7"	25	2604630	1.0
	"1999"	"1999"	"8 years"	"8"	19	2604745	Unreliable
	"1999"	"1999"	"9 years"	"9"	17	2624561	Unreliable
	"1999"	"1999"	"10 years"	"10"	15	2572408	Unreliable
	"1999"	"1999"	"11 years"	"11"	17	2506269	Unreliable
	"1999"	"1999"	"12 years"	"12"	23	2488108	0.9
	"1999"	"1999"	"13 years"	"13"	35	2478630	1.4
	"1999"	"1999"	"14 years"	"14"	69	2478960	2.8
	"1999"	"1999"	"15 years"	"15"	96	2429280	4.0
	"1999"	"1999"	"16 years"	"16"	169	2482221	6.8
	"1999"	"1999"	"17 years"	"17"	245	2485414	9.9
	"1999"	"1999"	"18 years"	"18"	349	2446297	14.3
	"1999"	"1999"	"19 years"	"19"	397	2497675	15.9
	"1999"	"1999"	"20 years"	"20"	335	2390688	14.0
	"1999"	"1999"	"21 years"	"21"	370	2299272	16.1
	"1999"	"1999"	"22 years"	"22"	334	2270894	14.7
	"1999"	"1999"	"23 years"	"23"	334	2202018	15.2
	"1999"	"1999"	"24 years"	"24"	317	2264117	14.0
	"1999"	"1999"	"25 years"	"25"	270	2268107	11.9
	"1999"	"1999"	"26 years"	"26"	285	2278392	12.5
	"1999"	"1999"	"27 years"	"27"	248	2430434	10.2
	"1999"	"1999"	"28 years"	"28"	268	2569769	10.4
	"1999"	"1999"	"29 years"	"29"	282	2604724	10.8
	"1999"	"1999"	"30 years"	"30"	224	2631385	8.5
	"1999"	"1999"	"31 years"	"31"	240	2475679	9.7
	"1999"	"1999"	"32 years"	"32"	190	2541337	7.5
	"1999"	"1999"	"33 years"	"33"	213	2557713	8.3
	"1999"	"1999"	"34 years"	"34"	208	2721262	7.6
	"1999"	"1999"	"35 years"	"35"	196	2862602	6.8
	"1999"	"1999"	"36 years"	"36"	205	2821042	7.3
	"1999"	"1999"	"37 years"	"37"	180	2840785	6.3
	"1999"	"1999"	"38 years"	"38"	192	2811727	6.8
	"1999"	"1999"	"39 years"	"39"	193	2854797	6.8
	"1999"	"1999"	"40 years"	"40"	202	2884171	7.0
	"1999"	"1999"	"41 years"	"41"	150	2746296	5.5
	"1999"	"1999"	"42 years"	"42"	173	2767004	6.3
	"1999"	"1999"	"43 years"	"43"	151	2645575	5.7
	"1999"	"1999"	"44 years"	"44"	137	2614883	5.2
	"1999"	"1999"	"45 years"	"45"	139	2601742	5.3
	"1999"	"1999"	"46 years"	"46"	125	2450193	5.1
	"1999"	"1999"	"47 years"	"47"	118	2412035	4.9
	"1999"	"1999"	"48 years"	"48"	111	2271981	4.9
	"1999"	"1999"	"49 years"	"49"	92	2300468	4.0
	"1999"	"1999"	"50 years"	"50"	96	2297496	4.2
	"1999"	"1999"	"51 years"	"51"	95	2189983	4.3
	"1999"	"1999"	"52 years"	"52"	83	2353202	3.5
	"1999"	"1999"	"53 years"	"53"	60	1698775	3.5
	"1999"	"1999"	"54 years"	"54"	58	1767024	3.3
	"1999"	"1999"	"55 years"	"55"	42	1727148	2.4
	"1999"	"1999"	"56 years"	"56"	58	1764767	3.3
	"1999"	"1999"	"57 years"	"57"	44	1530412	2.9
	"1999"	"1999"	"58 years"	"58"	38	1442674	2.6
	"1999"	"1999"	"59 years"	"59"	32	1377953	2.3
	"1999"	"1999"	"60 years"	"60"	37	1371158	2.7
	"1999"	"1999"	"61 years"	"61"	37	1288275	2.9
	"1999"	"1999"	"62 years"	"62"	36	1225951	2.9
	"1999"	"1999"	"63 years"	"63"	30	1212910	2.5
	"1999"	"1999"	"64 years"	"64"	18	1212851	Unreliable
	"1999"	"1999"	"65 years"	"65"	27	1121936	2.4
	"1999"	"1999"	"66 years"	"66"	26	1112586	2.3
	"1999"	"1999"	"67 years"	"67"	28	1120697	2.5
	"1999"	"1999"	"68 years"	"68"	27	1122253	2.4
	"1999"	"1999"	"69 years"	"69"	22	1109599	2.0
	"1999"	"1999"	"70 years"	"70"	22	1096192	2.0
	"1999"	"1999"	"71 years"	"71"	17	1066665	Unreliable
	"1999"	"1999"	"72 years"	"72"	25	1018516	2.5
	"1999"	"1999"	"73 years"	"73"	30	998913	3.0
	"1999"	"1999"	"74 years"	"74"	24	998987	2.4
	"2000"	"2000"	"< 1 year"	"0"	190	2369685	8.0
	"2000"	"2000"	"1 year"	"1"	91	2376691	3.8
	"2000"	"2000"	"2 years"	"2"	60	2360326	2.5
	"2000"	"2000"	"3 years"	"3"	32	2397818	1.3
	"2000"	"2000"	"4 years"	"4"	21	2457040	0.9
	"2000"	"2000"	"5 years"	"5"	20	2478768	0.8
	"2000"	"2000"	"6 years"	"6"	23	2511621	0.9
	"2000"	"2000"	"7 years"	"7"	19	2571618	Unreliable
	"2000"	"2000"	"8 years"	"8"	10	2607495	Unreliable
	"2000"	"2000"	"9 years"	"9"	16	2657265	Unreliable
	"2000"	"2000"	"10 years"	"10"	12	2656747	Unreliable
	"2000"	"2000"	"11 years"	"11"	13	2557073	Unreliable
	"2000"	"2000"	"12 years"	"12"	16	2533047	Unreliable
	"2000"	"2000"	"13 years"	"13"	23	2489491	0.9
	"2000"	"2000"	"14 years"	"14"	60	2506918	2.4
	"2000"	"2000"	"15 years"	"15"	91	2482731	3.7
	"2000"	"2000"	"16 years"	"16"	134	2458367	5.5
	"2000"	"2000"	"17 years"	"17"	228	2502472	9.1
	"2000"	"2000"	"18 years"	"18"	330	2495938	13.2
	"2000"	"2000"	"19 years"	"19"	384	2520881	15.2
	"2000"	"2000"	"20 years"	"20"	416	2472231	16.8
	"2000"	"2000"	"21 years"	"21"	368	2354283	15.6
	"2000"	"2000"	"22 years"	"22"	366	2313670	15.8
	"2000"	"2000"	"23 years"	"23"	326	2277353	14.3
	"2000"	"2000"	"24 years"	"24"	303	2271152	13.3
	"2000"	"2000"	"25 years"	"25"	311	2333626	13.3
	"2000"	"2000"	"26 years"	"26"	255	2254415	11.3
	"2000"	"2000"	"27 years"	"27"	242	2356267	10.3
	"2000"	"2000"	"28 years"	"28"	256	2469663	10.4
	"2000"	"2000"	"29 years"	"29"	277	2638972	10.5
	"2000"	"2000"	"30 years"	"30"	244	2691585	9.1
	"2000"	"2000"	"31 years"	"31"	247	2515867	9.8
	"2000"	"2000"	"32 years"	"32"	189	2506974	7.5
	"2000"	"2000"	"33 years"	"33"	214	2518227	8.5
	"2000"	"2000"	"34 years"	"34"	217	2616998	8.3
	"2000"	"2000"	"35 years"	"35"	175	2812137	6.2
	"2000"	"2000"	"36 years"	"36"	198	2798246	7.1
	"2000"	"2000"	"37 years"	"37"	185	2802337	6.6
	"2000"	"2000"	"38 years"	"38"	174	2819370	6.2
	"2000"	"2000"	"39 years"	"39"	173	2851398	6.1
	"2000"	"2000"	"40 years"	"40"	178	2915951	6.1
	"2000"	"2000"	"41 years"	"41"	157	2753270	5.7
	"2000"	"2000"	"42 years"	"42"	169	2797023	6.0
	"2000"	"2000"	"43 years"	"43"	161	2707323	5.9
	"2000"	"2000"	"44 years"	"44"	147	2646589	5.6
	"2000"	"2000"	"45 years"	"45"	116	2665345	4.4
	"2000"	"2000"	"46 years"	"46"	117	2505860	4.7
