"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	46	2379478	1.9
	"1999"	"1999"	"1 year"	"1"	50	2368505	2.1
	"1999"	"1999"	"2 years"	"2"	65	2370606	2.7
	"1999"	"1999"	"3 years"	"3"	59	2411352	2.4
	"1999"	"1999"	"4 years"	"4"	83	2487864	3.3
	"1999"	"1999"	"5 years"	"5"	81	2515558	3.2
	"1999"	"1999"	"6 years"	"6"	77	2541730	3.0
	"1999"	"1999"	"7 years"	"7"	61	2619548	2.3
	"1999"	"1999"	"8 years"	"8"	60	2619643	2.3
	"1999"	"1999"	"9 years"	"9"	58	2639474	2.2
	"1999"	"1999"	"10 years"	"10"	67	2586886	2.6
	"1999"	"1999"	"11 years"	"11"	56	2520319	2.2
	"1999"	"1999"	"12 years"	"12"	65	2501906	2.6
	"1999"	"1999"	"13 years"	"13"	58	2492172	2.3
	"1999"	"1999"	"14 years"	"14"	67	2492535	2.7
	"1999"	"1999"	"15 years"	"15"	82	2442776	3.4
	"1999"	"1999"	"16 years"	"16"	103	2495653	4.1
	"1999"	"1999"	"17 years"	"17"	92	2499082	3.7
	"1999"	"1999"	"18 years"	"18"	88	2459177	3.6
	"1999"	"1999"	"19 years"	"19"	110	2510744	4.4
	"1999"	"1999"	"20 years"	"20"	140	2403189	5.8
	"1999"	"1999"	"21 years"	"21"	112	2311054	4.8
	"1999"	"1999"	"22 years"	"22"	112	2282818	4.9
	"1999"	"1999"	"23 years"	"23"	119	2214157	5.4
	"1999"	"1999"	"24 years"	"24"	135	2276946	5.9
	"1999"	"1999"	"25 years"	"25"	133	2281410	5.8
	"1999"	"1999"	"26 years"	"26"	158	2291567	6.9
	"1999"	"1999"	"27 years"	"27"	173	2444420	7.1
	"1999"	"1999"	"28 years"	"28"	192	2584274	7.4
	"1999"	"1999"	"29 years"	"29"	234	2619006	8.9
	"1999"	"1999"	"30 years"	"30"	234	2645427	8.8
	"1999"	"1999"	"31 years"	"31"	272	2488585	10.9
	"1999"	"1999"	"32 years"	"32"	311	2554374	12.2
	"1999"	"1999"	"33 years"	"33"	334	2570761	13.0
	"1999"	"1999"	"34 years"	"34"	411	2735521	15.0
	"1999"	"1999"	"35 years"	"35"	510	2877280	17.7
	"1999"	"1999"	"36 years"	"36"	531	2835695	18.7
	"1999"	"1999"	"37 years"	"37"	668	2855237	23.4
	"1999"	"1999"	"38 years"	"38"	824	2825811	29.2
	"1999"	"1999"	"39 years"	"39"	857	2869614	29.9
	"1999"	"1999"	"40 years"	"40"	970	2899063	33.5
	"1999"	"1999"	"41 years"	"41"	1176	2760359	42.6
	"1999"	"1999"	"42 years"	"42"	1240	2781705	44.6
	"1999"	"1999"	"43 years"	"43"	1441	2659559	54.2
	"1999"	"1999"	"44 years"	"44"	1670	2629006	63.5
	"1999"	"1999"	"45 years"	"45"	1796	2615698	68.7
	"1999"	"1999"	"46 years"	"46"	2013	2463358	81.7
	"1999"	"1999"	"47 years"	"47"	2132	2424920	87.9
	"1999"	"1999"	"48 years"	"48"	2357	2284195	103.2
	"1999"	"1999"	"49 years"	"49"	2549	2312715	110.2
	"1999"	"1999"	"50 years"	"50"	2879	2309771	124.6
	"1999"	"1999"	"51 years"	"51"	3245	2201323	147.4
	"1999"	"1999"	"52 years"	"52"	3657	2365076	154.6
	"1999"	"1999"	"53 years"	"53"	3255	1707207	190.7
	"1999"	"1999"	"54 years"	"54"	3581	1775737	201.7
	"1999"	"1999"	"55 years"	"55"	4045	1735452	233.1
	"1999"	"1999"	"56 years"	"56"	4496	1773085	253.6
	"1999"	"1999"	"57 years"	"57"	4457	1538009	289.8
	"1999"	"1999"	"58 years"	"58"	4557	1449442	314.4
	"1999"	"1999"	"59 years"	"59"	4805	1384627	347.0
	"1999"	"1999"	"60 years"	"60"	5021	1377743	364.4
	"1999"	"1999"	"61 years"	"61"	5516	1294165	426.2
	"1999"	"1999"	"62 years"	"62"	5693	1231551	462.3
	"1999"	"1999"	"63 years"	"63"	5982	1218499	490.9
	"1999"	"1999"	"64 years"	"64"	6654	1218533	546.1
	"1999"	"1999"	"65 years"	"65"	6706	1127169	594.9
	"1999"	"1999"	"66 years"	"66"	7010	1117546	627.3
	"1999"	"1999"	"67 years"	"67"	7463	1125841	662.9
	"1999"	"1999"	"68 years"	"68"	8265	1127188	733.2
	"1999"	"1999"	"69 years"	"69"	8816	1114480	791.0
	"1999"	"1999"	"70 years"	"70"	9072	1101083	823.9
	"1999"	"1999"	"71 years"	"71"	9554	1071208	891.9
	"1999"	"1999"	"72 years"	"72"	9995	1023095	976.9
	"1999"	"1999"	"73 years"	"73"	10430	1003356	1039.5
