"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	46	2366027	1.9
	"1999"	"1999"	"1 year"	"1"	49	2355002	2.1
	"1999"	"1999"	"2 years"	"2"	65	2357031	2.8
	"1999"	"1999"	"3 years"	"3"	57	2397875	2.4
	"1999"	"1999"	"4 years"	"4"	82	2473575	3.3
	"1999"	"1999"	"5 years"	"5"	81	2501107	3.2
	"1999"	"1999"	"6 years"	"6"	77	2527206	3.0
	"1999"	"1999"	"7 years"	"7"	61	2604630	2.3
	"1999"	"1999"	"8 years"	"8"	60	2604745	2.3
	"1999"	"1999"	"9 years"	"9"	58	2624561	2.2
	"1999"	"1999"	"10 years"	"10"	67	2572408	2.6
	"1999"	"1999"	"11 years"	"11"	54	2506269	2.2
	"1999"	"1999"	"12 years"	"12"	65	2488108	2.6
	"1999"	"1999"	"13 years"	"13"	58	2478630	2.3
	"1999"	"1999"	"14 years"	"14"	66	2478960	2.7
	"1999"	"1999"	"15 years"	"15"	82	2429280	3.4
	"1999"	"1999"	"16 years"	"16"	102	2482221	4.1
	"1999"	"1999"	"17 years"	"17"	92	2485414	3.7
	"1999"	"1999"	"18 years"	"18"	87	2446297	3.6
	"1999"	"1999"	"19 years"	"19"	109	2497675	4.4
	"1999"	"1999"	"20 years"	"20"	138	2390688	5.8
	"1999"	"1999"	"21 years"	"21"	111	2299272	4.8
	"1999"	"1999"	"22 years"	"22"	111	2270894	4.9
	"1999"	"1999"	"23 years"	"23"	116	2202018	5.3
	"1999"	"1999"	"24 years"	"24"	134	2264117	5.9
	"1999"	"1999"	"25 years"	"25"	132	2268107	5.8
	"1999"	"1999"	"26 years"	"26"	158	2278392	6.9
	"1999"	"1999"	"27 years"	"27"	171	2430434	7.0
	"1999"	"1999"	"28 years"	"28"	191	2569769	7.4
	"1999"	"1999"	"29 years"	"29"	234	2604724	9.0
	"1999"	"1999"	"30 years"	"30"	233	2631385	8.9
	"1999"	"1999"	"31 years"	"31"	271	2475679	10.9
	"1999"	"1999"	"32 years"	"32"	308	2541337	12.1
	"1999"	"1999"	"33 years"	"33"	332	2557713	13.0
	"1999"	"1999"	"34 years"	"34"	408	2721262	15.0
	"1999"	"1999"	"35 years"	"35"	507	2862602	17.7
	"1999"	"1999"	"36 years"	"36"	529	2821042	18.8
	"1999"	"1999"	"37 years"	"37"	661	2840785	23.3
	"1999"	"1999"	"38 years"	"38"	819	2811727	29.1
	"1999"	"1999"	"39 years"	"39"	852	2854797	29.8
	"1999"	"1999"	"40 years"	"40"	961	2884171	33.3
	"1999"	"1999"	"41 years"	"41"	1173	2746296	42.7
	"1999"	"1999"	"42 years"	"42"	1229	2767004	44.4
	"1999"	"1999"	"43 years"	"43"	1432	2645575	54.1
	"1999"	"1999"	"44 years"	"44"	1654	2614883	63.3
	"1999"	"1999"	"45 years"	"45"	1782	2601742	68.5
	"1999"	"1999"	"46 years"	"46"	1997	2450193	81.5
	"1999"	"1999"	"47 years"	"47"	2111	2412035	87.5
	"1999"	"1999"	"48 years"	"48"	2331	2271981	102.6
	"1999"	"1999"	"49 years"	"49"	2535	2300468	110.2
	"1999"	"1999"	"50 years"	"50"	2863	2297496	124.6
	"1999"	"1999"	"51 years"	"51"	3223	2189983	147.2
	"1999"	"1999"	"52 years"	"52"	3643	2353202	154.8
	"1999"	"1999"	"53 years"	"53"	3239	1698775	190.7
	"1999"	"1999"	"54 years"	"54"	3562	1767024	201.6
	"1999"	"1999"	"55 years"	"55"	4020	1727148	232.8
	"1999"	"1999"	"56 years"	"56"	4471	1764767	253.3
	"1999"	"1999"	"57 years"	"57"	4423	1530412	289.0
	"1999"	"1999"	"58 years"	"58"	4524	1442674	313.6
	"1999"	"1999"	"59 years"	"59"	4778	1377953	346.7
	"1999"	"1999"	"60 years"	"60"	4989	1371158	363.9
	"1999"	"1999"	"61 years"	"61"	5487	1288275	425.9
	"1999"	"1999"	"62 years"	"62"	5660	1225951	461.7
	"1999"	"1999"	"63 years"	"63"	5948	1212910	490.4
	"1999"	"1999"	"64 years"	"64"	6626	1212851	546.3
	"1999"	"1999"	"65 years"	"65"	6679	1121936	595.3
	"1999"	"1999"	"66 years"	"66"	6969	1112586	626.4
	"1999"	"1999"	"67 years"	"67"	7424	1120697	662.4
	"1999"	"1999"	"68 years"	"68"	8217	1122253	732.2
	"1999"	"1999"	"69 years"	"69"	8772	1109599	790.6
	"1999"	"1999"	"70 years"	"70"	9032	1096192	823.9
	"1999"	"1999"	"71 years"	"71"	9504	1066665	891.0
	"1999"	"1999"	"72 years"	"72"	9947	1018516	976.6
	"1999"	"1999"	"73 years"	"73"	10381	998913	1039.2
	"1999"	"1999"	"74 years"	"74"	10556	998987	1056.7
	"2000"	"2000"	"< 1 year"	"0"	54	2369685	2.3
	"2000"	"2000"	"1 year"	"1"	53	2376691	2.2
	"2000"	"2000"	"2 years"	"2"	65	2360326	2.8
	"2000"	"2000"	"3 years"	"3"	68	2397818	2.8
	"2000"	"2000"	"4 years"	"4"	82	2457040	3.3
	"2000"	"2000"	"5 years"	"5"	71	2478768	2.9
	"2000"	"2000"	"6 years"	"6"	75	2511621	3.0
	"2000"	"2000"	"7 years"	"7"	61	2571618	2.4
	"2000"	"2000"	"8 years"	"8"	62	2607495	2.4
	"2000"	"2000"	"9 years"	"9"	47	2657265	1.8
	"2000"	"2000"	"10 years"	"10"	50	2656747	1.9
	"2000"	"2000"	"11 years"	"11"	66	2557073	2.6
	"2000"	"2000"	"12 years"	"12"	76	2533047	3.0
	"2000"	"2000"	"13 years"	"13"	68	2489491	2.7
	"2000"	"2000"	"14 years"	"14"	70	2506918	2.8
	"2000"	"2000"	"15 years"	"15"	76	2482731	3.1
	"2000"	"2000"	"16 years"	"16"	86	2458367	3.5
	"2000"	"2000"	"17 years"	"17"	96	2502472	3.8
	"2000"	"2000"	"18 years"	"18"	93	2495938	3.7
	"2000"	"2000"	"19 years"	"19"	105	2520881	4.2
	"2000"	"2000"	"20 years"	"20"	110	2472231	4.4
	"2000"	"2000"	"21 years"	"21"	129	2354283	5.5
	"2000"	"2000"	"22 years"	"22"	109	2313670	4.7
	"2000"	"2000"	"23 years"	"23"	101	2277353	4.4
	"2000"	"2000"	"24 years"	"24"	136	2271152	6.0
	"2000"	"2000"	"25 years"	"25"	141	2333626	6.0
	"2000"	"2000"	"26 years"	"26"	156	2254415	6.9
	"2000"	"2000"	"27 years"	"27"	148	2356267	6.3
	"2000"	"2000"	"28 years"	"28"	165	2469663	6.7
	"2000"	"2000"	"29 years"	"29"	211	2638972	8.0
	"2000"	"2000"	"30 years"	"30"	202	2691585	7.5
	"2000"	"2000"	"31 years"	"31"	283	2515867	11.2
	"2000"	"2000"	"32 years"	"32"	297	2506974	11.8
	"2000"	"2000"	"33 years"	"33"	363	2518227	14.4
	"2000"	"2000"	"34 years"	"34"	394	2616998	15.1
	"2000"	"2000"	"35 years"	"35"	491	2812137	17.5
	"2000"	"2000"	"36 years"	"36"	539	2798246	19.3
	"2000"	"2000"	"37 years"	"37"	653	2802337	23.3
	"2000"	"2000"	"38 years"	"38"	765	2819370	27.1
	"2000"	"2000"	"39 years"	"39"	843	2851398	29.6
	"2000"	"2000"	"40 years"	"40"	991	2915951	34.0
	"2000"	"2000"	"41 years"	"41"	1141	2753270	41.4
	"2000"	"2000"	"42 years"	"42"	1237	2797023	44.2
	"2000"	"2000"	"43 years"	"43"	1523	2707323	56.3
	"2000"	"2000"	"44 years"	"44"	1616	2646589	61.1
	"2000"	"2000"	"45 years"	"45"	1864	2665345	69.9
	"2000"	"2000"	"46 years"	"46"	1872	2505860	74.7
	"2000"	"2000"	"47 years"	"47"	2114	2467759	85.7
	"2000"	"2000"	"48 years"	"48"	2402	2373201	101.2
	"2000"	"2000"	"49 years"	"49"	2604	2301211	113.2
	"2000"	"2000"	"50 years"	"50"	2877	2332732	123.3
	"2000"	"2000"	"51 years"	"51"	3100	2202089	140.8
	"2000"	"2000"	"52 years"	"52"	3558	2253434	157.9
	"2000"	"2000"	"53 years"	"53"	3962	2206937	179.5
	"2000"	"2000"	"54 years"	"54"	3502	1718460	203.8
	"2000"	"2000"	"55 years"	"55"	3853	1732009	222.5
	"2000"	"2000"	"56 years"	"56"	4278	1711151	250.0
	"2000"	"2000"	"57 years"	"57"	4792	1717487	279.0
	"2000"	"2000"	"58 years"	"58"	4706	1515791	310.5
	"2000"	"2000"	"59 years"	"59"	4868	1415653	343.9
	"2000"	"2000"	"60 years"	"60"	5141	1381032	372.3
	"2000"	"2000"	"61 years"	"61"	5457	1314279	415.2
	"2000"	"2000"	"62 years"	"62"	5659	1282971	441.1
	"2000"	"2000"	"63 years"	"63"	5909	1211884	487.6
	"2000"	"2000"	"64 years"	"64"	6257	1195705	523.3
	"2000"	"2000"	"65 years"	"65"	6778	1191282	569.0
	"2000"	"2000"	"66 years"	"66"	6877	1092415	629.5
	"2000"	"2000"	"67 years"	"67"	7411	1109962	667.7
	"2000"	"2000"	"68 years"	"68"	7804	1092251	714.5
	"2000"	"2000"	"69 years"	"69"	8474	1101977	769.0
	"2000"	"2000"	"70 years"	"70"	8870	1099660	806.6
	"2000"	"2000"	"71 years"	"71"	9171	1043554	878.8
	"2000"	"2000"	"72 years"	"72"	9711	1043065	931.0
	"2000"	"2000"	"73 years"	"73"	10015	1006074	995.5
