"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	226	2373557	9.5
	"1999"	"1999"	"1 year"	"1"	128	2362645	5.4
	"1999"	"1999"	"2 years"	"2"	135	2364561	5.7
	"1999"	"1999"	"3 years"	"3"	104	2405260	4.3
	"1999"	"1999"	"4 years"	"4"	114	2481084	4.6
	"1999"	"1999"	"5 years"	"5"	103	2508725	4.1
	"1999"	"1999"	"6 years"	"6"	97	2534864	3.8
	"1999"	"1999"	"7 years"	"7"	86	2612609	3.3
	"1999"	"1999"	"8 years"	"8"	79	2612801	3.0
	"1999"	"1999"	"9 years"	"9"	75	2632834	2.8
	"1999"	"1999"	"10 years"	"10"	82	2580374	3.2
	"1999"	"1999"	"11 years"	"11"	71	2514122	2.8
	"1999"	"1999"	"12 years"	"12"	88	2495968	3.5
	"1999"	"1999"	"13 years"	"13"	93	2486236	3.7
	"1999"	"1999"	"14 years"	"14"	135	2486656	5.4
	"1999"	"1999"	"15 years"	"15"	178	2436799	7.3
	"1999"	"1999"	"16 years"	"16"	272	2489895	10.9
	"1999"	"1999"	"17 years"	"17"	338	2493229	13.6
	"1999"	"1999"	"18 years"	"18"	437	2453964	17.8
	"1999"	"1999"	"19 years"	"19"	510	2505990	20.4
	"1999"	"1999"	"20 years"	"20"	474	2399044	19.8
	"1999"	"1999"	"21 years"	"21"	485	2307565	21.0
	"1999"	"1999"	"22 years"	"22"	445	2278550	19.5
	"1999"	"1999"	"23 years"	"23"	454	2208935	20.6
	"1999"	"1999"	"24 years"	"24"	452	2271031	19.9
	"1999"	"1999"	"25 years"	"25"	405	2275255	17.8
	"1999"	"1999"	"26 years"	"26"	447	2285616	19.6
	"1999"	"1999"	"27 years"	"27"	420	2438281	17.2
	"1999"	"1999"	"28 years"	"28"	462	2577886	17.9
	"1999"	"1999"	"29 years"	"29"	518	2613024	19.8
	"1999"	"1999"	"30 years"	"30"	463	2639424	17.5
	"1999"	"1999"	"31 years"	"31"	513	2483363	20.7
	"1999"	"1999"	"32 years"	"32"	502	2549016	19.7
	"1999"	"1999"	"33 years"	"33"	546	2565243	21.3
	"1999"	"1999"	"34 years"	"34"	619	2729425	22.7
	"1999"	"1999"	"35 years"	"35"	703	2871289	24.5
	"1999"	"1999"	"36 years"	"36"	737	2829619	26.0
	"1999"	"1999"	"37 years"	"37"	842	2849568	29.5
	"1999"	"1999"	"38 years"	"38"	1017	2820276	36.1
	"1999"	"1999"	"39 years"	"39"	1054	2863913	36.8
	"1999"	"1999"	"40 years"	"40"	1166	2893032	40.3
	"1999"	"1999"	"41 years"	"41"	1330	2755231	48.3
	"1999"	"1999"	"42 years"	"42"	1406	2776070	50.6
	"1999"	"1999"	"43 years"	"43"	1591	2654070	59.9
	"1999"	"1999"	"44 years"	"44"	1792	2623427	68.3
	"1999"	"1999"	"45 years"	"45"	1927	2610224	73.8
	"1999"	"1999"	"46 years"	"46"	2128	2458227	86.6
	"1999"	"1999"	"47 years"	"47"	2239	2420090	92.5
	"1999"	"1999"	"48 years"	"48"	2446	2279555	107.3
	"1999"	"1999"	"49 years"	"49"	2639	2308300	114.3
	"1999"	"1999"	"50 years"	"50"	2969	2305263	128.8
	"1999"	"1999"	"51 years"	"51"	3333	2197668	151.7
	"1999"	"1999"	"52 years"	"52"	3741	2361386	158.4
	"1999"	"1999"	"53 years"	"53"	3309	1704596	194.1
	"1999"	"1999"	"54 years"	"54"	3633	1772820	204.9
	"1999"	"1999"	"55 years"	"55"	4079	1733118	235.4
	"1999"	"1999"	"56 years"	"56"	4546	1770969	256.7
	"1999"	"1999"	"57 years"	"57"	4481	1536126	291.7
	"1999"	"1999"	"58 years"	"58"	4581	1447802	316.4
	"1999"	"1999"	"59 years"	"59"	4819	1382911	348.5
	"1999"	"1999"	"60 years"	"60"	5049	1376073	366.9
	"1999"	"1999"	"61 years"	"61"	5548	1293031	429.1
	"1999"	"1999"	"62 years"	"62"	5730	1230518	465.7
	"1999"	"1999"	"63 years"	"63"	6007	1217332	493.5
	"1999"	"1999"	"64 years"	"64"	6668	1217588	547.6
	"1999"	"1999"	"65 years"	"65"	6740	1126231	598.5
	"1999"	"1999"	"66 years"	"66"	7030	1116731	629.5
	"1999"	"1999"	"67 years"	"67"	7488	1124940	665.6
	"1999"	"1999"	"68 years"	"68"	8283	1126601	735.2
	"1999"	"1999"	"69 years"	"69"	8837	1113793	793.4
	"1999"	"1999"	"70 years"	"70"	9086	1100394	825.7
	"1999"	"1999"	"71 years"	"71"	9559	1070709	892.8
	"1999"	"1999"	"72 years"	"72"	10013	1022505	979.3
	"1999"	"1999"	"73 years"	"73"	10460	1002807	1043.1
	"1999"	"1999"	"74 years"	"74"	10633	1002920	1060.2
	"2000"	"2000"	"< 1 year"	"0"	244	2377175	10.3
	"2000"	"2000"	"1 year"	"1"	145	2384271	6.1
	"2000"	"2000"	"2 years"	"2"	126	2367676	5.3
	"2000"	"2000"	"3 years"	"3"	100	2405081	4.2
	"2000"	"2000"	"4 years"	"4"	103	2464411	4.2
	"2000"	"2000"	"5 years"	"5"	92	2486228	3.7
	"2000"	"2000"	"6 years"	"6"	98	2519149	3.9
	"2000"	"2000"	"7 years"	"7"	80	2579467	3.1
	"2000"	"2000"	"8 years"	"8"	72	2615498	2.8
