"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	230	2382980	9.7
	"1999"	"1999"	"1 year"	"1"	128	2372557	5.4
	"1999"	"1999"	"2 years"	"2"	137	2374701	5.8
	"1999"	"1999"	"3 years"	"3"	107	2415604	4.4
	"1999"	"1999"	"4 years"	"4"	113	2491991	4.5
	"1999"	"1999"	"5 years"	"5"	104	2520235	4.1
	"1999"	"1999"	"6 years"	"6"	99	2547339	3.9
	"1999"	"1999"	"7 years"	"7"	86	2624885	3.3
	"1999"	"1999"	"8 years"	"8"	81	2625201	3.1
	"1999"	"1999"	"9 years"	"9"	78	2644970	2.9
	"1999"	"1999"	"10 years"	"10"	83	2592883	3.2
	"1999"	"1999"	"11 years"	"11"	71	2526048	2.8
	"1999"	"1999"	"12 years"	"12"	88	2507852	3.5
	"1999"	"1999"	"13 years"	"13"	93	2498283	3.7
	"1999"	"1999"	"14 years"	"14"	137	2499055	5.5
	"1999"	"1999"	"15 years"	"15"	179	2448671	7.3
	"1999"	"1999"	"16 years"	"16"	276	2502185	11.0
	"1999"	"1999"	"17 years"	"17"	342	2505537	13.6
	"1999"	"1999"	"18 years"	"18"	443	2465101	18.0
	"1999"	"1999"	"19 years"	"19"	514	2515528	20.4
	"1999"	"1999"	"20 years"	"20"	484	2407367	20.1
	"1999"	"1999"	"21 years"	"21"	486	2315321	21.0
	"1999"	"1999"	"22 years"	"22"	451	2287142	19.7
	"1999"	"1999"	"23 years"	"23"	461	2218860	20.8
	"1999"	"1999"	"24 years"	"24"	454	2281770	19.9
	"1999"	"1999"	"25 years"	"25"	407	2285572	17.8
	"1999"	"1999"	"26 years"	"26"	449	2295571	19.6
	"1999"	"1999"	"27 years"	"27"	426	2449335	17.4
	"1999"	"1999"	"28 years"	"28"	464	2588929	17.9
	"1999"	"1999"	"29 years"	"29"	521	2623824	19.9
	"1999"	"1999"	"30 years"	"30"	466	2650276	17.6
	"1999"	"1999"	"31 years"	"31"	519	2493302	20.8
	"1999"	"1999"	"32 years"	"32"	502	2559763	19.6
	"1999"	"1999"	"33 years"	"33"	551	2576249	21.4
	"1999"	"1999"	"34 years"	"34"	620	2741718	22.6
	"1999"	"1999"	"35 years"	"35"	711	2884499	24.6
