"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	225	2366027	9.5
	"1999"	"1999"	"1 year"	"1"	126	2355002	5.4
	"1999"	"1999"	"2 years"	"2"	135	2357031	5.7
	"1999"	"1999"	"3 years"	"3"	104	2397875	4.3
	"1999"	"1999"	"4 years"	"4"	113	2473575	4.6
	"1999"	"1999"	"5 years"	"5"	103	2501107	4.1
	"1999"	"1999"	"6 years"	"6"	97	2527206	3.8
	"1999"	"1999"	"7 years"	"7"	86	2604630	3.3
	"1999"	"1999"	"8 years"	"8"	79	2604745	3.0
	"1999"	"1999"	"9 years"	"9"	75	2624561	2.9
	"1999"	"1999"	"10 years"	"10"	82	2572408	3.2
	"1999"	"1999"	"11 years"	"11"	71	2506269	2.8
	"1999"	"1999"	"12 years"	"12"	88	2488108	3.5
	"1999"	"1999"	"13 years"	"13"	93	2478630	3.8
	"1999"	"1999"	"14 years"	"14"	135	2478960	5.4
	"1999"	"1999"	"15 years"	"15"	178	2429280	7.3
	"1999"	"1999"	"16 years"	"16"	271	2482221	10.9
	"1999"	"1999"	"17 years"	"17"	337	2485414	13.6
	"1999"	"1999"	"18 years"	"18"	436	2446297	17.8
	"1999"	"1999"	"19 years"	"19"	506	2497675	20.3
	"1999"	"1999"	"20 years"	"20"	473	2390688	19.8
	"1999"	"1999"	"21 years"	"21"	481	2299272	20.9
	"1999"	"1999"	"22 years"	"22"	445	2270894	19.6
	"1999"	"1999"	"23 years"	"23"	450	2202018	20.4
	"1999"	"1999"	"24 years"	"24"	451	2264117	19.9
	"1999"	"1999"	"25 years"	"25"	402	2268107	17.7
	"1999"	"1999"	"26 years"	"26"	443	2278392	19.4
	"1999"	"1999"	"27 years"	"27"	419	2430434	17.2
	"1999"	"1999"	"28 years"	"28"	459	2569769	17.9
	"1999"	"1999"	"29 years"	"29"	516	2604724	19.8
	"1999"	"1999"	"30 years"	"30"	457	2631385	17.4
	"1999"	"1999"	"31 years"	"31"	511	2475679	20.6
	"1999"	"1999"	"32 years"	"32"	498	2541337	19.6
	"1999"	"1999"	"33 years"	"33"	545	2557713	21.3
	"1999"	"1999"	"34 years"	"34"	616	2721262	22.6
	"1999"	"1999"	"35 years"	"35"	703	2862602	24.6
	"1999"	"1999"	"36 years"	"36"	734	2821042	26.0
	"1999"	"1999"	"37 years"	"37"	841	2840785	29.6
	"1999"	"1999"	"38 years"	"38"	1011	2811727	36.0
	"1999"	"1999"	"39 years"	"39"	1045	2854797	36.6
	"1999"	"1999"	"40 years"	"40"	1163	2884171	40.3
	"1999"	"1999"	"41 years"	"41"	1323	2746296	48.2
	"1999"	"1999"	"42 years"	"42"	1402	2767004	50.7
	"1999"	"1999"	"43 years"	"43"	1583	2645575	59.8
	"1999"	"1999"	"44 years"	"44"	1791	2614883	68.5
	"1999"	"1999"	"45 years"	"45"	1921	2601742	73.8
	"1999"	"1999"	"46 years"	"46"	2122	2450193	86.6
	"1999"	"1999"	"47 years"	"47"	2229	2412035	92.4
	"1999"	"1999"	"48 years"	"48"	2442	2271981	107.5
	"1999"	"1999"	"49 years"	"49"	2627	2300468	114.2
	"1999"	"1999"	"50 years"	"50"	2959	2297496	128.8
	"1999"	"1999"	"51 years"	"51"	3318	2189983	151.5
	"1999"	"1999"	"52 years"	"52"	3726	2353202	158.3
	"1999"	"1999"	"53 years"	"53"	3299	1698775	194.2
	"1999"	"1999"	"54 years"	"54"	3620	1767024	204.9
	"1999"	"1999"	"55 years"	"55"	4062	1727148	235.2
	"1999"	"1999"	"56 years"	"56"	4529	1764767	256.6
	"1999"	"1999"	"57 years"	"57"	4467	1530412	291.9
	"1999"	"1999"	"58 years"	"58"	4562	1442674	316.2
	"1999"	"1999"	"59 years"	"59"	4810	1377953	349.1
	"1999"	"1999"	"60 years"	"60"	5026	1371158	366.6
	"1999"	"1999"	"61 years"	"61"	5524	1288275	428.8
	"1999"	"1999"	"62 years"	"62"	5696	1225951	464.6
	"1999"	"1999"	"63 years"	"63"	5978	1212910	492.9
	"1999"	"1999"	"64 years"	"64"	6644	1212851	547.8
	"1999"	"1999"	"65 years"	"65"	6706	1121936	597.7
	"1999"	"1999"	"66 years"	"66"	6995	1112586	628.7
	"1999"	"1999"	"67 years"	"67"	7452	1120697	664.9
	"1999"	"1999"	"68 years"	"68"	8244	1122253	734.6
	"1999"	"1999"	"69 years"	"69"	8794	1109599	792.5
	"1999"	"1999"	"70 years"	"70"	9054	1096192	826.0
