"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"1"	74	1063879	7.0
	"1999"	"1999"	"1-4 years"	"1-4"	107	4324131	2.5
	"1999"	"1999"	"5-14 years"	"5-14"	128	11189296	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	1393	10362494	13.4
	"1999"	"1999"	"25-34 years"	"25-34"	1065	11259031	9.5
	"1999"	"1999"	"35-44 years"	"35-44"	790	11863448	6.7
	"1999"	"1999"	"45-54 years"	"45-54"	458	9229682	5.0
	"1999"	"1999"	"55-64 years"	"55-64"	169	5779686	2.9
	"1999"	"1999"	"65-74 years"	"65-74"	121	4310846	2.8
	"1999"	"1999"	"75-84 years"	"75-84"	71	2801615	2.5
	"1999"	"1999"	"85+ years"	"85+"	28	955186	2.9
	"1999"	"1999"	"Not Stated"	"NS"	18	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"1"	76	1060386	7.2
	"2000"	"2000"	"1-4 years"	"1-4"	89	4303016	2.1
	"2000"	"2000"	"5-14 years"	"5-14"	93	11290846	0.8
	"2000"	"2000"	"15-24 years"	"15-24"	1433	10571921	13.6
	"2000"	"2000"	"25-34 years"	"25-34"	1164	11181340	10.4
	"2000"	"2000"	"35-44 years"	"35-44"	749	11911718	6.3
	"2000"	"2000"	"45-54 years"	"45-54"	436	9520693	4.6
	"2000"	"2000"	"55-64 years"	"55-64"	186	5915124	3.1
	"2000"	"2000"	"65-74 years"	"65-74"	105	4319320	2.4
	"2000"	"2000"	"75-84 years"	"75-84"	69	2844744	2.4
	"2000"	"2000"	"85+ years"	"85+"	24	978607	2.5
	"2000"	"2000"	"Not Stated"	"NS"	12	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"1"	75	1141149	6.6
	"2001"	"2001"	"1-4 years"	"1-4"	102	4252344	2.4
	"2001"	"2001"	"5-14 years"	"5-14"	78	11356404	0.7
	"2001"	"2001"	"15-24 years"	"15-24"	1640	10872398	15.1
	"2001"	"2001"	"25-34 years"	"25-34"	1790	11158909	16.0
	"2001"	"2001"	"35-44 years"	"35-44"	1429	11958823	11.9
	"2001"	"2001"	"45-54 years"	"45-54"	822	9952412	8.3
	"2001"	"2001"	"55-64 years"	"55-64"	337	6140764	5.5
	"2001"	"2001"	"65-74 years"	"65-74"	133	4333412	3.1
