"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Jefferson County, AL"	"01073"	"2000"	"2000"	"Female"	"F"	3635	349958	1038.7	811.6
	"Jefferson County, AL"	"01073"	"2000"	"2000"	"Male"	"M"	3077	312089	985.9	1162.7
	"Jefferson County, AL"	"01073"	"2001"	"2001"	"Female"	"F"	3682	348755	1055.8	832.8
	"Jefferson County, AL"	"01073"	"2001"	"2001"	"Male"	"M"	3041	311442	976.4	1146.0
	"Jefferson County, AL"	"01073"	"2002"	"2002"	"Female"	"F"	3722	346895	1072.9	843.5
	"Jefferson County, AL"	"01073"	"2002"	"2002"	"Male"	"M"	3139	310623	1010.5	1187.7
	"Jefferson County, AL"	"01073"	"2003"	"2003"	"Female"	"F"	3687	346598	1063.8	842.1
	"Jefferson County, AL"	"01073"	"2003"	"2003"	"Male"	"M"	3143	310915	1010.9	1181.4
	"Jefferson County, AL"	"01073"	"2004"	"2004"	"Female"	"F"	3651	346026	1055.1	839.6
	"Jefferson County, AL"	"01073"	"2004"	"2004"	"Male"	"M"	3062	309997	987.8	1139.2
	"Jefferson County, AL"	"01073"	"2005"	"2005"	"Female"	"F"	3575	345432	1034.9	816.2
	"Jefferson County, AL"	"01073"	"2005"	"2005"	"Male"	"M"	3057	309487	987.8	1132.4
	"Jefferson County, AL"	"01073"	"2006"	"2006"	"Female"	"F"	3487	345905	1008.1	792.8
	"Jefferson County, AL"	"01073"	"2006"	"2006"	"Male"	"M"	3076	309988	992.3	1118.5
	"Jefferson County, AL"	"01073"	"2007"	"2007"	"Female"	"F"	3414	345407	988.4	777.9
	"Jefferson County, AL"	"01073"	"2007"	"2007"	"Male"	"M"	2955	309756	954.0	1064.0
	"Jefferson County, AL"	"01073"	"2008"	"2008"	"Female"	"F"	3547	345962	1025.3	799.3
	"Jefferson County, AL"	"01073"	"2008"	"2008"	"Male"	"M"	3053	310548	983.1	1078.2
	"Jefferson County, AL"	"01073"	"2009"	"2009"	"Female"	"F"	3323	346675	958.5	746.6
	"Jefferson County, AL"	"01073"	"2009"	"2009"	"Male"	"M"	2969	311766	952.3	1036.8
	"Jefferson County, AL"	"01073"	"2010"	"2010"	"Female"	"F"	3411	346653	984.0	761.6
	"Jefferson County, AL"	"01073"	"2010"	"2010"	"Male"	"M"	2970	311813	952.5	1035.9
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"Female"	"F"	3333	347243	959.8	735.3
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"Male"	"M"	2977	311688	955.1	1012.2
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"Female"	"F"	3349	347863	962.7	732.7
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"Male"	"M"	3001	312146	961.4	1010.4
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"Female"	"F"	3341	347328	961.9	725.9
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"Male"	"M"	3152	312151	1009.8	1052.2
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Female"	"F"	3410	348750	977.8	732.2
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Male"	"M"	2986	312043	956.9	971.6
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Female"	"F"	3492	348523	1001.9	740.1
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Male"	"M"	3075	311844	986.1	1002.5
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Female"	"F"	3429	347409	987.0	720.9
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Male"	"M"	3029	312112	970.5	965.8
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Female"	"F"	3408	347367	981.1	718.0
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Male"	"M"	3222	311830	1033.3	1011.7
	"Jefferson County, AL"	"01073"	"2018"	"2018"	"Female"	"F"	3453	347709	993.1	719.6
	"Jefferson County, AL"	"01073"	"2018"	"2018"	"Male"	"M"	3321	311591	1065.8	1036.5
	"Duval County, FL"	"12031"	"2000"	"2000"	"Female"	"F"	3215	401098	801.5	800.4
	"Duval County, FL"	"12031"	"2000"	"2000"	"Male"	"M"	2969	377781	785.9	1128.7
	"Duval County, FL"	"12031"	"2001"	"2001"	"Female"	"F"	3337	407419	819.1	800.5
	"Duval County, FL"	"12031"	"2001"	"2001"	"Male"	"M"	3024	383262	789.0	1125.3
	"Duval County, FL"	"12031"	"2002"	"2002"	"Female"	"F"	3245	413003	785.7	772.0
	"Duval County, FL"	"12031"	"2002"	"2002"	"Male"	"M"	2924	387529	754.5	1067.2
	"Duval County, FL"	"12031"	"2003"	"2003"	"Female"	"F"	3291	418123	787.1	772.8
	"Duval County, FL"	"12031"	"2003"	"2003"	"Male"	"M"	2982	391510	761.7	1059.7
	"Duval County, FL"	"12031"	"2004"	"2004"	"Female"	"F"	3422	422915	809.1	794.3
	"Duval County, FL"	"12031"	"2004"	"2004"	"Male"	"M"	3055	397155	769.2	1073.9
	"Duval County, FL"	"12031"	"2005"	"2005"	"Female"	"F"	3315	427635	775.2	753.3
	"Duval County, FL"	"12031"	"2005"	"2005"	"Male"	"M"	3075	401353	766.2	1048.2
	"Duval County, FL"	"12031"	"2006"	"2006"	"Female"	"F"	3352	434088	772.2	742.7
	"Duval County, FL"	"12031"	"2006"	"2006"	"Male"	"M"	2976	408010	729.4	967.4
	"Duval County, FL"	"12031"	"2007"	"2007"	"Female"	"F"	3415	438594	778.6	741.4
	"Duval County, FL"	"12031"	"2007"	"2007"	"Male"	"M"	3073	412439	745.1	977.3
	"Duval County, FL"	"12031"	"2008"	"2008"	"Female"	"F"	3356	440681	761.5	714.5
	"Duval County, FL"	"12031"	"2008"	"2008"	"Male"	"M"	3256	414756	785.0	1010.8
	"Duval County, FL"	"12031"	"2009"	"2009"	"Female"	"F"	3271	442685	738.9	682.4
	"Duval County, FL"	"12031"	"2009"	"2009"	"Male"	"M"	3231	417110	774.6	978.8
	"Duval County, FL"	"12031"	"2010"	"2010"	"Female"	"F"	3443	444838	774.0	710.0
	"Duval County, FL"	"12031"	"2010"	"2010"	"Male"	"M"	3070	419425	732.0	923.3
	"Duval County, FL"	"12031"	"2011"	"2011"	"Female"	"F"	3538	448405	789.0	700.1
	"Duval County, FL"	"12031"	"2011"	"2011"	"Male"	"M"	3275	422304	775.5	945.0
	"Duval County, FL"	"12031"	"2012"	"2012"	"Female"	"F"	3363	453000	742.4	642.7
	"Duval County, FL"	"12031"	"2012"	"2012"	"Male"	"M"	3306	426602	775.0	921.6
	"Duval County, FL"	"12031"	"2013"	"2013"	"Female"	"F"	3686	456097	808.2	698.9
	"Duval County, FL"	"12031"	"2013"	"2013"	"Male"	"M"	3377	429758	785.8	911.3
	"Duval County, FL"	"12031"	"2014"	"2014"	"Female"	"F"	3519	462964	760.1	647.2
	"Duval County, FL"	"12031"	"2014"	"2014"	"Male"	"M"	3331	434734	766.2	875.3
	"Duval County, FL"	"12031"	"2015"	"2015"	"Female"	"F"	3637	470283	773.4	654.1
	"Duval County, FL"	"12031"	"2015"	"2015"	"Male"	"M"	3462	442727	782.0	874.5
	"Duval County, FL"	"12031"	"2016"	"2016"	"Female"	"F"	3584	477562	750.5	626.5
	"Duval County, FL"	"12031"	"2016"	"2016"	"Male"	"M"	3474	448693	774.2	851.9
	"Duval County, FL"	"12031"	"2017"	"2017"	"Female"	"F"	3774	483457	780.6	663.9
	"Duval County, FL"	"12031"	"2017"	"2017"	"Male"	"M"	3688	454477	811.5	901.7
	"Duval County, FL"	"12031"	"2018"	"2018"	"Female"	"F"	3930	489747	802.5	671.3
	"Duval County, FL"	"12031"	"2018"	"2018"	"Male"	"M"	3835	460434	832.9	897.6
	"Marion County, IN"	"18097"	"2000"	"2000"	"Female"	"F"	3825	444456	860.6	806.9
	"Marion County, IN"	"18097"	"2000"	"2000"	"Male"	"M"	3336	415998	801.9	1124.3
	"Marion County, IN"	"18097"	"2001"	"2001"	"Female"	"F"	3667	447166	820.1	770.4
	"Marion County, IN"	"18097"	"2001"	"2001"	"Male"	"M"	3454	418496	825.3	1160.5
	"Marion County, IN"	"18097"	"2002"	"2002"	"Female"	"F"	3624	447772	809.3	758.1
	"Marion County, IN"	"18097"	"2002"	"2002"	"Male"	"M"	3358	418438	802.5	1121.0
	"Marion County, IN"	"18097"	"2003"	"2003"	"Female"	"F"	3709	449007	826.0	774.0
	"Marion County, IN"	"18097"	"2003"	"2003"	"Male"	"M"	3311	419569	789.1	1084.5
