"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Jefferson County, AL"	"01073"	"2000"	"2000"	7186	662047	1085.4	1023.2
	"Jefferson County, AL"	"01073"	"2001"	"2001"	7222	660197	1093.9	1033.3
	"Jefferson County, AL"	"01073"	"2002"	"2002"	7370	657518	1120.9	1057.8
	"Jefferson County, AL"	"01073"	"2003"	"2003"	7345	657513	1117.1	1057.2
	"Jefferson County, AL"	"01073"	"2004"	"2004"	7197	656023	1097.1	1034.6
	"Jefferson County, AL"	"01073"	"2005"	"2005"	7179	654919	1096.2	1026.7
	"Jefferson County, AL"	"01073"	"2006"	"2006"	7106	655893	1083.4	1008.9
	"Jefferson County, AL"	"01073"	"2007"	"2007"	6902	655163	1053.5	976.8
	"Jefferson County, AL"	"01073"	"2008"	"2008"	7161	656510	1090.8	1001.3
	"Jefferson County, AL"	"01073"	"2009"	"2009"	6807	658441	1033.8	942.2
	"Jefferson County, AL"	"01073"	"2010"	"2010"	6833	658466	1037.7	941.1
	"Jefferson County, AL"	"01073"	"2011"	"2011"	6850	658931	1039.6	932.7
	"Jefferson County, AL"	"01073"	"2012"	"2012"	6852	660009	1038.2	923.8
	"Jefferson County, AL"	"01073"	"2013"	"2013"	7001	659479	1061.6	935.3
	"Jefferson County, AL"	"01073"	"2014"	"2014"	6950	660793	1051.8	914.1
	"Jefferson County, AL"	"01073"	"2015"	"2015"	7182	660367	1087.6	941.1
	"Jefferson County, AL"	"01073"	"2016"	"2016"	7137	659521	1082.1	925.7
	"Jefferson County, AL"	"01073"	"2017"	"2017"	7314	659197	1109.5	947.1
	"Jefferson County, AL"	"01073"	"2018"	"2018"	7451	659300	1130.1	954.5
"Total"	"Jefferson County, AL"	"01073"			135045	12510287	1079.5	976.6
	"Duval County, FL"	"12031"	"2000"	"2000"	6671	778879	856.5	997.3
	"Duval County, FL"	"12031"	"2001"	"2001"	6901	790681	872.8	1001.5
	"Duval County, FL"	"12031"	"2002"	"2002"	6757	800532	844.1	965.4
	"Duval County, FL"	"12031"	"2003"	"2003"	6853	809633	846.4	960.9
	"Duval County, FL"	"12031"	"2004"	"2004"	7094	820070	865.0	984.9
	"Duval County, FL"	"12031"	"2005"	"2005"	7003	828988	844.8	946.6
	"Duval County, FL"	"12031"	"2006"	"2006"	6982	842098	829.1	915.5
	"Duval County, FL"	"12031"	"2007"	"2007"	7190	851033	844.9	922.5
	"Duval County, FL"	"12031"	"2008"	"2008"	7254	855437	848.0	911.8
	"Duval County, FL"	"12031"	"2009"	"2009"	7159	859795	832.6	881.6
	"Duval County, FL"	"12031"	"2010"	"2010"	7123	864263	824.2	867.6
	"Duval County, FL"	"12031"	"2011"	"2011"	7415	870709	851.6	869.4
	"Duval County, FL"	"12031"	"2012"	"2012"	7374	879602	838.3	839.3
	"Duval County, FL"	"12031"	"2013"	"2013"	7750	885855	874.9	863.9
	"Duval County, FL"	"12031"	"2014"	"2014"	7550	897698	841.0	818.0
	"Duval County, FL"	"12031"	"2015"	"2015"	7831	913010	857.7	829.0
	"Duval County, FL"	"12031"	"2016"	"2016"	8064	926255	870.6	827.4
	"Duval County, FL"	"12031"	"2017"	"2017"	8562	937934	912.9	878.9
	"Duval County, FL"	"12031"	"2018"	"2018"	8676	950181	913.1	863.4
"Total"	"Duval County, FL"	"12031"			140209	16362653	856.9	896.1
	"Marion County, IN"	"18097"	"2000"	"2000"	7666	860454	890.9	995.4
	"Marion County, IN"	"18097"	"2001"	"2001"	7648	865662	883.5	986.9
	"Marion County, IN"	"18097"	"2002"	"2002"	7499	866210	865.7	964.9
	"Marion County, IN"	"18097"	"2003"	"2003"	7511	868576	864.7	956.0
	"Marion County, IN"	"18097"	"2004"	"2004"	7470	870378	858.2	945.1
	"Marion County, IN"	"18097"	"2005"	"2005"	7499	873310	858.7	941.5
	"Marion County, IN"	"18097"	"2006"	"2006"	7469	878515	850.2	925.3
	"Marion County, IN"	"18097"	"2007"	"2007"	7043	883591	797.1	864.7
	"Marion County, IN"	"18097"	"2008"	"2008"	7388	889504	830.6	893.8
	"Marion County, IN"	"18097"	"2009"	"2009"	7285	898394	810.9	870.3
	"Marion County, IN"	"18097"	"2010"	"2010"	7349	903393	813.5	870.8
	"Marion County, IN"	"18097"	"2011"	"2011"	7435	911296	815.9	864.6
	"Marion County, IN"	"18097"	"2012"	"2012"	7713	918977	839.3	887.8
	"Marion County, IN"	"18097"	"2013"	"2013"	7661	928281	825.3	863.7
	"Marion County, IN"	"18097"	"2014"	"2014"	7899	934243	845.5	880.0
	"Marion County, IN"	"18097"	"2015"	"2015"	8004	939020	852.4	881.5
	"Marion County, IN"	"18097"	"2016"	"2016"	8263	941229	877.9	903.6
	"Marion County, IN"	"18097"	"2017"	"2017"	8489	950082	893.5	898.9
	"Marion County, IN"	"18097"	"2018"	"2018"	8293	954670	868.7	863.3
"Total"	"Marion County, IN"	"18097"			145584	17135785	849.6	906.2
	"Jefferson County, KY"	"21111"	"2000"	"2000"	7181	693604	1035.3	994.2
	"Jefferson County, KY"	"21111"	"2001"	"2001"	7055	697159	1012.0	970.0
	"Jefferson County, KY"	"21111"	"2002"	"2002"	7265	699810	1038.1	992.0
	"Jefferson County, KY"	"21111"	"2003"	"2003"	7093	703970	1007.6	958.1
	"Jefferson County, KY"	"21111"	"2004"	"2004"	6766	706828	957.2	907.0
	"Jefferson County, KY"	"21111"	"2005"	"2005"	6849	710018	964.6	898.9
	"Jefferson County, KY"	"21111"	"2006"	"2006"	6866	715149	960.1	885.9
	"Jefferson County, KY"	"21111"	"2007"	"2007"	6995	723040	967.4	885.0
	"Jefferson County, KY"	"21111"	"2008"	"2008"	6912	730194	946.6	860.4
	"Jefferson County, KY"	"21111"	"2009"	"2009"	6755	736705	916.9	826.8
	"Jefferson County, KY"	"21111"	"2010"	"2010"	7081	741096	955.5	856.0
	"Jefferson County, KY"	"21111"	"2011"	"2011"	7196	746906	963.4	852.4
	"Jefferson County, KY"	"21111"	"2012"	"2012"	7375	750828	982.2	864.8
	"Jefferson County, KY"	"21111"	"2013"	"2013"	7304	756832	965.1	839.3
	"Jefferson County, KY"	"21111"	"2014"	"2014"	7521	760026	989.6	854.3
	"Jefferson County, KY"	"21111"	"2015"	"2015"	7861	763623	1029.4	876.2
	"Jefferson County, KY"	"21111"	"2016"	"2016"	8149	765352	1064.7	905.5
	"Jefferson County, KY"	"21111"	"2017"	"2017"	8107	771158	1051.3	888.7
	"Jefferson County, KY"	"21111"	"2018"	"2018"	8113	770517	1052.9	873.6
"Total"	"Jefferson County, KY"	"21111"			138444	13942815	992.9	890.7
	"Kent County, MI"	"26081"	"2000"	"2000"	4112	574335	716.0	832.5
	"Kent County, MI"	"26081"	"2001"	"2001"	4002	581224	688.5	795.7
	"Kent County, MI"	"26081"	"2002"	"2002"	4039	584940	690.5	790.3
	"Kent County, MI"	"26081"	"2003"	"2003"	4087	587790	695.3	782.5
	"Kent County, MI"	"26081"	"2004"	"2004"	4194	589554	711.4	793.3
	"Kent County, MI"	"26081"	"2005"	"2005"	4246	592210	717.0	793.7
	"Kent County, MI"	"26081"	"2006"	"2006"	4024	595191	676.1	732.5
	"Kent County, MI"	"26081"	"2007"	"2007"	4031	598077	674.0	717.9
	"Kent County, MI"	"26081"	"2008"	"2008"	4247	599234	708.7	739.5
	"Kent County, MI"	"26081"	"2009"	"2009"	4127	601437	686.2	701.0
	"Kent County, MI"	"26081"	"2010"	"2010"	4191	602622	695.5	702.1
	"Kent County, MI"	"26081"	"2011"	"2011"	4371	608453	718.4	714.6
	"Kent County, MI"	"26081"	"2012"	"2012"	4258	614462	693.0	679.3
	"Kent County, MI"	"26081"	"2013"	"2013"	4430	621700	712.6	695.3
	"Kent County, MI"	"26081"	"2014"	"2014"	4624	629237	734.9	702.9
	"Kent County, MI"	"26081"	"2015"	"2015"	4734	636369	743.9	708.4
	"Kent County, MI"	"26081"	"2016"	"2016"	4813	642173	749.5	710.5
	"Kent County, MI"	"26081"	"2017"	"2017"	4796	648594	739.4	694.1
	"Kent County, MI"	"26081"	"2018"	"2018"	4943	653786	756.1	702.5
"Total"	"Kent County, MI"	"26081"			82269	11561388	711.6	732.4
	"Jackson County, MO"	"29095"	"2000"	"2000"	6084	654880	929.0	932.0
	"Jackson County, MO"	"29095"	"2001"	"2001"	6179	657012	940.5	943.6
	"Jackson County, MO"	"29095"	"2002"	"2002"	6007	658765	911.9	914.5
	"Jackson County, MO"	"29095"	"2003"	"2003"	6020	658914	913.6	908.9
	"Jackson County, MO"	"29095"	"2004"	"2004"	5931	658307	900.9	895.6
	"Jackson County, MO"	"29095"	"2005"	"2005"	6029	658592	915.4	901.5
	"Jackson County, MO"	"29095"	"2006"	"2006"	6172	660539	934.4	912.9
	"Jackson County, MO"	"29095"	"2007"	"2007"	5956	662995	898.3	871.6
	"Jackson County, MO"	"29095"	"2008"	"2008"	6146	665427	923.6	887.9
	"Jackson County, MO"	"29095"	"2009"	"2009"	5927	670763	883.6	847.0
	"Jackson County, MO"	"29095"	"2010"	"2010"	5907	674158	876.2	835.5
	"Jackson County, MO"	"29095"	"2011"	"2011"	6006	676360	888.0	831.6
	"Jackson County, MO"	"29095"	"2012"	"2012"	6072	677377	896.4	830.0
	"Jackson County, MO"	"29095"	"2013"	"2013"	6178	679996	908.5	832.3
	"Jackson County, MO"	"29095"	"2014"	"2014"	6081	683191	890.1	810.8
	"Jackson County, MO"	"29095"	"2015"	"2015"	6341	687623	922.2	831.9
	"Jackson County, MO"	"29095"	"2016"	"2016"	6144	691801	888.1	793.9
	"Jackson County, MO"	"29095"	"2017"	"2017"	6494	698895	929.2	823.5
	"Jackson County, MO"	"29095"	"2018"	"2018"	6376	700307	910.5	794.2
"Total"	"Jackson County, MO"	"29095"			116050	12775902	908.4	861.0
	"St. Louis County, MO"	"29189"	"2000"	"2000"	9650	1016315	949.5	855.5
	"St. Louis County, MO"	"29189"	"2001"	"2001"	9631	1016243	947.7	844.9
	"St. Louis County, MO"	"29189"	"2002"	"2002"	9861	1014359	972.1	858.3
	"St. Louis County, MO"	"29189"	"2003"	"2003"	9529	1011678	941.9	820.9
	"St. Louis County, MO"	"29189"	"2004"	"2004"	9381	1007813	930.8	802.7
	"St. Louis County, MO"	"29189"	"2005"	"2005"	9185	1004109	914.7	781.0
	"St. Louis County, MO"	"29189"	"2006"	"2006"	9359	1002050	934.0	784.6
	"St. Louis County, MO"	"29189"	"2007"	"2007"	9007	999389	901.3	744.0
	"St. Louis County, MO"	"29189"	"2008"	"2008"	9540	998331	955.6	775.8
	"St. Louis County, MO"	"29189"	"2009"	"2009"	9109	998618	912.2	733.2
	"St. Louis County, MO"	"29189"	"2010"	"2010"	9291	998954	930.1	740.0
	"St. Louis County, MO"	"29189"	"2011"	"2011"	9231	998692	924.3	726.1
	"St. Louis County, MO"	"29189"	"2012"	"2012"	9399	1000438	939.5	725.6
	"St. Louis County, MO"	"29189"	"2013"	"2013"	9569	1001444	955.5	725.1
	"St. Louis County, MO"	"29189"	"2014"	"2014"	9629	1001876	961.1	720.6
	"St. Louis County, MO"	"29189"	"2015"	"2015"	9982	1003362	994.9	737.8
	"St. Louis County, MO"	"29189"	"2016"	"2016"	10025	998581	1003.9	739.2
	"St. Louis County, MO"	"29189"	"2017"	"2017"	10269	996726	1030.3	753.6
	"St. Louis County, MO"	"29189"	"2018"	"2018"	10880	996945	1091.3	794.5
"Total"	"St. Louis County, MO"	"29189"			182527	19065923	957.3	768.4
	"St. Louis city, MO"	"29510"	"2000"	"2000"	4206	348189	1208.0	1129.4
	"St. Louis city, MO"	"29510"	"2001"	"2001"	4196	343243	1222.5	1159.3
	"St. Louis city, MO"	"29510"	"2002"	"2002"	4177	338457	1234.1	1176.1
	"St. Louis city, MO"	"29510"	"2003"	"2003"	3993	334893	1192.3	1153.5
	"St. Louis city, MO"	"29510"	"2004"	"2004"	3736	330988	1128.7	1107.1
	"St. Louis city, MO"	"29510"	"2005"	"2005"	3539	324945	1089.1	1066.0
	"St. Louis city, MO"	"29510"	"2006"	"2006"	3584	320131	1119.5	1108.7
	"St. Louis city, MO"	"29510"	"2007"	"2007"	3318	317959	1043.5	1036.8
	"St. Louis city, MO"	"29510"	"2008"	"2008"	3311	317955	1041.3	1042.0
	"St. Louis city, MO"	"29510"	"2009"	"2009"	3097	318842	971.3	986.2
	"St. Louis city, MO"	"29510"	"2010"	"2010"	3067	319294	960.6	979.9
	"St. Louis city, MO"	"29510"	"2011"	"2011"	2990	318069	940.0	965.1
	"St. Louis city, MO"	"29510"	"2012"	"2012"	2936	318172	922.8	929.7
	"St. Louis city, MO"	"29510"	"2013"	"2013"	2900	318416	910.8	913.8
	"St. Louis city, MO"	"29510"	"2014"	"2014"	2993	317419	942.9	941.8
	"St. Louis city, MO"	"29510"	"2015"	"2015"	2965	315685	939.2	939.1
	"St. Louis city, MO"	"29510"	"2016"	"2016"	3009	311404	966.3	954.9
	"St. Louis city, MO"	"29510"	"2017"	"2017"	3139	308626	1017.1	957.2
	"St. Louis city, MO"	"29510"	"2018"	"2018"	3040	302838	1003.8	926.3
"Total"	"St. Louis city, MO"	"29510"			64196	6125525	1048.0	1028.8
	"Douglas County, NE"	"31055"	"2000"	"2000"	3536	463585	762.8	855.7
	"Douglas County, NE"	"31055"	"2001"	"2001"	3649	468125	779.5	874.9
	"Douglas County, NE"	"31055"	"2002"	"2002"	3686	471866	781.2	877.3
	"Douglas County, NE"	"31055"	"2003"	"2003"	3644	476701	764.4	856.3
	"Douglas County, NE"	"31055"	"2004"	"2004"	3512	482075	728.5	816.4
	"Douglas County, NE"	"31055"	"2005"	"2005"	3552	488114	727.7	809.9
	"Douglas County, NE"	"31055"	"2006"	"2006"	3580	493757	725.1	794.9
	"Douglas County, NE"	"31055"	"2007"	"2007"	3589	498743	719.6	782.3
	"Douglas County, NE"	"31055"	"2008"	"2008"	3714	504547	736.1	799.2
	"Douglas County, NE"	"31055"	"2009"	"2009"	3434	511902	670.8	720.6
	"Douglas County, NE"	"31055"	"2010"	"2010"	3635	517110	702.9	755.3
	"Douglas County, NE"	"31055"	"2011"	"2011"	3789	524861	721.9	767.8
	"Douglas County, NE"	"31055"	"2012"	"2012"	3837	531265	722.2	761.1
	"Douglas County, NE"	"31055"	"2013"	"2013"	3898	537256	725.5	765.2
	"Douglas County, NE"	"31055"	"2014"	"2014"	3969	543244	730.6	760.8
	"Douglas County, NE"	"31055"	"2015"	"2015"	4211	550064	765.5	794.6
	"Douglas County, NE"	"31055"	"2016"	"2016"	3940	554995	709.9	723.9
	"Douglas County, NE"	"31055"	"2017"	"2017"	4170	561620	742.5	746.0
	"Douglas County, NE"	"31055"	"2018"	"2018"	4196	566880	740.2	734.0
"Total"	"Douglas County, NE"	"31055"			71541	9746710	734.0	785.5
	"Guilford County, NC"	"37081"	"2000"	"2000"	3567	421048	847.2	904.5
	"Guilford County, NC"	"37081"	"2001"	"2001"	3383	428381	789.7	844.5
	"Guilford County, NC"	"37081"	"2002"	"2002"	3515	432068	813.5	862.1
	"Guilford County, NC"	"37081"	"2003"	"2003"	3542	436327	811.8	848.6
	"Guilford County, NC"	"37081"	"2004"	"2004"	3538	440597	803.0	833.7
	"Guilford County, NC"	"37081"	"2005"	"2005"	3672	448192	819.3	838.4
	"Guilford County, NC"	"37081"	"2006"	"2006"	3543	458792	772.2	780.3
	"Guilford County, NC"	"37081"	"2007"	"2007"	3637	468466	776.4	783.2
	"Guilford County, NC"	"37081"	"2008"	"2008"	3697	477809	773.7	771.7
	"Guilford County, NC"	"37081"	"2009"	"2009"	3821	484180	789.2	775.6
	"Guilford County, NC"	"37081"	"2010"	"2010"	3709	488406	759.4	744.5
	"Guilford County, NC"	"37081"	"2011"	"2011"	3898	495279	787.0	759.3
	"Guilford County, NC"	"37081"	"2012"	"2012"	3933	500879	785.2	741.3
	"Guilford County, NC"	"37081"	"2013"	"2013"	3981	506610	785.8	731.1
	"Guilford County, NC"	"37081"	"2014"	"2014"	4194	512119	819.0	748.8
	"Guilford County, NC"	"37081"	"2015"	"2015"	4290	517600	828.8	750.2
	"Guilford County, NC"	"37081"	"2016"	"2016"	4372	521330	838.6	753.0
	"Guilford County, NC"	"37081"	"2017"	"2017"	4589	526953	870.9	772.2
	"Guilford County, NC"	"37081"	"2018"	"2018"	4595	533670	861.0	759.1
"Total"	"Guilford County, NC"	"37081"			73476	9098706	807.5	784.1
	"Mecklenburg County, NC"	"37119"	"2000"	"2000"	4594	695454	660.6	897.2
	"Mecklenburg County, NC"	"37119"	"2001"	"2001"	4471	720171	620.8	838.7
	"Mecklenburg County, NC"	"37119"	"2002"	"2002"	4641	736422	630.2	849.4
	"Mecklenburg County, NC"	"37119"	"2003"	"2003"	4732	753991	627.6	845.4
	"Mecklenburg County, NC"	"37119"	"2004"	"2004"	4691	772949	606.9	810.0
	"Mecklenburg County, NC"	"37119"	"2005"	"2005"	4805	798701	601.6	805.3
	"Mecklenburg County, NC"	"37119"	"2006"	"2006"	4842	831507	582.3	768.7
	"Mecklenburg County, NC"	"37119"	"2007"	"2007"	5004	862177	580.4	763.6
	"Mecklenburg County, NC"	"37119"	"2008"	"2008"	5033	887991	566.8	744.8
	"Mecklenburg County, NC"	"37119"	"2009"	"2009"	5077	908704	558.7	723.6
	"Mecklenburg County, NC"	"37119"	"2010"	"2010"	5079	919628	552.3	709.7
	"Mecklenburg County, NC"	"37119"	"2011"	"2011"	5155	944373	545.9	684.6
	"Mecklenburg County, NC"	"37119"	"2012"	"2012"	5378	969031	555.0	686.1
	"Mecklenburg County, NC"	"37119"	"2013"	"2013"	5476	990977	552.6	669.7
	"Mecklenburg County, NC"	"37119"	"2014"	"2014"	5758	1012539	568.7	675.6
	"Mecklenburg County, NC"	"37119"	"2015"	"2015"	6024	1034070	582.6	684.3
	"Mecklenburg County, NC"	"37119"	"2016"	"2016"	6227	1054835	590.3	679.2
	"Mecklenburg County, NC"	"37119"	"2017"	"2017"	6191	1076837	574.9	658.6
	"Mecklenburg County, NC"	"37119"	"2018"	"2018"	6480	1093901	592.4	667.9
"Total"	"Mecklenburg County, NC"	"37119"			99658	17064258	584.0	732.2
	"Wake County, NC"	"37183"	"2000"	"2000"	3249	627846	517.5	817.6
	"Wake County, NC"	"37183"	"2001"	"2001"	3332	656819	507.3	798.3
	"Wake County, NC"	"37183"	"2002"	"2002"	3362	676392	497.0	775.5
	"Wake County, NC"	"37183"	"2003"	"2003"	3575	695746	513.8	788.4
