"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Jefferson County, AL"	"01073"	"2000"	"2000"	"Female"	"F"	3782	349958	1080.7	849.8
	"Jefferson County, AL"	"01073"	"2000"	"2000"	"Male"	"M"	3404	312089	1090.7	1272.0
	"Jefferson County, AL"	"01073"	"2001"	"2001"	"Female"	"F"	3856	348755	1105.6	877.6
	"Jefferson County, AL"	"01073"	"2001"	"2001"	"Male"	"M"	3366	311442	1080.8	1255.5
	"Jefferson County, AL"	"01073"	"2002"	"2002"	"Female"	"F"	3874	346895	1116.8	883.8
	"Jefferson County, AL"	"01073"	"2002"	"2002"	"Male"	"M"	3496	310623	1125.5	1307.0
	"Jefferson County, AL"	"01073"	"2003"	"2003"	"Female"	"F"	3863	346598	1114.5	888.0
	"Jefferson County, AL"	"01073"	"2003"	"2003"	"Male"	"M"	3482	310915	1119.9	1293.8
	"Jefferson County, AL"	"01073"	"2004"	"2004"	"Female"	"F"	3796	346026	1097.0	878.3
	"Jefferson County, AL"	"01073"	"2004"	"2004"	"Male"	"M"	3401	309997	1097.1	1250.0
	"Jefferson County, AL"	"01073"	"2005"	"2005"	"Female"	"F"	3728	345432	1079.2	856.4
	"Jefferson County, AL"	"01073"	"2005"	"2005"	"Male"	"M"	3451	309487	1115.1	1262.8
	"Jefferson County, AL"	"01073"	"2006"	"2006"	"Female"	"F"	3648	345905	1054.6	836.0
	"Jefferson County, AL"	"01073"	"2006"	"2006"	"Male"	"M"	3458	309988	1115.5	1244.3
	"Jefferson County, AL"	"01073"	"2007"	"2007"	"Female"	"F"	3584	345407	1037.6	823.1
	"Jefferson County, AL"	"01073"	"2007"	"2007"	"Male"	"M"	3318	309756	1071.2	1181.5
	"Jefferson County, AL"	"01073"	"2008"	"2008"	"Female"	"F"	3723	345962	1076.1	846.3
	"Jefferson County, AL"	"01073"	"2008"	"2008"	"Male"	"M"	3438	310548	1107.1	1202.5
	"Jefferson County, AL"	"01073"	"2009"	"2009"	"Female"	"F"	3495	346675	1008.1	792.5
	"Jefferson County, AL"	"01073"	"2009"	"2009"	"Male"	"M"	3312	311766	1062.3	1147.5
	"Jefferson County, AL"	"01073"	"2010"	"2010"	"Female"	"F"	3546	346653	1022.9	798.2
	"Jefferson County, AL"	"01073"	"2010"	"2010"	"Male"	"M"	3287	311813	1054.2	1137.4
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"Female"	"F"	3491	347243	1005.3	776.4
	"Jefferson County, AL"	"01073"	"2011"	"2011"	"Male"	"M"	3359	311688	1077.7	1137.7
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"Female"	"F"	3488	347863	1002.7	769.0
	"Jefferson County, AL"	"01073"	"2012"	"2012"	"Male"	"M"	3364	312146	1077.7	1129.1
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"Female"	"F"	3486	347328	1003.7	766.1
	"Jefferson County, AL"	"01073"	"2013"	"2013"	"Male"	"M"	3515	312151	1126.1	1170.0
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Female"	"F"	3599	348750	1032.0	782.1
	"Jefferson County, AL"	"01073"	"2014"	"2014"	"Male"	"M"	3351	312043	1073.9	1088.5
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Female"	"F"	3657	348523	1049.3	784.8
	"Jefferson County, AL"	"01073"	"2015"	"2015"	"Male"	"M"	3525	311844	1130.4	1149.4
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Female"	"F"	3618	347409	1041.4	773.9
	"Jefferson County, AL"	"01073"	"2016"	"2016"	"Male"	"M"	3519	312112	1127.5	1123.8
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Female"	"F"	3587	347367	1032.6	767.7
	"Jefferson County, AL"	"01073"	"2017"	"2017"	"Male"	"M"	3727	311830	1195.2	1176.4
	"Jefferson County, AL"	"01073"	"2018"	"2018"	"Female"	"F"	3637	347709	1046.0	769.8
	"Jefferson County, AL"	"01073"	"2018"	"2018"	"Male"	"M"	3814	311591	1224.0	1198.0
	"Duval County, FL"	"12031"	"2000"	"2000"	"Female"	"F"	3351	401098	835.5	834.0
	"Duval County, FL"	"12031"	"2000"	"2000"	"Male"	"M"	3320	377781	878.8	1226.4
	"Duval County, FL"	"12031"	"2001"	"2001"	"Female"	"F"	3509	407419	861.3	842.3
	"Duval County, FL"	"12031"	"2001"	"2001"	"Male"	"M"	3392	383262	885.0	1224.5
