GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 18 years:,Margin of Error; Male: - Under 18 years:,Estimate; Male: - Under 18 years: - With health insurance coverage,Margin of Error; Male: - Under 18 years: - With health insurance coverage,Estimate; Male: - Under 18 years: - No health insurance coverage,Margin of Error; Male: - Under 18 years: - No health insurance coverage,Estimate; Male: - 18 to 64 years:,Margin of Error; Male: - 18 to 64 years:,Estimate; Male: - 18 to 64 years: - With health insurance coverage,Margin of Error; Male: - 18 to 64 years: - With health insurance coverage,Estimate; Male: - 18 to 64 years: - No health insurance coverage,Margin of Error; Male: - 18 to 64 years: - No health insurance coverage,Estimate; Male: - 65 years and over:,Margin of Error; Male: - 65 years and over:,Estimate; Male: - 65 years and over: - With health insurance coverage,Margin of Error; Male: - 65 years and over: - With health insurance coverage,Estimate; Male: - 65 years and over: - No health insurance coverage,Margin of Error; Male: - 65 years and over: - No health insurance coverage,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 18 years:,Margin of Error; Female: - Under 18 years:,Estimate; Female: - Under 18 years: - With health insurance coverage,Margin of Error; Female: - Under 18 years: - With health insurance coverage,Estimate; Female: - Under 18 years: - No health insurance coverage,Margin of Error; Female: - Under 18 years: - No health insurance coverage,Estimate; Female: - 18 to 64 years:,Margin of Error; Female: - 18 to 64 years:,Estimate; Female: - 18 to 64 years: - With health insurance coverage,Margin of Error; Female: - 18 to 64 years: - With health insurance coverage,Estimate; Female: - 18 to 64 years: - No health insurance coverage,Margin of Error; Female: - 18 to 64 years: - No health insurance coverage,Estimate; Female: - 65 years and over:,Margin of Error; Female: - 65 years and over:,Estimate; Female: - 65 years and over: - With health insurance coverage,Margin of Error; Female: - 65 years and over: - With health insurance coverage,Estimate; Female: - 65 years and over: - No health insurance coverage,Margin of Error; Female: - 65 years and over: - No health insurance coverage
0500000US01003,01003,"Baldwin County, Alabama",193472,1202,93182,2162,22607,1165,21268,1684,1339,1120,54935,1788,38520,2409,16415,2527,15640,524,15293,805,347,531,100290,1993,21619,1194,20484,1493,1135,945,59899,1607,47517,2631,12382,2863,18772,397,18714,400,58,100
0500000US01015,01015,"Calhoun County, Alabama",115139,957,55434,1084,13309,691,13283,689,26,52,34751,724,26149,1744,8602,1692,7374,222,7374,222,0,192,59705,838,12525,656,12168,667,357,331,37060,451,29299,1576,7761,1567,10120,243,10120,243,0,192
0500000US01043,01043,"Cullman County, Alabama",80078,680,39839,529,9522,483,8801,398,721,547,24446,515,18741,1198,5705,1029,5871,91,5871,91,0,192,40239,538,8434,362,7232,774,1202,791,24434,349,18149,1195,6285,1119,7371,285,7371,285,0,192
0500000US01049,01049,"DeKalb County, Alabama",70341,477,34489,1607,7779,990,7416,1053,363,297,22142,1684,15878,1200,6264,1921,4568,237,4568,237,0,192,35852,1599,8597,1544,7877,1557,720,643,20859,613,15254,1322,5605,1441,6396,668,6396,668,0,192
0500000US01051,01051,"Elmore County, Alabama",74996,1880,35669,1818,9506,575,9188,673,318,364,21320,1838,18307,1784,3013,838,4843,327,4843,327,0,192,39327,1028,8951,459,8529,637,422,465,24740,988,22463,1119,2277,786,5636,145,5636,145,0,192
0500000US01055,01055,"Etowah County, Alabama",103152,328,50028,827,12160,691,11350,852,810,593,30514,343,24028,1320,6486,1247,7354,138,7278,184,76,124,53124,760,10683,703,10011,806,672,449,32787,467,26169,1272,6618,1281,9654,291,9654,291,0,192
0500000US01069,01069,"Houston County, Alabama",102860,506,49324,411,12961,140,12304,302,657,346,29532,391,22012,803,7520,782,6831,102,6803,111,28,45,53536,316,11861,152,11448,280,413,214,32306,243,26453,778,5853,740,9369,145,9254,151,115,116
0500000US01073,01073,"Jefferson County, Alabama",652122,989,307444,1184,77400,485,73317,1230,4083,1223,193788,1095,154683,3238,39105,3231,36256,429,36195,416,61,74,344678,1035,74860,434,70705,1563,4155,1496,217218,888,182301,3217,34917,3254,52600,646,52143,590,457,472
0500000US01077,01077,"Lauderdale County, Alabama",92067,540,44663,849,9706,781,9498,831,208,207,27933,1041,21840,1749,6093,1719,7024,201,6935,245,89,151,47404,964,8913,725,8717,743,196,201,29403,386,24818,1119,4585,1140,9088,427,9088,427,0,192
