GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With health insurance coverage,Margin of Error; Under 18 years: - With health insurance coverage,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - With health insurance coverage,Margin of Error; 18 to 64 years: - With health insurance coverage,Estimate; 18 to 64 years: - No health insurance coverage,Margin of Error; 18 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With health insurance coverage,Margin of Error; 65 years and over: - With health insurance coverage,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
0500000US01003,01003,"Baldwin County, Alabama",18882,767,5663,430,5633,454,30,66,11293,652,8553,1412,2740,1301,1926,399,1926,399,0,189
0500000US01015,01015,"Calhoun County, Alabama",23758,1135,5562,848,5413,868,149,184,15993,498,12051,889,3942,862,2203,208,2167,246,36,63
0500000US01051,01051,"Elmore County, Alabama",15632,1041,4896,247,4896,247,0,189,9692,959,7642,1205,2050,1190,1044,421,1044,421,0,189
0500000US01055,01055,"Etowah County, Alabama",15914,507,4214,285,4126,330,88,166,10106,359,8029,719,2077,612,1594,102,1594,102,0,189
0500000US01069,01069,"Houston County, Alabama",28449,421,8424,272,8196,319,228,190,17284,300,13704,623,3580,631,2741,161,2733,162,8,13
0500000US01073,01073,"Jefferson County, Alabama",273490,2836,70818,1897,68621,2059,2197,1014,173162,1616,138282,4218,34880,3699,29510,364,29359,390,151,240
0500000US01077,01077,"Lauderdale County, Alabama",8379,845,1060,592,1060,592,0,189,6145,491,4285,679,1860,677,1174,257,1174,257,0,189
0500000US01081,01081,"Lee County, Alabama",35270,1324,8632,893,8632,893,0,189,23764,720,20298,1409,3466,1251,2874,175,2874,175,0,189
0500000US01083,01083,"Limestone County, Alabama",11805,1349,2673,839,2629,847,44,78,8090,923,6183,895,1907,722,1042,600,1042,600,0,189
0500000US01089,01089,"Madison County, Alabama",80837,2729,20462,1352,19241,1659,1221,1013,53545,1667,42934,2468,10611,1968,6830,332,6480,568,350,446
0500000US01095,01095,"Marshall County, Alabama",2149,291,756,233,756,233,0,189,1257,181,1063,176,194,143,136,102,136,102,0,189
0500000US01097,01097,"Mobile County, Alabama",141936,2178,41305,1367,39940,1512,1365,840,85539,1254,64954,2483,20585,2532,15092,375,15021,387,71,69
0500000US01101,01101,"Montgomery County, Alabama",126223,1547,33563,873,32915,922,648,387,81204,991,62898,2618,18306,2623,11456,533,11162,371,294,371
0500000US01103,01103,"Morgan County, Alabama",15063,805,4754,221,4667,307,87,196,9598,892,7660,1143,1938,1069,711,413,711,413,0,189
0500000US01115,01115,"St. Clair County, Alabama",7738,939,1749,825,1749,825,0,189,5076,608,4277,892,799,788,913,523,913,523,0,189
0500000US01117,01117,"Shelby County, Alabama",24067,1237,6877,811,6211,680,666,867,15733,837,13564,1124,2169,928,1457,78,1457,78,0,189
0500000US01121,01121,"Talladega County, Alabama",25169,1090,6010,1041,5900,1026,110,141,16448,608,13357,1012,3091,854,2711,230,2587,288,124,183
0500000US01125,01125,"Tuscaloosa County, Alabama",61781,1042,16403,330,16335,362,68,118,40848,801,34085,1906,6763,1843,4530,289,4530,289,0,189
0500000US01127,01127,"Walker County, Alabama",3330,1107,1083,549,1059,538,24,49,1979,706,1216,498,763,478,268,207,268,207,0,189
0500000US02020,02020,"Anchorage Municipality, Alaska",15834,2013,3972,1619,3913,1632,59,107,10050,1117,8079,1307,1971,912,1812,613,1812,613,0,145
0500000US04003,04003,"Cochise County, Arizona",4130,1167,1313,895,1313,895,0,200,2444,547,2295,522,149,146,373,305,373,305,0,200
0500000US04013,04013,"Maricopa County, Arizona",205425,5115,57833,3221,54010,3530,3823,1332,131561,2981,111861,3317,19700,2798,16031,501,15781,516,250,305
0500000US04019,04019,"Pima County, Arizona",31120,2543,8023,1511,7941,1498,82,136,19892,1645,16970,1556,2922,919,3205,216,3205,216,0,200
0500000US04021,04021,"Pinal County, Arizona",15002,1537,4768,874,4700,857,68,135,9338,1306,7909,1275,1429,878,896,512,896,512,0,200
0500000US04027,04027,"Yuma County, Arizona",4350,836,806,581,806,581,0,200,2773,678,2625,645,148,144,771,459,771,459,0,200
0500000US05045,05045,"Faulkner County, Arkansas",13830,500,4023,422,3597,591,426,417,9453,314,7126,883,2327,955,354,215,354,215,0,190
0500000US05051,05051,"Garland County, Arkansas",7956,925,2334,665,2114,581,220,365,4881,566,3403,748,1478,593,741,348,741,348,0,190
0500000US05069,05069,"Jefferson County, Arkansas",39303,591,10977,199,10704,297,273,206,24194,499,20833,1103,3361,1052,4132,193,4132,193,0,190
0500000US05085,05085,"Lonoke County, Arkansas",4279,392,1203,341,1132,334,71,120,2695,156,2431,289,264,217,381,177,353,175,28,53
0500000US05119,05119,"Pulaski County, Arkansas",138208,1796,40633,1162,37943,2032,2690,1666,86949,1205,72744,2500,14205,2391,10626,343,10626,343,0,190
0500000US05125,05125,"Saline County, Arkansas",7586,474,2513,367,2513,367,0,190,4598,448,4142,563,456,348,475,406,475,406,0,190
0500000US05131,05131,"Sebastian County, Arkansas",8980,586,3026,462,3026,462,0,190,5486,375,4695,798,791,638,468,226,468,226,0,190
0500000US05145,05145,"White County, Arkansas",3425,822,1355,405,1355,405,0,190,1721,526,1389,595,332,272,349,260,349,260,0,190
0500000US06001,06001,"Alameda County, California",182668,3019,39154,1643,38188,1598,966,513,120164,1971,105355,2768,14809,2466,23350,685,23178,769,172,224
0500000US06013,06013,"Contra Costa County, California",93238,3588,21140,2162,20412,2155,728,433,60905,2286,54493,2504,6412,1342,11193,466,11193,466,0,200
0500000US06019,06019,"Fresno County, California",48539,2558,15833,1599,15662,1648,171,300,29220,1514,25429,1799,3791,1160,3486,433,3453,436,33,55
0500000US06029,06029,"Kern County, California",41023,3227,14801,2068,14310,2056,491,396,22728,1887,19934,1813,2794,1139,3494,77,3494,77,0,200
0500000US06031,06031,"Kings County, California",7059,1201,1641,697,1641,697,0,200,4826,967,4380,963,446,510,592,237,592,237,0,200
0500000US06037,06037,"Los Angeles County, California",815676,6954,173484,3420,166591,3646,6893,1954,534262,4632,451834,6072,82428,4608,107930,1481,107338,1522,592,289
0500000US06041,06041,"Marin County, California",4346,1072,896,497,896,497,0,200,2755,866,2618,841,137,140,695,398,695,398,0,200
0500000US06047,06047,"Merced County, California",8277,548,2216,365,2177,373,39,72,4942,488,4022,731,920,611,1119,415,1119,415,0,200
0500000US06053,06053,"Monterey County, California",8917,1206,1620,757,1587,756,33,57,6152,800,4868,1103,1284,1042,1145,273,1145,273,0,200
0500000US06059,06059,"Orange County, California",50619,3190,12273,1774,10994,1858,1279,944,34009,2081,29729,1978,4280,1162,4337,435,4224,519,113,188
0500000US06061,06061,"Placer County, California",5839,771,1179,484,1054,442,125,216,3738,546,3388,548,350,262,922,253,922,253,0,200
0500000US06065,06065,"Riverside County, California",141570,4511,36109,2994,32946,3205,3163,2491,90312,2400,78093,2951,12219,2353,15149,415,15014,454,135,163
0500000US06067,06067,"Sacramento County, California",144389,4085,37692,2498,37325,2456,367,342,92485,3001,82238,3584,10247,1988,14212,730,14078,750,134,220
0500000US06071,06071,"San Bernardino County, California",165376,5994,47479,3905,46199,4021,1280,787,102142,3968,89751,3942,12391,2175,15755,809,15703,790,52,121
0500000US06073,06073,"San Diego County, California",150415,6361,34349,3213,33676,3228,673,521,102615,4233,90064,4458,12551,2140,13451,632,12889,811,562,523
0500000US06075,06075,"San Francisco County, California",45298,2000,7884,1165,7635,1297,249,316,30763,1298,26893,1488,3870,1381,6651,496,6498,566,153,243
0500000US06077,06077,"San Joaquin County, California",51043,2065,15265,1346,14600,1516,665,519,31261,1352,25972,1380,5289,1301,4517,281,4517,281,0,200
