GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With health insurance coverage,Margin of Error; Under 18 years: - With health insurance coverage,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - With health insurance coverage,Margin of Error; 18 to 64 years: - With health insurance coverage,Estimate; 18 to 64 years: - No health insurance coverage,Margin of Error; 18 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With health insurance coverage,Margin of Error; 65 years and over: - With health insurance coverage,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
0500000US01003,01003,"Baldwin County, Alabama",167109,987,33679,324,33271,498,408,389,98026,816,85091,2678,12935,2454,35404,316,35404,316,0,192
0500000US01015,01015,"Calhoun County, Alabama",82823,456,16313,189,16201,280,112,189,50906,448,44300,1400,6606,1413,15604,224,15604,224,0,192
0500000US01043,01043,"Cullman County, Alabama",76652,777,16677,163,15994,792,683,751,46005,651,36485,1956,9520,1871,13970,353,13970,353,0,192
0500000US01049,01049,"DeKalb County, Alabama",56612,450,11875,192,11682,162,193,162,34297,332,28175,1562,6122,1468,10440,243,10337,303,103,167
0500000US01051,01051,"Elmore County, Alabama",57339,733,12706,192,12695,22,11,22,34688,694,31302,1248,3386,1071,9945,148,9945,148,0,192
0500000US01055,01055,"Etowah County, Alabama",79914,265,16050,52,15660,299,390,295,48368,75,42729,1128,5639,1131,15496,234,15496,234,0,192
0500000US01069,01069,"Houston County, Alabama",69399,428,14158,35,13727,282,431,269,41481,355,36182,862,5299,817,13760,144,13730,149,30,37
0500000US01073,01073,"Jefferson County, Alabama",330007,986,64160,56,62780,616,1380,615,204949,840,187288,2831,17661,2716,60898,500,60847,511,51,85
0500000US01077,01077,"Lauderdale County, Alabama",77590,415,14786,40,14667,177,119,174,47633,211,41300,1356,6333,1318,15171,320,15171,320,0,192
0500000US01081,01081,"Lee County, Alabama",104926,534,20212,11,19419,485,793,485,71919,480,65466,1642,6453,1633,12795,232,12795,232,0,192
0500000US01083,01083,"Limestone County, Alabama",69320,415,15017,192,14933,141,84,141,43054,359,35868,1548,7186,1492,11249,192,11249,192,0,192
0500000US01089,01089,"Madison County, Alabama",226733,1413,45610,37,44881,547,729,545,142300,1360,125854,3189,16446,2926,38823,346,38627,415,196,197
0500000US01095,01095,"Marshall County, Alabama",76754,343,15901,8,15698,161,203,161,46220,234,38999,1471,7221,1463,14633,263,14633,263,0,192
0500000US01097,01097,"Mobile County, Alabama",235429,1174,49211,66,47900,692,1311,697,143850,1142,122623,3237,21227,2897,42368,305,42044,480,324,340
0500000US01101,01101,"Montgomery County, Alabama",79117,638,14604,47,14317,272,287,266,46902,568,42160,1666,4742,1557,17611,279,17611,279,0,192
0500000US01103,01103,"Morgan County, Alabama",89959,609,18245,54,17235,541,1010,544,54794,454,47784,2115,7010,2131,16920,406,16920,406,0,192
0500000US01115,01115,"St. Clair County, Alabama",73947,369,16447,20,16370,112,77,110,44954,304,38317,2016,6637,1976,12546,120,12444,211,102,174
0500000US01117,01117,"Shelby County, Alabama",162429,469,35908,113,35819,152,89,98,101288,379,94272,1767,7016,1702,25233,180,25140,215,93,119
0500000US01121,01121,"Talladega County, Alabama",49823,705,9933,158,9704,330,229,308,29815,630,25624,1131,4191,1093,10075,166,10075,166,0,192
0500000US01125,01125,"Tuscaloosa County, Alabama",126997,459,22456,193,22336,268,120,178,86694,190,80935,1699,5759,1703,17847,337,17847,337,0,192
0500000US01127,01127,"Walker County, Alabama",57835,293,12037,192,11933,122,104,122,34593,240,29195,1169,5398,1133,11205,169,11205,169,0,192
0500000US02020,02020,"Anchorage Municipality, Alaska",167886,1625,33275,438,31071,960,2204,856,114425,1531,102997,2550,11428,2028,20186,282,20138,294,48,78
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",66397,978,14972,68,14047,1029,925,1040,44476,969,40767,1677,3709,1448,6949,149,6949,149,0,149
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",78965,567,19613,287,17946,760,1667,709,50511,396,41869,1337,8642,1252,8841,127,8822,131,19,33
0500000US04001,04001,"Apache County, Arizona",13250,195,2973,22,2448,572,525,574,7083,167,6259,451,824,406,3194,123,3194,123,0,201
0500000US04003,04003,"Cochise County, Arizona",63518,1643,10847,790,10636,794,211,170,33074,1351,30517,1340,2557,741,19597,234,19597,234,0,201
0500000US04005,04005,"Coconino County, Arizona",75718,527,11718,20,11540,235,178,235,52946,509,48207,1423,4739,1385,11054,100,11011,122,43,70
0500000US04013,04013,"Maricopa County, Arizona",2334187,1919,425431,685,405776,3273,19655,3304,1425646,1687,1308464,6819,117182,6458,483110,1168,480863,1335,2247,874
0500000US04015,04015,"Mohave County, Arizona",156682,1133,23767,597,21118,1176,2649,1036,82180,705,70297,2159,11883,2203,50735,215,50735,215,0,201
0500000US04017,04017,"Navajo County, Arizona",44609,326,9509,11,8957,441,552,442,23891,245,20748,1117,3143,1062,11209,208,11074,298,135,222
0500000US04019,04019,"Pima County, Arizona",523123,1795,75511,138,71352,1348,4159,1336,304168,1642,280539,3221,23629,2784,143444,532,143215,516,229,230
0500000US04021,04021,"Pinal County, Arizona",226305,1184,43618,242,41062,1189,2556,1155,118473,1129,106582,2622,11891,2604,64214,332,63927,474,287,324
0500000US04025,04025,"Yavapai County, Arizona",177905,595,24269,201,22126,1084,2143,1084,94207,560,83297,2397,10910,2357,59429,261,59339,298,90,127
0500000US04027,04027,"Yuma County, Arizona",63676,682,9252,201,8782,507,470,507,29249,655,26098,1048,3151,950,25175,221,25063,273,112,170
0500000US05007,05007,"Benton County, Arkansas",183658,726,43377,107,41892,778,1485,767,110834,714,100591,1916,10243,1813,29447,211,29378,245,69,118
0500000US05031,05031,"Craighead County, Arkansas",79580,576,16945,174,16237,493,708,458,50454,403,43412,1681,7042,1640,12181,272,12139,283,42,68
0500000US05045,05045,"Faulkner County, Arkansas",97159,583,21289,102,20650,601,639,579,63224,438,57039,1602,6185,1483,12646,238,12646,238,0,190
0500000US05051,05051,"Garland County, Arkansas",79211,406,14362,190,13707,640,655,640,45535,361,38124,1439,7411,1453,19314,237,19314,237,0,190
0500000US05069,05069,"Jefferson County, Arkansas",26625,492,4943,190,4785,207,158,207,15272,492,13112,1195,2160,1043,6410,190,6410,190,0,190
0500000US05085,05085,"Lonoke County, Arkansas",60987,407,15488,190,14908,518,580,518,37370,387,34167,1253,3203,1195,8129,153,8129,153,0,190
0500000US05119,05119,"Pulaski County, Arkansas",204998,1752,37085,1099,34473,1867,2612,1411,128091,952,116570,2586,11521,2504,39822,321,39669,332,153,182
0500000US05125,05125,"Saline County, Arkansas",99852,595,21785,183,21044,837,741,793,59188,318,55506,1087,3682,1111,18879,474,18778,502,101,163
0500000US05131,05131,"Sebastian County, Arkansas",89152,285,17925,93,17558,299,367,285,55248,132,50028,1119,5220,1130,15979,177,15904,204,75,107
0500000US05143,05143,"Washington County, Arkansas",160206,774,32445,41,31253,629,1192,630,105705,722,95029,2112,10676,2045,22056,285,22056,285,0,190
0500000US05145,05145,"White County, Arkansas",69225,294,15274,49,14964,369,310,366,42581,185,35113,1551,7468,1571,11370,270,11370,270,0,190
0500000US06001,06001,"Alameda County, California",525162,1030,77001,280,75810,648,1191,531,352771,931,339621,1802,13150,1586,95390,554,95099,559,291,182
0500000US06007,06007,"Butte County, California",162441,822,26844,349,25222,970,1622,836,101457,667,93409,1624,8048,1574,34140,289,34050,323,90,145
0500000US06013,06013,"Contra Costa County, California",502653,1072,87497,413,86553,643,944,553,310010,848,295599,2804,14411,2694,105146,369,105033,358,113,129
0500000US06017,06017,"El Dorado County, California",143881,367,25471,181,25320,258,151,185,87762,274,82373,1434,5389,1405,30648,53,30648,53,0,201
0500000US06019,06019,"Fresno County, California",291539,1130,52513,590,51203,924,1310,727,177764,749,164923,2305,12841,2427,61262,506,61070,565,192,206
0500000US06023,06023,"Humboldt County, California",100900,512,15821,413,14683,905,1138,834,65797,231,59935,1463,5862,1500,19282,162,19282,162,0,201
0500000US06025,06025,"Imperial County, California",20048,596,3828,201,3307,892,521,892,10820,558,9774,654,1046,443,5400,231,5400,231,0,201
0500000US06029,06029,"Kern County, California",304482,1250,63186,193,62345,638,841,610,186582,1124,173484,2398,13098,2113,54714,382,54672,392,42,69
0500000US06031,06031,"Kings County, California",43293,923,9482,152,9288,229,194,170,25894,925,24891,983,1003,445,7917,159,7582,489,335,473
0500000US06033,06033,"Lake County, California",45600,386,7174,201,6968,261,206,261,26772,346,24053,1048,2719,974,11654,160,11593,190,61,105
0500000US06037,06037,"Los Angeles County, California",2666740,4733,383219,2066,372492,3009,10727,2110,1758438,3581,1631389,8502,127049,7361,525083,1355,522733,1562,2350,614
0500000US06039,06039,"Madera County, California",51879,936,8782,201,8442,276,340,276,29755,856,26527,1577,3228,1348,13342,387,13161,573,181,296
0500000US06041,06041,"Marin County, California",185028,908,31771,595,31547,635,224,226,107945,486,104549,1138,3396,1119,45312,485,45312,485,0,201
0500000US06045,06045,"Mendocino County, California",57353,180,8697,52,8133,436,564,441,33595,174,30619,953,2976,940,15061,134,15061,134,0,201
0500000US06047,06047,"Merced County, California",76827,347,14818,35,14223,692,595,689,46673,302,42925,1484,3748,1469,15336,211,15336,211,0,201
0500000US06053,06053,"Monterey County, California",125285,1050,18465,109,17704,779,761,764,74235,1032,69099,1417,5136,1065,32585,280,32517,301,68,81
0500000US06055,06055,"Napa County, California",72741,895,9551,737,9282,825,269,267,44243,466,42082,731,2161,641,18947,342,18947,342,0,201
0500000US06057,06057,"Nevada County, California",83395,583,12801,301,12470,490,331,398,48465,302,43027,1639,5438,1581,22129,264,22129,264,0,201
0500000US06059,06059,"Orange County, California",1299224,2301,209812,879,204300,1906,5512,1871,823694,1693,776354,4999,47340,4741,265718,933,265013,1066,705,486
0500000US06061,06061,"Placer County, California",274178,723,53971,334,52129,1384,1842,1374,161462,506,150420,2491,11042,2428,58745,352,58702,359,43,73
0500000US06065,06065,"Riverside County, California",857498,1294,147139,412,142990,1578,4149,1565,501926,1091,459889,3592,42037,3634,208433,496,207167,934,1266,746
0500000US06067,06067,"Sacramento County, California",683994,2064,122208,893,120815,1203,1393,765,434818,1364,407959,3377,26859,3030,126968,433,126339,614,629,482
0500000US06071,06071,"San Bernardino County, California",615131,2708,113469,597,111486,1155,1983,935,385773,2304,357681,3466,28092,3049,115889,861,115354,971,535,449
0500000US06073,06073,"San Diego County, California",1466437,6124,239131,1797,234230,2447,4901,1514,945822,4687,879688,6493,66134,5420,281484,1365,280424,1478,1060,355
0500000US06075,06075,"San Francisco County, California",351424,824,34446,124,34022,365,424,345,268028,673,255988,2600,12040,2437,48950,333,48907,358,43,73
0500000US06077,06077,"San Joaquin County, California",237608,1036,42858,327,41362,934,1496,847,147283,692,136370,1892,10913,1888,47467,527,47246,583,221,242
0500000US06079,06079,"San Luis Obispo County, California",191518,1087,27380,187,26753,579,627,482,120088,1103,112090,1709,7998,1730,44050,359,44050,359,0,201
0500000US06081,06081,"San Mateo County, California",303011,561,51324,151,50774,504,550,491,188765,388,182351,1949,6414,1916,62922,467,62882,473,40,66
0500000US06083,06083,"Santa Barbara County, California",197971,773,26718,78,26109,423,609,417,125677,665,119398,1525,6279,1354,45576,362,45568,362,8,13
0500000US06085,06085,"Santa Clara County, California",620911,1662,99221,790,98298,956,923,476,402117,1030,384580,2513,17537,2246,119573,686,119445,742,128,153
0500000US06087,06087,"Santa Cruz County, California",157166,728,21386,27,21163,216,223,222,104935,662,100451,1460,4484,1348,30845,205,30796,214,49,68
0500000US06089,06089,"Shasta County, California",143229,681,26908,332,25171,1245,1737,1176,84208,413,73602,1995,10606,2014,32113,198,32113,198,0,201
0500000US06095,06095,"Solano County, California",164531,1202,26827,320,26477,395,350,236,104847,1023,99878,1417,4969,1117,32857,357,32780,373,77,110
0500000US06097,06097,"Sonoma County, California",317383,1690,45202,1092,44807,1159,395,318,197564,865,184791,2226,12773,2111,74617,239,74602,240,15,24
0500000US06099,06099,"Stanislaus County, California",231429,797,44072,324,44072,324,0,201,142837,465,134103,1870,8734,1821,44520,485,44470,490,50,85
0500000US06101,06101,"Sutter County, California",44275,673,9059,201,8769,360,290,360,25999,646,22219,1256,3780,1098,9217,234,9217,234,0,201
0500000US06107,06107,"Tulare County, California",134795,420,26465,201,25968,372,497,372,80340,276,74080,1126,6260,1081,27990,329,27990,329,0,201
0500000US06111,06111,"Ventura County, California",387600,1037,64005,414,62677,685,1328,545,241894,678,228230,2359,13664,2332,81701,372,81491,401,210,184
0500000US06113,06113,"Yolo County, California",100381,473,16427,9,16091,343,336,342,66933,436,63334,1147,3599,1076,17021,183,17021,183,0,201
0500000US06115,06115,"Yuba County, California",40976,601,8919,201,8533,391,386,391,25357,578,22490,1046,2867,903,6700,90,6700,90,0,201
0500000US08001,08001,"Adams County, Colorado",250221,717,52132,60,49948,1229,2184,1222,164570,619,151426,2066,13144,1949,33519,327,33477,334,42,71
0500000US08005,08005,"Arapahoe County, Colorado",383620,1395,73951,382,72601,632,1350,510,248842,1127,233808,2427,15034,2232,60827,566,60574,580,253,205
0500000US08013,08013,"Boulder County, Colorado",247014,1302,41735,97,40868,703,867,713,169490,1195,162516,1660,6974,1285,35789,538,35789,538,0,193
0500000US08014,08014,"Broomfield County, Colorado",49540,1128,10411,915,10357,924,54,91,31903,342,30804,650,1099,494,7226,62,7226,62,0,193
0500000US08031,08031,"Denver County, Colorado",362369,1443,46785,451,46010,627,775,484,266234,1189,246917,2565,19317,2598,49350,516,49096,616,254,282
0500000US08035,08035,"Douglas County, Colorado",266499,1745,70881,578,70201,709,680,455,164729,1257,160161,2216,4568,1885,30889,286,30889,286,0,193
0500000US08041,08041,"El Paso County, Colorado",449454,2930,98663,1426,94924,1876,3739,1295,284499,2298,263212,3697,21287,2935,66292,351,66225,361,67,99
0500000US08059,08059,"Jefferson County, Colorado",437811,1471,79030,814,77604,1176,1426,904,283674,1115,266488,2446,17186,2281,75107,534,75047,540,60,60
0500000US08069,08069,"Larimer County, Colorado",275302,1252,49901,35,48181,1222,1720,1221,181851,1154,169590,2214,12261,1852,43550,382,43500,391,50,83
0500000US08077,08077,"Mesa County, Colorado",120044,422,23925,48,20447,2092,3478,2094,72598,383,63455,2407,9143,2417,23521,154,23450,179,71,104
0500000US08101,08101,"Pueblo County, Colorado",83877,607,14889,193,14564,291,325,291,49910,538,44723,1070,5187,1026,19078,312,18993,333,85,109
0500000US08123,08123,"Weld County, Colorado",188392,467,42219,193,40767,690,1452,690,119350,474,114939,941,4411,899,26823,177,26696,252,127,153
0500000US09001,09001,"Fairfield County, Connecticut",588231,2239,120685,783,115045,2207,5640,2062,359707,1735,338691,4058,21016,4048,107839,791,106786,1047,1053,683
0500000US09003,09003,"Hartford County, Connecticut",552425,1374,95184,307,94020,576,1164,568,345329,1076,332603,2298,12726,1920,111912,742,111688,823,224,205
0500000US09005,09005,"Litchfield County, Connecticut",163230,317,28909,52,28477,353,432,350,101586,216,95520,1644,6066,1632,32735,343,32618,342,117,139
0500000US09007,09007,"Middlesex County, Connecticut",136312,484,23661,47,23414,241,247,235,85850,340,82918,1162,2932,1111,26801,393,26801,393,0,198
0500000US09009,09009,"New Haven County, Connecticut",545006,1207,88967,229,86852,1066,2115,1010,345878,751,332076,2560,13802,2531,110161,853,110096,855,65,110
0500000US09011,09011,"New London County, Connecticut",197561,1213,35128,66,34965,179,163,162,123942,1092,118421,1820,5521,1585,38491,379,38491,379,0,198
0500000US09013,09013,"Tolland County, Connecticut",127822,608,21996,144,20943,968,1053,951,85800,426,83819,940,1981,846,20026,377,20026,377,0,198
0500000US09015,09015,"Windham County, Connecticut",95887,501,17490,24,17340,244,150,242,62658,296,60075,952,2583,899,15739,379,15716,381,23,38
0500000US10001,10001,"Kent County, Delaware",106262,852,21774,118,20866,807,908,820,63897,787,58463,1506,5434,1381,20591,245,20393,360,198,264
0500000US10003,10003,"New Castle County, Delaware",322949,1107,57636,227,56471,739,1165,726,207752,931,197507,2468,10245,2119,57561,534,57546,530,15,25
