GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Under 18 years:,Margin of Error; Under 18 years:,Estimate; Under 18 years: - With health insurance coverage,Margin of Error; Under 18 years: - With health insurance coverage,Estimate; Under 18 years: - No health insurance coverage,Margin of Error; Under 18 years: - No health insurance coverage,Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - With health insurance coverage,Margin of Error; 18 to 64 years: - With health insurance coverage,Estimate; 18 to 64 years: - No health insurance coverage,Margin of Error; 18 to 64 years: - No health insurance coverage,Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - With health insurance coverage,Margin of Error; 65 years and over: - With health insurance coverage,Estimate; 65 years and over: - No health insurance coverage,Margin of Error; 65 years and over: - No health insurance coverage
0500000US01003,01003,"Baldwin County, Alabama",9079,98,3252,2,3252,2,0,189,5449,234,3229,1235,2220,1183,378,215,243,204,135,204
0500000US01015,01015,"Calhoun County, Alabama",4089,4,1560,4,1560,4,0,189,2305,191,1096,554,1209,545,224,191,166,132,58,80
0500000US01049,01049,"DeKalb County, Alabama",10095,4,4529,2,4025,515,504,514,5508,91,2454,1077,3054,1101,58,90,58,90,0,189
0500000US01055,01055,"Etowah County, Alabama",3804,2,1597,3,1597,3,0,189,2023,200,796,452,1227,483,184,200,184,200,0,189
0500000US01069,01069,"Houston County, Alabama",3478,2,1305,3,1190,113,115,113,2085,103,1179,285,906,262,88,103,88,103,0,189
0500000US01073,01073,"Jefferson County, Alabama",24828,2,9432,5,8069,752,1363,752,14206,449,6542,1135,7664,1097,1190,449,1190,449,0,189
0500000US01083,01083,"Limestone County, Alabama",5178,80,2195,3,2195,3,0,189,2746,233,1253,509,1493,515,237,242,237,242,0,189
0500000US01089,01089,"Madison County, Alabama",16264,283,5828,3,5508,398,320,398,9787,498,5433,944,4354,843,649,392,649,392,0,189
0500000US01095,01095,"Marshall County, Alabama",12252,4,5572,4,4215,947,1357,948,6581,105,1990,894,4591,905,99,105,79,112,20,34
0500000US01097,01097,"Mobile County, Alabama",11483,73,3593,4,3308,510,285,510,7171,375,5770,997,1401,1008,719,370,637,360,82,138
0500000US01101,01101,"Montgomery County, Alabama",7309,322,3274,5,2873,489,401,489,3703,512,2572,616,1131,490,332,354,48,91,284,370
0500000US01103,01103,"Morgan County, Alabama",9455,81,3856,1,3856,1,0,189,5355,330,2347,845,3008,926,244,323,79,154,165,275
0500000US01117,01117,"Shelby County, Alabama",12256,79,4869,4,4039,553,830,553,7080,229,2383,905,4697,873,307,214,132,185,175,208
0500000US01125,01125,"Tuscaloosa County, Alabama",6613,189,2200,2,2200,2,0,189,4047,481,2584,943,1463,897,366,481,366,481,0,189
0500000US02020,02020,"Anchorage Municipality, Alaska",25618,531,9270,27,7271,768,1999,767,15416,567,10622,1309,4794,1324,932,234,886,251,46,78
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",6280,517,2353,4,1560,592,793,592,3781,560,2791,662,990,853,146,194,146,194,0,145
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",4492,77,1692,41,1567,125,125,122,2576,141,1797,312,779,292,224,128,224,128,0,145
0500000US04003,04003,"Cochise County, Arizona",40772,818,13883,50,12571,741,1312,742,22469,776,17406,1210,5063,1025,4420,187,4399,188,21,36
0500000US04005,04005,"Coconino County, Arizona",19021,142,5794,7,4626,636,1168,636,12214,522,8945,1045,3269,970,1013,526,956,512,57,106
0500000US04013,04013,"Maricopa County, Arizona",1230327,1582,441597,143,388192,4446,53405,4459,730278,1559,493223,9945,237055,9766,58452,229,54604,1146,3848,1116
0500000US04015,04015,"Mohave County, Arizona",31710,254,9746,4,6820,1778,2926,1778,18661,253,12358,1875,6303,1873,3303,14,3275,64,28,56
0500000US04017,04017,"Navajo County, Arizona",10944,369,4033,3,3153,590,880,590,5755,498,4437,706,1318,609,1156,317,1156,317,0,200
0500000US04019,04019,"Pima County, Arizona",356133,1510,114161,95,99373,2726,14788,2751,213658,1494,156979,4771,56679,4945,28314,380,27438,670,876,538
0500000US04021,04021,"Pinal County, Arizona",105096,1934,38885,76,34661,2293,4224,2290,59012,1940,46772,2623,12240,2262,7199,249,7199,249,0,200
0500000US04025,04025,"Yavapai County, Arizona",30997,133,10657,30,8089,1111,2568,1108,17574,129,12400,1390,5174,1380,2766,2,2293,444,473,444
0500000US04027,04027,"Yuma County, Arizona",122888,1174,40884,10,35573,1395,5311,1395,72587,1171,54586,2693,18001,2712,9417,61,9026,397,391,389
0500000US05007,05007,"Benton County, Arkansas",39154,48,15061,3,13584,926,1477,927,22999,551,13428,1370,9571,1532,1094,544,1094,544,0,190
0500000US05031,05031,"Craighead County, Arkansas",4716,117,1599,435,1445,573,154,315,2665,524,923,710,1742,946,452,465,452,465,0,190
0500000US05045,05045,"Faulkner County, Arkansas",4829,130,1869,27,1324,308,545,305,2950,127,1799,406,1151,389,10,16,10,16,0,190
