GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 18 years:,Margin of Error; Male: - Under 18 years:,Estimate; Male: - Under 18 years: - With health insurance coverage,Margin of Error; Male: - Under 18 years: - With health insurance coverage,Estimate; Male: - Under 18 years: - No health insurance coverage,Margin of Error; Male: - Under 18 years: - No health insurance coverage,Estimate; Male: - 18 to 64 years:,Margin of Error; Male: - 18 to 64 years:,Estimate; Male: - 18 to 64 years: - With health insurance coverage,Margin of Error; Male: - 18 to 64 years: - With health insurance coverage,Estimate; Male: - 18 to 64 years: - No health insurance coverage,Margin of Error; Male: - 18 to 64 years: - No health insurance coverage,Estimate; Male: - 65 years and over:,Margin of Error; Male: - 65 years and over:,Estimate; Male: - 65 years and over: - With health insurance coverage,Margin of Error; Male: - 65 years and over: - With health insurance coverage,Estimate; Male: - 65 years and over: - No health insurance coverage,Margin of Error; Male: - 65 years and over: - No health insurance coverage,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 18 years:,Margin of Error; Female: - Under 18 years:,Estimate; Female: - Under 18 years: - With health insurance coverage,Margin of Error; Female: - Under 18 years: - With health insurance coverage,Estimate; Female: - Under 18 years: - No health insurance coverage,Margin of Error; Female: - Under 18 years: - No health insurance coverage,Estimate; Female: - 18 to 64 years:,Margin of Error; Female: - 18 to 64 years:,Estimate; Female: - 18 to 64 years: - With health insurance coverage,Margin of Error; Female: - 18 to 64 years: - With health insurance coverage,Estimate; Female: - 18 to 64 years: - No health insurance coverage,Margin of Error; Female: - 18 to 64 years: - No health insurance coverage,Estimate; Female: - 65 years and over:,Margin of Error; Female: - 65 years and over:,Estimate; Female: - 65 years and over: - With health insurance coverage,Margin of Error; Female: - 65 years and over: - With health insurance coverage,Estimate; Female: - 65 years and over: - No health insurance coverage,Margin of Error; Female: - 65 years and over: - No health insurance coverage
310M100US10180,10180,"Abilene, TX Metro Area",152496,3050,72021,2230,19079,1065,16047,1489,3032,1247,44535,1822,31005,2276,13530,2197,8407,814,8227,850,180,286,80475,1418,19224,756,16989,1169,2235,940,48830,856,34829,2197,14001,2018,12421,672,12366,663,55,94
310M100US10420,10420,"Akron, OH Metro Area",694752,3418,336296,3345,79909,1056,76691,1463,3218,1088,214645,3100,173886,4434,40759,3799,41742,668,41474,692,268,272,358456,1229,76144,656,71887,1382,4257,1343,226377,874,195291,2896,31086,2718,55935,678,55783,708,152,147
310M100US10500,10500,"Albany, GA Metro Area",157533,3741,73510,2869,21709,1400,20074,1517,1635,782,43665,2627,29830,2061,13835,1839,8136,688,8136,688,0,300,84023,1958,19964,1183,18209,1279,1755,925,52694,1468,38783,2082,13911,1920,11365,738,11365,738,0,300
310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",860850,2390,421519,2271,95375,1690,90558,2245,4817,2014,275569,1670,235588,3682,39981,3390,50575,763,50526,776,49,84,439331,2491,88492,2095,84557,2347,3935,1317,284268,835,259307,2564,24961,2408,66571,1113,66571,1113,0,275
310M100US10740,10740,"Albuquerque, NM Metro Area",883629,2420,430663,2178,109862,1223,100739,2137,9123,1952,272645,1785,202759,4127,69886,4002,48156,820,47900,810,256,195,452966,1554,108039,1129,98248,2724,9791,2505,283646,1040,226933,3995,56713,4050,61281,829,60272,906,1009,509
310M100US10780,10780,"Alexandria, LA Metro Area",143770,4549,67857,4374,20280,901,19958,889,322,237,39038,4350,27478,3366,11560,2672,8539,581,8539,581,0,281,75913,1629,18196,886,17966,847,230,174,46606,827,34531,1963,12075,1994,11111,1124,11111,1124,0,281
310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",812341,2403,395697,2004,95880,1211,89916,2238,5964,2027,248752,1139,208794,3451,39958,3235,51065,824,50935,835,130,149,416644,1759,90955,1001,85345,1870,5610,1613,257197,971,225505,2970,31692,2724,68492,1445,68452,1446,40,72
310M100US11020,11020,"Altoona, PA Metro Area",125044,642,61368,843,14152,362,13228,577,924,497,38778,430,32556,961,6222,1071,8438,432,8403,437,35,59,63676,712,12647,362,12158,349,489,398,38654,347,32778,1180,5876,1033,12375,422,12375,422,0,246
310M100US11100,11100,"Amarillo, TX Metro Area",248540,2147,124559,1744,34324,913,27426,2017,6898,1767,77800,1354,49947,2299,27853,2111,12435,678,12435,678,0,294,123981,1491,31506,824,26035,1869,5471,1750,76642,1034,56771,2174,19871,2015,15833,720,15669,818,164,209
