"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Black or African American"	"2054-5"	1850	139111	1329.9
	"1999"	"1999"	"< 1 year"	"0"	"White"	"2106-3"	2957	554029	533.7
	"1999"	"1999"	"1 year"	"1"	"Black or African American"	"2054-5"	117	141439	82.7
	"1999"	"1999"	"1 year"	"1"	"White"	"2106-3"	226	560344	40.3
	"1999"	"1999"	"2 years"	"2"	"Black or African American"	"2054-5"	73	142899	51.1
	"1999"	"1999"	"2 years"	"2"	"White"	"2106-3"	167	559449	29.9
	"1999"	"1999"	"3 years"	"3"	"Black or African American"	"2054-5"	49	145392	33.7
	"1999"	"1999"	"3 years"	"3"	"White"	"2106-3"	156	587189	26.6
	"1999"	"1999"	"4 years"	"4"	"Black or African American"	"2054-5"	38	159736	23.8
	"1999"	"1999"	"4 years"	"4"	"White"	"2106-3"	115	600194	19.2
	"1999"	"1999"	"5 years"	"5"	"Black or African American"	"2054-5"	48	162488	29.5
	"1999"	"1999"	"5 years"	"5"	"White"	"2106-3"	96	612994	15.7
	"1999"	"1999"	"6 years"	"6"	"Black or African American"	"2054-5"	46	166277	27.7
	"1999"	"1999"	"6 years"	"6"	"White"	"2106-3"	91	625622	14.5
	"1999"	"1999"	"7 years"	"7"	"Black or African American"	"2054-5"	47	169616	27.7
	"1999"	"1999"	"7 years"	"7"	"White"	"2106-3"	91	643474	14.1
	"1999"	"1999"	"8 years"	"8"	"Black or African American"	"2054-5"	32	169519	18.9
	"1999"	"1999"	"8 years"	"8"	"White"	"2106-3"	97	667280	14.5
	"1999"	"1999"	"9 years"	"9"	"Black or African American"	"2054-5"	34	180901	18.8
	"1999"	"1999"	"9 years"	"9"	"White"	"2106-3"	98	658320	14.9
	"1999"	"1999"	"10 years"	"10"	"Black or African American"	"2054-5"	36	172221	20.9
	"1999"	"1999"	"10 years"	"10"	"White"	"2106-3"	100	653662	15.3
	"1999"	"1999"	"11 years"	"11"	"Black or African American"	"2054-5"	46	161647	28.5
	"1999"	"1999"	"11 years"	"11"	"White"	"2106-3"	93	643109	14.5
	"1999"	"1999"	"12 years"	"12"	"Black or African American"	"2054-5"	32	157667	20.3
	"1999"	"1999"	"12 years"	"12"	"White"	"2106-3"	101	651212	15.5
	"1999"	"1999"	"13 years"	"13"	"Black or African American"	"2054-5"	58	151322	38.3
	"1999"	"1999"	"13 years"	"13"	"White"	"2106-3"	123	647985	19.0
	"1999"	"1999"	"14 years"	"14"	"Black or African American"	"2054-5"	47	152954	30.7
	"1999"	"1999"	"14 years"	"14"	"White"	"2106-3"	160	650473	24.6
	"1999"	"1999"	"15 years"	"15"	"Black or African American"	"2054-5"	65	146839	44.3
	"1999"	"1999"	"15 years"	"15"	"White"	"2106-3"	199	631480	31.5
	"1999"	"1999"	"16 years"	"16"	"Black or African American"	"2054-5"	85	149843	56.7
	"1999"	"1999"	"16 years"	"16"	"White"	"2106-3"	328	643372	51.0
	"1999"	"1999"	"17 years"	"17"	"Black or African American"	"2054-5"	136	150234	90.5
	"1999"	"1999"	"17 years"	"17"	"White"	"2106-3"	398	639398	62.2
	"1999"	"1999"	"18 years"	"18"	"Black or African American"	"2054-5"	148	141931	104.3
	"1999"	"1999"	"18 years"	"18"	"White"	"2106-3"	443	617100	71.8
	"1999"	"1999"	"19 years"	"19"	"Black or African American"	"2054-5"	197	147236	133.8
	"1999"	"1999"	"19 years"	"19"	"White"	"2106-3"	482	640376	75.3
	"1999"	"1999"	"20 years"	"20"	"Black or African American"	"2054-5"	164	139703	117.4
	"1999"	"1999"	"20 years"	"20"	"White"	"2106-3"	522	602214	86.7
	"1999"	"1999"	"21 years"	"21"	"Black or African American"	"2054-5"	189	130395	144.9
	"1999"	"1999"	"21 years"	"21"	"White"	"2106-3"	501	576918	86.8
	"1999"	"1999"	"22 years"	"22"	"Black or African American"	"2054-5"	190	130709	145.4
	"1999"	"1999"	"22 years"	"22"	"White"	"2106-3"	422	566639	74.5
	"1999"	"1999"	"23 years"	"23"	"Black or African American"	"2054-5"	207	121819	169.9
	"1999"	"1999"	"23 years"	"23"	"White"	"2106-3"	417	543248	76.8
	"1999"	"1999"	"24 years"	"24"	"Black or African American"	"2054-5"	181	125096	144.7
	"1999"	"1999"	"24 years"	"24"	"White"	"2106-3"	409	567256	72.1
	"1999"	"1999"	"25 years"	"25"	"Black or African American"	"2054-5"	174	124970	139.2
	"1999"	"1999"	"25 years"	"25"	"White"	"2106-3"	407	567468	71.7
	"1999"	"1999"	"26 years"	"26"	"Black or African American"	"2054-5"	169	126644	133.4
	"1999"	"1999"	"26 years"	"26"	"White"	"2106-3"	424	575789	73.6
	"1999"	"1999"	"27 years"	"27"	"Black or African American"	"2054-5"	191	134845	141.6
	"1999"	"1999"	"27 years"	"27"	"White"	"2106-3"	455	631985	72.0
	"1999"	"1999"	"28 years"	"28"	"Black or African American"	"2054-5"	225	140436	160.2
	"1999"	"1999"	"28 years"	"28"	"White"	"2106-3"	516	689232	74.9
	"1999"	"1999"	"29 years"	"29"	"Black or African American"	"2054-5"	225	143933	156.3
	"1999"	"1999"	"29 years"	"29"	"White"	"2106-3"	552	713738	77.3
	"1999"	"1999"	"30 years"	"30"	"Black or African American"	"2054-5"	232	143371	161.8
	"1999"	"1999"	"30 years"	"30"	"White"	"2106-3"	534	720307	74.1
	"1999"	"1999"	"31 years"	"31"	"Black or African American"	"2054-5"	246	137943	178.3
	"1999"	"1999"	"31 years"	"31"	"White"	"2106-3"	619	673449	91.9
	"1999"	"1999"	"32 years"	"32"	"Black or African American"	"2054-5"	253	138804	182.3
	"1999"	"1999"	"32 years"	"32"	"White"	"2106-3"	701	702300	99.8
	"1999"	"1999"	"33 years"	"33"	"Black or African American"	"2054-5"	311	144437	215.3
	"1999"	"1999"	"33 years"	"33"	"White"	"2106-3"	744	711791	104.5
	"1999"	"1999"	"34 years"	"34"	"Black or African American"	"2054-5"	338	152310	221.9
	"1999"	"1999"	"34 years"	"34"	"White"	"2106-3"	818	770427	106.2
	"1999"	"1999"	"35 years"	"35"	"Black or African American"	"2054-5"	314	159783	196.5
	"1999"	"1999"	"35 years"	"35"	"White"	"2106-3"	937	826770	113.3
	"1999"	"1999"	"36 years"	"36"	"Black or African American"	"2054-5"	403	153608	262.4
	"1999"	"1999"	"36 years"	"36"	"White"	"2106-3"	1003	822652	121.9
	"1999"	"1999"	"37 years"	"37"	"Black or African American"	"2054-5"	410	154608	265.2
	"1999"	"1999"	"37 years"	"37"	"White"	"2106-3"	1193	850858	140.2
	"1999"	"1999"	"38 years"	"38"	"Black or African American"	"2054-5"	456	149714	304.6
	"1999"	"1999"	"38 years"	"38"	"White"	"2106-3"	1345	842885	159.6
