"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Black or African American"	"2054-5"	1195	83125	1437.6
	"1999"	"1999"	"< 1 year"	"0"	"White"	"2106-3"	871	161552	539.1
	"1999"	"1999"	"1 year"	"1"	"Black or African American"	"2054-5"	91	84688	107.5
	"1999"	"1999"	"1 year"	"1"	"White"	"2106-3"	53	161018	32.9
	"1999"	"1999"	"2 years"	"2"	"Black or African American"	"2054-5"	50	85225	58.7
	"1999"	"1999"	"2 years"	"2"	"White"	"2106-3"	53	158537	33.4
	"1999"	"1999"	"3 years"	"3"	"Black or African American"	"2054-5"	38	87979	43.2
	"1999"	"1999"	"3 years"	"3"	"White"	"2106-3"	32	165895	19.3
	"1999"	"1999"	"4 years"	"4"	"Black or African American"	"2054-5"	31	96382	32.2
	"1999"	"1999"	"4 years"	"4"	"White"	"2106-3"	20	166028	12.0
	"1999"	"1999"	"5 years"	"5"	"Black or African American"	"2054-5"	31	99104	31.3
	"1999"	"1999"	"5 years"	"5"	"White"	"2106-3"	23	168783	13.6
	"1999"	"1999"	"6 years"	"6"	"Black or African American"	"2054-5"	28	100227	27.9
	"1999"	"1999"	"6 years"	"6"	"White"	"2106-3"	23	169999	13.5
	"1999"	"1999"	"7 years"	"7"	"Black or African American"	"2054-5"	31	101145	30.6
	"1999"	"1999"	"7 years"	"7"	"White"	"2106-3"	25	173803	14.4
	"1999"	"1999"	"8 years"	"8"	"Black or African American"	"2054-5"	26	101223	25.7
	"1999"	"1999"	"8 years"	"8"	"White"	"2106-3"	19	179954	Unreliable
	"1999"	"1999"	"9 years"	"9"	"Black or African American"	"2054-5"	22	105608	20.8
	"1999"	"1999"	"9 years"	"9"	"White"	"2106-3"	21	174781	12.0
	"1999"	"1999"	"10 years"	"10"	"Black or African American"	"2054-5"	23	102208	22.5
	"1999"	"1999"	"10 years"	"10"	"White"	"2106-3"	27	173783	15.5
	"1999"	"1999"	"11 years"	"11"	"Black or African American"	"2054-5"	25	95885	26.1
	"1999"	"1999"	"11 years"	"11"	"White"	"2106-3"	29	170027	17.1
	"1999"	"1999"	"12 years"	"12"	"Black or African American"	"2054-5"	16	93054	Unreliable
	"1999"	"1999"	"12 years"	"12"	"White"	"2106-3"	31	171194	18.1
	"1999"	"1999"	"13 years"	"13"	"Black or African American"	"2054-5"	38	90610	41.9
	"1999"	"1999"	"13 years"	"13"	"White"	"2106-3"	24	169456	14.2
	"1999"	"1999"	"14 years"	"14"	"Black or African American"	"2054-5"	39	91004	42.9
	"1999"	"1999"	"14 years"	"14"	"White"	"2106-3"	34	169474	20.1
	"1999"	"1999"	"15 years"	"15"	"Black or African American"	"2054-5"	50	88821	56.3
	"1999"	"1999"	"15 years"	"15"	"White"	"2106-3"	47	163513	28.7
	"1999"	"1999"	"16 years"	"16"	"Black or African American"	"2054-5"	63	89128	70.7
	"1999"	"1999"	"16 years"	"16"	"White"	"2106-3"	69	166614	41.4
	"1999"	"1999"	"17 years"	"17"	"Black or African American"	"2054-5"	104	89244	116.5
	"1999"	"1999"	"17 years"	"17"	"White"	"2106-3"	92	165622	55.5
	"1999"	"1999"	"18 years"	"18"	"Black or African American"	"2054-5"	100	81934	122.0
	"1999"	"1999"	"18 years"	"18"	"White"	"2106-3"	106	158896	66.7
	"1999"	"1999"	"19 years"	"19"	"Black or African American"	"2054-5"	131	82563	158.7
	"1999"	"1999"	"19 years"	"19"	"White"	"2106-3"	100	163288	61.2
	"1999"	"1999"	"20 years"	"20"	"Black or African American"	"2054-5"	118	78223	150.9
	"1999"	"1999"	"20 years"	"20"	"White"	"2106-3"	131	157624	83.1
	"1999"	"1999"	"21 years"	"21"	"Black or African American"	"2054-5"	142	72521	195.8
	"1999"	"1999"	"21 years"	"21"	"White"	"2106-3"	140	154978	90.3
	"1999"	"1999"	"22 years"	"22"	"Black or African American"	"2054-5"	143	73639	194.2
	"1999"	"1999"	"22 years"	"22"	"White"	"2106-3"	123	163290	75.3
	"1999"	"1999"	"23 years"	"23"	"Black or African American"	"2054-5"	133	70569	188.5
