"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	1375	233322	589.3
	"1999"	"1999"	"1 year"	"1"	118	222963	52.9
	"1999"	"1999"	"2 years"	"2"	72	225996	31.9
	"1999"	"1999"	"3 years"	"3"	50	223102	22.4
	"1999"	"1999"	"4 years"	"4"	38	233026	16.3
	"1999"	"1999"	"5 years"	"5"	37	231934	16.0
	"1999"	"1999"	"6 years"	"6"	23	227793	10.1
	"1999"	"1999"	"7 years"	"7"	31	232121	13.4
	"1999"	"1999"	"8 years"	"8"	35	219239	16.0
	"1999"	"1999"	"9 years"	"9"	23	210556	10.9
	"1999"	"1999"	"10 years"	"10"	23	199114	11.6
	"1999"	"1999"	"11 years"	"11"	24	193423	12.4
	"1999"	"1999"	"12 years"	"12"	28	185599	15.1
	"1999"	"1999"	"13 years"	"13"	30	183113	16.4
	"1999"	"1999"	"14 years"	"14"	43	178667	24.1
	"1999"	"1999"	"15 years"	"15"	59	176127	33.5
	"1999"	"1999"	"16 years"	"16"	111	183679	60.4
	"1999"	"1999"	"17 years"	"17"	131	187676	69.8
	"1999"	"1999"	"18 years"	"18"	153	191307	80.0
	"1999"	"1999"	"19 years"	"19"	146	195765	74.6
	"1999"	"1999"	"20 years"	"20"	174	196546	88.5
	"1999"	"1999"	"21 years"	"21"	170	196083	86.7
	"1999"	"1999"	"22 years"	"22"	166	200650	82.7
	"1999"	"1999"	"23 years"	"23"	156	203463	76.7
	"1999"	"1999"	"24 years"	"24"	156	209856	74.3
	"1999"	"1999"	"25 years"	"25"	123	209894	58.6
	"1999"	"1999"	"26 years"	"26"	185	211458	87.5
	"1999"	"1999"	"27 years"	"27"	158	211029	74.9
	"1999"	"1999"	"28 years"	"28"	155	214183	72.4
	"1999"	"1999"	"29 years"	"29"	196	209975	93.3
	"1999"	"1999"	"30 years"	"30"	159	214833	74.0
	"1999"	"1999"	"31 years"	"31"	188	196953	95.5
	"1999"	"1999"	"32 years"	"32"	185	199706	92.6
	"1999"	"1999"	"33 years"	"33"	187	191909	97.4
	"1999"	"1999"	"34 years"	"34"	224	193327	115.9
	"1999"	"1999"	"35 years"	"35"	211	192302	109.7
	"1999"	"1999"	"36 years"	"36"	234	183179	127.7
	"1999"	"1999"	"37 years"	"37"	216	171216	126.2
	"1999"	"1999"	"38 years"	"38"	266	169187	157.2
	"1999"	"1999"	"39 years"	"39"	257	159570	161.1
	"1999"	"1999"	"40 years"	"40"	256	158066	162.0
	"1999"	"1999"	"41 years"	"41"	263	143731	183.0
	"1999"	"1999"	"42 years"	"42"	247	138967	177.7
	"1999"	"1999"	"43 years"	"43"	249	133411	186.6
	"1999"	"1999"	"44 years"	"44"	254	126495	200.8
	"1999"	"1999"	"45 years"	"45"	279	121003	230.6
	"1999"	"1999"	"46 years"	"46"	324	112428	288.2
	"1999"	"1999"	"47 years"	"47"	311	104053	298.9
	"1999"	"1999"	"48 years"	"48"	318	100448	316.6
	"1999"	"1999"	"49 years"	"49"	310	96659	320.7
	"1999"	"1999"	"50 years"	"50"	288	94598	304.4
	"1999"	"1999"	"51 years"	"51"	332	84662	392.1
	"1999"	"1999"	"52 years"	"52"	344	84836	405.5
	"1999"	"1999"	"53 years"	"53"	314	69821	449.7
	"1999"	"1999"	"54 years"	"54"	343	72371	473.9
	"1999"	"1999"	"55 years"	"55"	311	65157	477.3
	"1999"	"1999"	"56 years"	"56"	370	64985	569.4
	"1999"	"1999"	"57 years"	"57"	328	55831	587.5
	"1999"	"1999"	"58 years"	"58"	353	55575	635.2
	"1999"	"1999"	"59 years"	"59"	377	52737	714.9
	"1999"	"1999"	"60 years"	"60"	374	53082	704.6
	"1999"	"1999"	"61 years"	"61"	403	47804	843.0
	"1999"	"1999"	"62 years"	"62"	434	46032	942.8
	"1999"	"1999"	"63 years"	"63"	483	46093	1047.9
	"1999"	"1999"	"64 years"	"64"	512	43768	1169.8
	"1999"	"1999"	"65 years"	"65"	533	40270	1323.6
	"1999"	"1999"	"66 years"	"66"	521	38705	1346.1
	"1999"	"1999"	"67 years"	"67"	518	37199	1392.5
	"1999"	"1999"	"68 years"	"68"	558	37799	1476.2
	"1999"	"1999"	"69 years"	"69"	707	36293	1948.0
	"1999"	"1999"	"70 years"	"70"	607	35233	1722.8
	"1999"	"1999"	"71 years"	"71"	665	32454	2049.1
	"1999"	"1999"	"72 years"	"72"	691	29770	2321.1
	"1999"	"1999"	"73 years"	"73"	629	29006	2168.5
	"1999"	"1999"	"74 years"	"74"	743	26968	2755.1
	"2000"	"2000"	"< 1 year"	"0"	1338	233171	573.8
	"2000"	"2000"	"1 year"	"1"	113	227684	49.6
	"2000"	"2000"	"2 years"	"2"	74	226407	32.7
	"2000"	"2000"	"3 years"	"3"	51	230041	22.2
	"2000"	"2000"	"4 years"	"4"	33	234527	14.1
	"2000"	"2000"	"5 years"	"5"	26	233982	11.1
	"2000"	"2000"	"6 years"	"6"	27	231437	11.7
	"2000"	"2000"	"7 years"	"7"	28	232516	12.0
	"2000"	"2000"	"8 years"	"8"	28	227887	12.3
	"2000"	"2000"	"9 years"	"9"	29	226013	12.8
	"2000"	"2000"	"10 years"	"10"	23	215278	10.7
	"2000"	"2000"	"11 years"	"11"	27	199949	13.5
	"2000"	"2000"	"12 years"	"12"	28	195474	14.3
	"2000"	"2000"	"13 years"	"13"	37	186738	19.8
	"2000"	"2000"	"14 years"	"14"	57	185441	30.7
	"2000"	"2000"	"15 years"	"15"	55	182139	30.2
	"2000"	"2000"	"16 years"	"16"	92	183639	50.1
	"2000"	"2000"	"17 years"	"17"	129	193455	66.7
	"2000"	"2000"	"18 years"	"18"	141	195997	71.9
	"2000"	"2000"	"19 years"	"19"	198	202156	97.9
