"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Female"	"F"	3497	593200	589.5
	"1999"	"1999"	"< 1 year"	"0"	"Male"	"M"	4310	622185	692.7
	"1999"	"1999"	"1 year"	"1"	"Female"	"F"	266	589367	45.1
	"1999"	"1999"	"1 year"	"1"	"Male"	"M"	324	617800	52.4
	"1999"	"1999"	"2 years"	"2"	"Female"	"F"	163	593975	27.4
	"1999"	"1999"	"2 years"	"2"	"Male"	"M"	250	620496	40.3
	"1999"	"1999"	"3 years"	"3"	"Female"	"F"	144	606927	23.7
	"1999"	"1999"	"3 years"	"3"	"Male"	"M"	172	635877	27.0
	"1999"	"1999"	"4 years"	"4"	"Female"	"F"	107	630217	17.0
	"1999"	"1999"	"4 years"	"4"	"Male"	"M"	133	661085	20.1
	"1999"	"1999"	"5 years"	"5"	"Female"	"F"	100	637620	15.7
	"1999"	"1999"	"5 years"	"5"	"Male"	"M"	132	667910	19.8
	"1999"	"1999"	"6 years"	"6"	"Female"	"F"	90	643089	14.0
	"1999"	"1999"	"6 years"	"6"	"Male"	"M"	108	675130	16.0
	"1999"	"1999"	"7 years"	"7"	"Female"	"F"	91	660458	13.8
	"1999"	"1999"	"7 years"	"7"	"Male"	"M"	127	689837	18.4
	"1999"	"1999"	"8 years"	"8"	"Female"	"F"	95	659295	14.4
	"1999"	"1999"	"8 years"	"8"	"Male"	"M"	102	691295	14.8
	"1999"	"1999"	"9 years"	"9"	"Female"	"F"	86	648284	13.3
	"1999"	"1999"	"9 years"	"9"	"Male"	"M"	112	681264	16.4
	"1999"	"1999"	"10 years"	"10"	"Female"	"F"	91	635018	14.3
	"1999"	"1999"	"10 years"	"10"	"Male"	"M"	110	667889	16.5
	"1999"	"1999"	"11 years"	"11"	"Female"	"F"	83	621450	13.4
	"1999"	"1999"	"11 years"	"11"	"Male"	"M"	134	651572	20.6
	"1999"	"1999"	"12 years"	"12"	"Female"	"F"	95	613657	15.5
	"1999"	"1999"	"12 years"	"12"	"Male"	"M"	110	644283	17.1
	"1999"	"1999"	"13 years"	"13"	"Female"	"F"	96	609374	15.8
	"1999"	"1999"	"13 years"	"13"	"Male"	"M"	175	639921	27.3
	"1999"	"1999"	"14 years"	"14"	"Female"	"F"	105	606882	17.3
	"1999"	"1999"	"14 years"	"14"	"Male"	"M"	200	637845	31.4
	"1999"	"1999"	"15 years"	"15"	"Female"	"F"	136	593005	22.9
	"1999"	"1999"	"15 years"	"15"	"Male"	"M"	255	625343	40.8
	"1999"	"1999"	"16 years"	"16"	"Female"	"F"	185	604337	30.6
	"1999"	"1999"	"16 years"	"16"	"Male"	"M"	404	645185	62.6
	"1999"	"1999"	"17 years"	"17"	"Female"	"F"	256	600881	42.6
	"1999"	"1999"	"17 years"	"17"	"Male"	"M"	556	649794	85.6
	"1999"	"1999"	"18 years"	"18"	"Female"	"F"	232	593184	39.1
	"1999"	"1999"	"18 years"	"18"	"Male"	"M"	672	635357	105.8
	"1999"	"1999"	"19 years"	"19"	"Female"	"F"	258	608945	42.4
	"1999"	"1999"	"19 years"	"19"	"Male"	"M"	772	648645	119.0
	"1999"	"1999"	"20 years"	"20"	"Female"	"F"	247	583340	42.3
	"1999"	"1999"	"20 years"	"20"	"Male"	"M"	797	625076	127.5
	"1999"	"1999"	"21 years"	"21"	"Female"	"F"	241	565161	42.6
	"1999"	"1999"	"21 years"	"21"	"Male"	"M"	780	600431	129.9
	"1999"	"1999"	"22 years"	"22"	"Female"	"F"	211	562743	37.5
	"1999"	"1999"	"22 years"	"22"	"Male"	"M"	719	595123	120.8
	"1999"	"1999"	"23 years"	"23"	"Female"	"F"	241	552560	43.6
	"1999"	"1999"	"23 years"	"23"	"Male"	"M"	719	579253	124.1
	"1999"	"1999"	"24 years"	"24"	"Female"	"F"	235	573633	41.0
	"1999"	"1999"	"24 years"	"24"	"Male"	"M"	690	597365	115.5
	"1999"	"1999"	"25 years"	"25"	"Female"	"F"	264	577279	45.7
	"1999"	"1999"	"25 years"	"25"	"Male"	"M"	601	599771	100.2
	"1999"	"1999"	"26 years"	"26"	"Female"	"F"	256	585976	43.7
	"1999"	"1999"	"26 years"	"26"	"Male"	"M"	696	602472	115.5
	"1999"	"1999"	"27 years"	"27"	"Female"	"F"	280	622681	45.0
	"1999"	"1999"	"27 years"	"27"	"Male"	"M"	720	639102	112.7
	"1999"	"1999"	"28 years"	"28"	"Female"	"F"	327	658613	49.6
	"1999"	"1999"	"28 years"	"28"	"Male"	"M"	754	671811	112.2
	"1999"	"1999"	"29 years"	"29"	"Female"	"F"	331	669442	49.4
	"1999"	"1999"	"29 years"	"29"	"Male"	"M"	795	682708	116.4
	"1999"	"1999"	"30 years"	"30"	"Female"	"F"	335	672935	49.8
	"1999"	"1999"	"30 years"	"30"	"Male"	"M"	800	695160	115.1
	"1999"	"1999"	"31 years"	"31"	"Female"	"F"	378	632760	59.7
	"1999"	"1999"	"31 years"	"31"	"Male"	"M"	850	645336	131.7
	"1999"	"1999"	"32 years"	"32"	"Female"	"F"	449	647262	69.4
	"1999"	"1999"	"32 years"	"32"	"Male"	"M"	942	660115	142.7
	"1999"	"1999"	"33 years"	"33"	"Female"	"F"	464	649902	71.4
	"1999"	"1999"	"33 years"	"33"	"Male"	"M"	1005	660747	152.1
	"1999"	"1999"	"34 years"	"34"	"Female"	"F"	500	685382	73.0
	"1999"	"1999"	"34 years"	"34"	"Male"	"M"	1100	698407	157.5
	"1999"	"1999"	"35 years"	"35"	"Female"	"F"	539	718567	75.0
	"1999"	"1999"	"35 years"	"35"	"Male"	"M"	1164	733942	158.6
	"1999"	"1999"	"36 years"	"36"	"Female"	"F"	672	712245	94.3
	"1999"	"1999"	"36 years"	"36"	"Male"	"M"	1243	712793	174.4
	"1999"	"1999"	"37 years"	"37"	"Female"	"F"	723	710996	101.7
	"1999"	"1999"	"37 years"	"37"	"Male"	"M"	1362	714902	190.5
	"1999"	"1999"	"38 years"	"38"	"Female"	"F"	877	707007	124.0
	"1999"	"1999"	"38 years"	"38"	"Male"	"M"	1504	706406	212.9
	"1999"	"1999"	"39 years"	"39"	"Female"	"F"	846	713448	118.6
	"1999"	"1999"	"39 years"	"39"	"Male"	"M"	1579	712459	221.6
	"1999"	"1999"	"40 years"	"40"	"Female"	"F"	932	719239	129.6
	"1999"	"1999"	"40 years"	"40"	"Male"	"M"	1689	724229	233.2
	"1999"	"1999"	"41 years"	"41"	"Female"	"F"	1017	685040	148.5
	"1999"	"1999"	"41 years"	"41"	"Male"	"M"	1821	678684	268.3
	"1999"	"1999"	"42 years"	"42"	"Female"	"F"	1073	689066	155.7
	"1999"	"1999"	"42 years"	"42"	"Male"	"M"	1920	684707	280.4
	"1999"	"1999"	"43 years"	"43"	"Female"	"F"	1163	665990	174.6
	"1999"	"1999"	"43 years"	"43"	"Male"	"M"	2034	650598	312.6
	"1999"	"1999"	"44 years"	"44"	"Female"	"F"	1230	650885	189.0
