"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	"Female"	"F"	3441	586680	586.5
	"1999"	"1999"	"< 1 year"	"0"	"Male"	"M"	4208	615321	683.9
	"1999"	"1999"	"1 year"	"1"	"Female"	"F"	262	583041	44.9
	"1999"	"1999"	"1 year"	"1"	"Male"	"M"	316	611195	51.7
	"1999"	"1999"	"2 years"	"2"	"Female"	"F"	160	587793	27.2
	"1999"	"1999"	"2 years"	"2"	"Male"	"M"	245	614127	39.9
	"1999"	"1999"	"3 years"	"3"	"Female"	"F"	142	601021	23.6
	"1999"	"1999"	"3 years"	"3"	"Male"	"M"	171	629596	27.2
	"1999"	"1999"	"4 years"	"4"	"Female"	"F"	106	624097	17.0
	"1999"	"1999"	"4 years"	"4"	"Male"	"M"	130	654564	19.9
	"1999"	"1999"	"5 years"	"5"	"Female"	"F"	97	631534	15.4
	"1999"	"1999"	"5 years"	"5"	"Male"	"M"	131	661643	19.8
	"1999"	"1999"	"6 years"	"6"	"Female"	"F"	87	636983	13.7
	"1999"	"1999"	"6 years"	"6"	"Male"	"M"	107	668603	16.0
	"1999"	"1999"	"7 years"	"7"	"Female"	"F"	91	654357	13.9
	"1999"	"1999"	"7 years"	"7"	"Male"	"M"	126	683331	18.4
	"1999"	"1999"	"8 years"	"8"	"Female"	"F"	95	653176	14.5
	"1999"	"1999"	"8 years"	"8"	"Male"	"M"	102	684857	14.9
	"1999"	"1999"	"9 years"	"9"	"Female"	"F"	86	641943	13.4
	"1999"	"1999"	"9 years"	"9"	"Male"	"M"	109	674809	16.2
	"1999"	"1999"	"10 years"	"10"	"Female"	"F"	91	629018	14.5
	"1999"	"1999"	"10 years"	"10"	"Male"	"M"	110	661376	16.6
	"1999"	"1999"	"11 years"	"11"	"Female"	"F"	82	615550	13.3
	"1999"	"1999"	"11 years"	"11"	"Male"	"M"	134	645467	20.8
	"1999"	"1999"	"12 years"	"12"	"Female"	"F"	94	607909	15.5
	"1999"	"1999"	"12 years"	"12"	"Male"	"M"	108	638250	16.9
	"1999"	"1999"	"13 years"	"13"	"Female"	"F"	96	603754	15.9
	"1999"	"1999"	"13 years"	"13"	"Male"	"M"	172	633885	27.1
	"1999"	"1999"	"14 years"	"14"	"Female"	"F"	103	601076	17.1
	"1999"	"1999"	"14 years"	"14"	"Male"	"M"	198	632092	31.3
	"1999"	"1999"	"15 years"	"15"	"Female"	"F"	133	587525	22.6
	"1999"	"1999"	"15 years"	"15"	"Male"	"M"	253	619468	40.8
	"1999"	"1999"	"16 years"	"16"	"Female"	"F"	184	598528	30.7
	"1999"	"1999"	"16 years"	"16"	"Male"	"M"	402	639315	62.9
	"1999"	"1999"	"17 years"	"17"	"Female"	"F"	254	595152	42.7
	"1999"	"1999"	"17 years"	"17"	"Male"	"M"	547	643833	85.0
	"1999"	"1999"	"18 years"	"18"	"Female"	"F"	230	587623	39.1
	"1999"	"1999"	"18 years"	"18"	"Male"	"M"	661	629675	105.0
	"1999"	"1999"	"19 years"	"19"	"Female"	"F"	256	602938	42.5
	"1999"	"1999"	"19 years"	"19"	"Male"	"M"	761	642904	118.4
	"1999"	"1999"	"20 years"	"20"	"Female"	"F"	243	577406	42.1
	"1999"	"1999"	"20 years"	"20"	"Male"	"M"	789	619476	127.4
	"1999"	"1999"	"21 years"	"21"	"Female"	"F"	238	559216	42.6
	"1999"	"1999"	"21 years"	"21"	"Male"	"M"	767	595108	128.9
