"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	16009	2377638	673.3
	"< 1 year"	"0"	"2000"	"2000"	16064	2381200	674.6
	"< 1 year"	"0"	"2001"	"2001"	16020	2520515	635.6
	"< 1 year"	"0"	"2002"	"2002"	16343	2492278	655.7
	"< 1 year"	"0"	"2003"	"2003"	16264	2516221	646.4
	"< 1 year"	"0"	"2004"	"2004"	16330	2534930	644.2
	"< 1 year"	"0"	"2005"	"2005"	16445	2527581	650.6
	"< 1 year"	"0"	"2006"	"2006"	16545	2541036	651.1
	"< 1 year"	"0"	"2007"	"2007"	16945	2611628	648.8
	"< 1 year"	"0"	"2008"	"2008"	16457	2607304	631.2
	"< 1 year"	"0"	"2009"	"2009"	15318	2526593	606.3
	"< 1 year"	"0"	"2010"	"2010"	14217	2489711	571.0
	"< 1 year"	"0"	"2011"	"2011"	13913	2536480	548.5
	"< 1 year"	"0"	"2012"	"2012"	13705	2506136	546.9
	"< 1 year"	"0"	"2013"	"2013"	13807	2502179	551.8
	"< 1 year"	"0"	"2014"	"2014"	13537	2508464	539.7
	"< 1 year"	"0"	"2015"	"2015"	13694	2524445	542.5
	"< 1 year"	"0"	"2016"	"2016"	13316	2520029	528.4
	"< 1 year"	"0"	"2017"	"2017"	12877	2498459	515.4
	"< 1 year"	"0"	"2018"	"2018"	12367	2439015	507.0
	"< 1 year"	"0"	"2019"	"2019"	12080	2386536	506.2
	"1 year"	"1"	"1999"	"1999"	1152	2366375	48.7
	"1 year"	"1"	"2000"	"2000"	1139	2388075	47.7
	"1 year"	"1"	"2001"	"2001"	1208	2415581	50.0
	"1 year"	"1"	"2002"	"2002"	1132	2513806	45.0
	"1 year"	"1"	"2003"	"2003"	1112	2479221	44.9
	"1 year"	"1"	"2004"	"2004"	1174	2496912	47.0
	"1 year"	"1"	"2005"	"2005"	1130	2512827	45.0
	"1 year"	"1"	"2006"	"2006"	1084	2502910	43.3
	"1 year"	"1"	"2007"	"2007"	1117	2513303	44.4
	"1 year"	"1"	"2008"	"2008"	1183	2581289	45.8
	"1 year"	"1"	"2009"	"2009"	1008	2572452	39.2
	"1 year"	"1"	"2010"	"2010"	1045	2507427	41.7
	"1 year"	"1"	"2011"	"2011"	978	2509896	39.0
	"1 year"	"1"	"2012"	"2012"	961	2528424	38.0
	"1 year"	"1"	"2013"	"2013"	981	2504707	39.2
	"1 year"	"1"	"2014"	"2014"	870	2516673	34.6
	"1 year"	"1"	"2015"	"2015"	936	2515742	37.2
	"1 year"	"1"	"2016"	"2016"	918	2532138	36.3
	"1 year"	"1"	"2017"	"2017"	854	2514201	34.0
	"1 year"	"1"	"2018"	"2018"	855	2473864	34.6
	"1 year"	"1"	"2019"	"2019"	840	2408716	34.9
	"2 years"	"2"	"1999"	"1999"	801	2368050	33.8
	"2 years"	"2"	"2000"	"2000"	789	2371329	33.3
	"2 years"	"2"	"2001"	"2001"	800	2375929	33.7
	"2 years"	"2"	"2002"	"2002"	784	2414584	32.5
