"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	3774	518836	727.4
	"1999"	"1999"	"1 year"	"1"	278	509374	54.6
	"1999"	"1999"	"2 years"	"2"	187	510636	36.6
	"1999"	"1999"	"3 years"	"3"	131	519415	25.2
	"1999"	"1999"	"4 years"	"4"	93	538466	17.3
	"1999"	"1999"	"5 years"	"5"	98	542248	18.1
	"1999"	"1999"	"6 years"	"6"	80	540772	14.8
	"1999"	"1999"	"7 years"	"7"	96	552228	17.4
	"1999"	"1999"	"8 years"	"8"	89	543557	16.4
	"1999"	"1999"	"9 years"	"9"	71	533998	13.3
	"1999"	"1999"	"10 years"	"10"	79	519285	15.2
	"1999"	"1999"	"11 years"	"11"	85	503591	16.9
	"1999"	"1999"	"12 years"	"12"	79	492333	16.0
	"1999"	"1999"	"13 years"	"13"	98	486609	20.1
	"1999"	"1999"	"14 years"	"14"	123	483333	25.4
	"1999"	"1999"	"15 years"	"15"	166	472774	35.1
	"1999"	"1999"	"16 years"	"16"	262	485019	54.0
	"1999"	"1999"	"17 years"	"17"	355	488302	72.7
	"1999"	"1999"	"18 years"	"18"	395	479018	82.5
	"1999"	"1999"	"19 years"	"19"	408	488658	83.5
	"1999"	"1999"	"20 years"	"20"	453	479149	94.5
	"1999"	"1999"	"21 years"	"21"	486	469593	103.5
	"1999"	"1999"	"22 years"	"22"	474	484210	97.9
	"1999"	"1999"	"23 years"	"23"	441	492942	89.5
	"1999"	"1999"	"24 years"	"24"	447	518811	86.2
	"1999"	"1999"	"25 years"	"25"	399	526142	75.8
	"1999"	"1999"	"26 years"	"26"	456	532093	85.7
	"1999"	"1999"	"27 years"	"27"	466	556595	83.7
	"1999"	"1999"	"28 years"	"28"	508	578874	87.8
	"1999"	"1999"	"29 years"	"29"	590	580278	101.7
	"1999"	"1999"	"30 years"	"30"	528	585057	90.2
	"1999"	"1999"	"31 years"	"31"	603	541762	111.3
	"1999"	"1999"	"32 years"	"32"	628	550620	114.1
	"1999"	"1999"	"33 years"	"33"	655	543003	120.6
	"1999"	"1999"	"34 years"	"34"	774	564806	137.0
	"1999"	"1999"	"35 years"	"35"	814	587372	138.6
	"1999"	"1999"	"36 years"	"36"	886	569785	155.5
	"1999"	"1999"	"37 years"	"37"	931	562506	165.5
	"1999"	"1999"	"38 years"	"38"	1078	552530	195.1
	"1999"	"1999"	"39 years"	"39"	1103	553609	199.2
	"1999"	"1999"	"40 years"	"40"	1198	559806	214.0
	"1999"	"1999"	"41 years"	"41"	1251	521036	240.1
	"1999"	"1999"	"42 years"	"42"	1290	524125	246.1
	"1999"	"1999"	"43 years"	"43"	1396	499763	279.3
	"1999"	"1999"	"44 years"	"44"	1512	489968	308.6
	"1999"	"1999"	"45 years"	"45"	1552	486168	319.2
	"1999"	"1999"	"46 years"	"46"	1713	449198	381.3
	"1999"	"1999"	"47 years"	"47"	1637	439528	372.4
	"1999"	"1999"	"48 years"	"48"	1788	418573	427.2
	"1999"	"1999"	"49 years"	"49"	1835	422157	434.7
	"1999"	"1999"	"50 years"	"50"	1775	421047	421.6
	"1999"	"1999"	"51 years"	"51"	1918	391872	489.4
	"1999"	"1999"	"52 years"	"52"	2074	416451	498.0
	"1999"	"1999"	"53 years"	"53"	1873	309239	605.7
	"1999"	"1999"	"54 years"	"54"	1948	326849	596.0
	"1999"	"1999"	"55 years"	"55"	2103	310675	676.9
	"1999"	"1999"	"56 years"	"56"	2309	311756	740.6
	"1999"	"1999"	"57 years"	"57"	2165	274731	788.0
	"1999"	"1999"	"58 years"	"58"	2291	262706	872.1
	"1999"	"1999"	"59 years"	"59"	2399	251527	953.8
	"1999"	"1999"	"60 years"	"60"	2550	253456	1006.1
	"1999"	"1999"	"61 years"	"61"	2613	234738	1113.2
