"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	16068	2382980	674.3
	"< 1 year"	"0"	"2000"	"2000"	16106	2386458	674.9
	"< 1 year"	"0"	"2001"	"2001"	16045	2526301	635.1
	"< 1 year"	"0"	"2002"	"2002"	16409	2497719	657.0
	"< 1 year"	"0"	"2003"	"2003"	16302	2521309	646.6
	"< 1 year"	"0"	"2004"	"2004"	16340	2540017	643.3
	"< 1 year"	"0"	"2005"	"2005"	16462	2531759	650.2
	"< 1 year"	"0"	"2006"	"2006"	16558	2545120	650.6
	"< 1 year"	"0"	"2007"	"2007"	16995	2616010	649.7
	"< 1 year"	"0"	"2008"	"2008"	16469	2611575	630.6
	"< 1 year"	"0"	"2009"	"2009"	15350	2530374	606.6
	"< 1 year"	"0"	"2010"	"2010"	14237	2493574	570.9
	"< 1 year"	"0"	"2011"	"2011"	13962	2540065	549.7
	"< 1 year"	"0"	"2012"	"2012"	13717	2509667	546.6
	"< 1 year"	"0"	"2013"	"2013"	13813	2506175	551.2
	"< 1 year"	"0"	"2014"	"2014"	13551	2511933	539.5
	"< 1 year"	"0"	"2015"	"2015"	13709	2527883	542.3
	"< 1 year"	"0"	"2016"	"2016"	13315	2523329	527.7
	"< 1 year"	"0"	"2017"	"2017"	12884	2501036	515.1
	"< 1 year"	"0"	"2018"	"2018"	12352	2441343	506.0
	"< 1 year"	"0"	"2019"	"2019"	12087	2388606	506.0
	"1 year"	"1"	"1999"	"1999"	1157	2372557	48.8
	"1 year"	"1"	"2000"	"2000"	1136	2394057	47.5
	"1 year"	"1"	"2001"	"2001"	1210	2420586	50.0
	"1 year"	"1"	"2002"	"2002"	1139	2519156	45.2
	"1 year"	"1"	"2003"	"2003"	1113	2484202	44.8
	"1 year"	"1"	"2004"	"2004"	1172	2501564	46.9
	"1 year"	"1"	"2005"	"2005"	1130	2517947	44.9
	"1 year"	"1"	"2006"	"2006"	1084	2506934	43.2
	"1 year"	"1"	"2007"	"2007"	1122	2517261	44.6
	"1 year"	"1"	"2008"	"2008"	1184	2585808	45.8
	"1 year"	"1"	"2009"	"2009"	1006	2576728	39.0
	"1 year"	"1"	"2010"	"2010"	1046	2511427	41.6
	"1 year"	"1"	"2011"	"2011"	984	2513769	39.1
	"1 year"	"1"	"2012"	"2012"	965	2532398	38.1
	"1 year"	"1"	"2013"	"2013"	981	2508581	39.1
	"1 year"	"1"	"2014"	"2014"	871	2520164	34.6
	"1 year"	"1"	"2015"	"2015"	937	2519373	37.2
	"1 year"	"1"	"2016"	"2016"	922	2535210	36.4
	"1 year"	"1"	"2017"	"2017"	856	2516926	34.0
	"1 year"	"1"	"2018"	"2018"	856	2476201	34.6
	"1 year"	"1"	"2019"	"2019"	836	2410746	34.7
	"2 years"	"2"	"1999"	"1999"	800	2374701	33.7
	"2 years"	"2"	"2000"	"2000"	795	2377888	33.4
	"2 years"	"2"	"2001"	"2001"	797	2381625	33.5
	"2 years"	"2"	"2002"	"2002"	787	2419337	32.5
	"2 years"	"2"	"2003"	"2003"	798	2514685	31.7
	"2 years"	"2"	"2004"	"2004"	698	2477311	28.2
	"2 years"	"2"	"2005"	"2005"	758	2494233	30.4
	"2 years"	"2"	"2006"	"2006"	732	2515506	29.1
	"2 years"	"2"	"2007"	"2007"	708	2505841	28.3
	"2 years"	"2"	"2008"	"2008"	691	2516577	27.5
	"2 years"	"2"	"2009"	"2009"	661	2586419	25.6
	"2 years"	"2"	"2010"	"2010"	631	2585488	24.4
	"2 years"	"2"	"2011"	"2011"	613	2509911	24.4
	"2 years"	"2"	"2012"	"2012"	625	2518380	24.8
	"2 years"	"2"	"2013"	"2013"	594	2539608	23.4
	"2 years"	"2"	"2014"	"2014"	580	2508753	23.1
	"2 years"	"2"	"2015"	"2015"	602	2519942	23.9
	"2 years"	"2"	"2016"	"2016"	604	2529343	23.9
	"2 years"	"2"	"2017"	"2017"	551	2549301	21.6
	"2 years"	"2"	"2018"	"2018"	596	2523304	23.6
	"2 years"	"2"	"2019"	"2019"	537	2476075	21.7
	"3 years"	"3"	"1999"	"1999"	621	2415604	25.7
	"3 years"	"3"	"2000"	"2000"	529	2415326	21.9
	"3 years"	"3"	"2001"	"2001"	599	2384570	25.1
	"3 years"	"3"	"2002"	"2002"	542	2382136	22.8
	"3 years"	"3"	"2003"	"2003"	600	2419622	24.8
	"3 years"	"3"	"2004"	"2004"	537	2514311	21.4
	"3 years"	"3"	"2005"	"2005"	535	2477046	21.6
	"3 years"	"3"	"2006"	"2006"	498	2498958	19.9
	"3 years"	"3"	"2007"	"2007"	530	2526159	21.0
	"3 years"	"3"	"2008"	"2008"	518	2519792	20.6
	"3 years"	"3"	"2009"	"2009"	528	2531201	20.9
	"3 years"	"3"	"2010"	"2010"	474	2595861	18.3
	"3 years"	"3"	"2011"	"2011"	511	2590870	19.7
	"3 years"	"3"	"2012"	"2012"	489	2516284	19.4
	"3 years"	"3"	"2013"	"2013"	453	2525325	17.9
	"3 years"	"3"	"2014"	"2014"	428	2550056	16.8
	"3 years"	"3"	"2015"	"2015"	462	2518975	18.3
