"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"1999"	"1999"	15884	2366027	671.3
	"< 1 year"	"0"	"2000"	"2000"	15946	2369685	672.9
	"< 1 year"	"0"	"2001"	"2001"	15884	2508525	633.2
	"< 1 year"	"0"	"2002"	"2002"	16227	2480599	654.2
	"< 1 year"	"0"	"2003"	"2003"	16134	2504559	644.2
	"< 1 year"	"0"	"2004"	"2004"	16191	2523046	641.7
	"< 1 year"	"0"	"2005"	"2005"	16293	2515554	647.7
	"< 1 year"	"0"	"2006"	"2006"	16413	2528646	649.1
	"< 1 year"	"0"	"2007"	"2007"	16820	2599245	647.1
	"< 1 year"	"0"	"2008"	"2008"	16326	2595217	629.1
	"< 1 year"	"0"	"2009"	"2009"	15206	2514673	604.7
	"< 1 year"	"0"	"2010"	"2010"	14114	2477860	569.6
	"< 1 year"	"0"	"2011"	"2011"	13821	2523970	547.6
	"< 1 year"	"0"	"2012"	"2012"	13600	2493798	545.4
	"< 1 year"	"0"	"2013"	"2013"	13695	2489882	550.0
	"< 1 year"	"0"	"2014"	"2014"	13427	2496065	537.9
	"< 1 year"	"0"	"2015"	"2015"	13591	2511832	541.1
	"< 1 year"	"0"	"2016"	"2016"	13205	2507267	526.7
	"< 1 year"	"0"	"2017"	"2017"	12771	2485376	513.8
	"< 1 year"	"0"	"2018"	"2018"	12244	2426030	504.7
	"< 1 year"	"0"	"2019"	"2019"	11977	2373630	504.6
	"1 year"	"1"	"1999"	"1999"	1145	2355002	48.6
	"1 year"	"1"	"2000"	"2000"	1131	2376691	47.6
	"1 year"	"1"	"2001"	"2001"	1200	2403875	49.9
	"1 year"	"1"	"2002"	"2002"	1127	2501691	45.0
	"1 year"	"1"	"2003"	"2003"	1105	2467331	44.8
	"1 year"	"1"	"2004"	"2004"	1165	2485002	46.9
	"1 year"	"1"	"2005"	"2005"	1123	2501036	44.9
	"1 year"	"1"	"2006"	"2006"	1077	2490847	43.2
	"1 year"	"1"	"2007"	"2007"	1112	2500827	44.5
	"1 year"	"1"	"2008"	"2008"	1177	2569129	45.8
	"1 year"	"1"	"2009"	"2009"	998	2560281	39.0
	"1 year"	"1"	"2010"	"2010"	1039	2495528	41.6
	"1 year"	"1"	"2011"	"2011"	973	2498167	38.9
	"1 year"	"1"	"2012"	"2012"	954	2516262	37.9
	"1 year"	"1"	"2013"	"2013"	976	2492530	39.2
	"1 year"	"1"	"2014"	"2014"	866	2504466	34.6
	"1 year"	"1"	"2015"	"2015"	931	2503293	37.2
	"1 year"	"1"	"2016"	"2016"	914	2519416	36.3
	"1 year"	"1"	"2017"	"2017"	849	2501223	33.9
	"1 year"	"1"	"2018"	"2018"	850	2460785	34.5
	"1 year"	"1"	"2019"	"2019"	832	2395707	34.7
	"2 years"	"2"	"1999"	"1999"	793	2357031	33.6
	"2 years"	"2"	"2000"	"2000"	788	2360326	33.4
	"2 years"	"2"	"2001"	"2001"	792	2364655	33.5
	"2 years"	"2"	"2002"	"2002"	779	2402900	32.4
	"2 years"	"2"	"2003"	"2003"	789	2497544	31.6
	"2 years"	"2"	"2004"	"2004"	691	2460877	28.1
	"2 years"	"2"	"2005"	"2005"	755	2478234	30.5
	"2 years"	"2"	"2006"	"2006"	727	2499210	29.1
	"2 years"	"2"	"2007"	"2007"	702	2490354	28.2
	"2 years"	"2"	"2008"	"2008"	685	2500749	27.4
	"2 years"	"2"	"2009"	"2009"	653	2570374	25.4
	"2 years"	"2"	"2010"	"2010"	630	2569512	24.5
	"2 years"	"2"	"2011"	"2011"	608	2494123	24.4
	"2 years"	"2"	"2012"	"2012"	622	2502766	24.9
	"2 years"	"2"	"2013"	"2013"	590	2523588	23.4
	"2 years"	"2"	"2014"	"2014"	578	2492705	23.2
