"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Gender"	"Gender Code"	Births
	"2003"	"2003"	"Jefferson County, AL"	"01073"	"Female"	"F"	4394
	"2003"	"2003"	"Jefferson County, AL"	"01073"	"Male"	"M"	4650
	"2003"	"2003"	"Duval County, FL"	"12031"	"Female"	"F"	6015
	"2003"	"2003"	"Duval County, FL"	"12031"	"Male"	"M"	6400
	"2003"	"2003"	"Marion County, IN"	"18097"	"Female"	"F"	7171
	"2003"	"2003"	"Marion County, IN"	"18097"	"Male"	"M"	7546
	"2003"	"2003"	"Jefferson County, KY"	"21111"	"Female"	"F"	4855
	"2003"	"2003"	"Jefferson County, KY"	"21111"	"Male"	"M"	4911
	"2003"	"2003"	"Kent County, MI"	"26081"	"Female"	"F"	4597
	"2003"	"2003"	"Kent County, MI"	"26081"	"Male"	"M"	4746
	"2003"	"2003"	"Jackson County, MO"	"29095"	"Female"	"F"	4962
	"2003"	"2003"	"Jackson County, MO"	"29095"	"Male"	"M"	5168
	"2003"	"2003"	"St. Louis County, MO"	"29189"	"Female"	"F"	5930
	"2003"	"2003"	"St. Louis County, MO"	"29189"	"Male"	"M"	6273
	"2003"	"2003"	"St. Louis city, MO"	"29510"	"Female"	"F"	2625
	"2003"	"2003"	"St. Louis city, MO"	"29510"	"Male"	"M"	2654
	"2003"	"2003"	"Douglas County, NE"	"31055"	"Female"	"F"	3833
	"2003"	"2003"	"Douglas County, NE"	"31055"	"Male"	"M"	4160
	"2003"	"2003"	"Guilford County, NC"	"37081"	"Female"	"F"	2856
	"2003"	"2003"	"Guilford County, NC"	"37081"	"Male"	"M"	3022
	"2003"	"2003"	"Mecklenburg County, NC"	"37119"	"Female"	"F"	6226
	"2003"	"2003"	"Mecklenburg County, NC"	"37119"	"Male"	"M"	6443
	"2003"	"2003"	"Wake County, NC"	"37183"	"Female"	"F"	5455
	"2003"	"2003"	"Wake County, NC"	"37183"	"Male"	"M"	5813
	"2003"	"2003"	"Franklin County, OH"	"39049"	"Female"	"F"	8339
	"2003"	"2003"	"Franklin County, OH"	"39049"	"Male"	"M"	8850
	"2003"	"2003"	"Hamilton County, OH"	"39061"	"Female"	"F"	5781
	"2003"	"2003"	"Hamilton County, OH"	"39061"	"Male"	"M"	6035
	"2003"	"2003"	"Montgomery County, OH"	"39113"	"Female"	"F"	3614
	"2003"	"2003"	"Montgomery County, OH"	"39113"	"Male"	"M"	3748
	"2003"	"2003"	"Oklahoma County, OK"	"40109"	"Female"	"F"	5587
	"2003"	"2003"	"Oklahoma County, OK"	"40109"	"Male"	"M"	6012
	"2003"	"2003"	"Tulsa County, OK"	"40143"	"Female"	"F"	4548
	"2003"	"2003"	"Tulsa County, OK"	"40143"	"Male"	"M"	4817
	"2003"	"2003"	"Greenville County, SC"	"45045"	"Female"	"F"	2634
	"2003"	"2003"	"Greenville County, SC"	"45045"	"Male"	"M"	2903
	"2003"	"2003"	"Davidson County, TN"	"47037"	"Female"	"F"	4446
	"2003"	"2003"	"Davidson County, TN"	"47037"	"Male"	"M"	4455
	"2003"	"2003"	"Knox County, TN"	"47093"	"Female"	"F"	2482
	"2003"	"2003"	"Knox County, TN"	"47093"	"Male"	"M"	2576
	"2003"	"2003"	"Shelby County, TN"	"47157"	"Female"	"F"	6940
	"2003"	"2003"	"Shelby County, TN"	"47157"	"Male"	"M"	7217
	"2003"	"2003"	"Richmond city, VA"	"51760"	"Female"	"F"	1564
	"2003"	"2003"	"Richmond city, VA"	"51760"	"Male"	"M"	1503
	"2004"	"2004"	"Jefferson County, AL"	"01073"	"Female"	"F"	4511
	"2004"	"2004"	"Jefferson County, AL"	"01073"	"Male"	"M"	4632
	"2004"	"2004"	"Duval County, FL"	"12031"	"Female"	"F"	6145
	"2004"	"2004"	"Duval County, FL"	"12031"	"Male"	"M"	6572
	"2004"	"2004"	"Marion County, IN"	"18097"	"Female"	"F"	7187
	"2004"	"2004"	"Marion County, IN"	"18097"	"Male"	"M"	7681
	"2004"	"2004"	"Jefferson County, KY"	"21111"	"Female"	"F"	4778
	"2004"	"2004"	"Jefferson County, KY"	"21111"	"Male"	"M"	5052
	"2004"	"2004"	"Kent County, MI"	"26081"	"Female"	"F"	4528
	"2004"	"2004"	"Kent County, MI"	"26081"	"Male"	"M"	4850
	"2004"	"2004"	"Jackson County, MO"	"29095"	"Female"	"F"	5137
	"2004"	"2004"	"Jackson County, MO"	"29095"	"Male"	"M"	5168
	"2004"	"2004"	"St. Louis County, MO"	"29189"	"Female"	"F"	5985
	"2004"	"2004"	"St. Louis County, MO"	"29189"	"Male"	"M"	6191
	"2004"	"2004"	"St. Louis city, MO"	"29510"	"Female"	"F"	2518
	"2004"	"2004"	"St. Louis city, MO"	"29510"	"Male"	"M"	2721
	"2004"	"2004"	"Douglas County, NE"	"31055"	"Female"	"F"	4056
	"2004"	"2004"	"Douglas County, NE"	"31055"	"Male"	"M"	4293
	"2004"	"2004"	"Guilford County, NC"	"37081"	"Female"	"F"	2874
	"2004"	"2004"	"Guilford County, NC"	"37081"	"Male"	"M"	2986
	"2004"	"2004"	"Mecklenburg County, NC"	"37119"	"Female"	"F"	6247
	"2004"	"2004"	"Mecklenburg County, NC"	"37119"	"Male"	"M"	6711
	"2004"	"2004"	"Wake County, NC"	"37183"	"Female"	"F"	5832
	"2004"	"2004"	"Wake County, NC"	"37183"	"Male"	"M"	5916
	"2004"	"2004"	"Franklin County, OH"	"39049"	"Female"	"F"	8446
	"2004"	"2004"	"Franklin County, OH"	"39049"	"Male"	"M"	8955
	"2004"	"2004"	"Hamilton County, OH"	"39061"	"Female"	"F"	5629
	"2004"	"2004"	"Hamilton County, OH"	"39061"	"Male"	"M"	5819
	"2004"	"2004"	"Montgomery County, OH"	"39113"	"Female"	"F"	3480
	"2004"	"2004"	"Montgomery County, OH"	"39113"	"Male"	"M"	3713
	"2004"	"2004"	"Oklahoma County, OK"	"40109"	"Female"	"F"	5767
	"2004"	"2004"	"Oklahoma County, OK"	"40109"	"Male"	"M"	5994
	"2004"	"2004"	"Tulsa County, OK"	"40143"	"Female"	"F"	4360
	"2004"	"2004"	"Tulsa County, OK"	"40143"	"Male"	"M"	4824
	"2004"	"2004"	"Greenville County, SC"	"45045"	"Female"	"F"	2740
	"2004"	"2004"	"Greenville County, SC"	"45045"	"Male"	"M"	2994
	"2004"	"2004"	"Davidson County, TN"	"47037"	"Female"	"F"	4455
	"2004"	"2004"	"Davidson County, TN"	"47037"	"Male"	"M"	4532
	"2004"	"2004"	"Knox County, TN"	"47093"	"Female"	"F"	2435
	"2004"	"2004"	"Knox County, TN"	"47093"	"Male"	"M"	2641
	"2004"	"2004"	"Shelby County, TN"	"47157"	"Female"	"F"	7050
	"2004"	"2004"	"Shelby County, TN"	"47157"	"Male"	"M"	7114
