"Notes"	"Year"	"Year Code"	"County"	"County Code"	Births
	"2007"	"2007"	"Jefferson County, AL"	"01073"	1121
	"2007"	"2007"	"Duval County, FL"	"12031"	1331
	"2007"	"2007"	"Marion County, IN"	"18097"	1449
	"2007"	"2007"	"Jefferson County, KY"	"21111"	998
	"2007"	"2007"	"Kent County, MI"	"26081"	708
	"2007"	"2007"	"Jackson County, MO"	"29095"	894
	"2007"	"2007"	"St. Louis County, MO"	"29189"	1146
	"2007"	"2007"	"St. Louis city, MO"	"29510"	590
	"2007"	"2007"	"Douglas County, NE"	"31055"	663
	"2007"	"2007"	"Guilford County, NC"	"37081"	617
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	1370
	"2007"	"2007"	"Wake County, NC"	"37183"	1021
	"2007"	"2007"	"Franklin County, OH"	"39049"	1762
	"2007"	"2007"	"Hamilton County, OH"	"39061"	1222
	"2007"	"2007"	"Montgomery County, OH"	"39113"	627
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	1076
	"2007"	"2007"	"Tulsa County, OK"	"40143"	804
	"2007"	"2007"	"Greenville County, SC"	"45045"	580
	"2007"	"2007"	"Davidson County, TN"	"47037"	933
	"2007"	"2007"	"Knox County, TN"	"47093"	473
	"2007"	"2007"	"Shelby County, TN"	"47157"	1695
	"2007"	"2007"	"Richmond city, VA"	"51760"	409
	"2008"	"2008"	"Jefferson County, AL"	"01073"	1174
	"2008"	"2008"	"Duval County, FL"	"12031"	1247
	"2008"	"2008"	"Marion County, IN"	"18097"	1448
	"2008"	"2008"	"Jefferson County, KY"	"21111"	1017
	"2008"	"2008"	"Kent County, MI"	"26081"	667
	"2008"	"2008"	"Jackson County, MO"	"29095"	879
	"2008"	"2008"	"St. Louis County, MO"	"29189"	1049
	"2008"	"2008"	"St. Louis city, MO"	"29510"	674
	"2008"	"2008"	"Douglas County, NE"	"31055"	657
	"2008"	"2008"	"Guilford County, NC"	"37081"	593
	"2008"	"2008"	"Mecklenburg County, NC"	"37119"	1392
	"2008"	"2008"	"Wake County, NC"	"37183"	1048
	"2008"	"2008"	"Franklin County, OH"	"39049"	1753
	"2008"	"2008"	"Hamilton County, OH"	"39061"	1200
	"2008"	"2008"	"Montgomery County, OH"	"39113"	625
	"2008"	"2008"	"Oklahoma County, OK"	"40109"	1112
	"2008"	"2008"	"Tulsa County, OK"	"40143"	839
	"2008"	"2008"	"Greenville County, SC"	"45045"	587
	"2008"	"2008"	"Davidson County, TN"	"47037"	881
	"2008"	"2008"	"Knox County, TN"	"47093"	488
