"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Bridged Race"	"Bridged Race Code"	Births
	"2007"	"2007"	"Jefferson County, AL"	"01073"	"Black or African American"	"2054-5"	726
	"2007"	"2007"	"Jefferson County, AL"	"01073"	"White"	"2106-3"	327
	"2007"	"2007"	"Duval County, FL"	"12031"	"Black or African American"	"2054-5"	683
	"2007"	"2007"	"Duval County, FL"	"12031"	"White"	"2106-3"	504
	"2007"	"2007"	"Marion County, IN"	"18097"	"Black or African American"	"2054-5"	569
	"2007"	"2007"	"Marion County, IN"	"18097"	"White"	"2106-3"	665
	"2007"	"2007"	"Jefferson County, KY"	"21111"	"Black or African American"	"2054-5"	399
	"2007"	"2007"	"Jefferson County, KY"	"21111"	"White"	"2106-3"	515
	"2007"	"2007"	"Kent County, MI"	"26081"	"Black or African American"	"2054-5"	157
	"2007"	"2007"	"Kent County, MI"	"26081"	"White"	"2106-3"	443
	"2007"	"2007"	"Jackson County, MO"	"29095"	"Black or African American"	"2054-5"	411
	"2007"	"2007"	"Jackson County, MO"	"29095"	"White"	"2106-3"	383
	"2007"	"2007"	"St. Louis County, MO"	"29189"	"Black or African American"	"2054-5"	554
	"2007"	"2007"	"St. Louis County, MO"	"29189"	"White"	"2106-3"	500
	"2007"	"2007"	"St. Louis city, MO"	"29510"	"Black or African American"	"2054-5"	440
	"2007"	"2007"	"St. Louis city, MO"	"29510"	"White"	"2106-3"	118
	"2007"	"2007"	"Douglas County, NE"	"31055"	"Black or African American"	"2054-5"	195
	"2007"	"2007"	"Douglas County, NE"	"31055"	"White"	"2106-3"	330
	"2007"	"2007"	"Guilford County, NC"	"37081"	"Black or African American"	"2054-5"	301
	"2007"	"2007"	"Guilford County, NC"	"37081"	"White"	"2106-3"	212
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	"Black or African American"	"2054-5"	641
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	"White"	"2106-3"	400
	"2007"	"2007"	"Wake County, NC"	"37183"	"Black or African American"	"2054-5"	377
	"2007"	"2007"	"Wake County, NC"	"37183"	"White"	"2106-3"	436
	"2007"	"2007"	"Franklin County, OH"	"39049"	"Black or African American"	"2054-5"	630
	"2007"	"2007"	"Franklin County, OH"	"39049"	"White"	"2106-3"	860
	"2007"	"2007"	"Hamilton County, OH"	"39061"	"Black or African American"	"2054-5"	582
	"2007"	"2007"	"Hamilton County, OH"	"39061"	"White"	"2106-3"	530
	"2007"	"2007"	"Montgomery County, OH"	"39113"	"Black or African American"	"2054-5"	224
	"2007"	"2007"	"Montgomery County, OH"	"39113"	"White"	"2106-3"	372
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	"Black or African American"	"2054-5"	334
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	"White"	"2106-3"	521
	"2007"	"2007"	"Tulsa County, OK"	"40143"	"Black or African American"	"2054-5"	189
	"2007"	"2007"	"Tulsa County, OK"	"40143"	"White"	"2106-3"	426
	"2007"	"2007"	"Greenville County, SC"	"45045"	"Black or African American"	"2054-5"	206
	"2007"	"2007"	"Greenville County, SC"	"45045"	"White"	"2106-3"	290
	"2007"	"2007"	"Davidson County, TN"	"47037"	"Black or African American"	"2054-5"	411
	"2007"	"2007"	"Davidson County, TN"	"47037"	"White"	"2106-3"	362
	"2007"	"2007"	"Knox County, TN"	"47093"	"Black or African American"	"2054-5"	77
	"2007"	"2007"	"Knox County, TN"	"47093"	"White"	"2106-3"	357
	"2007"	"2007"	"Shelby County, TN"	"47157"	"Black or African American"	"2054-5"	1274
