"Notes"	"Year"	"Year Code"	"County"	"County Code"	Births
	"2007"	"2007"	"Jefferson County, AL"	"01073"	49
	"2007"	"2007"	"Duval County, FL"	"12031"	89
	"2007"	"2007"	"Marion County, IN"	"18097"	176
	"2007"	"2007"	"Jefferson County, KY"	"21111"	55
	"2007"	"2007"	"Kent County, MI"	"26081"	83
	"2007"	"2007"	"Jackson County, MO"	"29095"	84
	"2007"	"2007"	"St. Louis County, MO"	"29189"	31
	"2007"	"2007"	"St. Louis city, MO"	"29510"	20
	"2007"	"2007"	"Douglas County, NE"	"31055"	106
	"2007"	"2007"	"Guilford County, NC"	"37081"	72
	"2007"	"2007"	"Mecklenburg County, NC"	"37119"	236
	"2007"	"2007"	"Wake County, NC"	"37183"	148
	"2007"	"2007"	"Franklin County, OH"	"39049"	120
	"2007"	"2007"	"Hamilton County, OH"	"39061"	40
	"2007"	"2007"	"Montgomery County, OH"	"39113"	19
	"2007"	"2007"	"Oklahoma County, OK"	"40109"	151
	"2007"	"2007"	"Tulsa County, OK"	"40143"	109
	"2007"	"2007"	"Greenville County, SC"	"45045"	66
	"2007"	"2007"	"Davidson County, TN"	"47037"	127
	"2007"	"2007"	"Knox County, TN"	"47093"	28
	"2007"	"2007"	"Shelby County, TN"	"47157"	102
	"2007"	"2007"	"Richmond city, VA"	"51760"	25
	"2008"	"2008"	"Jefferson County, AL"	"01073"	63
	"2008"	"2008"	"Duval County, FL"	"12031"	79
	"2008"	"2008"	"Marion County, IN"	"18097"	141
	"2008"	"2008"	"Jefferson County, KY"	"21111"	63
	"2008"	"2008"	"Kent County, MI"	"26081"	90
	"2008"	"2008"	"Jackson County, MO"	"29095"	99
	"2008"	"2008"	"St. Louis County, MO"	"29189"	22
	"2008"	"2008"	"St. Louis city, MO"	"29510"	17
	"2008"	"2008"	"Douglas County, NE"	"31055"	115
	"2008"	"2008"	"Guilford County, NC"	"37081"	66
	"2008"	"2008"	"Mecklenburg County, NC"	"37119"	215
	"2008"	"2008"	"Wake County, NC"	"37183"	148
	"2008"	"2008"	"Franklin County, OH"	"39049"	101
	"2008"	"2008"	"Hamilton County, OH"	"39061"	49
	"2008"	"2008"	"Montgomery County, OH"	"39113"	Suppressed
	"2008"	"2008"	"Oklahoma County, OK"	"40109"	185
	"2008"	"2008"	"Tulsa County, OK"	"40143"	129
	"2008"	"2008"	"Greenville County, SC"	"45045"	60
	"2008"	"2008"	"Davidson County, TN"	"47037"	122
	"2008"	"2008"	"Knox County, TN"	"47093"	22
	"2008"	"2008"	"Shelby County, TN"	"47157"	97
	"2008"	"2008"	"Richmond city, VA"	"51760"	18
	"2009"	"2009"	"Jefferson County, AL"	"01073"	44
	"2009"	"2009"	"Duval County, FL"	"12031"	95
	"2009"	"2009"	"Marion County, IN"	"18097"	162
	"2009"	"2009"	"Jefferson County, KY"	"21111"	55
	"2009"	"2009"	"Kent County, MI"	"26081"	86
	"2009"	"2009"	"Jackson County, MO"	"29095"	97
	"2009"	"2009"	"St. Louis County, MO"	"29189"	27
	"2009"	"2009"	"St. Louis city, MO"	"29510"	15
	"2009"	"2009"	"Douglas County, NE"	"31055"	125
	"2009"	"2009"	"Guilford County, NC"	"37081"	44
	"2009"	"2009"	"Mecklenburg County, NC"	"37119"	197
	"2009"	"2009"	"Wake County, NC"	"37183"	128
	"2009"	"2009"	"Franklin County, OH"	"39049"	107
	"2009"	"2009"	"Hamilton County, OH"	"39061"	42
	"2009"	"2009"	"Montgomery County, OH"	"39113"	13
	"2009"	"2009"	"Oklahoma County, OK"	"40109"	183
	"2009"	"2009"	"Tulsa County, OK"	"40143"	122
	"2009"	"2009"	"Greenville County, SC"	"45045"	72
	"2009"	"2009"	"Davidson County, TN"	"47037"	112
	"2009"	"2009"	"Knox County, TN"	"47093"	26
	"2009"	"2009"	"Shelby County, TN"	"47157"	83
	"2009"	"2009"	"Richmond city, VA"	"51760"	27
	"2010"	"2010"	"Jefferson County, AL"	"01073"	53
	"2010"	"2010"	"Duval County, FL"	"12031"	78
	"2010"	"2010"	"Marion County, IN"	"18097"	139
	"2010"	"2010"	"Jefferson County, KY"	"21111"	48
	"2010"	"2010"	"Kent County, MI"	"26081"	83
	"2010"	"2010"	"Jackson County, MO"	"29095"	77
	"2010"	"2010"	"St. Louis County, MO"	"29189"	33
	"2010"	"2010"	"St. Louis city, MO"	"29510"	15
	"2010"	"2010"	"Douglas County, NE"	"31055"	97
	"2010"	"2010"	"Guilford County, NC"	"37081"	50
	"2010"	"2010"	"Mecklenburg County, NC"	"37119"	165
	"2010"	"2010"	"Wake County, NC"	"37183"	146
	"2010"	"2010"	"Franklin County, OH"	"39049"	91
	"2010"	"2010"	"Hamilton County, OH"	"39061"	48
	"2010"	"2010"	"Montgomery County, OH"	"39113"	12
	"2010"	"2010"	"Oklahoma County, OK"	"40109"	184
	"2010"	"2010"	"Tulsa County, OK"	"40143"	109
	"2010"	"2010"	"Greenville County, SC"	"45045"	40
	"2010"	"2010"	"Davidson County, TN"	"47037"	94
	"2010"	"2010"	"Knox County, TN"	"47093"	20
	"2010"	"2010"	"Shelby County, TN"	"47157"	80
	"2010"	"2010"	"Richmond city, VA"	"51760"	21
	"2011"	"2011"	"Jefferson County, AL"	"01073"	51
	"2011"	"2011"	"Duval County, FL"	"12031"	79
	"2011"	"2011"	"Marion County, IN"	"18097"	137
	"2011"	"2011"	"Jefferson County, KY"	"21111"	49
	"2011"	"2011"	"Kent County, MI"	"26081"	98
	"2011"	"2011"	"Jackson County, MO"	"29095"	72
	"2011"	"2011"	"St. Louis County, MO"	"29189"	37
	"2011"	"2011"	"St. Louis city, MO"	"29510"	15
	"2011"	"2011"	"Douglas County, NE"	"31055"	111
	"2011"	"2011"	"Guilford County, NC"	"37081"	54
	"2011"	"2011"	"Mecklenburg County, NC"	"37119"	182
	"2011"	"2011"	"Wake County, NC"	"37183"	136
	"2011"	"2011"	"Franklin County, OH"	"39049"	92
	"2011"	"2011"	"Hamilton County, OH"	"39061"	46
	"2011"	"2011"	"Montgomery County, OH"	"39113"	15
	"2011"	"2011"	"Oklahoma County, OK"	"40109"	180
	"2011"	"2011"	"Tulsa County, OK"	"40143"	115
	"2011"	"2011"	"Greenville County, SC"	"45045"	44
	"2011"	"2011"	"Davidson County, TN"	"47037"	103
	"2011"	"2011"	"Knox County, TN"	"47093"	25
	"2011"	"2011"	"Shelby County, TN"	"47157"	84
	"2011"	"2011"	"Richmond city, VA"	"51760"	23
	"2012"	"2012"	"Jefferson County, AL"	"01073"	26
	"2012"	"2012"	"Duval County, FL"	"12031"	98
