"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Gender"	"Gender Code"	Births
	"2003"	"2003"	"Jefferson County, AL"	"01073"	"Female"	"F"	528
	"2003"	"2003"	"Jefferson County, AL"	"01073"	"Male"	"M"	465
	"2003"	"2003"	"Duval County, FL"	"12031"	"Female"	"F"	646
	"2003"	"2003"	"Duval County, FL"	"12031"	"Male"	"M"	557
	"2003"	"2003"	"Marion County, IN"	"18097"	"Female"	"F"	695
	"2003"	"2003"	"Marion County, IN"	"18097"	"Male"	"M"	602
	"2003"	"2003"	"Jefferson County, KY"	"21111"	"Female"	"F"	452
	"2003"	"2003"	"Jefferson County, KY"	"21111"	"Male"	"M"	415
	"2003"	"2003"	"Kent County, MI"	"26081"	"Female"	"F"	346
	"2003"	"2003"	"Kent County, MI"	"26081"	"Male"	"M"	326
	"2003"	"2003"	"Jackson County, MO"	"29095"	"Female"	"F"	442
	"2003"	"2003"	"Jackson County, MO"	"29095"	"Male"	"M"	399
	"2003"	"2003"	"St. Louis County, MO"	"29189"	"Female"	"F"	561
	"2003"	"2003"	"St. Louis County, MO"	"29189"	"Male"	"M"	462
	"2003"	"2003"	"St. Louis city, MO"	"29510"	"Female"	"F"	321
	"2003"	"2003"	"St. Louis city, MO"	"29510"	"Male"	"M"	281
	"2003"	"2003"	"Douglas County, NE"	"31055"	"Female"	"F"	314
	"2003"	"2003"	"Douglas County, NE"	"31055"	"Male"	"M"	295
	"2003"	"2003"	"Guilford County, NC"	"37081"	"Female"	"F"	279
	"2003"	"2003"	"Guilford County, NC"	"37081"	"Male"	"M"	280
	"2003"	"2003"	"Mecklenburg County, NC"	"37119"	"Female"	"F"	600
	"2003"	"2003"	"Mecklenburg County, NC"	"37119"	"Male"	"M"	490
	"2003"	"2003"	"Wake County, NC"	"37183"	"Female"	"F"	431
	"2003"	"2003"	"Wake County, NC"	"37183"	"Male"	"M"	381
	"2003"	"2003"	"Franklin County, OH"	"39049"	"Female"	"F"	796
	"2003"	"2003"	"Franklin County, OH"	"39049"	"Male"	"M"	740
	"2003"	"2003"	"Hamilton County, OH"	"39061"	"Female"	"F"	618
	"2003"	"2003"	"Hamilton County, OH"	"39061"	"Male"	"M"	509
	"2003"	"2003"	"Montgomery County, OH"	"39113"	"Female"	"F"	346
	"2003"	"2003"	"Montgomery County, OH"	"39113"	"Male"	"M"	293
	"2003"	"2003"	"Oklahoma County, OK"	"40109"	"Female"	"F"	504
	"2003"	"2003"	"Oklahoma County, OK"	"40109"	"Male"	"M"	454
	"2003"	"2003"	"Tulsa County, OK"	"40143"	"Female"	"F"	409
	"2003"	"2003"	"Tulsa County, OK"	"40143"	"Male"	"M"	335
	"2003"	"2003"	"Greenville County, SC"	"45045"	"Female"	"F"	260
	"2003"	"2003"	"Greenville County, SC"	"45045"	"Male"	"M"	237
	"2003"	"2003"	"Davidson County, TN"	"47037"	"Female"	"F"	471
	"2003"	"2003"	"Davidson County, TN"	"47037"	"Male"	"M"	372
	"2003"	"2003"	"Knox County, TN"	"47093"	"Female"	"F"	250
	"2003"	"2003"	"Knox County, TN"	"47093"	"Male"	"M"	218
	"2003"	"2003"	"Shelby County, TN"	"47157"	"Female"	"F"	799
	"2003"	"2003"	"Shelby County, TN"	"47157"	"Male"	"M"	712
	"2003"	"2003"	"Richmond city, VA"	"51760"	"Female"	"F"	208
	"2003"	"2003"	"Richmond city, VA"	"51760"	"Male"	"M"	197
	"2004"	"2004"	"Jefferson County, AL"	"01073"	"Female"	"F"	565
	"2004"	"2004"	"Jefferson County, AL"	"01073"	"Male"	"M"	468
	"2004"	"2004"	"Duval County, FL"	"12031"	"Female"	"F"	669
	"2004"	"2004"	"Duval County, FL"	"12031"	"Male"	"M"	593
	"2004"	"2004"	"Marion County, IN"	"18097"	"Female"	"F"	760
	"2004"	"2004"	"Marion County, IN"	"18097"	"Male"	"M"	662
	"2004"	"2004"	"Jefferson County, KY"	"21111"	"Female"	"F"	463
	"2004"	"2004"	"Jefferson County, KY"	"21111"	"Male"	"M"	433
	"2004"	"2004"	"Kent County, MI"	"26081"	"Female"	"F"	363
	"2004"	"2004"	"Kent County, MI"	"26081"	"Male"	"M"	360
	"2004"	"2004"	"Jackson County, MO"	"29095"	"Female"	"F"	479
	"2004"	"2004"	"Jackson County, MO"	"29095"	"Male"	"M"	424
	"2004"	"2004"	"St. Louis County, MO"	"29189"	"Female"	"F"	592
	"2004"	"2004"	"St. Louis County, MO"	"29189"	"Male"	"M"	505
	"2004"	"2004"	"St. Louis city, MO"	"29510"	"Female"	"F"	319
	"2004"	"2004"	"St. Louis city, MO"	"29510"	"Male"	"M"	302
	"2004"	"2004"	"Douglas County, NE"	"31055"	"Female"	"F"	350
	"2004"	"2004"	"Douglas County, NE"	"31055"	"Male"	"M"	301
	"2004"	"2004"	"Guilford County, NC"	"37081"	"Female"	"F"	286
	"2004"	"2004"	"Guilford County, NC"	"37081"	"Male"	"M"	240
	"2004"	"2004"	"Mecklenburg County, NC"	"37119"	"Female"	"F"	567
	"2004"	"2004"	"Mecklenburg County, NC"	"37119"	"Male"	"M"	510
	"2004"	"2004"	"Wake County, NC"	"37183"	"Female"	"F"	488
	"2004"	"2004"	"Wake County, NC"	"37183"	"Male"	"M"	442
	"2004"	"2004"	"Franklin County, OH"	"39049"	"Female"	"F"	796
	"2004"	"2004"	"Franklin County, OH"	"39049"	"Male"	"M"	773
	"2004"	"2004"	"Hamilton County, OH"	"39061"	"Female"	"F"	582
	"2004"	"2004"	"Hamilton County, OH"	"39061"	"Male"	"M"	547
	"2004"	"2004"	"Montgomery County, OH"	"39113"	"Female"	"F"	342
	"2004"	"2004"	"Montgomery County, OH"	"39113"	"Male"	"M"	314
	"2004"	"2004"	"Oklahoma County, OK"	"40109"	"Female"	"F"	559
	"2004"	"2004"	"Oklahoma County, OK"	"40109"	"Male"	"M"	472
	"2004"	"2004"	"Tulsa County, OK"	"40143"	"Female"	"F"	411
	"2004"	"2004"	"Tulsa County, OK"	"40143"	"Male"	"M"	367
	"2004"	"2004"	"Greenville County, SC"	"45045"	"Female"	"F"	246
	"2004"	"2004"	"Greenville County, SC"	"45045"	"Male"	"M"	219
	"2004"	"2004"	"Davidson County, TN"	"47037"	"Female"	"F"	421
	"2004"	"2004"	"Davidson County, TN"	"47037"	"Male"	"M"	400
	"2004"	"2004"	"Knox County, TN"	"47093"	"Female"	"F"	205
	"2004"	"2004"	"Knox County, TN"	"47093"	"Male"	"M"	224
	"2004"	"2004"	"Shelby County, TN"	"47157"	"Female"	"F"	828
	"2004"	"2004"	"Shelby County, TN"	"47157"	"Male"	"M"	690
