"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	15938	2371684	672.0
	"1999"	"1999"	"1 year"	"1"	1146	2360422	48.6
	"1999"	"1999"	"2 years"	"2"	796	2362321	33.7
	"1999"	"1999"	"3 years"	"3"	616	2403195	25.6
	"1999"	"1999"	"4 years"	"4"	501	2479014	20.2
	"1999"	"1999"	"5 years"	"5"	460	2506646	18.4
	"1999"	"1999"	"6 years"	"6"	392	2532805	15.5
	"1999"	"1999"	"7 years"	"7"	426	2610558	16.3
	"1999"	"1999"	"8 years"	"8"	421	2610517	16.1
	"1999"	"1999"	"9 years"	"9"	377	2630465	14.3
	"1999"	"1999"	"10 years"	"10"	409	2578224	15.9
	"1999"	"1999"	"11 years"	"11"	427	2511795	17.0
	"1999"	"1999"	"12 years"	"12"	409	2493425	16.4
	"1999"	"1999"	"13 years"	"13"	522	2483941	21.0
	"1999"	"1999"	"14 years"	"14"	702	2484231	28.3
	"1999"	"1999"	"15 years"	"15"	892	2434129	36.6
	"1999"	"1999"	"16 years"	"16"	1297	2487245	52.1
	"1999"	"1999"	"17 years"	"17"	1638	2490520	65.8
	"1999"	"1999"	"18 years"	"18"	2005	2452682	81.7
	"1999"	"1999"	"19 years"	"19"	2114	2505103	84.4
	"1999"	"1999"	"20 years"	"20"	2070	2397711	86.3
	"1999"	"1999"	"21 years"	"21"	2094	2305846	90.8
	"1999"	"1999"	"22 years"	"22"	1933	2277281	84.9
	"1999"	"1999"	"23 years"	"23"	1905	2207899	86.3
	"1999"	"1999"	"24 years"	"24"	1858	2270097	81.8
	"1999"	"1999"	"25 years"	"25"	1777	2274249	78.1
	"1999"	"1999"	"26 years"	"26"	1945	2284316	85.1
	"1999"	"1999"	"27 years"	"27"	2025	2437111	83.1
	"1999"	"1999"	"28 years"	"28"	2173	2576824	84.3
	"1999"	"1999"	"29 years"	"29"	2320	2611597	88.8
	"1999"	"1999"	"30 years"	"30"	2334	2638402	88.5
	"1999"	"1999"	"31 years"	"31"	2513	2481940	101.3
	"1999"	"1999"	"32 years"	"32"	2782	2547644	109.2
	"1999"	"1999"	"33 years"	"33"	2960	2564083	115.4
	"1999"	"1999"	"34 years"	"34"	3361	2728030	123.2
	"1999"	"1999"	"35 years"	"35"	3710	2869543	129.3
	"1999"	"1999"	"36 years"	"36"	3982	2827880	140.8
	"1999"	"1999"	"37 years"	"37"	4320	2847708	151.7
	"1999"	"1999"	"38 years"	"38"	4737	2818355	168.1
	"1999"	"1999"	"39 years"	"39"	5045	2861613	176.3
	"1999"	"1999"	"40 years"	"40"	5288	2891061	182.9
	"1999"	"1999"	"41 years"	"41"	5757	2753035	209.1
	"1999"	"1999"	"42 years"	"42"	6107	2773614	220.2
	"1999"	"1999"	"43 years"	"43"	6578	2651914	248.0
	"1999"	"1999"	"44 years"	"44"	7031	2621124	268.2
	"1999"	"1999"	"45 years"	"45"	7411	2608035	284.2
	"1999"	"1999"	"46 years"	"46"	7725	2456160	314.5
	"1999"	"1999"	"47 years"	"47"	7963	2418055	329.3
	"1999"	"1999"	"48 years"	"48"	8251	2277456	362.3
	"1999"	"1999"	"49 years"	"49"	8723	2306241	378.2
	"1999"	"1999"	"50 years"	"50"	9150	2303415	397.2
	"1999"	"1999"	"51 years"	"51"	9855	2195588	448.9
	"1999"	"1999"	"52 years"	"52"	10889	2359070	461.6
	"1999"	"1999"	"53 years"	"53"	9486	1703122	557.0
	"1999"	"1999"	"54 years"	"54"	10180	1771568	574.6
	"1999"	"1999"	"55 years"	"55"	11161	1731440	644.6
	"1999"	"1999"	"56 years"	"56"	12209	1769065	690.1
	"1999"	"1999"	"57 years"	"57"	11863	1534395	773.1
	"1999"	"1999"	"58 years"	"58"	12168	1446278	841.3
	"1999"	"1999"	"59 years"	"59"	12713	1381416	920.3
	"1999"	"1999"	"60 years"	"60"	13165	1374589	957.7
	"1999"	"1999"	"61 years"	"61"	14215	1291510	1100.6
	"1999"	"1999"	"62 years"	"62"	14899	1229018	1212.3
	"1999"	"1999"	"63 years"	"63"	16059	1215847	1320.8
	"1999"	"1999"	"64 years"	"64"	17571	1215949	1445.0
	"1999"	"1999"	"65 years"	"65"	18145	1124764	1613.2
	"1999"	"1999"	"66 years"	"66"	19175	1115322	1719.2
	"1999"	"1999"	"67 years"	"67"	20799	1123445	1851.4
	"1999"	"1999"	"68 years"	"68"	22671	1125037	2015.1
	"1999"	"1999"	"69 years"	"69"	25098	1112247	2256.5
	"1999"	"1999"	"70 years"	"70"	26335	1098897	2396.5
	"1999"	"1999"	"71 years"	"71"	28371	1069405	2653.0
	"1999"	"1999"	"72 years"	"72"	30455	1021013	2982.8
	"1999"	"1999"	"73 years"	"73"	32349	1001383	3230.4
	"1999"	"1999"	"74 years"	"74"	34389	1001378	3434.2
	"2000"	"2000"	"< 1 year"	"0"	15991	2375383	673.2
	"2000"	"2000"	"1 year"	"1"	1135	2382255	47.6
	"2000"	"2000"	"2 years"	"2"	789	2365767	33.4
	"2000"	"2000"	"3 years"	"3"	528	2403246	22.0
	"2000"	"2000"	"4 years"	"4"	481	2462555	19.5
	"2000"	"2000"	"5 years"	"5"	443	2484324	17.8
	"2000"	"2000"	"6 years"	"6"	402	2517255	16.0
	"2000"	"2000"	"7 years"	"7"	391	2577575	15.2
	"2000"	"2000"	"8 years"	"8"	379	2613324	14.5
	"2000"	"2000"	"9 years"	"9"	364	2663264	13.7
	"2000"	"2000"	"10 years"	"10"	364	2662787	13.7
	"2000"	"2000"	"11 years"	"11"	444	2562793	17.3
	"2000"	"2000"	"12 years"	"12"	433	2538544	17.1
	"2000"	"2000"	"13 years"	"13"	511	2494909	20.5
	"2000"	"2000"	"14 years"	"14"	688	2512334	27.4
	"2000"	"2000"	"15 years"	"15"	890	2487733	35.8
	"2000"	"2000"	"16 years"	"16"	1255	2463362	50.9
	"2000"	"2000"	"17 years"	"17"	1584	2507602	63.2
	"2000"	"2000"	"18 years"	"18"	1945	2502406	77.7
	"2000"	"2000"	"19 years"	"19"	2140	2528275	84.6
	"2000"	"2000"	"20 years"	"20"	2194	2479413	88.5
	"2000"	"2000"	"21 years"	"21"	2225	2360946	94.2
	"2000"	"2000"	"22 years"	"22"	2056	2320190	88.6
	"2000"	"2000"	"23 years"	"23"	1983	2283443	86.8
	"2000"	"2000"	"24 years"	"24"	1955	2277102	85.9
	"2000"	"2000"	"25 years"	"25"	1889	2339852	80.7
	"2000"	"2000"	"26 years"	"26"	1949	2260259	86.2
	"2000"	"2000"	"27 years"	"27"	2039	2362549	86.3
	"2000"	"2000"	"28 years"	"28"	2088	2476377	84.3
	"2000"	"2000"	"29 years"	"29"	2328	2645934	88.0
